Accession,Status,Has_Results,SubmissionDate,Title,Is_Blood,Is_CellLine
PXD025079,Mixed/Unsure,False,2021-03-29,Proteomic analysis of exosomes isolated from human umbilical cord serum by mass spectrometry and preliminary study of their biological activities in cultured hepatocellular carcinoma cell lines,True,True
PXD024760,High Priority (Blood),False,2021-03-16,Human platelet-derived extracellular vesicle proteome,True,False
PXD024556,Cell Line,Not Checked,2021-03-05,PROTEOMIC PROFILE OF MESOTHELIAL EXOSOMES ISOLATED FROM PERITONEAL DIALYSIS EFFLUENT OF CHILDREN WITH FOCAL SEGMENTAL GLOMERULOSCLEROSIS,False,True
PXD024550,MaxQuant (Other),Not Checked,2021-03-05,Characterisation of the pseudokinase SCYL1,False,False
PXD009505,Mixed/Unsure,False,2021-02-26,Use of lymph-circulating extracellular vesicles as surrogates of melanoma progression markers and BRAFV600E mutation.,True,True
PXD024044,MaxQuant (Other),Not Checked,2021-02-08,Exosome proteomics under hypoxia,False,False
PXD023727,Cell Line,Not Checked,2021-01-21,Cell surface processing of CD109 by meprin β leads to the release of soluble fragments and reduced expression on extracellular vesicles,False,True
PXD022851,High Priority (Blood),False,2020-12-01,Extracellular vesicles derived from adult and fetal bone marrow mesenchymal stromal cells differentially promote expansion of hematopoietic stem and progenitor cells,True,False
PXD022501,MaxQuant (Other),Not Checked,2020-11-13,Human trophectoderm extracellular vesicle proteome,False,False
PXD022107,MaxQuant (Other),Not Checked,2020-10-21,The hepatovirus pX protein contains ancient signals for ESCRT-dependent capsid quasi-envelopment,False,False
PXD021856,High Priority (Blood),False,2020-10-06,"Human plasma small extracellular vesicle proteome (disease, non-disease)",True,False
PXD021371,Cell Line,Not Checked,2020-09-09,DCLK1 small extracellular vesicle proteome,False,True
PXD021177,Cell Line,Not Checked,2020-08-28,Characterization of the HLA class I Ligandome from Extracellular vesicles,False,True
PXD021064,Mixed/Unsure,True,2020-08-23,Proteomic Profiling of exosomes in cell culture supernatant of hBMEC infected by E. coli,True,True
PXD021038,High Priority (Blood),False,2020-08-21,Phosphoproteomics identify arachidonic-acid-regulated signal transduction pathways modulating macrophage functions in ovarian cancer,True,False
PXD020984,Mixed/Unsure,False,2020-08-19,SILAC analysis of exosome secretion in response to centrosome amplification,True,True
PXD020948,MaxQuant (Other),Not Checked,2020-08-17,"Comprehensive Proteomic Analysis of Exosomes Derived from Human Bone Marrow-, Adipose Tissue-, and Human Umbilical Cord- Mesenchymal Stem Cells",False,False
PXD020743,Cell Line,Not Checked,2020-08-05,Tubulin Tyrosine Ligase Like 4 (TTLL4) overexpression in breast cancer cells alters exosome biogenesis and promotes brain metastasis,False,True
PXD020467,Mixed/Unsure,False,2020-07-21,"Proteomic approach for searching of universal, tissue-specific and line-specific markers of extracellular vesicles in lung and colorectal adenocarcinoma cell lines:extracellular vesicles only",True,True
PXD020454,Mixed/Unsure,False,2020-07-20,"Proteomic approach for searching of universal, tissue-specific and line-specific markers of extracellular vesicles in lung and colorectal adenocarcinoma cell lines: whole cell lysate vs. extracellular vesicles",True,True
PXD020260,Cell Line,Not Checked,2020-07-08,Quantitative Proteomics Identifies Sytenin-1 as a Universal Biomarker of Exosomes,False,True
PXD019387,High Priority (Blood),False,2020-05-26,Proteomic Profiling of Serum Exosomes from Patients with Metastatic Gastric Cancer,True,False
PXD019283,Cell Line,Not Checked,2020-05-19,Exosomes released by imatinib-resistant K562 cells carry specific membrane markers and increase survival of imatinib-sensitive cells in the presence of imatinib.,False,True
PXD019088,Mixed/Unsure,False,2020-05-11,Plasma exosomal proteomic pattern in Hemophagocyticlymphohistiocytosis of a twin boy,True,True
PXD018537,Cell Line,Not Checked,2020-04-14,Cystic Fibrosis disease Urine exosomes,False,True
PXD018258,MaxQuant (Other),Not Checked,2020-03-30,Proteomic analysis of necroptotic extracellular vesicles,False,False
PXD017273,Cell Line,Not Checked,2020-01-24,"Human and mouse brain, and human cerebrospinal fluid extracellular vesicles LC-MSMS",False,True
PXD016626,Mixed/Unsure,True,2019-12-05,An interactive predictor to reassess the specific protein compositions of HIV-1 and extracellular vesicles,True,True
PXD016488,Cell Line,Not Checked,2019-11-28,Proteomic Profiling of Retinoblastoma-Derived Exosomes reveals potential biomarkers of vitreous seeding,False,True
PXD007988,MaxQuant (Other),Not Checked,2019-10-02,Composition and structure of synaptic ectosomes exporting antigen receptor linked to functional CD40 ligand from helper T cells,False,False
PXD013893,Mixed/Unsure,False,2019-09-20,Sequential phosphoproteomics and N-glycoproteomics of plasma-derived extracellular vesicles,True,True
PXD015479,Cell Line,Not Checked,2019-09-17,LC-MSMS of cell secretome for MAP1LC3B interactors,False,True
PXD015386,Cell Line,Not Checked,2019-09-10,Exosomes from mesenchymal stromal cells reduce murine colonic inflammation via a macrophage-dependent mechanism,False,True
PXD015289,MaxQuant (Other),Not Checked,2019-09-03,Unravelling the proteomic landscape of extracellular vesicles in prostate cancer by density-based fractionation of urine,False,False
PXD015283,High Priority (Blood),False,2019-09-02,A novel and simple strategy to isolate extracellular vesicles from human plasma and tissue culture medium with high yield and purity,True,False
PXD015210,MaxQuant (Other),Not Checked,2019-08-29,Tumour exosomal CEMIP protein promotes cancer cell colonization in brain metastasis,False,False
PXD015081,MaxQuant (Other),Not Checked,2019-08-20,The host exosome biogenesis pathway is essential for human cytomegalovirus virion assembly and egress,False,False
PXD014995,High Priority (Blood),False,2019-08-12,The Function of Ectopic ATP Synthase  in Extracellular Vesicles.,True,False
PXD014711,MaxQuant (Other),Not Checked,2019-07-23,Drug-tolerant cell-derived exosomes regulate proteasome inhibitor resistance pathways in MLL leukemias,False,False
PXD014559,MaxQuant (Other),Not Checked,2019-07-10,Tetraspanin-6 antagonizes the release of exosomes by stimulating the lysosomal degradation of syntenin and syndecan-4,False,False
PXD013419,Cell Line,Not Checked,2019-04-09,Exosomes proteome of human lung cancer cell lines 95C and 95D,False,True
PXD013340,Cell Line,Not Checked,2019-04-02,Impact of increased core fucosylation on the exosome proteome in prostate cancer,False,True
PXD013234,High Priority (Blood),True,2019-03-26,Comparison of proteome composition of serum enriched in extracellular vesicles isolated from polycythemia vera patients and healthy controls,True,False
PXD013219,MaxQuant (Other),Not Checked,2019-03-25,The Flemmingsome reveals an ESCRT-to-membrane coupling required for cytokinesis,False,False
PXD012798,Mixed/Unsure,False,2019-02-20,Variability in exosomal protein cargo of human lung adenocarcinoma cells,True,True
