miRNA,ERR3629088,ERR3629087,ERR3629086,ERR3629085,ERR3629084,ERR3629083,ERR3629082,ERR3629081,ERR3629080,ERR3629079,ERR3629078,ERR3629077
hsa-miR-20a-5p,20008.42,25293.93,24490.63,16726.28,18612.09,17027.17,1875.29,10634.65,6923.58,9986.12,8434.51,9608.02
hsa-miR-20b-3p,4.86,5.09,5.49,5.08,6.6,4.65,3.83,5.17,3.17,4.02,3.32,2.02
hsa-miR-20b-5p,1081.68,1301.12,1178.33,1253.7,1290.77,1289.36,183.6,629.42,434.52,525.32,468.72,557.94
hsa-miR-21-3p,280.69,292.99,297.2,230.61,260.61,244.63,165.81,169.18,199.09,153.04,155.62,119.41
hsa-miR-21-5p,166430.33,183709.81,174419.44,149886.93,156152.22,154635.61,119130.61,159138.24,128512.96,131305.25,132835.91,115589.99
hsa-miR-210-3p,17.77,21.67,16.47,19.22,18.72,17.59,4.91,10.54,10.0,12.6,8.31,10.79
hsa-miR-210-5p,0.0,0.0,0.0,0.0,0.31,0.17,0.15,0.0,0.0,0.0,0.0,0.9
hsa-miR-211-5p,0.0,0.0,0.0,0.0,0.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2110,40.41,33.81,27.71,24.11,26.4,25.39,32.06,28.83,31.47,40.47,42.8,43.4
hsa-miR-2114-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-2115-3p,0.5,0.49,0.52,1.09,0.77,1.99,1.38,0.8,0.24,0.54,1.04,2.02
hsa-miR-2115-5p,0.34,1.15,0.78,0.54,1.69,0.83,0.46,0.6,1.71,0.0,0.62,0.22
hsa-miR-2116-3p,0.5,0.33,0.26,0.0,0.15,0.5,0.15,0.0,0.49,0.54,0.62,0.67
hsa-miR-2116-5p,0.34,0.0,0.0,0.73,0.0,0.17,0.0,0.0,0.0,0.27,0.0,0.45
hsa-miR-212-3p,8.72,7.88,7.06,12.15,12.89,14.77,20.86,23.46,12.44,14.47,20.15,15.07
hsa-miR-212-5p,11.23,12.97,15.42,9.61,7.67,9.13,13.8,13.92,12.69,16.08,17.66,18.67
hsa-miR-214-3p,0.17,0.0,0.26,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-214-5p,0.0,0.0,0.0,0.36,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-215-5p,13.75,12.97,7.32,5.98,8.29,12.45,7.98,7.95,7.81,11.79,7.48,7.2
hsa-miR-216a-5p,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-216b-5p,0.17,0.16,0.0,0.18,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-217-5p,0.0,0.0,0.0,0.18,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.22
hsa-miR-218-5p,5.7,5.58,3.4,6.16,6.29,6.14,8.28,5.77,16.1,3.22,5.4,2.7
hsa-miR-219a-1-3p,1.84,1.48,3.14,2.36,0.77,1.49,2.3,1.19,2.2,0.54,0.0,1.57
hsa-miR-219a-2-3p,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-219a-5p,0.5,0.0,0.0,0.54,0.15,0.0,0.46,0.0,0.24,0.54,0.0,0.0
hsa-miR-219b-5p,0.17,0.16,0.26,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-22-3p,1425.58,1369.07,1424.82,1127.15,1114.57,1113.44,849.6,941.14,964.44,1041.25,1003.31,1128.48
hsa-miR-22-5p,158.12,161.51,151.6,141.6,124.47,157.66,178.85,134.79,175.66,155.45,142.94,186.88
hsa-miR-221-3p,1550.5,1541.42,1685.42,773.79,766.94,903.99,1249.48,1064.6,1040.56,1512.7,1466.84,1617.83
hsa-miR-221-5p,141.35,138.04,154.22,88.29,98.69,106.71,91.11,108.55,99.79,114.44,98.27,107.05
hsa-miR-222-3p,396.89,370.46,409.07,309.84,312.18,346.2,297.72,264.41,229.34,321.62,319.34,359.82
hsa-miR-222-5p,4.69,4.1,5.23,1.09,2.61,1.83,1.07,2.39,1.22,1.07,2.7,1.57
hsa-miR-223-3p,1750.37,1697.18,1531.2,2904.62,2617.45,3129.04,2961.87,2755.43,1673.93,2208.48,2626.18,1982.37
hsa-miR-223-5p,462.28,475.83,421.09,448.54,427.14,432.0,554.49,404.17,425.01,395.33,386.45,445.95
hsa-miR-224-3p,0.0,0.33,0.0,0.18,0.0,0.33,0.46,0.4,0.0,0.0,0.42,0.0
hsa-miR-224-5p,107.48,127.86,125.2,64.54,62.62,65.06,54.3,67.39,56.85,80.67,65.03,81.86
hsa-miR-2276-3p,0.34,0.16,0.0,0.18,0.46,0.0,0.92,0.0,0.0,0.54,0.0,0.22
hsa-miR-2277-3p,0.0,0.33,0.0,0.36,0.61,1.33,1.23,0.4,1.22,0.27,0.21,0.9
hsa-miR-2277-5p,2.85,1.31,3.14,2.18,2.46,1.33,1.23,0.8,3.42,2.95,1.25,1.35
hsa-miR-2278,0.5,0.82,0.26,0.73,0.46,0.5,1.23,0.8,0.24,0.0,0.62,0.9
hsa-miR-2355-3p,19.62,21.99,15.68,12.51,14.27,14.11,11.81,12.72,16.59,14.21,10.39,10.57
hsa-miR-2355-5p,2.52,3.12,2.09,2.36,1.84,1.83,0.15,1.39,1.95,1.61,3.74,1.8
hsa-miR-23a-3p,2457.46,2446.31,2321.11,3634.9,3237.05,3625.93,7134.57,5547.84,4166.15,5806.63,5728.56,4898.01
hsa-miR-23a-5p,2.35,1.15,0.78,1.45,1.84,2.16,3.68,1.19,1.22,4.29,2.91,1.57
hsa-miR-23b-3p,304.0,268.53,60.38,72.88,297.14,80.49,165.5,475.74,458.43,157.86,565.33,144.6
hsa-miR-23b-5p,3.02,3.28,2.88,2.18,1.53,2.82,2.15,3.38,5.37,1.34,3.12,3.6
hsa-miR-23c,0.0,0.33,0.52,0.18,0.15,0.33,0.77,0.4,0.0,0.27,0.42,0.22
hsa-miR-24-1-5p,1.84,1.81,1.05,1.81,1.23,0.33,0.15,1.19,3.17,2.68,1.25,1.12
hsa-miR-24-2-5p,91.55,97.17,97.5,85.03,87.64,104.39,90.96,94.83,125.65,101.31,94.95,80.51
hsa-miR-24-3p,4190.89,3507.62,3210.61,4020.17,1820.12,4148.21,1700.74,3151.05,1920.34,3092.4,3441.25,3156.5
hsa-miR-2467-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-2467-5p,0.17,0.0,0.26,0.0,0.0,0.17,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-25-3p,2798.17,3085.46,3101.88,2445.21,2562.51,2564.61,1820.68,2055.24,2072.34,2313.81,2128.16,2082.67
hsa-miR-25-5p,8.89,8.86,7.32,8.16,8.9,12.78,9.82,8.95,8.54,5.9,8.52,12.14
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0,0.0,0.45
hsa-miR-26a-1-3p,0.5,0.66,1.57,0.73,0.92,0.83,0.77,1.59,1.22,0.54,0.83,0.67
hsa-miR-26a-2-3p,4.86,6.89,4.18,3.81,7.21,4.98,9.97,7.55,10.73,12.06,8.31,9.89
hsa-miR-26a-5p,23752.62,22582.37,22787.17,24557.94,24332.0,25979.31,25602.94,24045.6,20286.94,26309.56,23141.1,26529.34
hsa-miR-26b-3p,2.85,2.95,2.88,2.18,3.22,2.49,3.37,2.78,2.44,2.68,3.32,2.92
hsa-miR-26b-5p,9823.96,10570.95,9055.74,10570.21,10115.58,10590.51,6353.38,8462.11,6497.84,9648.96,8243.78,9939.06
hsa-miR-27a-3p,1644.73,2528.87,2143.89,1766.78,1477.86,2033.2,1585.7,1636.56,1666.61,1435.24,1467.67,1865.65
hsa-miR-27a-5p,76.96,75.83,85.47,36.26,43.13,44.81,55.22,44.13,49.04,56.02,68.98,58.7
hsa-miR-27b-3p,2822.82,2207.16,2623.54,2181.78,2621.6,2266.7,1903.21,1661.01,1696.37,2145.23,2199.63,1651.34
hsa-miR-27b-5p,7.38,7.06,7.84,5.44,5.68,4.65,5.37,4.97,5.37,5.36,3.95,4.05
hsa-miR-28-3p,1457.94,1511.05,1425.86,1045.38,1131.61,1012.03,903.9,1246.11,942.0,1335.0,1274.44,1440.84
hsa-miR-28-5p,796.12,880.76,757.76,578.53,597.81,580.7,427.33,585.08,526.99,666.3,611.25,643.85
hsa-miR-296-3p,2.52,2.79,2.61,3.26,3.53,2.49,5.06,2.78,2.68,1.88,2.29,2.02
hsa-miR-296-5p,0.5,0.49,0.78,0.91,0.31,0.33,0.31,0.2,0.0,0.54,0.83,1.12
hsa-miR-299-3p,1.01,2.63,3.92,1.09,1.69,0.83,0.46,1.39,0.0,1.88,1.45,1.57
hsa-miR-299-5p,0.17,0.0,0.0,0.18,0.0,0.17,0.0,0.2,0.24,0.27,0.21,0.22
hsa-miR-29a-3p,4272.38,4254.94,3986.41,4892.41,4857.5,5247.21,4790.69,3904.12,4779.75,4179.49,4356.67,3696.45
hsa-miR-29a-5p,5.03,4.6,3.14,6.89,7.52,8.46,7.21,6.16,10.49,2.95,3.12,1.8
hsa-miR-29b-1-5p,4.36,5.91,7.32,2.54,4.45,3.82,2.61,2.39,1.95,3.75,3.74,5.17
hsa-miR-29b-2-5p,5.2,5.91,7.84,5.98,3.99,5.64,2.76,5.96,4.15,5.09,3.74,5.17
hsa-miR-29b-3p,278.84,286.91,257.73,309.84,316.32,316.65,236.67,212.52,270.81,254.62,226.05,191.6
hsa-miR-29c-3p,85.01,74.19,70.05,90.47,73.52,83.48,94.03,82.5,94.66,98.63,104.51,93.1
hsa-miR-29c-5p,11.23,7.88,9.15,17.04,15.65,16.1,27.3,20.28,27.81,16.89,19.32,18.67
hsa-miR-301a-3p,1.17,2.13,0.78,0.73,1.69,2.49,0.46,0.4,0.98,1.61,1.04,0.67
hsa-miR-301a-5p,5.53,5.74,4.44,5.08,3.84,4.81,2.3,3.98,2.44,5.63,1.25,4.72
hsa-miR-301b-3p,0.84,0.82,0.26,0.18,0.31,0.33,1.84,1.19,0.98,1.07,0.42,1.35
hsa-miR-301b-5p,0.0,0.0,0.26,0.73,0.15,0.83,0.0,0.0,0.0,0.0,0.21,0.22
hsa-miR-3064-3p,0.0,0.16,0.0,0.18,0.15,0.17,0.31,0.2,0.0,0.54,0.21,0.45
hsa-miR-3064-5p,0.34,0.33,0.26,0.36,1.38,0.33,1.53,0.8,0.73,0.54,0.62,0.22
hsa-miR-3065-3p,0.0,0.98,0.26,0.36,0.31,0.83,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-3065-5p,2.68,2.95,1.57,0.18,3.07,2.66,0.15,1.79,0.73,0.27,0.0,1.35
hsa-miR-3074-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
hsa-miR-3074-5p,0.17,1.64,1.31,0.73,3.38,0.66,3.68,4.57,0.24,0.8,1.25,0.22
hsa-miR-30a-3p,15.93,38.24,10.98,33.18,32.69,12.28,38.5,29.22,53.92,56.02,50.28,43.85
hsa-miR-30a-5p,49.46,41.86,51.49,22.66,27.32,26.39,38.04,28.83,24.4,47.17,41.76,33.06
hsa-miR-30b-3p,4.86,4.92,6.01,9.25,6.91,9.13,15.8,11.33,5.61,6.7,9.14,9.89
hsa-miR-30b-5p,46.45,41.03,39.47,35.9,37.76,46.14,70.56,51.89,42.45,61.64,79.16,59.59
hsa-miR-30c-1-3p,8.89,6.24,5.49,9.25,10.74,10.79,19.33,10.74,5.86,7.5,9.97,13.27
hsa-miR-30c-2-3p,0.67,0.98,0.26,0.54,0.31,0.66,0.15,0.8,0.73,0.54,0.21,0.0
hsa-miR-30c-5p,199.37,180.55,219.3,135.98,140.74,173.76,218.88,181.71,175.42,204.23,244.13,211.39
