miRNA,SRR29397945,SRR29397946,SRR29397947,SRR29397948,SRR29397949,SRR29397950,SRR29397951,SRR29397952,SRR29397953,SRR29397954,SRR29397955,SRR29397956,SRR29397957,SRR29397958,SRR29397959,SRR29397960,SRR29397961,SRR29397962,SRR29397963,SRR29397964,SRR29397965,SRR29397966,SRR29397967,SRR29397968,SRR29397969,SRR29397970,SRR29397971,SRR29397972,SRR29397973,SRR29397974,SRR29397975,SRR29397976,SRR29397977,SRR29397978,SRR29397979,SRR29397980,SRR29397981,SRR29397982,SRR29397983,SRR29397984,SRR29397985,SRR29397986,SRR29397987,SRR29397988,SRR29397989,SRR29397990,SRR29397991,SRR29397992,SRR29397993,SRR29397994,SRR29397995,SRR29397996,SRR29397997,SRR29397998,SRR29397999,SRR29398000,SRR29398001,SRR29398002,SRR29398003,SRR29398004,SRR29398005,SRR29398006,SRR29398007,SRR29398008,SRR29398009,SRR29398010,SRR29398011,SRR29398012,SRR29398013,SRR29398014,SRR29398015,SRR29398016,SRR29398017,SRR29398018,SRR29398019,SRR29398020,SRR29398021,SRR29398022,SRR29398023,SRR29398024,SRR29398025,SRR29398026,SRR29398027,SRR29398028,SRR29398029,SRR29398030,SRR29398031,SRR29398032,SRR29398033,SRR29398034,SRR29398035,SRR29398036,SRR29398037,SRR29398038,SRR29398039,SRR29398040,SRR29398041,SRR29398042,SRR29398043,SRR29398044
hsa-let-7e-5p,24.0,24.0,3.0,6.0,4.0,74.0,0.0,31.0,40.0,0.0,13.0,0.0,1.0,9.0,7.0,22.0,0.0,9.0,48.0,30.0,3.0,0.0,10.0,6.0,48.0,5.0,18.0,17.0,11.0,3.0,6.0,0.0,0.0,118.0,25.0,42.0,48.0,52.0,213.0,87.0,161.0,130.0,19.0,36.0,4.0,147.0,8.0,82.0,42.0,3.0,21.0,3.0,59.0,91.0,2.0,48.0,47.0,47.0,19.0,0.0,0.0,8.0,0.0,0.0,41.0,38.0,0.0,7.0,6.0,0.0,6.0,10.0,11.0,5.0,375.0,122.0,79.0,74.0,217.0,303.0,0.0,28.0,49.0,201.0,7.0,144.0,8.0,2.0,6.0,15.0,3.0,0.0,16.0,38.0,90.0,148.0,0.0,28.0,16.0,5.0
hsa-let-7f-1-3p,16.0,5.0,3.0,3.0,3.0,44.0,0.0,11.0,8.0,0.0,3.0,1.0,1.0,9.0,2.0,7.0,0.0,1.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,2.0,59.0,78.0,266.0,134.0,255.0,410.0,169.0,0.0,60.0,90.0,19.0,70.0,13.0,0.0,18.0,0.0,9.0,8.0,1.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,112.0,0.0,2.0,4.0,2.0,9.0,10.0,0.0,2.0,99.0,22.0,408.0,75.0,117.0,330.0,0.0,42.0,9.0,35.0,5.0,104.0,14.0,3.0,0.0,4.0,3.0,3.0,11.0,6.0,12.0,144.0,0.0,2.0,0.0,0.0
hsa-let-7f-2-3p,8.0,1.0,0.0,10.0,3.0,8.0,0.0,3.0,5.0,0.0,5.0,0.0,1.0,0.0,3.0,5.0,0.0,4.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,16.0,4.0,52.0,31.0,41.0,152.0,148.0,147.0,128.0,0.0,54.0,72.0,7.0,32.0,19.0,0.0,13.0,1.0,12.0,19.0,1.0,5.0,7.0,23.0,4.0,0.0,3.0,0.0,0.0,0.0,86.0,66.0,0.0,0.0,1.0,8.0,0.0,12.0,15.0,11.0,74.0,19.0,229.0,60.0,68.0,156.0,0.0,3.0,9.0,8.0,3.0,69.0,15.0,14.0,14.0,8.0,3.0,0.0,24.0,8.0,29.0,86.0,4.0,11.0,3.0,3.0
hsa-let-7f-5p,650.0,435.0,35.0,44.0,38.0,2844.0,2.0,523.0,1003.0,0.0,397.0,35.0,25.0,324.0,26.0,255.0,5.0,238.0,1228.0,522.0,64.0,86.0,89.0,110.0,2643.0,107.0,302.0,381.0,325.0,156.0,121.0,5.0,81.0,4088.0,1811.0,388.0,3181.0,4748.0,9687.0,4122.0,16467.0,33222.0,3036.0,109.0,1441.0,3026.0,448.0,2817.0,1186.0,51.0,627.0,40.0,997.0,1114.0,174.0,671.0,641.0,677.0,678.0,1.0,46.0,65.0,26.0,0.0,2661.0,5179.0,10.0,56.0,947.0,103.0,258.0,190.0,135.0,166.0,8919.0,862.0,16310.0,4220.0,10192.0,19709.0,0.0,1441.0,1075.0,2408.0,135.0,5857.0,384.0,141.0,92.0,130.0,28.0,14.0,185.0,242.0,879.0,9520.0,131.0,785.0,115.0,658.0
hsa-let-7g-3p,5.0,3.0,2.0,6.0,0.0,29.0,0.0,21.0,8.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,24.0,0.0,20.0,27.0,43.0,69.0,88.0,87.0,32.0,0.0,16.0,10.0,12.0,15.0,16.0,3.0,3.0,1.0,19.0,6.0,3.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,50.0,0.0,0.0,2.0,5.0,5.0,19.0,2.0,10.0,39.0,23.0,72.0,38.0,52.0,69.0,0.0,8.0,7.0,6.0,8.0,19.0,1.0,5.0,8.0,2.0,0.0,0.0,5.0,0.0,17.0,59.0,0.0,12.0,3.0,3.0
hsa-let-7g-5p,2475.0,957.0,135.0,298.0,154.0,7931.0,1.0,1719.0,2727.0,1.0,493.0,34.0,54.0,777.0,170.0,564.0,46.0,223.0,3498.0,2007.0,105.0,219.0,111.0,205.0,4963.0,214.0,415.0,375.0,385.0,215.0,147.0,0.0,643.0,13273.0,9936.0,1727.0,13633.0,19816.0,32193.0,19953.0,45910.0,116449.0,18563.0,1449.0,6181.0,7850.0,2395.0,12010.0,3846.0,70.0,2340.0,82.0,2296.0,2726.0,256.0,1497.0,973.0,2196.0,1406.0,0.0,94.0,100.0,164.0,65.0,13913.0,27776.0,97.0,323.0,3433.0,286.0,958.0,1408.0,784.0,1321.0,18251.0,2730.0,58043.0,11457.0,19801.0,70555.0,0.0,3552.0,1816.0,4193.0,734.0,18470.0,2290.0,1161.0,533.0,557.0,185.0,184.0,940.0,880.0,3179.0,32682.0,695.0,1483.0,583.0,2024.0
hsa-let-7i-3p,8.0,9.0,11.0,11.0,4.0,29.0,0.0,18.0,10.0,0.0,2.0,1.0,2.0,6.0,5.0,8.0,0.0,3.0,32.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,0.0,0.0,33.0,55.0,20.0,80.0,96.0,80.0,125.0,177.0,165.0,113.0,5.0,38.0,50.0,5.0,61.0,23.0,1.0,26.0,4.0,19.0,24.0,7.0,14.0,10.0,25.0,11.0,0.0,0.0,0.0,1.0,0.0,135.0,79.0,0.0,3.0,10.0,22.0,11.0,32.0,23.0,21.0,107.0,18.0,166.0,47.0,28.0,108.0,0.0,36.0,11.0,15.0,1.0,64.0,19.0,20.0,8.0,11.0,2.0,2.0,38.0,22.0,60.0,93.0,11.0,17.0,6.0,6.0
hsa-let-7i-5p,4947.0,1085.0,256.0,613.0,356.0,8772.0,33.0,4710.0,1845.0,7.0,472.0,55.0,117.0,668.0,248.0,529.0,10.0,622.0,4030.0,3504.0,45.0,160.0,106.0,243.0,2718.0,242.0,362.0,231.0,281.0,313.0,124.0,3.0,1251.0,11128.0,14468.0,3806.0,18620.0,20421.0,25955.0,26114.0,49319.0,79430.0,29982.0,1351.0,11290.0,9634.0,2085.0,17969.0,5780.0,208.0,3960.0,154.0,3568.0,3791.0,277.0,1585.0,1810.0,5422.0,2065.0,0.0,590.0,179.0,306.0,154.0,15372.0,18787.0,82.0,403.0,2749.0,374.0,1020.0,2643.0,1491.0,2106.0,24560.0,6225.0,77622.0,10588.0,15385.0,63061.0,0.0,2347.0,1515.0,3774.0,1599.0,18225.0,3810.0,1880.0,1211.0,1233.0,429.0,284.0,1739.0,1706.0,6881.0,36032.0,1093.0,1572.0,1174.0,2729.0
hsa-miR-1-3p,58.0,88.0,12.0,42.0,22.0,118.0,4.0,130.0,18.0,2.0,37.0,0.0,4.0,35.0,6.0,45.0,17.0,54.0,138.0,82.0,22.0,19.0,19.0,29.0,122.0,54.0,31.0,24.0,34.0,16.0,19.0,0.0,30.0,151.0,61.0,133.0,161.0,114.0,998.0,278.0,523.0,195.0,218.0,32.0,113.0,377.0,44.0,321.0,135.0,25.0,127.0,19.0,77.0,57.0,38.0,87.0,61.0,106.0,16.0,1.0,27.0,5.0,13.0,20.0,276.0,79.0,17.0,41.0,100.0,127.0,29.0,72.0,63.0,53.0,616.0,125.0,408.0,296.0,665.0,743.0,0.0,54.0,71.0,182.0,70.0,899.0,76.0,177.0,81.0,87.0,59.0,5.0,154.0,65.0,169.0,296.0,45.0,134.0,46.0,59.0
hsa-miR-1-5p,0.0,1.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
