miRNA,SRR29500199,SRR29500200,SRR29500201,SRR29500202,SRR29500203,SRR29500204,SRR29500205,SRR29500206,SRR29500207,SRR29500208,SRR29500209,SRR29500210,SRR29500211,SRR29500212,SRR29500213,SRR29500214,SRR29500215,SRR29500216,SRR29500217,SRR29500218,SRR29500219,SRR29500220,SRR29500221,SRR29500222
hsa-let-7a-2-3p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,538.0,755.0,472.0,318.0,860.0,1546.0,503.0,198.0,397.0,362.0,834.0,0.0,240.0,557.0,599.0,632.0,491.0,272.0,665.0,271.0,636.0,291.0,320.0,466.0
hsa-let-7a-5p,151260.0,140138.0,104590.0,126602.0,317115.0,47717.0,95306.0,67322.0,208270.0,97633.0,161820.0,321.0,30648.0,269615.0,258583.0,168936.0,211475.0,148828.0,131724.0,54594.0,290758.0,80043.0,73078.0,170070.0
hsa-let-7b-3p,106.0,226.0,97.0,223.0,54.0,143.0,61.0,19.0,144.0,80.0,180.0,0.0,55.0,69.0,402.0,115.0,39.0,86.0,163.0,155.0,192.0,100.0,225.0,277.0
hsa-let-7b-5p,41627.0,45422.0,28095.0,55145.0,56719.0,67789.0,44057.0,18059.0,54922.0,28968.0,61520.0,3173.0,13864.0,43582.0,96431.0,42904.0,65913.0,56287.0,54574.0,36108.0,108092.0,42074.0,47509.0,77437.0
hsa-let-7c-3p,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,762.0,1157.0,1775.0,2764.0,1355.0,2303.0,2396.0,504.0,1925.0,615.0,2908.0,6.0,865.0,1359.0,2122.0,3441.0,2839.0,2328.0,2565.0,708.0,5216.0,906.0,1675.0,1764.0
hsa-let-7d-3p,39862.0,14681.0,18497.0,15427.0,35533.0,8449.0,15060.0,10764.0,14760.0,30613.0,25977.0,27.0,16832.0,19578.0,22356.0,14256.0,18954.0,9659.0,23504.0,8556.0,18876.0,10624.0,13984.0,21564.0
hsa-let-7d-5p,30006.0,51428.0,44465.0,24649.0,79534.0,15746.0,33245.0,27500.0,71492.0,32323.0,60082.0,220.0,29540.0,71534.0,72425.0,49007.0,61855.0,60227.0,35070.0,22610.0,60887.0,27702.0,18848.0,60367.0
hsa-let-7e-3p,171.0,42.0,172.0,101.0,145.0,9.0,119.0,33.0,33.0,87.0,187.0,0.0,107.0,77.0,114.0,63.0,16.0,39.0,53.0,26.0,118.0,14.0,164.0,95.0
hsa-let-7e-5p,4394.0,5013.0,5965.0,5928.0,9565.0,850.0,3248.0,2454.0,4693.0,3310.0,6350.0,1.0,2299.0,8065.0,6883.0,3614.0,5673.0,6487.0,4367.0,1718.0,11038.0,1933.0,4383.0,5905.0
hsa-let-7f-1-3p,37.0,55.0,38.0,0.0,62.0,105.0,84.0,3.0,36.0,11.0,75.0,0.0,10.0,33.0,8.0,61.0,21.0,32.0,50.0,30.0,20.0,0.0,0.0,73.0
hsa-let-7f-2-3p,38.0,134.0,24.0,7.0,70.0,131.0,0.0,17.0,21.0,16.0,77.0,0.0,12.0,22.0,38.0,33.0,4.0,21.0,59.0,36.0,49.0,41.0,0.0,0.0
