miRNA,SRR1014667,SRR1014668,SRR1014669
hsa-let-7a-3p,11.28,41.0,24.8
hsa-let-7a-5p,4896.52,1480.11,5646.52
hsa-let-7b-3p,1.36,2.37,1.33
hsa-let-7b-5p,213.6,380.1,383.24
hsa-let-7c-5p,5.47,25.4,3.29
hsa-let-7d-3p,69.41,109.64,109.46
hsa-let-7d-5p,594.72,309.1,938.97
hsa-let-7e-3p,0.05,0.0,0.0
hsa-let-7e-5p,11.18,3.9,14.36
hsa-let-7f-1-3p,5.52,15.61,6.58
hsa-let-7f-2-3p,0.77,2.05,0.57
hsa-let-7f-5p,14345.81,1680.98,10214.18
hsa-let-7g-3p,0.68,3.84,1.33
hsa-let-7g-5p,1802.6,491.35,1481.02
hsa-let-7i-3p,0.44,5.5,4.05
hsa-let-7i-5p,2387.06,358.74,2044.72
hsa-miR-100-5p,1.02,0.38,0.51
hsa-miR-101-2-5p,0.0,0.26,0.0
hsa-miR-101-3p,784.12,381.06,518.39
hsa-miR-101-5p,0.68,0.7,1.08
hsa-miR-10394-3p,0.63,0.58,1.27
hsa-miR-10394-5p,0.0,0.0,0.32
hsa-miR-10395-3p,0.82,0.13,0.32
hsa-miR-10395-5p,0.92,0.0,0.25
hsa-miR-10396b-3p,0.05,0.13,0.0
hsa-miR-10399-3p,0.05,0.06,0.38
hsa-miR-10399-5p,0.05,0.0,0.0
hsa-miR-103a-2-5p,0.24,0.64,0.25
hsa-miR-103a-3p,452.85,1998.58,298.33
hsa-miR-10401-3p,0.39,0.19,0.95
hsa-miR-10524-5p,1.16,0.83,0.06
hsa-miR-10527-5p,0.63,0.38,0.38
hsa-miR-106a-5p,0.68,0.58,2.15
hsa-miR-106b-3p,186.4,370.19,299.41
hsa-miR-106b-5p,120.28,49.83,95.48
hsa-miR-107,369.99,505.16,199.82
hsa-miR-10a-3p,56.15,164.27,99.4
hsa-miR-10a-5p,207247.25,181281.91,170596.27
hsa-miR-10b-3p,0.29,0.13,0.44
hsa-miR-10b-5p,4714.09,4564.38,3460.45
hsa-miR-11399,0.29,0.51,0.19
hsa-miR-1179,0.05,0.0,0.0
hsa-miR-1180-3p,1.79,4.35,3.92
hsa-miR-1180-5p,0.0,0.13,0.0
hsa-miR-12113,0.1,0.0,0.0
hsa-miR-12121,0.05,0.0,0.0
hsa-miR-12131,0.05,0.0,0.0
hsa-miR-12132,0.19,0.19,0.44
hsa-miR-12136,0.82,0.64,0.06
hsa-miR-1226-3p,0.1,2.49,3.42
hsa-miR-1226-5p,0.15,0.13,0.63
hsa-miR-1228-5p,0.05,0.0,0.0
hsa-miR-1229-3p,0.34,0.0,0.44
hsa-miR-1234-3p,0.0,0.58,0.19
hsa-miR-124-3p,0.05,0.13,0.19
hsa-miR-1244,0.19,0.13,0.13
hsa-miR-1246,195.11,387.72,377.8
hsa-miR-1247-5p,0.0,0.0,0.13
hsa-miR-1248,0.19,0.13,0.13
hsa-miR-1249-3p,0.05,0.0,0.0
hsa-miR-1252-5p,0.05,0.0,0.0
hsa-miR-1255a,0.15,0.32,0.13
hsa-miR-1255b-5p,0.34,0.45,0.19
hsa-miR-1256,0.05,0.0,0.0
hsa-miR-125a-5p,0.39,0.19,0.44
hsa-miR-125b-1-3p,0.05,0.06,0.06
hsa-miR-125b-5p,0.1,0.26,0.19
hsa-miR-126-3p,8.28,8.38,12.34
hsa-miR-126-5p,193.85,100.5,245.56
hsa-miR-1260b,0.0,0.26,0.25
hsa-miR-1262,0.77,2.75,1.33
hsa-miR-1264,0.0,0.0,0.06
hsa-miR-1266-5p,2.86,9.21,6.45
hsa-miR-1268a,0.44,0.13,2.02
hsa-miR-1268b,0.15,4.67,1.27
hsa-miR-1269a,0.05,0.77,0.57
hsa-miR-1269b,0.77,1.79,1.01
hsa-miR-127-3p,1.21,1.73,1.27
hsa-miR-1271-5p,0.1,0.0,0.13
hsa-miR-1272,0.05,0.0,0.0
hsa-miR-1273h-5p,0.1,0.0,0.0
hsa-miR-1275,3.53,6.78,1.77
hsa-miR-1276,0.53,2.05,0.89
hsa-miR-1277-3p,0.05,0.0,0.0
hsa-miR-1278,0.19,0.26,0.44
hsa-miR-128-1-5p,0.63,0.9,3.1
hsa-miR-128-3p,4.26,8.32,23.22
hsa-miR-1283,0.05,0.0,0.0
hsa-miR-1284,0.05,0.0,0.0
hsa-miR-1285-3p,3.63,6.2,4.18
hsa-miR-1285-5p,0.63,0.45,0.19
hsa-miR-1286,0.19,0.83,0.51
hsa-miR-1287-5p,0.05,0.0,0.13
hsa-miR-1289,0.15,0.45,0.51
hsa-miR-129-5p,0.19,0.9,0.25
hsa-miR-1291,0.58,0.0,0.0
hsa-miR-1292-5p,0.29,0.26,0.25
