miRNA,SRR18209604,SRR18209605,SRR18209606,SRR18209607,SRR18209608,SRR18209609,SRR18209610,SRR18209611,SRR18209612,SRR18209613,SRR18209614,SRR18209615
hsa-let-7a-3p,0.0,0.0,2.0,0.0,1.79,0.0,0.7,0.0,0.66,0.0,0.66,0.0
hsa-let-7a-5p,2082.89,1850.89,3728.43,1934.05,4100.83,3363.82,4992.75,5212.77,4640.6,3005.88,10673.41,4534.26
hsa-let-7b-3p,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
hsa-let-7b-5p,2380.45,3037.71,5033.94,3240.5,8564.11,4612.61,10586.97,4104.32,11596.56,3040.89,4892.2,9527.75
hsa-let-7c-5p,45.48,38.54,96.04,41.21,80.29,90.61,39.84,32.11,94.61,58.75,107.32,172.75
hsa-let-7d-3p,52.41,103.66,102.54,96.68,139.51,121.65,301.26,101.67,267.99,178.66,131.17,83.81
hsa-let-7d-5p,224.79,314.54,586.23,256.75,570.13,527.71,1096.34,328.71,1157.02,404.0,1584.25,643.96
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.33,0.0,0.0,0.0
hsa-let-7e-5p,61.5,50.5,128.05,35.4,51.59,55.79,104.85,110.84,86.03,91.34,205.69,177.88
hsa-let-7f-5p,1342.68,1368.45,2653.52,1191.81,2802.67,2651.54,3766.06,2192.44,3078.79,2250.19,9100.42,2754.59
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-let-7g-5p,244.28,395.16,499.19,268.9,657.6,553.71,1315.81,682.65,1224.92,528.75,2010.87,360.04
hsa-let-7i-5p,1132.62,1584.2,2725.05,1431.65,3625.35,3518.6,7511.85,1025.89,7947.83,1522.26,6587.74,2006.29
hsa-miR-1-3p,46.78,2.66,11.5,6.34,76.26,131.72,27.96,0.0,14.17,12.07,41.73,32.5
hsa-miR-100-3p,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,4.33,4.87,35.01,20.6,11.66,15.94,10.48,9.94,9.56,13.28,11.92,5.13
hsa-miR-101-3p,36.38,53.16,96.04,43.32,87.92,179.96,292.52,0.76,239.64,45.87,56.64,206.1
hsa-miR-101-5p,0.0,0.89,0.0,1.06,0.9,0.84,1.75,0.0,0.66,0.0,1.32,0.0
hsa-miR-10226,0.0,0.89,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0
hsa-miR-10395-3p,0.43,1.77,0.5,0.0,0.0,0.0,1.05,29.81,0.99,0.4,0.33,6.84
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.42,0.7,0.0,0.0,0.4,0.0,0.0
hsa-miR-10399-3p,2.6,0.44,1.5,0.0,0.0,0.84,1.75,0.0,0.99,0.0,1.32,0.0
hsa-miR-103a-3p,192.31,76.64,394.15,558.4,614.99,278.54,1844.59,408.22,761.46,685.68,458.08,64.99
hsa-miR-10401-3p,1.73,2.22,3.5,2.64,2.24,4.19,3.49,0.0,6.59,5.23,0.66,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.42,1.05,0.0,0.33,0.4,0.33,0.0
hsa-miR-106a-5p,0.0,1.77,0.0,0.0,2.24,1.26,11.53,0.0,13.52,0.8,2.65,0.0
hsa-miR-106b-3p,15.16,96.58,57.52,54.41,113.04,82.22,376.05,0.0,337.55,61.57,87.77,87.23
hsa-miR-106b-5p,0.43,8.86,9.0,5.28,11.66,18.46,46.13,0.0,45.49,4.83,4.31,18.81
hsa-miR-107,3.46,71.77,4.0,117.28,157.9,351.94,29.71,0.0,17.14,282.48,279.55,102.62
hsa-miR-10a-3p,0.0,0.0,4.5,0.0,0.0,0.42,1.4,0.0,0.99,0.0,0.99,0.0
hsa-miR-10a-5p,350.4,163.47,543.71,299.54,379.94,434.16,273.65,310.37,180.31,323.52,554.14,442.99
hsa-miR-10b-3p,0.0,0.44,2.5,0.0,0.9,0.0,0.35,0.0,0.33,0.8,0.33,0.0
hsa-miR-10b-5p,2837.4,638.82,2949.63,2046.05,2234.78,3065.15,1034.48,2006.68,611.14,1438.16,2109.24,2338.11
hsa-miR-11400,0.0,0.0,2.0,0.0,0.0,0.42,0.35,0.0,0.0,1.21,0.33,0.0
hsa-miR-11401,0.0,0.0,0.0,0.0,0.45,0.0,1.05,0.0,1.65,0.4,0.33,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.71
hsa-miR-1180-3p,23.39,51.83,33.01,26.94,34.99,31.88,173.69,0.0,198.77,23.34,21.2,35.06
hsa-miR-1185-1-3p,0.0,0.89,0.0,0.0,1.35,0.0,0.7,0.0,0.99,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.45,0.0,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0
hsa-miR-12136,3.46,1.33,8.5,6.34,3.59,6.29,2.1,0.0,1.32,10.46,5.96,0.0
hsa-miR-122-5p,126.47,575.91,282.11,158.49,567.89,19.72,213.19,254.56,31.64,832.55,69.23,37.63
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.0,0.44,0.0,0.0,0.0,0.42,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,2.57
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.33,0.0
hsa-miR-1245a,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,9.1,7.09,8.5,10.57,4.04,10.07,6.99,0.0,4.29,8.85,0.66,2.57
hsa-miR-1247-5p,0.87,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-miR-1249-3p,0.0,0.89,1.0,1.06,0.9,0.0,0.0,0.0,0.33,0.0,0.99,0.0
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.99,0.0,0.66,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.84,1.4,0.0,0.33,0.4,1.32,3.42
hsa-miR-1255b-5p,0.87,2.66,0.0,2.11,4.04,1.26,4.19,0.0,3.96,0.4,0.99,5.13
hsa-miR-1258,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-125a-3p,6.93,1.33,12.5,3.7,2.24,2.52,7.34,0.0,2.97,8.85,7.62,0.0
hsa-miR-125a-5p,36.38,23.48,76.03,44.38,37.68,41.95,27.96,49.69,24.39,35.81,54.32,45.33
hsa-miR-125b-1-3p,0.0,0.44,0.5,0.0,0.0,0.42,0.35,0.0,0.0,0.8,0.0,0.0
hsa-miR-125b-5p,0.0,0.89,1.0,0.0,0.0,0.42,1.4,0.0,0.0,0.0,0.33,0.86
hsa-miR-126-3p,8.66,8.86,9.0,10.04,6.28,13.0,17.47,0.76,15.16,18.11,26.83,1.71
hsa-miR-126-5p,61.5,89.04,244.09,71.85,97.79,268.89,253.38,68.04,215.25,132.39,284.52,318.99
hsa-miR-1260b,0.0,0.0,2.5,0.0,0.45,0.42,2.45,0.0,0.66,2.01,0.33,0.0
hsa-miR-1262,1.73,0.0,0.0,0.0,1.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.44,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.61,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.53,0.0,2.52,0.35,0.0,0.0,0.4,0.0,0.0
hsa-miR-127-3p,1.3,0.89,1.0,0.0,2.24,0.0,1.75,0.0,0.0,1.21,1.32,0.86
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-1270,1.3,0.0,2.0,1.58,2.69,3.78,2.45,0.0,3.96,2.82,1.66,9.41
hsa-miR-1271-5p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,1.73,3.1,3.0,1.58,4.04,2.94,4.89,78.74,3.3,4.43,8.94,1.71
hsa-miR-1273h-5p,7.8,14.18,6.0,6.34,7.18,7.13,12.23,0.0,8.24,16.1,18.55,5.13
hsa-miR-1275,0.0,0.44,1.0,0.0,0.0,0.0,7.69,0.0,0.99,3.62,0.33,21.38
hsa-miR-1277-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-1277-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,1.33,0.0,0.0,0.0,1.68,0.35,0.0,1.32,0.0,0.99,0.0
hsa-miR-128-3p,4.33,11.96,14.01,13.21,8.97,12.58,55.57,0.0,51.09,23.34,20.2,22.24
hsa-miR-1285-3p,0.0,0.44,0.5,0.0,0.0,0.0,4.54,0.0,2.97,0.4,0.33,0.0
hsa-miR-1285-5p,2.6,2.22,0.0,2.64,1.35,0.42,0.7,0.0,1.32,4.02,0.66,0.0
hsa-miR-1287-5p,0.0,2.66,6.5,2.64,0.9,2.52,8.04,0.0,7.25,0.0,1.99,1.71
hsa-miR-1288-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0
hsa-miR-1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0
hsa-miR-129-5p,0.0,1.77,0.0,0.0,0.0,1.26,1.05,0.0,0.33,0.4,0.66,0.0
hsa-miR-1291,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1292-5p,8.23,7.09,7.0,5.28,2.24,0.42,9.79,0.0,17.8,2.41,2.65,5.13
hsa-miR-1294,3.9,7.09,18.51,4.75,6.73,7.13,20.27,0.0,39.23,2.82,3.64,7.7
hsa-miR-1295a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,0.0,0.89,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.4,0.33,0.0
hsa-miR-1299,0.87,2.22,3.0,0.0,3.59,1.26,22.72,46.63,14.5,2.82,22.85,0.0
hsa-miR-1301-3p,0.0,1.33,1.0,0.0,0.0,0.42,1.05,0.0,0.0,0.0,0.99,1.71
hsa-miR-1302,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1303,0.0,2.66,0.5,0.0,2.24,3.78,5.24,0.0,6.92,2.41,0.66,0.0
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,3.15,0.0,0.99,1.61,10.93,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-1306-3p,0.0,3.54,1.0,0.0,1.35,1.68,8.74,0.0,4.61,0.8,1.99,0.0
hsa-miR-1306-5p,2.6,2.22,5.0,5.81,3.59,4.19,3.15,0.0,4.29,3.22,0.0,2.57
hsa-miR-1307-3p,42.45,116.51,68.53,50.19,42.61,53.69,146.09,38.22,125.59,181.88,139.78,58.15
hsa-miR-1307-5p,3.9,1.33,2.0,0.0,0.9,1.26,2.45,0.0,3.96,4.83,2.98,2.57
hsa-miR-130a-3p,29.02,41.2,63.02,41.21,36.33,46.56,148.53,101.67,135.81,46.68,78.17,17.1
hsa-miR-130b-3p,38.55,49.62,71.53,31.7,42.17,72.15,213.54,34.4,167.45,55.53,55.98,29.93
hsa-miR-130b-5p,0.0,1.77,1.0,3.17,0.9,2.52,2.1,0.0,3.3,0.4,3.97,0.0
hsa-miR-132-3p,5.2,0.89,1.0,1.06,3.59,7.13,6.29,0.76,13.84,4.43,2.65,2.57
hsa-miR-132-5p,0.0,0.0,0.0,0.0,0.0,5.45,0.0,0.0,0.99,0.0,0.0,0.0
hsa-miR-133a-3p,10.83,0.0,2.0,2.11,12.56,19.3,1.4,0.0,1.65,3.22,4.97,1.71
hsa-miR-134-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-miR-134-5p,55.87,100.56,32.51,13.21,48.0,46.98,38.79,162.06,21.76,29.78,68.89,8.55
hsa-miR-1343-3p,0.0,0.0,1.0,0.0,0.9,0.0,0.0,0.0,0.0,0.8,0.99,0.0
hsa-miR-135a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,1.21,1.32,0.0
hsa-miR-136-5p,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-139-3p,19.06,28.8,19.01,19.55,8.97,22.65,18.87,0.0,15.82,37.02,33.12,18.81
hsa-miR-139-5p,0.0,1.33,2.0,2.11,0.9,1.26,1.4,0.0,0.33,3.22,1.32,0.0
hsa-miR-140-3p,79.26,149.74,115.54,111.47,115.28,182.89,751.39,58.86,579.83,124.34,97.05,179.59
hsa-miR-140-5p,0.0,3.54,0.0,0.53,0.0,2.1,3.84,0.0,4.94,1.61,6.62,0.0
