miRNA,SRR10133040
hsa-miR-451a,14874
hsa-miR-122-5p,8451
hsa-miR-15a-5p,3403
hsa-miR-21-5p,2828
hsa-miR-92a-3p,1116
hsa-miR-19b-3p,2194
hsa-miR-144-3p,1159
hsa-miR-16-5p,2046
hsa-let-7f-5p,1102
hsa-miR-26a-5p,913
hsa-miR-22-3p,682
hsa-let-7a-5p,1070
hsa-let-7g-5p,921
hsa-miR-30c-5p,930
hsa-miR-30b-5p,619
hsa-miR-27a-3p,791
hsa-miR-23a-3p,1542
hsa-miR-19a-3p,870
hsa-miR-103a-3p,660
hsa-miR-130a-3p,398
hsa-miR-486-5p,331
hsa-miR-145-5p,759
hsa-miR-101-3p,924
hsa-miR-23b-3p,508
hsa-miR-423-5p,612
hsa-let-7c-5p,439
hsa-miR-484,535
hsa-miR-30a-5p,484
hsa-miR-30d-5p,455
hsa-miR-26b-5p,305
hsa-let-7i-5p,289
hsa-miR-223-3p,676
hsa-miR-148a-3p,505
hsa-miR-126-5p,208
hsa-miR-126-3p,313
hsa-miR-30e-5p,385
hsa-miR-320a-3p,205
hsa-miR-146a-5p,174
hsa-let-7b-5p,416
hsa-miR-221-3p,227
hsa-miR-424-5p,152
hsa-miR-194-5p,293
hsa-miR-125a-5p,175
hsa-miR-122-3p,217
hsa-miR-25-3p,179
hsa-miR-203a-3p,201
hsa-miR-122b-3p,208
hsa-miR-29a-3p,185
hsa-miR-31-5p,136
hsa-miR-15b-5p,130
hsa-miR-185-5p,135
hsa-miR-139-5p,106
hsa-miR-10a-5p,97
hsa-let-7d-5p,164
hsa-miR-27b-3p,175
hsa-miR-802,142
hsa-miR-29b-3p,124
hsa-miR-125b-5p,103
hsa-miR-199a-3p,71
hsa-miR-205-5p,118
hsa-miR-16-2-3p,96
hsa-miR-192-5p,185
hsa-miR-660-5p,131
hsa-miR-191-5p,192
hsa-let-7e-5p,67
hsa-miR-34a-5p,80
hsa-miR-143-3p,96
hsa-miR-20a-5p,92
hsa-miR-93-5p,80
hsa-miR-24-3p,119
hsa-miR-106b-5p,130
hsa-let-7d-3p,113
hsa-miR-151a-5p,55
hsa-miR-365a-3p,37
hsa-miR-128-3p,52
hsa-miR-142-3p,193
hsa-miR-140-3p,106
hsa-miR-222-3p,40
hsa-miR-32-5p,60
hsa-miR-142-5p,65
hsa-miR-15b-3p,57
hsa-miR-3615,49
hsa-miR-9985,38
hsa-miR-423-3p,31
hsa-miR-200a-3p,44
hsa-miR-148b-3p,54
hsa-miR-652-3p,32
hsa-miR-340-5p,61
hsa-miR-22-5p,45
hsa-miR-197-3p,34
