miRNA,SRR13055104,SRR13055105,SRR13055106
hsa-let-7a-2-3p,0.62,0.0,0.0
hsa-let-7a-3p,3.72,0.0,0.0
hsa-let-7a-5p,89.84,344.85,5.1
hsa-let-7b-5p,1217.54,1687.32,14.78
hsa-let-7c-3p,0.0,0.31,0.0
hsa-let-7c-5p,1.24,33.95,0.0
hsa-let-7d-5p,0.62,0.16,0.0
hsa-let-7e-5p,10.53,0.0,0.0
hsa-let-7f-5p,13.01,5.82,0.0
hsa-let-7g-5p,10.53,0.79,0.0
hsa-let-7i-5p,11.77,2.67,0.0
hsa-miR-1-3p,5.58,0.16,0.0
hsa-miR-100-3p,1.86,0.0,0.0
hsa-miR-100-5p,38.42,1.41,0.0
hsa-miR-101-3p,798.06,17.6,1.02
hsa-miR-10396b-3p,0.0,0.16,0.51
hsa-miR-103a-3p,3875.06,107.35,25.48
hsa-miR-105-5p,0.0,11.63,0.0
hsa-miR-10526-3p,1.86,0.0,0.0
hsa-miR-107,141.89,4.4,0.0
hsa-miR-10a-3p,1.86,0.0,0.0
hsa-miR-10a-5p,70.02,0.63,1.02
hsa-miR-1178-5p,0.0,0.0,0.51
hsa-miR-12136,3.1,0.16,0.0
hsa-miR-1229-3p,0.0,0.31,0.0
hsa-miR-1236-5p,0.62,0.0,0.0
hsa-miR-1246,0.0,1.57,0.0
hsa-miR-1255b-5p,1.24,0.0,0.0
hsa-miR-125a-5p,26.64,1.89,0.0
hsa-miR-125b-2-3p,0.0,0.16,0.0
hsa-miR-125b-5p,79.93,19.96,0.0
hsa-miR-126-3p,0.0,0.0,0.51
hsa-miR-1269a,86.13,0.0,0.0
hsa-miR-1269b,0.0,5.82,0.0
hsa-miR-127-3p,0.0,0.0,1.02
hsa-miR-1273h-5p,0.0,0.16,0.0
hsa-miR-128-3p,1.86,0.16,0.0
hsa-miR-1285-5p,0.0,0.47,0.0
hsa-miR-1307-3p,17.35,47.47,9.17
hsa-miR-135b-3p,2.48,0.0,0.0
hsa-miR-136-5p,0.62,0.0,0.0
hsa-miR-139-3p,0.0,0.63,0.0
hsa-miR-140-3p,0.0,0.16,0.0
hsa-miR-140-5p,6.2,0.47,0.0
