miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-4707-3p,0.0,0.46,0.1,0.0,0.1,0.0,0.0,0.57,1.3,0.0
hsa-miR-4708-3p,0.22,0.09,0.0,0.24,0.0,0.93,0.42,0.57,0.13,0.87
hsa-miR-4708-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.13,0.12
hsa-miR-4709-3p,0.22,0.18,0.0,0.0,0.0,0.0,0.17,1.0,0.13,0.0
hsa-miR-4709-5p,0.11,0.18,0.0,0.12,0.1,0.08,0.25,0.28,0.0,0.12
hsa-miR-4710,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.0
hsa-miR-4711-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4712-3p,0.0,0.0,0.0,0.0,0.1,0.17,0.08,0.0,0.0,0.0
hsa-miR-4713-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.14,0.0,0.0
hsa-miR-4713-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.0
hsa-miR-4714-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-4714-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-4717-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4717-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4723-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4723-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4724-5p,0.43,0.46,0.0,0.0,0.3,0.59,1.42,1.71,0.91,0.37
hsa-miR-4725-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.12
hsa-miR-4727-3p,0.11,0.0,0.0,0.0,0.0,0.25,0.33,0.14,0.0,0.62
hsa-miR-4727-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-3p,0.76,0.55,0.1,0.24,0.4,3.28,4.84,3.13,0.39,0.99
hsa-miR-4728-5p,0.11,0.09,0.0,0.0,0.2,0.17,0.17,0.0,0.13,0.12
hsa-miR-4729,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.43,0.0,0.0
hsa-miR-4730,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4731-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-4731-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.25,0.0,0.0,0.5
hsa-miR-4732-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.13,0.0
hsa-miR-4732-5p,0.0,0.09,0.1,0.0,1.2,0.0,0.25,0.14,0.39,0.62
hsa-miR-4734,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4735-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4738-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.33,0.0,0.0,0.0
hsa-miR-4741,0.0,0.27,0.0,0.0,0.4,0.08,0.42,0.28,0.13,0.12
hsa-miR-4742-3p,0.76,0.46,0.1,0.24,0.0,1.51,0.92,0.14,0.52,0.75
hsa-miR-4743-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.14,0.13,0.37
hsa-miR-4744,0.11,0.09,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.12
hsa-miR-4745-3p,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4745-5p,0.0,0.09,0.0,0.0,0.2,0.17,0.25,0.14,0.0,0.75
hsa-miR-4746-5p,0.33,0.37,0.29,0.12,0.4,0.42,0.42,0.14,0.91,0.75
hsa-miR-4749-5p,0.0,0.18,0.0,0.0,0.0,0.08,0.25,0.0,0.0,0.0
hsa-miR-4750-5p,0.0,0.18,0.0,0.0,0.2,0.08,0.08,0.28,0.52,0.62
hsa-miR-4751,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4753-3p,0.0,0.0,0.0,0.0,0.1,0.08,0.33,0.14,0.13,0.0
hsa-miR-4753-5p,0.11,0.0,0.0,0.12,0.1,0.0,0.17,0.14,0.13,0.5
hsa-miR-4754,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.12
hsa-miR-4755-3p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4755-5p,0.0,0.09,0.29,0.0,0.0,0.84,0.17,1.57,0.26,0.37
hsa-miR-4757-3p,0.0,0.0,0.1,0.0,0.0,0.34,0.17,0.28,0.0,0.12
hsa-miR-4757-5p,0.11,0.0,0.0,0.0,0.1,0.59,0.25,0.0,0.0,0.62
hsa-miR-4758-3p,0.0,0.09,0.0,0.0,0.0,0.08,0.5,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4760-5p,0.0,0.09,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0
hsa-miR-4761-3p,0.0,0.0,0.0,0.0,0.1,0.17,0.33,0.0,0.13,0.0
hsa-miR-4762-3p,0.0,0.0,0.0,0.12,0.1,0.25,0.17,0.14,0.0,0.25
hsa-miR-4763-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4765,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.12
hsa-miR-4768-3p,0.0,0.09,0.1,0.0,0.0,0.08,0.0,0.28,0.0,0.0
hsa-miR-4768-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
hsa-miR-4772-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.13,0.0
hsa-miR-4774-5p,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4775,0.65,0.55,1.26,1.41,3.3,3.53,0.58,1.0,5.73,9.07
hsa-miR-4778-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4781-3p,0.0,0.09,0.0,0.0,0.1,0.25,0.08,0.0,0.0,0.25
hsa-miR-4781-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-4782-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.43,0.39,0.0
hsa-miR-4783-3p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-4785,0.0,0.18,0.0,0.12,0.2,0.08,0.25,0.28,0.0,0.12
hsa-miR-4786-5p,0.22,0.09,0.0,0.0,0.0,0.08,0.08,0.14,0.0,0.0
hsa-miR-4787-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12
hsa-miR-4788,0.11,0.0,0.0,0.0,0.0,0.42,0.17,0.28,0.0,0.0
hsa-miR-4789-5p,0.11,0.0,0.0,0.12,0.0,0.59,0.0,0.28,0.13,0.0
hsa-miR-4791,0.0,0.18,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-4795-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-4796-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
hsa-miR-4797-3p,0.0,0.0,0.0,0.12,0.0,0.0,0.17,0.0,0.0,0.37
hsa-miR-4797-5p,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.28,0.0,0.62
hsa-miR-4798-5p,0.0,0.0,0.1,0.0,0.1,0.08,0.0,0.28,0.13,0.0
hsa-miR-4800-3p,0.43,0.46,0.0,0.0,0.0,2.86,2.17,0.43,0.26,0.37
hsa-miR-4800-5p,0.65,2.84,0.29,0.71,0.9,1.77,4.67,5.7,1.69,2.98
hsa-miR-4802-3p,0.0,0.0,0.0,0.12,0.1,0.17,0.08,0.14,0.13,0.0
hsa-miR-4802-5p,0.22,0.0,0.19,0.0,0.0,0.0,0.08,0.14,0.26,0.12
hsa-miR-4803,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.14,0.0,0.0
hsa-miR-4804-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.25
hsa-miR-4804-5p,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-3p,62.48,28.84,86.05,96.0,637.19,210.97,422.94,462.58,580.51,709.28
hsa-miR-483-5p,67.58,106.01,68.33,48.53,873.44,164.96,384.01,517.71,407.1,563.23
hsa-miR-484,21.04,14.56,20.42,19.32,77.78,83.2,130.64,144.17,136.18,125.93
hsa-miR-485-3p,0.43,0.18,0.68,1.06,3.2,0.84,0.58,0.0,1.82,6.33
hsa-miR-485-5p,7.48,27.1,10.74,9.89,135.25,50.39,81.12,142.46,107.8,180.33
hsa-miR-486-3p,0.0,0.37,0.1,0.47,3.6,0.42,0.75,0.28,0.39,5.96
hsa-miR-486-5p,9.55,10.53,0.0,28.04,99.51,0.5,47.61,20.8,61.19,1.86
hsa-miR-487a-3p,1.84,1.56,2.32,7.77,9.01,2.19,2.33,5.13,7.94,11.05
hsa-miR-487a-5p,1.95,1.46,1.36,2.36,9.31,14.05,19.26,20.23,8.07,19.0
hsa-miR-487b-3p,22.89,24.17,30.49,46.18,139.75,17.83,26.43,53.85,94.52,99.23
hsa-miR-487b-5p,0.33,0.18,0.1,0.0,1.5,2.86,2.67,4.13,1.04,2.61
hsa-miR-488-3p,0.0,0.0,0.0,0.24,0.1,0.0,0.08,0.28,0.13,0.12
hsa-miR-488-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-489-3p,2.6,0.37,1.36,1.06,0.6,5.05,3.58,2.14,1.43,5.71
hsa-miR-490-3p,1.95,0.64,1.26,0.71,8.71,0.76,3.08,2.28,5.99,5.46
hsa-miR-490-5p,0.87,0.37,1.55,0.24,16.52,1.51,4.84,7.69,22.52,5.84
hsa-miR-491-3p,0.0,0.0,0.0,0.0,0.3,0.0,0.25,0.14,0.13,0.5
hsa-miR-491-5p,0.22,0.46,0.19,0.24,0.5,0.17,0.75,0.14,0.52,0.37
hsa-miR-493-3p,141.67,329.65,73.08,150.54,396.23,52.24,113.55,192.47,125.5,485.48
hsa-miR-493-5p,219.01,465.77,260.75,348.32,900.07,262.46,330.74,706.19,925.12,1287.41
hsa-miR-494-3p,17.03,15.1,18.2,24.97,30.83,12.62,27.01,37.04,25.39,44.46
hsa-miR-494-5p,0.0,0.09,0.0,0.12,1.0,0.25,0.17,1.14,0.13,0.75
hsa-miR-495-3p,291.26,752.48,622.56,924.23,2974.5,621.48,1468.51,1423.64,3491.02,8406.17
hsa-miR-495-5p,0.0,0.0,0.19,0.0,0.6,0.0,0.08,0.0,0.52,0.0
hsa-miR-496,0.87,1.1,3.48,4.48,39.14,4.79,6.42,11.54,74.73,33.28
hsa-miR-497-5p,0.33,0.0,0.29,0.24,0.5,1.09,0.83,0.57,0.26,0.87
hsa-miR-498-3p,4.77,1.83,10.16,3.65,4.5,5.3,4.09,5.98,13.28,4.97
hsa-miR-498-5p,186.04,146.56,311.86,310.75,490.53,359.11,288.63,427.68,1042.94,368.86
hsa-miR-4999-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.13,0.0
hsa-miR-4999-5p,0.43,0.09,0.0,0.24,0.0,2.36,1.25,0.43,0.13,0.87
hsa-miR-499a-5p,14.43,0.09,6.0,5.07,3.7,54.59,11.17,20.37,24.22,0.5
hsa-miR-499b-5p,0.0,0.0,0.19,0.0,0.2,0.0,0.0,0.71,0.39,0.0
hsa-miR-5000-3p,0.11,0.18,0.0,0.0,0.2,0.0,0.17,0.0,0.26,0.0
hsa-miR-5001-3p,0.11,0.0,0.0,0.0,0.1,0.0,0.42,0.14,0.13,0.0
hsa-miR-5001-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-5002-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-5004-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.25
hsa-miR-5004-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-5006-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-5009-5p,0.11,0.09,0.0,0.0,0.1,0.08,0.0,0.0,0.0,0.0
hsa-miR-500a-3p,59.55,118.27,29.04,31.22,169.68,215.43,263.62,262.85,167.55,172.76
hsa-miR-500a-5p,1.41,0.18,0.77,0.82,2.1,1.43,1.33,0.85,2.99,0.75
hsa-miR-500b-3p,0.22,0.46,0.19,0.0,0.5,0.93,0.75,1.85,0.39,0.5
hsa-miR-500b-5p,0.98,0.18,0.58,1.18,0.8,1.6,2.5,0.71,6.64,3.97
hsa-miR-501-3p,22.24,33.23,18.1,12.84,43.05,134.17,179.42,287.63,108.58,71.41
hsa-miR-501-5p,1.41,0.46,0.58,0.71,1.3,0.84,1.25,0.85,1.69,1.12
hsa-miR-5010-3p,0.11,0.09,0.1,0.0,0.0,0.08,0.5,0.14,0.26,0.5
hsa-miR-5010-5p,0.0,0.09,0.1,0.12,0.9,0.0,0.25,0.71,1.43,0.75
hsa-miR-502-3p,11.61,7.51,64.46,9.31,64.67,59.98,83.96,777.43,513.6,41.61
hsa-miR-502-5p,0.22,0.18,0.48,0.24,0.0,0.0,0.0,0.0,0.13,0.25
hsa-miR-503-3p,6.07,2.65,3.0,2.83,1.8,3.7,4.25,3.42,1.56,5.09
hsa-miR-503-5p,122.58,154.98,88.18,150.54,313.94,497.24,693.74,824.72,517.5,1119.75
hsa-miR-504-3p,0.0,0.0,0.1,0.24,0.3,0.0,0.0,0.28,0.13,0.5
hsa-miR-504-5p,0.76,1.65,0.48,0.94,3.0,15.31,4.67,4.7,2.21,17.39
hsa-miR-505-3p,2.71,1.65,0.97,1.18,3.9,3.79,8.92,6.41,4.69,3.35
hsa-miR-505-5p,0.22,0.18,0.29,0.12,0.2,0.0,0.5,0.57,0.39,0.75
hsa-miR-506-3p,0.43,0.37,0.19,0.12,0.6,1.01,1.75,0.85,0.65,3.1
hsa-miR-506-5p,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-508-3p,0.43,0.73,0.19,0.0,0.0,3.28,5.34,3.7,0.52,2.11
hsa-miR-508-5p,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.0,0.0
hsa-miR-5088-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.25
hsa-miR-5089-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-509-3-5p,2.93,5.13,2.03,2.71,5.91,7.99,7.75,11.82,8.72,16.39
hsa-miR-509-3p,2.6,2.29,0.87,0.47,1.4,7.91,15.17,20.09,3.38,11.67
hsa-miR-509-5p,0.22,0.0,0.1,0.12,0.0,0.08,0.08,0.14,0.13,0.12
hsa-miR-5091,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-5094,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.14,0.26,0.0
hsa-miR-510-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-511-3p,0.11,0.64,0.87,0.47,2.1,3.7,0.5,3.85,3.12,3.73
hsa-miR-511-5p,8.9,18.67,1.94,3.53,16.92,435.24,158.57,177.65,5.99,188.78
hsa-miR-512-3p,2017.56,1206.99,2614.99,1304.48,11178.33,5541.28,13536.4,15708.78,13695.5,11181.94
hsa-miR-512-5p,68.01,30.39,459.27,104.6,1358.96,73.52,163.83,314.13,3716.12,312.48
hsa-miR-513a-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-513a-5p,0.0,0.0,0.0,0.0,0.1,0.08,0.0,0.0,0.13,0.0
hsa-miR-513b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
hsa-miR-513c-5p,0.0,0.0,0.0,0.0,0.6,0.42,0.42,0.14,0.39,0.25
hsa-miR-514a-3p,37.32,15.65,8.81,31.33,9.61,46.18,10.17,7.12,13.8,52.29
hsa-miR-514a-5p,0.0,0.09,0.19,0.0,0.3,0.08,0.08,0.14,0.0,0.0
hsa-miR-514b-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-515-3p,28.64,47.6,38.72,19.2,98.01,37.18,68.7,456.17,432.49,37.51
hsa-miR-515-5p,440.31,137.59,1100.9,288.13,1691.62,390.4,497.31,1134.16,8116.38,556.15
hsa-miR-516a-3p,14.1,2.11,4.16,3.18,18.62,5.05,2.75,11.54,20.83,13.04
hsa-miR-516a-5p,4624.69,1806.33,5413.98,2399.17,6036.8,4874.28,4889.59,4444.02,25994.59,6381.41
hsa-miR-516b-3p,0.54,2.01,2.13,1.41,14.82,1.35,6.42,3.85,0.39,5.84
hsa-miR-516b-5p,36881.45,57177.81,23590.37,12829.0,52905.55,22222.22,68182.33,44486.92,137201.32,78536.78
hsa-miR-517-5p,205.24,395.74,109.37,108.02,298.32,735.38,948.27,1215.93,1430.78,884.4
hsa-miR-517a-3p,7222.06,423.48,9562.52,7238.02,4243.37,39388.87,12198.04,42300.81,375.47,8190.57
hsa-miR-517b-3p,1970.59,6999.92,965.29,430.19,15093.05,14175.92,42783.71,15513.46,58384.46,31931.29
hsa-miR-517c-3p,859.9,537.63,1356.42,778.05,2195.26,3662.44,3088.59,5551.53,7399.3,2485.65
hsa-miR-5187-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0
hsa-miR-5187-5p,0.0,0.09,0.0,0.0,0.1,0.0,0.17,0.0,0.13,0.12
hsa-miR-5189-3p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.25
hsa-miR-5189-5p,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-518a-3p,1138.14,1179.26,968.97,761.79,1850.69,190.79,316.48,542.22,2134.84,780.82
hsa-miR-518a-5p,28.96,17.12,24.39,18.49,38.14,77.48,105.97,232.79,265.59,46.45
hsa-miR-518b,1394.9,588.53,1163.91,749.19,1537.66,710.48,624.87,407.73,2617.84,1692.41
hsa-miR-518c-3p,1504.14,560.79,1221.3,860.51,1393.5,795.86,556.76,438.93,2622.92,1478.67
hsa-miR-518c-5p,302.32,328.46,159.99,122.98,422.55,908.92,1333.2,1190.14,638.19,830.87
hsa-miR-518d-3p,27.01,20.05,16.45,13.78,33.04,35.33,51.19,112.69,57.15,39.49
hsa-miR-518d-5p,9.87,2866.48,30.68,962.16,3256.61,209.29,8.59,2165.45,8.85,190.39
hsa-miR-518e-3p,1372.88,1304.3,1602.56,1024.24,5144.84,735.38,1940.06,2782.6,9205.15,2170.32
hsa-miR-518e-5p,185.17,179.79,2138.39,0.35,15.82,168.58,3848.77,2153.63,14534.96,14858.75
hsa-miR-518f-3p,500.73,210.73,322.51,289.78,406.74,135.43,138.9,88.61,403.59,372.96
hsa-miR-518f-5p,36.88,30.03,923.96,27.56,101.01,8331.81,9809.35,15514.75,719.69,67.19
hsa-miR-5191,0.0,0.0,0.0,0.0,0.1,0.17,0.42,0.0,0.26,0.62
hsa-miR-5193,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-519a-2-5p,20.61,9.25,26.13,53.13,15.52,65.78,94.21,134.06,409.31,51.29
hsa-miR-519a-3p,727.77,344.75,939.84,486.62,1631.96,3018.75,2615.71,4265.51,3907.89,1833.0
hsa-miR-519a-5p,1162.44,976.76,813.81,2273.24,7991.7,1646.24,5023.15,31880.29,3931.06,2420.94
hsa-miR-519b-3p,48.16,25.08,102.4,55.72,229.05,141.32,102.46,161.27,445.77,200.45
hsa-miR-519b-5p,5.32,559.42,101.24,181.88,931.8,1809.94,24791.51,10.54,11.85,104.45
hsa-miR-519c-3p,20.39,13.46,26.91,17.43,73.88,80.17,46.52,95.17,91.13,83.96
hsa-miR-519c-5p,685.03,1.01,31.75,5.89,49.85,15212.2,304.72,9.4,25.39,629.92
hsa-miR-519d-3p,2071.04,1334.97,2478.61,1414.27,3040.17,958.13,1742.39,947.1,10569.66,3207.97
hsa-miR-519d-5p,15.08,6.22,15.2,8.95,14.82,20.36,30.1,29.21,52.73,27.57
hsa-miR-519e-3p,12.37,5.95,14.23,10.01,12.81,11.78,10.75,13.82,73.56,15.65
hsa-miR-519e-5p,12.15,4.21,49.27,15.43,143.65,20.19,25.68,56.99,475.06,42.72
hsa-miR-520a-3p,1707.86,2176.89,2786.31,933.66,6236.31,4069.5,7916.81,12190.07,17486.61,4982.23
hsa-miR-520a-5p,570.48,316.74,655.95,336.66,1411.12,2872.38,3140.61,4004.38,4420.7,2289.17
hsa-miR-520b-3p,10.74,8.51,4.07,3.06,6.81,1.35,2.25,1.99,6.25,1.86
hsa-miR-520b-5p,64.44,32.22,62.91,0.35,83.59,77.56,126.39,198.31,32.03,87.93
hsa-miR-520c-3p,19.96,14.19,42.2,37.46,127.34,19.52,26.68,54.56,114.44,78.24
hsa-miR-520c-5p,42.09,4.67,92.73,39.34,9.41,1221.43,299.47,5.7,106.49,6.46
hsa-miR-520d-3p,204.04,104.82,118.47,160.44,578.62,332.02,535.41,462.3,449.28,1036.16
hsa-miR-520d-5p,158.59,139.42,238.2,146.42,459.9,843.73,335.9,1212.51,1740.5,447.1
hsa-miR-520e-3p,4.99,3.75,5.52,2.94,26.53,1.26,3.08,10.83,19.4,10.18
hsa-miR-520e-5p,9.65,3.02,10.94,4.12,14.02,22.12,15.92,27.78,52.73,13.16
hsa-miR-520f-3p,80.71,57.49,132.51,106.02,687.14,206.35,281.71,376.25,543.54,730.64
hsa-miR-520f-5p,5.64,3.84,5.03,3.06,6.21,23.05,21.43,37.47,21.74,12.3
hsa-miR-520g-3p,1592.76,1008.71,1640.12,999.39,1233.93,384.43,413.94,424.83,4585.52,973.44
hsa-miR-520g-5p,73.87,18.03,52.07,28.04,60.36,69.15,37.02,44.88,128.37,41.11
hsa-miR-520h,90.69,75.52,111.7,102.37,460.9,61.16,144.48,101.43,170.68,260.07
hsa-miR-521,164.88,105.92,121.86,86.93,229.75,126.85,194.76,210.42,629.98,158.72
hsa-miR-522-3p,1595.8,1470.82,2100.45,1211.54,8443.59,10937.44,25994.31,13272.08,22614.49,25249.94
hsa-miR-522-5p,3508.46,42.93,3.58,105.9,24.33,242.69,79.79,2045.78,52.6,1607.46
hsa-miR-523-3p,621.03,310.15,433.82,234.3,370.4,369.12,738.51,337.5,1413.33,479.02
hsa-miR-523-5p,5.75,5257.4,12.0,69.62,61.37,100.69,7.5,50.57,6.38,93.15
hsa-miR-524-3p,95.89,74.79,277.89,83.87,159.37,67.21,151.49,285.78,1914.04,99.23
hsa-miR-524-5p,280.52,157.55,271.59,194.13,417.75,2499.73,1077.83,2054.47,1374.15,690.78
hsa-miR-525-3p,42.74,13.82,41.91,25.33,55.16,36.76,55.78,48.3,194.11,54.52
hsa-miR-525-5p,614.95,395.74,525.96,413.0,1458.47,4306.55,5008.81,4239.3,3826.0,3853.17
hsa-miR-526a-3p,21.8,28.65,20.33,28.74,11.81,2.1,3.42,6.13,17.18,18.13
hsa-miR-526a-5p,2140.68,456.16,21.68,18.02,227.44,46.43,2178.59,89.04,6327.06,5977.65
hsa-miR-526b-3p,35.47,2.75,9.68,11.9,29.73,7.15,6.92,3.85,21.74,20.37
hsa-miR-526b-5p,667.57,238.74,485.99,367.05,580.93,1248.69,1630.5,848.66,961.32,1288.03
hsa-miR-527,8.14,13.27,5.52,1.3,47.55,35.84,6.67,87.33,3.91,8.57
hsa-miR-532-3p,4.56,2.2,2.71,3.18,5.51,9.59,12.09,11.4,7.29,18.51
hsa-miR-532-5p,350.71,466.23,313.31,175.05,378.81,867.96,732.34,1273.2,1886.57,1074.04
hsa-miR-539-3p,1.08,0.92,2.13,4.01,5.91,1.26,0.75,2.85,3.38,3.35
hsa-miR-539-5p,2.28,3.02,2.03,2.94,13.11,2.61,3.08,6.7,5.99,15.9
hsa-miR-541-3p,0.11,0.82,0.19,0.71,4.71,0.5,1.67,1.0,4.3,9.94
hsa-miR-541-5p,0.22,0.0,0.1,0.0,0.7,0.17,1.08,0.85,0.52,0.75
hsa-miR-542-3p,42.74,52.55,23.13,32.16,38.44,150.49,52.86,147.31,60.28,90.54
hsa-miR-542-5p,0.54,0.37,0.29,0.47,0.9,0.67,1.33,1.14,0.39,1.99
hsa-miR-543,37.64,39.09,19.16,53.48,142.35,458.88,305.31,107.56,61.45,1231.03
hsa-miR-544a,0.11,0.0,0.1,0.0,0.5,0.08,0.0,0.14,0.39,0.0
hsa-miR-544b,0.0,0.0,0.0,0.0,0.0,0.42,0.17,0.0,0.0,0.0
hsa-miR-545-3p,0.11,0.09,0.1,0.12,0.0,0.34,0.0,0.14,0.13,0.25
hsa-miR-545-5p,0.11,0.0,0.1,0.12,0.1,0.08,0.0,0.0,0.0,0.0
hsa-miR-548a-3p,0.0,0.0,0.0,0.0,0.3,0.08,0.0,0.0,0.13,0.25
hsa-miR-548a-5p,0.0,0.09,0.0,0.12,0.0,0.67,0.17,0.28,0.26,0.25
hsa-miR-548aa,0.0,0.0,0.1,0.0,0.0,0.0,0.08,0.0,0.13,0.0
hsa-miR-548ab,0.0,0.0,0.19,0.35,0.4,0.34,0.17,0.0,0.65,0.25
hsa-miR-548ac,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-548ad-5p,0.11,0.0,0.19,0.35,0.2,0.76,0.08,0.28,0.13,0.25
hsa-miR-548ae-3p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
hsa-miR-548ae-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,1.14,0.13,0.0
hsa-miR-548ag,0.11,0.0,0.0,0.0,0.0,0.08,0.0,0.28,0.0,0.0
hsa-miR-548ah-3p,0.22,1.92,0.48,0.82,0.7,0.08,0.08,1.0,0.39,0.0
hsa-miR-548ai,0.33,0.18,0.1,0.0,0.3,0.84,0.08,1.0,0.52,0.12
hsa-miR-548aj-3p,0.11,0.0,0.0,0.24,0.2,0.0,0.0,0.14,0.0,0.0
hsa-miR-548aj-5p,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ak,0.0,0.0,0.29,0.0,0.2,0.0,0.08,0.14,0.52,0.0
hsa-miR-548al,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0
hsa-miR-548am-3p,0.0,0.09,0.1,0.0,0.3,0.0,0.0,0.14,0.65,0.37
hsa-miR-548an,0.0,0.09,0.0,0.0,0.1,0.08,0.0,0.57,0.13,0.37
hsa-miR-548ao-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0
