miRNA,ERR5922419,ERR5922420,ERR5922421,ERR5922422,ERR5922423,ERR5922424,ERR5922425,ERR5922426,ERR5922427,ERR5922428
hsa-miR-3913-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12
hsa-miR-3913-5p,0.11,0.64,0.29,0.0,0.2,0.42,0.42,1.71,1.43,1.37
hsa-miR-3917,0.22,0.0,0.0,0.12,0.3,0.0,0.0,0.0,0.0,0.0
hsa-miR-3918,4.01,10.34,1.06,0.94,3.2,23.05,39.02,29.21,9.37,22.23
hsa-miR-3922-3p,0.0,0.0,0.0,0.0,0.1,0.25,0.42,0.43,0.13,0.12
hsa-miR-3925-3p,1.08,0.73,0.19,0.12,0.1,1.01,1.5,1.85,0.78,0.37
hsa-miR-3925-5p,0.87,2.2,0.19,0.35,0.1,3.11,5.42,6.13,1.17,1.74
hsa-miR-3927-3p,0.0,0.0,0.0,0.12,0.0,0.17,0.0,0.14,0.13,0.12
hsa-miR-3928-3p,0.76,0.82,0.1,0.0,1.0,1.26,2.08,1.42,1.17,1.37
hsa-miR-3929,0.43,0.73,0.19,0.24,0.0,1.01,0.5,1.28,0.78,0.75
hsa-miR-3934-5p,0.54,0.09,0.29,0.0,0.2,0.59,4.17,2.14,0.13,0.75
hsa-miR-3936,0.0,0.0,0.0,0.0,0.0,0.17,0.08,0.0,0.26,0.0
hsa-miR-3937,0.11,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-3939,0.0,0.0,0.0,0.12,0.0,0.17,0.08,0.14,0.0,0.0
hsa-miR-3940-3p,0.33,0.37,0.19,0.24,0.5,3.11,1.75,1.28,1.3,1.74
hsa-miR-3940-5p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
hsa-miR-3941,0.22,0.09,0.0,0.0,0.2,0.84,0.42,1.14,0.0,0.0
hsa-miR-3942-5p,0.22,0.0,0.0,0.24,0.1,0.25,0.0,0.28,0.26,0.37
hsa-miR-3944-3p,0.11,0.0,0.0,0.0,0.0,0.42,0.58,0.43,0.0,0.12
hsa-miR-3944-5p,0.11,0.09,0.0,0.0,0.1,0.08,0.83,0.14,0.0,0.12
hsa-miR-3960,0.87,0.27,0.19,0.59,1.2,1.01,0.92,0.28,0.26,0.37
hsa-miR-409-3p,52.29,101.61,38.81,40.52,469.91,166.98,386.59,396.76,368.83,777.22
hsa-miR-409-5p,6.18,4.39,6.48,9.19,25.73,13.21,16.01,29.63,19.92,23.72
hsa-miR-410-3p,36.45,35.43,42.78,58.07,165.28,269.02,170.75,566.01,276.26,313.84
hsa-miR-410-5p,0.0,0.27,0.19,0.35,0.6,1.35,1.33,3.7,0.26,1.99
hsa-miR-411-3p,4.12,4.94,4.36,8.6,28.73,30.37,9.25,10.68,11.46,66.57
hsa-miR-411-5p,84.61,63.9,77.34,113.91,320.75,222.41,67.28,196.03,204.27,378.3
hsa-miR-412-3p,0.11,0.18,0.29,0.59,0.8,0.59,0.08,0.28,0.78,1.74
hsa-miR-412-5p,13.67,65.18,14.23,16.61,94.8,192.22,128.23,327.81,89.18,204.43
hsa-miR-421,11.61,3.48,7.45,8.48,18.42,24.98,30.18,36.19,27.99,23.85
hsa-miR-423-3p,65.74,133.38,34.36,26.39,119.43,1307.99,1117.93,99.15,734.79,268.88
hsa-miR-423-5p,1.3,587.34,467.79,69.15,315.74,333.71,2125.4,129.5,1290.3,726.17
hsa-miR-424-3p,318.92,199.38,111.7,188.59,398.53,2068.1,2185.92,754.63,388.35,3226.97
hsa-miR-424-5p,322.07,93.56,261.72,189.77,457.79,749.18,609.2,1213.08,1505.12,362.15
hsa-miR-425-3p,34.28,20.14,20.23,17.2,24.43,101.37,126.39,131.92,86.84,49.55
hsa-miR-425-5p,131.8,85.87,48.78,66.56,116.83,70.58,168.99,196.46,153.75,184.68
hsa-miR-4254,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4284,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
hsa-miR-4286,1.41,0.18,0.97,1.06,1.7,1.35,1.75,0.71,3.91,3.85
hsa-miR-429,6.94,0.92,7.07,2.12,8.81,12.28,4.09,5.98,10.55,7.58
