miRNA,GSM3151945,GSM3151946,GSM3151947,GSM3151948,GSM3151949,GSM3151950,GSM3151951,GSM3151952,GSM3151953,GSM3151954,GSM3151955,GSM3151956,GSM3151957,GSM3151958,GSM3151959,GSM3151960,GSM3151961,GSM3151962,GSM3151963,GSM3151964,GSM3151965,GSM3151966,GSM3151967,GSM3151968,GSM3151969,GSM3151970,GSM3151971,GSM3151972
hsa-miR-23a-5p,0.0,0.0,0.0,0.0,0.51,2.25,8.09,1.73,1.17,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88,6.54,6.62,10.99,2.26,9.65,0.0,0.0,0.0,0.0
hsa-miR-23b-3p,25.29,37.52,0.0,13.26,2.18,6.24,6.95,6.69,2.12,7.01,31.27,0.0,0.0,4.0,33.4,22.32,35.84,35.92,12.47,2.37,7.21,2.24,8.68,6.05,51.26,95.85,0.0,4.42
hsa-miR-23b-5p,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.07,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.26,0.1,0.0,0.0,0.0,0.0
hsa-miR-24-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-24-2-5p,0.0,0.0,0.0,0.0,0.87,2.21,2.36,1.01,1.28,2.34,15.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.74,4.84,1.83,0.78,2.77,5.7,0.0,0.0,0.0
hsa-miR-24-3p,6.32,18.76,0.0,13.26,9.35,19.41,44.69,23.03,27.98,46.11,0.0,0.0,0.0,0.0,0.0,19.13,0.0,19.59,10.94,34.21,21.13,36.63,22.56,41.66,0.0,0.0,0.0,0.0
hsa-miR-2467-5p,0.0,0.0,0.0,13.26,0.2,0.12,0.29,0.14,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.51,0.0,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-25-3p,252.91,243.91,511.42,1671.33,800.84,877.3,1923.94,963.93,1056.94,1591.39,125.08,0.0,0.0,0.0,153.64,1275.65,0.0,1250.72,1658.52,946.84,2296.16,1245.49,822.88,1777.03,68.35,3259.05,0.0,8.84
hsa-miR-25-5p,0.0,0.0,0.0,0.0,2.06,3.83,4.58,2.81,3.34,3.82,0.0,0.0,0.0,0.0,6.68,3.19,0.0,0.0,4.12,4.11,7.81,3.36,2.6,5.64,0.0,15.98,0.0,0.0
hsa-miR-2681-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-2682-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-26a-1-3p,0.0,0.0,0.0,0.0,0.2,0.6,1.07,0.65,0.61,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.94,0.56,1.1,0.81,0.43,1.64,0.0,0.0,0.0,0.0
hsa-miR-26a-2-3p,0.0,0.0,0.0,0.0,0.04,0.2,0.29,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.59,0.0,0.26,0.72,5.7,0.0,0.0,0.0
hsa-miR-26a-5p,2763.01,2263.94,1497.74,3369.19,915.6,1406.37,1913.41,1260.18,1033.14,1307.71,562.85,4.93,12.05,51.97,2004.01,1288.41,23.89,1760.16,1544.25,1510.11,5094.83,1208.25,798.84,2812.7,1435.37,7268.95,4.41,35.38
hsa-miR-26b-3p,0.0,0.0,0.0,13.26,2.93,6.4,18.55,6.26,5.29,8.92,0.0,0.0,0.0,0.0,6.68,3.19,0.0,13.06,16.12,9.91,15.02,12.52,3.64,21.14,0.0,0.0,0.0,0.0
hsa-miR-26b-5p,278.2,200.13,237.45,198.97,200.41,276.71,428.33,309.49,229.05,267.75,46.9,0.0,0.0,15.99,146.96,191.35,0.0,166.55,371.06,260.64,1006.73,265.07,166.52,565.8,176.57,511.22,0.0,0.0
hsa-miR-27a-3p,56.9,156.35,36.53,106.12,126.17,217.93,340.82,222.92,184.19,220.78,187.62,4.93,12.05,15.99,394.12,149.89,59.73,179.61,290.92,200.94,364.31,266.7,143.96,304.14,148.09,415.37,0.0,8.84
hsa-miR-27a-5p,0.0,0.0,0.0,0.0,0.16,0.08,0.14,0.29,0.11,0.21,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.12,0.59,0.41,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-27b-3p,1100.14,1319.59,456.63,1936.62,1175.71,2058.29,2601.49,1422.37,1452.79,1893.77,2040.32,19.74,78.31,123.93,514.36,1151.28,59.73,1322.57,2057.83,1488.18,2494.77,2086.4,1082.42,2097.9,529.72,2620.02,0.0,119.4
hsa-miR-27b-5p,0.0,6.25,0.0,0.0,1.78,4.15,2.86,1.8,1.89,2.55,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,3.36,5.77,2.14,1.39,5.03,0.0,0.0,0.0,0.0
hsa-miR-28-3p,126.45,131.33,200.92,769.34,559.95,937.5,1243.24,796.56,868.73,1328.32,54.72,0.0,0.0,4.0,40.08,191.35,11.95,173.08,1007.61,816.49,1763.52,822.39,458.43,1524.09,68.35,655.0,0.0,0.0
hsa-miR-28-5p,18.97,6.25,18.27,92.85,35.34,50.01,71.9,47.64,52.11,55.89,7.82,0.0,0.0,0.0,0.0,6.38,0.0,13.06,59.2,46.11,110.8,47.11,25.08,83.94,5.7,63.9,0.0,0.0
hsa-miR-296-3p,0.0,0.0,0.0,0.0,0.36,0.32,0.21,0.14,0.33,0.21,7.82,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.12,0.44,0.42,0.1,0.78,0.1,0.0,0.0,0.0,0.0
hsa-miR-296-5p,0.0,0.0,0.0,0.0,0.12,0.08,0.21,0.22,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.19,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-299-3p,6.32,0.0,0.0,0.0,0.59,2.3,1.22,3.74,0.72,1.7,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,2.74,0.68,2.24,1.82,5.54,0.0,0.0,0.0,0.0
hsa-miR-299-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-29a-3p,82.19,131.33,54.8,92.85,31.81,27.18,35.02,39.86,42.58,21.67,257.97,0.0,0.0,4.0,46.76,6.38,0.0,75.11,31.89,21.37,31.99,25.44,37.31,23.7,56.96,127.81,0.0,13.27
hsa-miR-29a-5p,0.0,0.0,0.0,0.0,0.32,0.12,0.29,0.14,0.22,0.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.34,0.0,0.09,0.41,0.0,0.0,0.0,4.42
hsa-miR-29b-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.1,0.0,0.0,0.0,0.0
hsa-miR-29b-2-5p,0.0,0.0,0.0,0.0,0.08,0.08,0.07,0.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.06,0.08,0.1,0.0,0.41,0.0,0.0,0.0,0.0
hsa-miR-29b-3p,6.32,0.0,0.0,0.0,1.03,0.48,0.79,0.94,1.67,0.42,23.45,0.0,0.0,0.0,13.36,0.0,0.0,9.8,0.59,0.44,0.93,0.71,1.82,0.41,0.0,0.0,0.0,0.0
hsa-miR-29c-3p,31.61,25.02,0.0,13.26,7.84,10.43,14.04,10.94,14.49,8.92,7.82,0.0,0.0,0.0,6.68,12.76,0.0,13.06,11.06,10.78,10.35,9.87,10.59,15.29,5.7,47.93,0.0,0.0
hsa-miR-29c-5p,0.0,0.0,0.0,0.0,0.2,0.16,0.29,0.29,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.25,0.68,0.1,0.52,0.21,0.0,0.0,0.0,0.0
hsa-miR-301a-3p,18.97,18.76,0.0,119.38,29.99,49.93,61.02,33.75,29.15,59.71,7.82,0.0,0.0,0.0,6.68,9.57,0.0,13.06,52.02,49.1,103.68,26.05,23.52,88.76,0.0,63.9,0.0,0.0
hsa-miR-301a-5p,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.12,0.19,0.0,0.1,0.0,0.51,0.0,0.0,0.0,0.0
hsa-miR-301b-3p,0.0,0.0,0.0,13.26,5.27,7.93,12.89,7.12,5.52,13.6,7.82,0.0,0.0,0.0,6.68,3.19,0.0,9.8,8.24,9.47,18.75,6.31,4.69,15.7,0.0,15.98,0.0,0.0
hsa-miR-301b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3064-5p,0.0,0.0,0.0,0.0,0.4,0.85,0.72,0.43,0.45,0.21,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.24,0.5,0.59,0.31,0.26,1.33,0.0,0.0,0.0,0.0
hsa-miR-3065-3p,0.0,0.0,0.0,0.0,0.04,0.16,0.29,0.65,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.19,1.27,0.41,0.0,1.03,0.0,0.0,0.0,0.0
hsa-miR-3065-5p,0.0,0.0,0.0,0.0,0.04,0.08,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3074-3p,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3074-5p,0.0,0.0,0.0,0.0,0.04,0.04,0.21,0.0,0.11,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.12,0.0,0.0,0.35,1.33,0.0,0.0,0.0,0.0
hsa-miR-30a-3p,31.61,75.05,0.0,0.0,4.71,2.54,9.74,2.95,3.73,4.89,7.82,0.0,0.0,4.0,26.72,38.27,0.0,6.53,7.41,5.67,9.16,4.48,1.74,6.05,0.0,15.98,0.0,0.0
hsa-miR-30a-5p,524.78,419.02,127.86,464.26,65.4,62.94,164.0,71.38,79.58,82.02,476.86,4.93,6.02,11.99,313.96,258.32,11.95,127.36,94.97,93.96,169.0,82.12,37.49,134.93,233.53,543.17,0.0,44.22
hsa-miR-30b-3p,0.0,0.0,0.0,0.0,0.24,0.32,1.0,0.65,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.62,1.7,0.71,0.26,0.51,0.0,0.0,0.0,0.0
hsa-miR-30b-5p,50.58,50.03,91.33,145.91,15.37,28.11,30.65,21.87,17.05,27.62,7.82,0.0,0.0,0.0,46.76,31.89,0.0,45.72,31.66,31.47,57.61,17.81,22.65,53.05,79.74,127.81,0.0,0.0
hsa-miR-30c-1-3p,0.0,0.0,0.0,0.0,2.26,3.87,3.8,3.38,2.84,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,3.05,8.31,2.54,1.13,8.41,0.0,0.0,0.0,0.0
hsa-miR-30c-2-3p,0.0,6.25,0.0,0.0,0.24,0.24,0.57,0.22,0.11,0.64,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.12,0.19,0.25,0.31,0.0,0.51,0.0,0.0,0.0,0.0
hsa-miR-30c-5p,107.49,106.32,73.06,159.17,5.51,11.56,14.39,12.02,8.36,15.3,31.27,0.0,0.0,0.0,126.92,70.16,11.95,62.05,18.12,11.59,36.91,13.94,10.93,18.57,205.05,383.42,0.0,0.0
hsa-miR-30d-3p,6.32,0.0,0.0,66.32,13.35,23.27,30.87,19.93,20.84,28.05,0.0,0.0,0.0,0.0,0.0,15.95,0.0,6.53,37.07,22.99,37.5,24.52,15.19,36.12,0.0,15.98,0.0,0.0
hsa-miR-30d-5p,335.1,268.92,511.42,3661.01,1024.66,2056.23,2999.1,1986.08,1609.68,2196.15,187.62,0.0,6.02,11.99,187.04,468.8,11.95,466.98,2582.93,2231.58,4069.86,2097.29,992.78,3751.39,216.45,1949.04,0.0,4.42
hsa-miR-30e-3p,18.97,25.02,18.27,79.59,40.53,59.19,80.14,43.82,43.3,56.95,0.0,0.0,0.0,0.0,0.0,22.32,0.0,32.66,69.2,54.96,137.7,50.06,30.98,94.51,11.39,79.88,0.0,0.0
hsa-miR-30e-5p,246.58,206.38,328.77,1220.34,547.39,1094.05,1514.59,971.49,749.41,689.55,195.43,0.0,0.0,0.0,233.8,331.67,0.0,378.81,609.49,871.63,1373.93,771.61,562.9,1766.36,216.45,1166.23,0.0,13.27
hsa-miR-31-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-31-5p,0.0,0.0,0.0,0.0,1.07,0.48,0.36,1.44,3.23,0.64,164.16,0.0,6.02,11.99,0.0,0.0,0.0,0.0,0.82,0.25,0.51,0.1,1.13,0.51,0.0,0.0,0.0,26.53
hsa-miR-3115,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3117-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3120-3p,0.0,0.0,0.0,0.0,0.67,4.91,5.08,1.37,3.23,5.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,4.92,6.7,4.78,2.17,4.82,0.0,15.98,0.0,0.0
hsa-miR-3120-5p,0.0,0.0,0.0,0.0,0.08,0.32,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3121-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.17,0.0,0.0,0.31,0.0,0.0,0.0,0.0
hsa-miR-3122,0.0,0.0,0.0,0.0,0.0,0.08,0.29,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3123,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3124-5p,0.0,0.0,0.0,0.0,0.08,0.32,0.21,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.08,0.31,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3127-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,4.41,0.0
hsa-miR-3127-5p,0.0,0.0,0.0,0.0,0.75,0.64,0.36,0.36,0.56,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.56,1.02,1.12,0.78,2.05,0.0,0.0,0.0,0.0
hsa-miR-3128,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3129-3p,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3131,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3135a,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3136-5p,0.0,0.0,0.0,0.0,0.08,0.04,0.07,0.14,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.17,0.2,0.26,0.41,0.0,0.0,0.0,0.0
hsa-miR-3138,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3139,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3140-3p,0.0,0.0,0.0,0.0,0.04,0.16,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3143,0.0,0.0,0.0,0.0,0.08,0.12,0.5,0.43,0.22,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.25,1.02,0.31,0.17,0.21,0.0,0.0,0.0,0.0
hsa-miR-3144-3p,0.0,0.0,0.0,0.0,0.04,0.08,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3146,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.31,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150a-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150b-3p,0.0,0.0,0.0,13.26,0.08,0.04,0.0,0.14,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.25,0.0,0.17,0.1,0.0,0.0,0.0,0.0
hsa-miR-3154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3155a,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.1,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3157-3p,0.0,0.0,0.0,0.0,0.12,0.36,0.43,0.07,0.45,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.12,0.42,0.41,0.17,0.21,0.0,0.0,0.0,0.0
hsa-miR-3157-5p,0.0,0.0,0.0,0.0,0.08,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-3158-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.57,0.43,0.45,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.29,1.53,0.17,1.44,0.0,0.0,0.0,0.0
hsa-miR-3159,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3160-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.17,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3161,0.0,0.0,0.0,0.0,0.0,0.0,3.44,2.3,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3162-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3163,0.0,0.0,0.0,0.0,0.04,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.21,0.0,0.0,0.0,0.0
hsa-miR-3165,0.0,0.0,0.0,0.0,0.04,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3173-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
hsa-miR-3173-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.12,0.5,0.17,0.1,0.09,0.0,0.0,15.98,0.0,0.0
hsa-miR-3174,0.0,0.0,0.0,0.0,0.75,1.05,1.36,0.65,0.95,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.62,2.46,0.31,0.69,1.23,0.0,0.0,0.0,0.0
hsa-miR-3175,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.1,0.09,0.21,0.0,0.0,0.0,0.0
hsa-miR-3176,0.0,0.0,0.0,13.26,0.12,0.24,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.25,0.08,0.0,0.09,0.21,0.0,15.98,0.0,0.0
hsa-miR-3177-3p,0.0,0.0,0.0,0.0,1.23,2.13,3.8,1.22,1.23,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,2.18,3.22,2.34,1.3,3.49,0.0,0.0,0.0,0.0
hsa-miR-3177-5p,0.0,0.0,0.0,0.0,0.0,0.04,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3178,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,7.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180,0.0,0.0,0.0,0.0,0.04,0.0,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3180-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.35,0.0,0.0,0.0,0.0,0.0
hsa-miR-3181,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,12.65,0.0,0.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3183,0.0,0.0,0.0,0.0,0.08,0.2,0.07,0.0,0.06,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3187-3p,0.0,0.0,0.0,0.0,0.12,0.08,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.06,0.0,0.2,0.09,0.1,0.0,0.0,0.0,0.0
