miRNA,SRR26165199,SRR26165200,SRR26165201
hsa-let-7a-2-3p,1.7,0.42,0.0
hsa-let-7a-3p,2.26,3.37,2.18
hsa-let-7a-5p,1567.18,956.3,599.85
hsa-let-7b-3p,1.13,0.0,0.87
hsa-let-7b-5p,202.05,129.45,120.58
hsa-let-7c-5p,26.6,19.4,16.16
hsa-let-7d-3p,39.05,32.89,46.31
hsa-let-7d-5p,275.06,258.05,165.14
hsa-let-7e-3p,0.57,0.84,0.44
hsa-let-7e-5p,122.82,87.28,53.3
hsa-let-7f-1-3p,0.0,0.84,0.44
hsa-let-7f-2-3p,1.13,0.84,0.0
hsa-let-7f-5p,1405.31,1021.66,562.71
hsa-let-7g-5p,775.39,780.47,448.68
hsa-let-7i-3p,5.66,6.32,13.54
hsa-let-7i-5p,842.17,1031.78,681.98
hsa-miR-1-3p,27.73,16.44,11.36
hsa-miR-100-3p,0.57,0.42,0.0
hsa-miR-100-5p,1947.52,2378.95,3642.33
hsa-miR-101-3p,230.35,196.07,157.72
hsa-miR-10394-3p,0.57,0.42,0.87
hsa-miR-10395-3p,0.0,0.42,0.0
hsa-miR-10395-5p,0.0,0.42,0.0
hsa-miR-10396a-3p,0.57,2.11,4.37
hsa-miR-10396b-3p,1.7,0.42,2.18
hsa-miR-10396b-5p,0.0,0.0,0.87
hsa-miR-10398-3p,0.57,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,1.75
hsa-miR-103a-3p,183.38,175.41,176.07
hsa-miR-10401-3p,23.2,15.18,24.47
hsa-miR-10526-3p,2.83,1.26,0.44
hsa-miR-10527-5p,0.0,0.42,0.44
hsa-miR-106a-3p,1.7,1.26,0.87
hsa-miR-106a-5p,0.57,2.11,1.31
hsa-miR-106b-3p,54.9,37.95,53.74
hsa-miR-106b-5p,49.81,50.6,76.46
hsa-miR-107,52.07,141.25,68.15
hsa-miR-10a-3p,0.0,0.84,0.0
hsa-miR-10a-5p,73.58,95.71,72.52
hsa-miR-10b-3p,0.0,0.0,0.87
hsa-miR-10b-5p,52.64,49.33,48.06
hsa-miR-11400,2.26,1.26,0.44
hsa-miR-11401,0.57,0.0,0.0
hsa-miR-1180-3p,10.75,26.56,22.28
