miRNA,DRR006757,DRR006758,DRR006759
hsa-let-7a-5p,34.13,606.66,107.12
hsa-let-7b-5p,20.01,301.38,371.59
hsa-let-7c-3p,0.0,1.3,0.0
hsa-let-7c-5p,1.18,40.44,13.39
hsa-let-7d-5p,0.0,1.3,0.0
hsa-let-7e-5p,1.18,1.3,0.0
hsa-let-7f-5p,10.59,125.25,54.68
hsa-let-7g-5p,0.0,5.22,7.81
hsa-let-7i-5p,2.35,2.61,0.0
hsa-miR-1-3p,10.59,46.97,74.76
hsa-miR-101-3p,1.18,1.3,2.23
hsa-miR-103a-3p,0.0,9.13,3.35
hsa-miR-10401-3p,0.0,0.0,1.12
hsa-miR-106b-5p,0.0,1.3,0.0
hsa-miR-107,0.0,2.61,3.35
hsa-miR-10a-5p,0.0,1.3,0.0
hsa-miR-10b-5p,0.0,3.91,0.0
hsa-miR-1245a,0.0,2.61,0.0
hsa-miR-1246,0.0,1.3,0.0
hsa-miR-1248,0.0,0.0,1.12
hsa-miR-1255a,0.0,0.0,1.12
hsa-miR-125b-5p,0.0,1.3,2.23
hsa-miR-126-3p,0.0,0.0,1.12
hsa-miR-1275,0.0,27.4,0.0
hsa-miR-128-3p,0.0,1.3,1.12
hsa-miR-1291,1.18,11.74,56.91
hsa-miR-1302,0.0,2.61,0.0
hsa-miR-1307-5p,1.18,1.3,1.12
hsa-miR-130b-3p,0.0,1.3,3.35
hsa-miR-132-5p,0.0,2.61,0.0
hsa-miR-1323,0.0,0.0,4.46
hsa-miR-138-5p,0.0,0.0,1.12
hsa-miR-140-3p,0.0,5.22,3.35
hsa-miR-141-3p,0.0,0.0,1.12
hsa-miR-142-3p,2.35,0.0,50.21
hsa-miR-142-5p,0.0,2.61,1.12
hsa-miR-143-3p,1.18,5.22,11.16
hsa-miR-144-5p,0.0,0.0,3.35
hsa-miR-145-5p,0.0,0.0,2.23
hsa-miR-146a-5p,1.18,3.91,6.7
hsa-miR-146b-5p,3.53,6.52,37.94
hsa-miR-148a-3p,0.0,0.0,1.12
hsa-miR-149-3p,0.0,56.1,0.0
hsa-miR-151a-3p,0.0,0.0,2.23
hsa-miR-151a-5p,0.0,0.0,1.12
hsa-miR-181a-5p,0.0,1.3,0.0
hsa-miR-181b-5p,0.0,0.0,1.12
hsa-miR-182-5p,1.18,0.0,4.46
hsa-miR-184,0.0,3.91,2.23
hsa-miR-185-5p,0.0,6.52,8.93
hsa-miR-186-5p,0.0,6.52,0.0
hsa-miR-1908-3p,0.0,14.35,0.0
hsa-miR-191-5p,0.0,6.52,4.46
hsa-miR-192-5p,1.18,2.61,3.35
