miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-miR-4531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4533,0.0,6.0,0.0,10.0,0.0,6.0,168.0,0.0,0.0,0.0,46.0,24.0,2.0,25.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,1.0,1.0,6.0,4.0,0.0,1.0,12.0,6.0
hsa-miR-4537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-454-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,79.0,39.0,6.0,3.0,0.0,1.0,26.0,20.0,5.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,0.0,37.0,0.0,21.0,12.0,8.0,28.0,0.0,25.0
hsa-miR-454-5p,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,67.0,13.0,8.0,0.0,0.0,1.0,15.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,10.0,12.0,13.0,25.0,15.0,37.0,15.0,36.0
hsa-miR-455-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,17.0,0.0,0.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0
hsa-miR-455-5p,0.0,13.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,26.0,31.0,112.0,17.0,43.0,1.0,92.0,1407.0,20.0,1.0,0.0,0.0,41.0,19.0,53.0,1.0,5.0,45.0,37.0,25.0,15.0,18.0,20.0,29.0,15.0
hsa-miR-4632-5p,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
hsa-miR-4633-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,0.0,2.0
hsa-miR-4636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4638-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-4638-5p,25.0,27.0,0.0,51.0,0.0,4.0,0.0,0.0,36.0,0.0,109.0,87.0,3.0,12.0,5.0,0.0,25.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,1.0,16.0,0.0,22.0,7.0,5.0,7.0,12.0,5.0,0.0,3.0
hsa-miR-4639-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-4639-5p,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0
hsa-miR-4640-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4640-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-4642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4645-3p,0.0,21.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,19.0,0.0,3.0,27.0,0.0,4.0,0.0,5.0
