miRNA,SRR3493372,SRR3493373
hsa-let-7a-2-3p,0.54,0.34
hsa-let-7a-3p,48.51,57.43
hsa-let-7a-5p,3916.53,2865.58
hsa-let-7b-3p,3.97,4.04
hsa-let-7b-5p,4548.84,5010.66
hsa-let-7c-5p,14.34,15.13
hsa-let-7d-3p,40.49,60.01
hsa-let-7d-5p,276.66,186.47
hsa-let-7e-3p,0.99,1.29
hsa-let-7e-5p,28.04,28.97
hsa-let-7f-1-3p,3.43,2.75
hsa-let-7f-2-3p,4.24,7.91
hsa-let-7f-5p,16684.47,12809.61
hsa-let-7g-3p,0.09,0.26
hsa-let-7g-5p,3865.58,2578.96
hsa-let-7i-3p,5.41,6.53
hsa-let-7i-5p,3675.04,4091.83
hsa-miR-1-3p,0.27,1.2
hsa-miR-100-5p,7752.35,17700.77
hsa-miR-101-3p,1848.16,3047.66
hsa-miR-101-5p,0.18,0.43
hsa-miR-10392-3p,0.0,0.09
hsa-miR-10392-5p,0.0,0.09
hsa-miR-10394-3p,0.36,0.69
hsa-miR-10394-5p,0.0,0.09
hsa-miR-10395-3p,4.51,3.7
hsa-miR-10395-5p,0.27,0.17
hsa-miR-10396a-3p,0.72,3.27
hsa-miR-10396a-5p,0.0,3.18
hsa-miR-10396b-3p,34.18,13.93
hsa-miR-10396b-5p,0.63,1.03
hsa-miR-10399-3p,3.52,3.35
hsa-miR-10399-5p,0.0,0.26
hsa-miR-103a-2-5p,0.72,0.34
hsa-miR-103a-3p,656.57,35.16
hsa-miR-10400-5p,0.0,0.17
hsa-miR-10401-3p,7.39,10.75
hsa-miR-10401-5p,0.72,1.2
hsa-miR-105-3p,1.26,1.72
hsa-miR-105-5p,4.42,7.31
hsa-miR-10526-3p,0.0,0.17
hsa-miR-10527-5p,0.0,0.09
hsa-miR-106a-5p,0.36,6.28
hsa-miR-106b-3p,340.5,464.92
hsa-miR-106b-5p,221.11,253.09
hsa-miR-107,95.59,16.76
hsa-miR-10a-3p,8.57,15.47
hsa-miR-10a-5p,907.17,504.2
hsa-miR-10b-3p,0.9,1.89
hsa-miR-10b-5p,383.43,265.38
hsa-miR-11399,0.09,0.0
hsa-miR-11400,0.09,0.0
hsa-miR-11401,0.27,0.43
hsa-miR-1180-3p,146.63,148.98
hsa-miR-1181,0.18,0.0
hsa-miR-1184,0.09,0.0
hsa-miR-1185-1-3p,0.09,0.0
hsa-miR-1185-2-3p,0.09,0.0
hsa-miR-1197,0.27,0.0
hsa-miR-12132,0.0,0.09
hsa-miR-12136,1.8,1.63
hsa-miR-122-5p,7.12,4.3
hsa-miR-1226-3p,0.18,0.43
hsa-miR-1226-5p,0.0,0.26
hsa-miR-1227-3p,0.0,0.17
hsa-miR-1228-3p,0.0,0.09
hsa-miR-122b-5p,0.0,0.09
hsa-miR-1233-5p,0.0,0.09
hsa-miR-1234-3p,0.09,0.0
hsa-miR-1236-5p,0.0,0.09
hsa-miR-1237-5p,0.63,0.34
hsa-miR-124-3p,0.0,0.09
hsa-miR-1244,0.0,0.09
hsa-miR-1246,490.11,1697.36
hsa-miR-1247-5p,0.27,0.26
hsa-miR-1248,0.45,0.95
hsa-miR-1249-3p,3.52,3.09
hsa-miR-1250-5p,0.63,0.26
hsa-miR-1252-3p,0.09,0.0
hsa-miR-1252-5p,0.99,1.2
hsa-miR-1255a,3.16,4.38
hsa-miR-1255b-5p,0.45,1.55
hsa-miR-1258,0.09,0.0
hsa-miR-125a-3p,3.25,5.85
hsa-miR-125a-5p,675.42,439.04
hsa-miR-125b-1-3p,0.36,1.63
hsa-miR-125b-2-3p,0.09,0.26
hsa-miR-125b-5p,139.32,278.62
hsa-miR-126-3p,67.09,50.21
hsa-miR-126-5p,1.08,2.92
hsa-miR-1260a,0.09,0.0
hsa-miR-1260b,11.09,20.72
hsa-miR-1262,3.61,3.95
hsa-miR-1266-5p,1.53,0.6
hsa-miR-1268a,0.09,0.0
hsa-miR-1268b,0.99,0.43
hsa-miR-127-3p,0.45,0.52
hsa-miR-1271-3p,0.99,1.46
hsa-miR-1271-5p,5.5,6.28
hsa-miR-1273c,0.99,1.2
hsa-miR-1273h-5p,1.8,0.95
hsa-miR-1275,1.44,3.18
hsa-miR-1276,1.08,1.12
hsa-miR-1277-3p,1.17,1.72
hsa-miR-1278,33.27,30.69
hsa-miR-128-1-5p,0.54,0.52
hsa-miR-128-3p,143.47,251.2
hsa-miR-1284,0.0,0.34
hsa-miR-1285-3p,20.65,32.32
hsa-miR-1285-5p,14.7,14.7
hsa-miR-1286,0.72,1.46
hsa-miR-1287-3p,0.45,0.17
hsa-miR-1287-5p,7.3,14.36
hsa-miR-1288-3p,0.27,0.34
hsa-miR-1289,0.09,0.26
hsa-miR-129-1-3p,0.18,0.34
hsa-miR-129-2-3p,0.18,0.0
hsa-miR-129-5p,0.81,1.63
hsa-miR-1290,0.09,0.77
hsa-miR-1291,2.16,3.35
hsa-miR-1292-5p,3.16,3.01
hsa-miR-1293,7.39,6.71
hsa-miR-1294,0.27,0.52
hsa-miR-1295a,0.18,0.09
hsa-miR-1296-3p,0.18,0.26
hsa-miR-1296-5p,39.77,100.84
hsa-miR-1298-5p,0.0,0.17
hsa-miR-1299,0.0,0.09
hsa-miR-1301-3p,6.04,4.04
hsa-miR-1302,0.0,0.09
hsa-miR-1303,9.2,20.03
hsa-miR-1304-3p,0.09,0.0
hsa-miR-1304-5p,4.96,7.48
hsa-miR-1305,0.99,1.29
hsa-miR-1306-3p,0.72,0.6
hsa-miR-1306-5p,1.08,0.52
hsa-miR-1307-3p,110.38,165.14
hsa-miR-1307-5p,103.61,228.42
hsa-miR-130a-3p,82.06,94.05
hsa-miR-130a-5p,0.18,0.43
hsa-miR-130b-3p,13.35,22.27
hsa-miR-130b-5p,7.12,7.05
hsa-miR-132-3p,168.9,113.91
hsa-miR-132-5p,9.2,8.17
hsa-miR-133a-3p,0.09,0.0
hsa-miR-134-5p,0.9,0.6
hsa-miR-1343-3p,3.25,3.61
hsa-miR-1343-5p,0.09,0.0
hsa-miR-135a-5p,0.0,0.09
hsa-miR-135b-3p,1.17,1.63
hsa-miR-135b-5p,109.29,56.48
hsa-miR-136-3p,0.09,0.0
hsa-miR-136-5p,0.09,0.0
hsa-miR-138-1-3p,0.0,0.17
hsa-miR-138-2-3p,0.0,0.09
hsa-miR-138-5p,13.26,11.61
hsa-miR-139-3p,0.36,0.69
hsa-miR-139-5p,5.41,7.74
hsa-miR-140-3p,137.97,185.0
hsa-miR-140-5p,48.6,26.82
hsa-miR-141-3p,112.9,190.68
hsa-miR-141-5p,17.76,20.89
hsa-miR-142-3p,0.09,0.09
hsa-miR-142-5p,0.36,0.26
hsa-miR-143-3p,1.44,1.81
hsa-miR-144-3p,0.45,0.17
hsa-miR-145-5p,0.0,0.17
hsa-miR-1468-5p,0.09,0.0
hsa-miR-146a-3p,0.45,0.43
hsa-miR-146a-5p,235.09,148.81
hsa-miR-146b-3p,0.99,2.06
hsa-miR-146b-5p,204.34,178.81
hsa-miR-147b-3p,12.53,17.02
hsa-miR-147b-5p,0.27,0.09
hsa-miR-148a-3p,10972.36,14042.31
hsa-miR-148a-5p,86.75,146.06
hsa-miR-148b-3p,305.79,401.13
hsa-miR-148b-5p,16.77,10.57
hsa-miR-149-5p,154.65,118.98
hsa-miR-151a-3p,1161.56,1770.09
hsa-miR-151a-5p,35.17,33.87
hsa-miR-151b,0.81,0.77
hsa-miR-152-3p,102.71,180.28
hsa-miR-152-5p,1.17,0.86
hsa-miR-153-3p,0.45,1.03
hsa-miR-1538,0.27,0.26
hsa-miR-154-3p,0.09,0.26
hsa-miR-154-5p,0.45,0.17
hsa-miR-155-5p,68.53,82.79
hsa-miR-15a-3p,0.09,0.17
hsa-miR-15a-5p,21.64,18.48
hsa-miR-15b-3p,35.17,50.03
hsa-miR-15b-5p,150.5,120.7
hsa-miR-16-1-3p,0.72,1.12
hsa-miR-16-2-3p,334.64,385.05
hsa-miR-16-5p,1029.63,773.97
hsa-miR-17-3p,6.13,3.87
hsa-miR-17-5p,358.18,309.49
hsa-miR-181a-2-3p,13.89,20.89
hsa-miR-181a-3p,13.89,14.36
hsa-miR-181a-5p,2642.79,3375.89
hsa-miR-181b-2-3p,0.36,0.34
hsa-miR-181b-3p,0.72,0.86
hsa-miR-181b-5p,865.96,1401.2
hsa-miR-181c-3p,5.41,10.14
hsa-miR-181c-5p,6.94,7.31
hsa-miR-181d-5p,13.35,19.77
hsa-miR-182-3p,3.79,6.71
hsa-miR-182-5p,2122.84,1356.58
hsa-miR-1827,0.0,0.09
hsa-miR-183-3p,0.99,1.29
hsa-miR-183-5p,1693.42,1571.24
hsa-miR-184,1.98,2.67
hsa-miR-1843,2.71,4.13
hsa-miR-185-3p,12.81,13.24
hsa-miR-185-5p,584.88,1493.44
hsa-miR-186-5p,529.78,641.84
hsa-miR-187-3p,9.11,14.96
hsa-miR-188-5p,2.34,6.28
hsa-miR-18a-3p,3.16,5.16
hsa-miR-18a-5p,33.18,27.85
hsa-miR-18b-5p,0.0,3.09
hsa-miR-1908-3p,0.0,0.26
hsa-miR-1908-5p,0.09,0.0
hsa-miR-190a-3p,0.09,0.34
hsa-miR-190a-5p,0.72,0.95
hsa-miR-190b-5p,0.99,0.52
hsa-miR-191-3p,0.63,0.69
hsa-miR-191-5p,530.6,513.4
hsa-miR-1910-3p,0.09,0.34
hsa-miR-1910-5p,0.18,1.2
hsa-miR-1914-3p,0.0,0.09
hsa-miR-1914-5p,0.0,0.09
hsa-miR-1915-3p,0.0,0.17
hsa-miR-192-3p,0.36,0.34
hsa-miR-192-5p,1506.84,1449.85
hsa-miR-193a-3p,2.52,2.75
hsa-miR-193a-5p,5.77,8.51
hsa-miR-193b-3p,685.7,796.75
hsa-miR-193b-5p,6.4,7.05
hsa-miR-194-3p,1.62,0.69
hsa-miR-194-5p,81.7,70.75
hsa-miR-195-3p,0.72,0.69
hsa-miR-195-5p,3.97,3.18
hsa-miR-196a-1-3p,0.09,0.17
hsa-miR-196a-3p,5.41,6.45
hsa-miR-196a-5p,722.22,670.9
hsa-miR-196b-3p,0.36,1.03
hsa-miR-196b-5p,63.21,39.2
hsa-miR-197-3p,99.46,84.59
hsa-miR-197-5p,0.27,0.43
hsa-miR-1972,0.18,0.34
hsa-miR-1976,0.36,1.29
hsa-miR-199a-3p,7.76,11.09
hsa-miR-199a-5p,0.72,0.86
hsa-miR-199b-3p,3.7,1.89
hsa-miR-199b-5p,6.58,9.37
hsa-miR-19a-3p,128.41,85.71
hsa-miR-19a-5p,0.18,0.17
hsa-miR-19b-3p,834.94,413.34
hsa-miR-200a-3p,3565.29,5402.33
hsa-miR-200a-5p,210.02,298.14
hsa-miR-200b-3p,3585.49,3441.82
hsa-miR-200b-5p,10.46,14.01
hsa-miR-200c-3p,5430.13,4421.6
hsa-miR-200c-5p,1.98,1.38
hsa-miR-202-5p,0.09,0.34
hsa-miR-203a-3p,146.63,279.14
hsa-miR-203b-3p,0.09,0.17
hsa-miR-204-3p,0.0,0.09
hsa-miR-204-5p,0.45,0.43
hsa-miR-205-3p,5.86,4.13
hsa-miR-205-5p,38113.38,39700.81
hsa-miR-20a-3p,0.18,0.26
