miRNA,SRR5760160,SRR5760161,SRR5760162,SRR5760163,SRR5760164,SRR5760165,SRR5760166,SRR5760167,SRR5760168,SRR5760169,SRR5760170,SRR5760171,SRR5760172,SRR5760173,SRR5760174,SRR5760175,SRR5760176,SRR5760177
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,28.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,90969.0,162574.0,52167.0,77775.0,101235.0,217857.0,97061.0,35992.0,116274.0,233995.0,88579.0,75137.0,163339.0,25805.0,102309.0,80854.0,63143.0,54509.0
hsa-let-7b-3p,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,20.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,1786.0,3351.0,3764.0,4593.0,3298.0,4969.0,5518.0,1821.0,5147.0,4719.0,5739.0,5121.0,8230.0,4273.0,3314.0,4496.0,3665.0,3229.0
hsa-let-7c-5p,125.0,933.0,95.0,538.0,473.0,785.0,486.0,216.0,321.0,1376.0,395.0,592.0,438.0,160.0,305.0,486.0,463.0,325.0
hsa-let-7d-3p,401.0,570.0,547.0,510.0,456.0,2878.0,986.0,339.0,2349.0,1048.0,306.0,346.0,413.0,228.0,166.0,129.0,14.0,158.0
hsa-let-7d-5p,928.0,1257.0,1027.0,601.0,562.0,2418.0,1276.0,1204.0,4096.0,1504.0,1295.0,1002.0,2237.0,367.0,546.0,805.0,188.0,448.0
hsa-let-7e-5p,322.0,678.0,1011.0,231.0,189.0,1122.0,427.0,672.0,2859.0,1185.0,1301.0,982.0,2161.0,132.0,807.0,878.0,152.0,54.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,271518.0,404904.0,206037.0,188148.0,260285.0,508248.0,274924.0,159545.0,488934.0,528848.0,223285.0,150564.0,350982.0,51403.0,199523.0,174392.0,102702.0,101033.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
