miRNA,SRR28698627,SRR28698628,SRR28698629,SRR28698630,SRR28698631,SRR28698632,SRR28698633,SRR28698634,SRR28698635,SRR28698636,SRR28698637,SRR28698638,SRR28698639,SRR28698640,SRR28698641,SRR28698642,SRR28698643,SRR28698644,SRR28698645,SRR28698646,SRR28698647,SRR28698648,SRR28698649,SRR28698650,SRR28698651
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,39.85,45.03,88.13,27.77,88.81,71.43,50.14,50.46,52.58,20.0,60.86,43.74,63.99,96.51,92.7,15.19,48.49,126.49,48.05,30.8,117.92,61.83,72.83,44.01,17.25
hsa-let-7a-5p,84324.25,33241.86,41111.19,125821.92,48258.38,44856.03,20086.54,27503.09,32278.76,10512.33,17766.49,6923.12,28429.11,15731.52,30134.11,7168.38,6261.1,21258.28,20117.56,30680.86,10214.04,20094.64,34713.14,18357.72,24418.8
hsa-let-7b-3p,18.11,28.55,45.25,12.9,37.03,57.78,12.54,49.64,43.06,7.62,39.64,24.1,51.07,84.31,46.99,15.19,13.09,38.26,36.13,20.79,29.11,22.39,41.52,41.99,5.75
hsa-let-7b-5p,20468.54,11244.94,15962.54,31163.51,15035.79,21115.47,7382.02,13905.99,18349.65,11699.2,7322.45,7857.81,18066.38,8680.52,21988.25,5786.92,5456.72,12024.21,13490.8,11646.22,14721.5,8910.58,15954.96,8236.16,8335.1
hsa-let-7c-3p,0.0,0.0,0.71,0.0,0.5,0.0,0.0,0.41,2.75,38.1,2.23,0.0,0.0,0.53,0.32,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.64,1.52,0.0
hsa-let-7c-5p,1592.92,862.89,4298.95,1174.15,587.67,1063.86,619.65,4219.92,3924.56,4532.23,1968.66,2263.96,1722.13,1361.2,2056.12,678.54,1444.81,762.51,2304.65,740.69,1006.34,681.55,3815.14,465.91,419.74
hsa-let-7d-3p,866.92,2289.52,2072.13,1097.44,3841.76,2987.75,918.72,1914.49,3096.33,2373.75,958.09,523.14,2969.92,1863.37,1785.04,298.13,505.72,1774.89,1285.12,1071.0,1884.67,1198.22,1671.84,889.33,376.05
hsa-let-7d-5p,10284.99,2725.79,6300.73,14843.41,3379.93,7274.26,1758.65,2444.9,4918.78,1084.95,2697.83,1157.87,5306.41,2736.72,4387.8,1814.09,1133.06,4583.44,4541.14,2662.48,2612.69,4297.87,4035.53,1922.83,3131.41
hsa-let-7e-3p,0.0,1.21,0.0,0.0,1.25,0.29,0.0,0.41,0.25,9.53,2.23,0.0,0.59,0.0,3.52,0.0,0.77,0.0,0.74,0.0,0.89,0.0,1.28,1.01,0.0
hsa-let-7e-5p,256.49,123.44,98.31,385.54,116.33,186.7,94.92,109.94,118.17,1017.32,444.43,482.97,191.97,343.61,533.21,125.64,346.39,167.37,164.64,124.73,201.68,107.67,159.07,53.62,157.55
hsa-let-7f-1-3p,3.99,1.21,1.66,4.63,4.75,1.45,5.37,5.74,0.25,0.0,11.72,0.0,2.64,2.12,3.2,0.0,0.0,2.63,5.96,3.08,0.3,4.97,8.94,3.04,2.3
hsa-let-7f-2-3p,1.09,4.83,0.24,0.0,0.5,0.29,0.0,0.41,0.25,0.0,2.79,0.89,3.23,1.06,0.0,0.32,0.0,0.96,0.0,0.0,7.13,0.0,0.64,1.52,0.0
hsa-let-7f-5p,66143.11,28584.41,34765.46,83533.54,44540.46,31288.63,17907.03,20478.1,23756.9,9557.87,13858.21,5889.34,17338.43,9115.34,15137.06,4603.9,4115.83,11066.11,11220.42,26251.36,6079.65,12919.56,27374.17,15946.22,23128.51
hsa-let-7g-3p,2.17,0.4,0.0,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.77,0.0,2.84,0.0,0.51,0.0
hsa-let-7g-5p,16032.12,10243.33,8082.42,14378.17,12740.39,7885.16,5272.36,6031.44,6349.4,6598.31,5165.07,4300.28,5089.78,3944.15,5652.42,2381.86,2839.59,3865.4,3796.51,7820.36,3966.57,4466.66,8619.19,6694.76,7561.16
hsa-let-7i-3p,1.81,0.4,2.13,1.98,4.0,0.0,1.79,0.0,1.75,0.0,1.67,0.0,1.47,6.36,6.71,4.75,25.4,6.46,4.84,3.85,8.91,4.62,1.92,1.01,4.6
hsa-let-7i-5p,15309.75,15847.3,11617.15,18410.17,17741.73,12955.34,8594.44,8632.23,10706.59,4239.79,8604.36,8577.35,11075.71,8166.69,18361.9,5955.61,4078.11,8438.56,13025.92,12247.55,9133.74,9576.85,15022.9,8088.95,9588.58
hsa-miR-1-3p,4369.76,2393.66,1600.0,4457.55,2474.53,2894.26,1321.67,1232.71,2103.36,11075.28,10023.07,12970.48,3332.13,11777.83,12886.26,6690.8,5625.29,5421.75,1678.48,2212.83,8037.09,2385.42,2265.32,1410.89,1177.59
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
