miRNA,SRR29500199,SRR29500200,SRR29500201,SRR29500202,SRR29500203,SRR29500204,SRR29500205,SRR29500206,SRR29500207,SRR29500208,SRR29500209,SRR29500210,SRR29500211,SRR29500212,SRR29500213,SRR29500214,SRR29500215,SRR29500216,SRR29500217,SRR29500218,SRR29500219,SRR29500220,SRR29500221,SRR29500222
hsa-let-7a-2-3p,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,27.63,46.55,42.47,30.36,41.72,133.1,39.2,11.69,34.13,26.36,48.09,0.0,16.7,32.2,43.79,56.58,31.44,17.53,53.99,25.41,50.79,36.96,35.1,30.71
hsa-let-7a-5p,7768.04,8639.87,9411.57,12086.45,15383.66,4108.08,7428.36,3976.11,17904.27,7110.46,9331.65,53.68,2132.06,15584.59,18902.36,15123.29,13540.4,9593.59,10694.4,5118.3,23217.62,10167.56,8015.45,11209.65
hsa-let-7b-3p,5.44,13.93,8.73,21.29,2.62,12.31,4.75,1.12,12.38,5.83,10.38,0.0,3.83,3.99,29.39,10.29,2.5,5.54,13.23,14.53,15.33,12.7,24.68,18.26
hsa-let-7b-5p,2137.78,2800.38,2528.14,5264.59,2751.51,5836.14,3433.9,1066.58,4721.46,2109.69,3547.66,530.59,964.47,2519.18,7049.09,3840.8,4220.3,3628.31,4430.75,3385.2,8631.37,5344.5,5210.95,5104.03
hsa-let-7c-3p,0.05,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.43,0.29,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,39.13,71.33,159.72,263.87,65.73,198.27,186.75,29.77,165.49,44.79,167.7,1.0,60.17,78.55,155.12,308.04,181.78,150.07,208.25,66.38,416.51,115.09,183.72,116.27
hsa-let-7d-3p,2047.14,905.12,1664.46,1472.79,1723.75,727.4,1173.81,635.73,1268.87,2229.5,1498.01,4.51,1170.94,1131.67,1634.22,1276.21,1213.59,622.63,1908.24,802.14,1507.29,1349.53,1533.81,1421.33
hsa-let-7d-5p,1540.97,3170.67,4001.2,2353.19,3858.3,1355.62,2591.19,1624.18,6145.93,2354.03,3464.74,36.79,2054.98,4134.89,5294.25,4387.15,3960.48,3882.29,2847.26,2119.73,4861.95,3518.88,2067.31,3978.91
hsa-let-7e-3p,8.78,2.59,15.48,9.64,7.03,0.77,9.28,1.95,2.84,6.34,10.78,0.0,7.44,4.45,8.33,5.64,1.02,2.51,4.3,2.44,9.42,1.78,17.99,6.26
hsa-let-7e-5p,225.66,309.06,536.76,565.94,464.01,73.18,253.16,144.94,403.44,241.06,366.18,0.17,159.93,466.18,503.15,323.53,363.23,418.16,354.55,161.07,881.41,245.54,480.74,389.21
hsa-let-7f-1-3p,1.9,3.39,3.42,0.0,3.01,9.04,6.55,0.18,3.09,0.8,4.33,0.0,0.7,1.91,0.58,5.46,1.34,2.06,4.06,2.81,1.6,0.0,0.0,4.81
hsa-let-7f-2-3p,1.95,8.26,2.16,0.67,3.4,11.28,0.0,1.0,1.81,1.17,4.44,0.0,0.83,1.27,2.78,2.95,0.26,1.35,4.79,3.38,3.91,5.21,0.0,0.0
hsa-let-7f-5p,10100.82,7021.74,11617.56,6701.96,21815.92,3599.36,6210.91,4828.83,18625.27,7838.75,8616.58,53.84,3134.86,17212.84,14253.44,17383.6,12509.29,10691.69,9255.18,3557.23,18021.73,9096.22,5110.37,10556.6
hsa-let-7g-3p,0.82,3.21,0.99,0.0,0.87,7.66,2.42,0.35,4.47,0.22,1.9,0.0,0.77,0.69,1.97,3.13,0.0,0.0,3.0,3.09,2.79,2.92,0.0,2.24
hsa-let-7g-5p,13039.54,11592.48,14062.46,5751.48,14305.01,4089.4,7403.89,6952.26,15566.41,15217.87,11751.29,177.42,6968.79,10587.22,12329.3,14204.81,13803.56,9645.1,9657.79,5290.05,13787.89,11776.85,8173.28,10021.72
hsa-let-7i-3p,12.89,48.71,27.18,29.6,48.56,74.64,37.33,21.91,42.04,19.52,41.98,0.0,20.31,20.92,47.51,50.67,41.87,39.64,39.05,33.56,37.69,28.96,18.65,47.19
hsa-let-7i-5p,8912.14,17050.58,17625.43,5158.14,14184.07,10427.03,9234.68,8181.73,17742.65,11921.51,14426.28,1839.09,13524.22,8998.27,13248.31,13891.04,13144.19,10374.15,12303.86,7956.92,12199.15,12036.75,7747.71,17348.17
hsa-miR-1-3p,432.77,143.47,1067.32,41.34,210.54,51.48,210.52,31.6,466.71,276.46,95.67,15.55,198.12,213.7,42.84,303.48,452.42,159.35,120.4,22.22,96.62,564.0,27.09,93.27
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-100-5p,172.91,229.96,236.3,142.06,56.37,39.43,238.89,57.11,159.12,209.96,230.38,13.04,97.25,84.05,136.48,73.14,102.89,142.91,184.46,177.0,304.64,175.55,379.07,191.67
hsa-miR-101-2-5p,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.46,0.0,0.0,0.69,1.02,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,1592.33,4927.83,2970.87,1077.17,2940.51,3420.81,1466.33,1117.32,2367.18,1392.48,2909.93,16.22,1977.42,1431.32,1651.11,4391.71,2088.35,1462.75,2523.56,1562.85,2835.47,2645.83,2016.42,1793.47
hsa-miR-101-5p,2.31,1.29,3.6,0.0,0.63,1.46,0.0,0.94,1.29,2.55,2.71,0.0,1.39,1.21,3.8,8.06,0.9,0.97,0.89,1.31,3.67,5.08,6.14,2.24
hsa-miR-10393-3p,0.0,0.18,0.0,0.0,0.0,0.09,1.09,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,3.75,0.0,0.0,0.0,1.45
hsa-miR-10399-3p,5.24,9.62,11.34,4.01,6.11,3.96,4.05,3.9,4.3,7.21,8.3,0.0,7.37,5.2,0.95,2.95,11.53,3.03,9.34,5.63,10.22,4.06,0.0,13.38
hsa-miR-10399-5p,0.1,0.43,2.16,0.0,0.15,1.38,0.0,0.0,1.46,0.29,0.06,0.0,0.49,1.04,0.0,1.61,0.0,0.32,0.08,0.47,0.0,0.0,0.0,0.26
hsa-miR-103a-1-5p,0.21,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,6.52,1.05,1.44,0.0,2.91,0.86,3.35,1.12,0.0,1.38,1.79,0.0,1.04,0.4,4.02,3.13,1.73,0.77,0.0,0.0,2.71,1.91,0.0,0.0
hsa-miR-103a-3p,112.37,13520.97,1004.78,5446.07,18167.19,5262.59,8863.98,12327.94,176.4,12286.16,10253.11,29.26,204.52,11381.72,538.38,1701.08,1747.65,10437.13,9886.9,1335.31,15420.07,10779.95,4681.4,766.36
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,1.75,2.84,2.34,2.77,1.65,1.81,2.03,1.18,2.24,2.77,1.15,5.52,1.11,2.66,2.85,0.63,1.09,0.0,7.23,7.69,4.79,3.18,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.41,0.99,0.0,0.0,0.15,0.17,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.32,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-3p,2.52,31.2,3.24,0.0,5.92,71.89,23.62,2.42,28.2,4.66,19.09,0.0,4.38,4.51,9.72,14.95,5.95,10.89,12.42,10.59,12.3,1.02,5.16,12.06
hsa-miR-106a-5p,54.54,81.32,12.6,26.64,53.56,26.77,17.85,11.1,50.38,50.83,49.02,0.0,30.75,22.08,33.33,38.94,30.8,23.92,39.86,19.41,19.4,16.01,13.38,19.44
hsa-miR-106b-3p,846.29,1504.94,829.03,787.13,893.63,2060.97,1292.83,575.61,1340.05,1112.53,1776.37,306.51,761.89,604.16,1368.43,1415.68,1086.88,1075.6,1724.03,1984.64,1374.01,896.93,1003.49,1569.04
hsa-miR-106b-5p,275.01,760.3,627.29,155.99,394.45,829.5,588.31,156.87,511.5,342.37,613.34,0.0,377.47,225.14,574.64,749.02,415.74,314.05,667.77,712.8,593.94,556.63,508.38,522.29
hsa-miR-107,376.44,1717.58,355.44,138.43,574.52,66.21,366.25,337.95,957.41,445.05,1358.92,0.0,371.34,444.1,354.83,1332.61,394.41,463.41,345.37,121.22,437.27,456.79,132.61,266.02
hsa-miR-10a-3p,16.79,5.49,13.95,12.51,9.8,2.58,7.48,1.3,9.28,12.96,13.21,0.0,3.2,6.18,16.59,12.26,9.09,3.8,11.77,11.16,17.65,29.85,32.14,15.88
hsa-miR-10a-5p,1496.35,1029.6,2012.43,4101.31,1005.01,471.53,2119.64,612.52,1586.43,1598.07,2582.38,41.81,720.98,544.39,2606.96,1275.05,936.74,1772.55,1796.93,3151.47,3508.94,2795.21,6006.7,2706.54
hsa-miR-10b-3p,1.9,3.27,5.22,22.82,3.64,4.05,12.24,2.72,7.57,6.26,11.94,0.0,6.05,2.72,17.18,4.83,6.4,10.7,11.85,24.0,13.26,5.46,22.7,10.41
hsa-miR-10b-5p,797.35,1217.52,2685.34,9395.78,1066.38,799.37,3921.98,1130.55,2754.97,2216.75,5536.54,26.25,1210.1,1223.63,5406.46,2926.53,2029.76,3661.19,4387.07,6122.85,8903.82,3594.59,14181.52,3481.27
