miRNA,SRR3879751,SRR3879752,SRR3879753,SRR3879754,SRR3879755,SRR3879756,SRR3879757,SRR3879758,SRR3879759,SRR3879760,SRR3879761,SRR3879762,SRR3879763,SRR3879764,SRR3879765
hsa-let-7a-2-3p,0.0,0.94,0.0,2.81,2.82,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
hsa-let-7a-3p,13.59,13.23,10.56,35.84,29.26,39.88,9.77,11.64,20.27,5.18,6.52,2.45,1.34,5.77,1.93
hsa-let-7a-5p,7690.68,6261.5,4789.34,3155.63,2382.99,4382.26,592.32,707.55,3371.43,1227.83,1499.86,624.5,1316.57,2586.43,1344.01
hsa-let-7b-3p,1.47,2.36,0.0,7.03,7.05,16.65,1.83,2.59,12.97,4.44,2.17,1.23,0.67,6.74,3.86
hsa-let-7b-5p,2938.57,2482.21,1817.12,3097.3,2450.68,4626.99,622.24,822.02,3898.34,954.16,905.56,484.77,1391.62,2889.52,1587.5
hsa-let-7c-5p,318.91,73.21,43.56,46.74,108.57,66.99,12.21,7.76,143.48,63.61,107.02,41.06,39.53,252.1,130.44
hsa-let-7d-3p,416.28,443.54,324.75,312.75,297.87,466.61,24.43,28.46,90.79,82.84,86.92,52.71,40.2,51.96,28.99
hsa-let-7d-5p,1892.17,1443.03,1201.95,924.9,768.13,1346.78,68.39,73.73,351.0,288.47,264.55,156.28,87.1,105.84,82.13
hsa-let-7e-3p,4.41,6.61,5.28,4.57,3.88,3.49,0.0,0.65,2.43,1.48,1.09,0.0,0.0,0.0,1.93
hsa-let-7e-5p,732.99,591.86,547.18,166.22,155.81,272.22,29.31,43.98,145.1,37.72,44.0,31.87,69.68,111.62,73.43
hsa-let-7f-1-3p,2.57,3.31,1.98,4.92,5.64,8.52,0.61,0.65,2.43,1.48,0.54,0.0,1.34,0.0,0.0
hsa-let-7f-2-3p,0.37,0.0,0.0,2.81,0.35,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,9767.66,6567.11,5382.72,4166.63,3805.39,6028.75,597.2,655.81,2538.9,1564.37,1803.52,950.54,307.54,567.71,328.51
hsa-let-7g-3p,0.0,0.0,0.0,1.76,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,1817.22,1231.42,984.8,2011.1,1859.86,3105.18,379.21,403.57,1374.02,647.2,763.24,486.61,152.76,265.57,150.73
hsa-let-7i-3p,2.2,3.31,0.0,3.51,4.23,4.65,3.05,1.29,5.67,2.22,0.54,0.61,0.0,0.0,0.0
hsa-let-7i-5p,2742.73,2192.66,1529.34,3321.85,3024.92,5518.77,373.71,368.65,1393.48,575.45,533.99,370.78,160.8,348.32,275.37
hsa-miR-1-3p,5.51,2.83,2.64,4.92,5.29,2.32,1.22,3.88,2.43,0.74,3.8,2.45,0.0,0.0,0.0
hsa-miR-100-5p,8620.97,5655.94,4201.23,7564.03,7249.8,13661.79,245.48,296.86,825.22,917.17,1167.94,758.72,3093.45,6020.56,4718.04
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.35,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,225.96,201.22,116.17,190.11,248.17,240.47,128.84,107.36,251.3,133.14,117.88,71.7,4.69,27.9,18.36
hsa-miR-101-5p,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0
