miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-4723-3p,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0
hsa-miR-4726-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4728-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4732-3p,0.0,0.0,0.0,0.0,0.0,0.0,12.76,3.26,26.12,6.76
hsa-miR-4732-5p,0.0,0.0,0.0,0.0,0.0,8.36,0.0,0.0,3.27,0.0
hsa-miR-4733-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4741,0.68,1.07,0.24,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4745-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4746-5p,0.85,0.0,0.73,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4753-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4754,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4756-3p,0.17,0.18,0.49,0.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4758-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4762-5p,0.17,0.0,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4767,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4772-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-4775,0.17,0.0,0.24,0.11,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-4782-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4784,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4785,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4786-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4793-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4799-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-3p,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-483-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.38,16.3,3.27,6.76
hsa-miR-483-5p,0.0,0.0,0.0,0.22,0.0,0.0,3.19,13.04,0.0,6.76
hsa-miR-484,2.55,4.09,5.73,7.07,0.0,79.44,44.65,22.82,42.45,6.76
hsa-miR-485-3p,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-485-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,3.27,3.38
hsa-miR-486-3p,0.0,0.18,0.0,0.11,0.0,12.54,73.35,0.0,101.23,16.89
hsa-miR-486-5p,0.0,0.18,3.9,0.11,0.0,3670.88,14357.47,153.25,966.62,3.38
hsa-miR-487a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-487b-3p,0.0,0.36,0.12,0.0,0.0,4.18,3.19,6.52,0.0,0.0
hsa-miR-488-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-490-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-493-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0
hsa-miR-493-5p,0.17,0.71,0.49,0.22,0.0,12.54,3.19,19.56,9.8,20.27
hsa-miR-495-3p,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-497-5p,1.7,1.07,2.68,2.36,6.68,0.0,9.57,32.61,26.12,0.0
hsa-miR-498-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-4999-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-499a-5p,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,6.76
hsa-miR-5000-3p,0.17,0.18,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5001-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5009-5p,0.0,0.0,0.24,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-500a-3p,0.17,0.53,0.61,1.35,0.0,0.0,0.0,13.04,0.0,0.0
hsa-miR-500b-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-501-3p,0.0,0.18,0.37,0.22,0.0,0.0,6.38,6.52,0.0,13.51
hsa-miR-5010-5p,0.0,0.0,0.0,0.0,0.0,0.0,12.76,0.0,9.8,0.0
hsa-miR-502-3p,0.0,0.0,0.37,0.0,0.0,0.0,9.57,3.26,0.0,3.38
hsa-miR-503-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-503-5p,0.17,0.0,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-504-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0
hsa-miR-505-3p,0.68,0.53,0.73,0.67,0.0,0.0,9.57,0.0,0.0,0.0
hsa-miR-505-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-508-3p,0.0,0.18,0.12,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5088-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-509-3-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-509-3p,0.17,0.0,0.0,0.67,0.0,0.0,0.0,0.0,3.27,3.38
hsa-miR-509-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-511-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-512-3p,4.59,4.63,1.34,2.02,6.68,12.54,15.95,32.61,26.12,16.89
hsa-miR-512-5p,0.34,0.18,0.12,0.22,0.0,0.0,3.19,3.26,0.0,13.51
hsa-miR-514a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,3.27,0.0
hsa-miR-514b-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-515-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-515-5p,1.87,3.03,1.34,1.91,6.68,33.45,19.13,22.82,3.27,16.89
hsa-miR-516a-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-516a-5p,3.91,10.5,5.12,3.82,13.36,66.9,57.4,94.56,13.06,64.18
hsa-miR-516b-5p,0.17,1.07,0.24,0.67,6.68,33.45,22.32,16.3,26.12,40.54
hsa-miR-517-5p,0.68,0.71,0.12,0.11,0.0,8.36,3.19,13.04,0.0,0.0
hsa-miR-517a-3p,0.17,0.53,0.37,1.12,0.0,0.0,6.38,32.61,3.27,20.27
hsa-miR-517b-3p,0.51,1.07,0.61,0.0,13.36,20.9,19.13,6.52,0.0,6.76
hsa-miR-517c-3p,0.0,0.0,0.0,0.0,0.0,12.54,0.0,6.52,6.53,3.38
hsa-miR-5188,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5189-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-518a-3p,0.0,0.36,0.0,0.0,20.04,4.18,0.0,3.26,3.27,0.0
hsa-miR-518a-5p,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-518b,3.06,6.59,3.05,4.94,6.68,37.63,38.27,68.47,0.0,30.4
hsa-miR-518c-3p,0.51,1.25,1.22,1.12,6.68,16.72,6.38,26.08,0.0,10.13
hsa-miR-518c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-518d-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-518e-3p,1.53,1.07,0.61,0.79,6.68,12.54,0.0,13.04,3.27,0.0
hsa-miR-518e-5p,0.0,0.53,0.0,0.11,0.0,0.0,3.19,6.52,0.0,0.0
hsa-miR-518f-3p,0.34,1.25,0.49,0.56,13.36,4.18,3.19,3.26,0.0,0.0
hsa-miR-518f-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-5191,0.51,0.53,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519a-2-5p,0.17,0.0,0.12,0.11,0.0,0.0,0.0,9.78,0.0,0.0
hsa-miR-519a-3p,0.17,0.89,0.0,0.34,0.0,4.18,6.38,3.26,0.0,0.0
hsa-miR-519a-5p,0.17,0.0,0.0,0.11,0.0,12.54,0.0,6.52,0.0,0.0
hsa-miR-519b-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-519b-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-519c-3p,1.19,0.53,0.37,0.45,13.36,16.72,3.19,6.52,3.27,6.76
hsa-miR-519c-5p,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-519d-3p,0.68,0.71,0.49,0.34,0.0,0.0,6.38,6.52,0.0,0.0
hsa-miR-519d-5p,0.0,0.89,0.12,0.45,0.0,0.0,0.0,3.26,3.27,0.0
hsa-miR-520a-3p,2.38,3.92,2.07,1.8,6.68,8.36,25.51,19.56,16.33,13.51
hsa-miR-520a-5p,0.17,0.71,0.12,0.0,6.68,0.0,0.0,0.0,0.0,3.38
hsa-miR-520b-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-520c-3p,0.34,0.18,0.37,0.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520d-3p,0.34,0.71,0.61,0.67,0.0,4.18,12.76,13.04,3.27,3.38
hsa-miR-520d-5p,0.34,0.71,0.24,0.11,0.0,4.18,3.19,0.0,0.0,6.76
hsa-miR-520e-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520e-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520f-3p,0.85,1.25,1.46,1.35,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520f-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-520g-3p,1.36,0.18,0.49,0.56,0.0,4.18,0.0,16.3,0.0,6.76
hsa-miR-520h,0.0,0.18,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-521,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-522-3p,0.68,1.25,0.61,0.56,6.68,4.18,3.19,3.26,0.0,0.0
hsa-miR-522-5p,0.85,0.18,0.24,0.11,0.0,0.0,0.0,9.78,0.0,0.0
hsa-miR-523-3p,0.85,1.07,0.0,0.0,0.0,4.18,0.0,3.26,0.0,0.0
hsa-miR-523-5p,0.34,0.18,0.12,0.0,0.0,4.18,0.0,3.26,6.53,0.0
hsa-miR-524-3p,0.0,0.0,0.0,0.11,0.0,4.18,3.19,13.04,0.0,0.0
hsa-miR-524-5p,0.34,0.71,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0
hsa-miR-525-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,9.78,0.0,0.0
hsa-miR-525-5p,0.17,0.0,0.0,0.0,0.0,4.18,3.19,6.52,0.0,0.0
hsa-miR-526a-5p,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-526b-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-526b-5p,0.0,1.07,0.0,0.11,6.68,4.18,0.0,6.52,0.0,3.38
hsa-miR-532-3p,0.0,0.0,0.12,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-532-5p,1.36,2.67,4.02,3.03,6.68,25.09,66.97,88.04,42.45,33.78
hsa-miR-539-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-539-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-542-3p,0.0,0.71,0.37,0.22,0.0,20.9,3.19,16.3,0.0,0.0
hsa-miR-542-5p,0.0,0.0,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-543,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548a-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548a-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ae-5p,0.0,0.0,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ah-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548am-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-548ap-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548ax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-548b-3p,0.17,0.0,0.61,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548b-5p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548d-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548d-5p,0.0,0.0,0.85,0.45,0.0,0.0,3.19,0.0,3.27,0.0
hsa-miR-548e-3p,0.34,0.36,1.58,1.35,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548e-5p,0.68,0.0,0.73,0.9,0.0,0.0,12.76,0.0,0.0,0.0
hsa-miR-548f-3p,0.0,0.0,0.24,0.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548h-5p,0.17,0.36,0.37,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548j-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548k,3.91,6.05,13.41,13.7,6.68,0.0,0.0,0.0,6.53,0.0
hsa-miR-548l,0.17,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548n,0.17,0.0,0.24,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548o-3p,1.36,1.78,5.0,3.14,0.0,0.0,3.19,0.0,3.27,0.0
hsa-miR-548q,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548u,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548w,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-548x-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-550a-3p,0.0,0.0,0.24,0.11,0.0,0.0,0.0,0.0,9.8,3.38
hsa-miR-551a,0.0,0.18,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-551b-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-5585-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5587-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5588-5p,0.68,0.53,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-561-5p,2.72,2.85,8.53,5.61,6.68,0.0,3.19,0.0,3.27,0.0
hsa-miR-5683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-5696,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5697,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-5699-5p,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-574-3p,1.36,1.6,2.56,3.14,26.72,0.0,19.13,45.65,6.53,6.76
hsa-miR-574-5p,0.0,0.36,2.19,0.56,0.0,4.18,3.19,0.0,3.27,0.0
hsa-miR-576-3p,0.17,0.18,0.73,0.45,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-576-5p,0.17,0.36,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-577,0.85,1.25,4.27,3.03,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-579-5p,0.51,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-580-3p,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-580-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-581,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-3p,0.51,0.18,0.49,0.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-582-5p,0.17,0.53,0.49,0.45,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-584-5p,0.34,0.89,1.34,1.12,20.04,29.27,487.94,35.87,463.71,13.51
hsa-miR-586,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-589-3p,0.17,0.36,1.58,0.79,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-589-5p,21.41,20.65,59.25,60.51,0.0,0.0,9.57,0.0,3.27,0.0
hsa-miR-590-3p,0.17,0.0,0.98,1.12,6.68,0.0,0.0,0.0,3.27,13.51
hsa-miR-592,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-598-3p,0.0,0.0,0.37,0.9,0.0,0.0,3.19,0.0,0.0,3.38
hsa-miR-6068,0.0,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,3.38
hsa-miR-6085,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-615-3p,2.72,4.63,3.17,3.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-616-3p,0.17,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-616-5p,0.17,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6165,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-618,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-619-5p,0.68,2.14,0.85,1.12,0.0,0.0,9.57,0.0,0.0,0.0
hsa-miR-624-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-625-3p,0.51,0.36,0.24,0.9,0.0,0.0,6.38,0.0,3.27,0.0
hsa-miR-625-5p,0.0,0.0,0.0,1.46,13.36,0.0,3.19,0.0,0.0,0.0
hsa-miR-627-3p,0.17,0.0,0.24,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-627-5p,0.0,0.18,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-628-3p,0.0,0.0,0.37,0.22,0.0,0.0,6.38,3.26,3.27,0.0
hsa-miR-628-5p,0.17,0.71,0.73,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-629-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-629-5p,0.0,0.0,0.37,0.45,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-641,0.68,0.18,0.49,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-647,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6499-5p,0.0,0.36,0.0,0.0,20.04,12.54,0.0,6.52,3.27,10.13
hsa-miR-6501-5p,0.51,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-651-5p,0.17,0.18,0.12,0.22,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-6511a-3p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,6.53,0.0
hsa-miR-6511a-5p,0.34,0.0,0.61,1.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6511b-5p,0.34,0.0,1.34,1.23,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6513-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6514-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6515-5p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6516-3p,0.34,0.89,0.12,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6516-5p,0.0,0.36,0.12,0.11,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-652-3p,0.17,0.36,1.1,0.79,6.68,29.27,25.51,0.0,13.06,16.89
hsa-miR-652-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,3.38
hsa-miR-654-3p,0.0,0.89,0.37,0.9,6.68,8.36,35.08,6.52,39.19,13.51
hsa-miR-654-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-655-3p,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-660-5p,0.34,0.89,0.61,1.23,13.36,45.99,25.51,26.08,26.12,6.76
hsa-miR-663a,4.08,3.03,2.93,3.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-663b,0.85,0.89,1.22,1.12,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-664a-3p,0.0,0.36,0.49,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-664a-5p,0.0,0.89,0.49,0.45,0.0,0.0,6.38,0.0,0.0,0.0
hsa-miR-664b-3p,0.51,0.36,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-665,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-671-3p,0.34,0.53,0.49,0.22,0.0,0.0,3.19,0.0,3.27,0.0
hsa-miR-671-5p,0.34,0.0,0.61,0.11,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-6716-3p,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6720-3p,0.34,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6724-5p,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6733-5p,0.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6735-5p,0.0,0.0,0.12,0.0,0.0,4.18,0.0,0.0,0.0,0.0
hsa-miR-6736-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6740-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0
hsa-miR-6741-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.76
hsa-miR-6746-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-675-3p,0.17,0.18,0.0,0.0,0.0,0.0,3.19,3.26,0.0,0.0
hsa-miR-675-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6752-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6755-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6759-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6762-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6764-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6770-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6772-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0
hsa-miR-6780a-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6792-3p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6793-5p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6795-5p,0.0,0.0,0.0,0.0,6.68,0.0,0.0,0.0,0.0,10.13
hsa-miR-6800-5p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6807-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6808-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6816-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6825-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6829-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6837-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-6842-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-6846-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6847-5p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6848-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6850-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6852-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6859-5p,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6861-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6866-5p,0.17,0.0,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6868-3p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6872-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6875-5p,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
