miRNA,GSM2442624,GSM2442625,GSM2442626,GSM2442627,GSM2442628,GSM2442629,GSM2442630,GSM2442631,GSM2442632,GSM2442633
hsa-miR-3176,0.0,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3177-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3178,233.33,225.17,66.08,67.25,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3179,0.0,0.18,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3182,0.34,0.53,0.61,1.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3183,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3188,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3190-3p,0.17,0.53,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3194-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3195,0.34,0.36,0.85,0.56,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-3196,0.34,1.07,0.37,0.34,0.0,0.0,6.38,0.0,0.0,6.76
hsa-miR-32-3p,0.0,0.0,0.12,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-32-5p,0.51,0.18,0.24,0.22,0.0,16.72,19.13,3.26,19.59,3.38
hsa-miR-3200-3p,0.68,0.36,0.98,1.01,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,11.22,12.64,20.85,18.64,20.04,100.34,57.4,48.91,42.45,27.02
hsa-miR-320a-5p,0.0,0.0,0.61,0.56,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320b,0.51,2.49,2.8,1.12,33.4,4.18,31.89,78.25,68.58,67.56
hsa-miR-320c,0.17,0.36,0.24,0.56,0.0,0.0,6.38,0.0,0.0,0.0
hsa-miR-320d,0.17,0.53,0.24,0.22,0.0,0.0,3.19,0.0,0.0,3.38
hsa-miR-320e,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-323a-3p,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,0.0
hsa-miR-323b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,3.38
hsa-miR-324-3p,0.68,0.71,2.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-324-5p,1.53,3.56,11.22,11.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-328-3p,1.19,1.07,2.56,2.92,13.36,4.18,41.46,0.0,26.12,0.0
hsa-miR-329-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-330-5p,0.17,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-331-3p,0.17,0.18,0.24,0.11,0.0,0.0,0.0,3.26,3.27,0.0
hsa-miR-331-5p,0.34,0.71,0.37,0.67,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-335-3p,13.09,17.27,23.9,27.28,0.0,4.18,6.38,19.56,19.59,13.51
hsa-miR-335-5p,69.0,65.5,177.64,163.24,13.36,154.7,9.57,16.3,19.59,13.51
hsa-miR-337-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,0.0
hsa-miR-337-5p,0.0,0.0,0.12,0.0,6.68,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-3p,0.17,0.0,0.61,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-338-5p,0.17,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-339-3p,1.53,2.31,6.95,5.84,20.04,0.0,3.19,6.52,19.59,0.0
hsa-miR-339-5p,5.27,5.7,31.82,31.21,0.0,0.0,3.19,0.0,0.0,0.0
hsa-miR-33a-3p,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33a-5p,0.51,0.71,0.85,0.34,0.0,0.0,3.19,0.0,3.27,0.0
hsa-miR-33b-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-33b-5p,0.34,0.89,1.46,1.91,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-340-3p,0.51,0.71,0.24,0.11,20.04,0.0,0.0,0.0,9.8,0.0
hsa-miR-340-5p,2.72,6.59,8.29,9.32,6.68,4.18,22.32,32.61,9.8,20.27
hsa-miR-342-3p,1.7,0.89,2.56,2.58,33.4,16.72,3.19,3.26,3.27,10.13
hsa-miR-342-5p,0.17,0.18,0.24,0.11,0.0,0.0,3.19,3.26,6.53,3.38
hsa-miR-345-5p,4.08,3.03,3.78,3.93,20.04,0.0,22.32,0.0,16.33,0.0
hsa-miR-34a-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-34a-5p,0.85,0.71,1.58,1.12,0.0,0.0,3.19,13.04,6.53,3.38
hsa-miR-34b-5p,0.0,0.18,0.37,0.22,0.0,0.0,0.0,6.52,0.0,0.0
hsa-miR-34c-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,3.26,0.0,0.0
hsa-miR-34c-5p,0.34,2.14,1.1,4.27,0.0,0.0,0.0,42.39,0.0,6.76
hsa-miR-3605-3p,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0,3.27,0.0
hsa-miR-3605-5p,0.0,0.18,0.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-361-3p,0.68,1.07,1.34,0.67,6.68,0.0,12.76,0.0,6.53,10.13
hsa-miR-361-5p,1.36,3.56,5.36,7.75,0.0,0.0,0.0,13.04,9.8,3.38
hsa-miR-3610,0.0,0.36,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3611,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3613-3p,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3613-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,3.27,0.0
hsa-miR-3614-3p,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3615,0.34,0.53,0.12,0.67,0.0,0.0,12.76,9.78,13.06,0.0
hsa-miR-362-5p,0.0,0.0,0.0,0.11,0.0,4.18,3.19,9.78,3.27,10.13
hsa-miR-363-3p,0.51,0.53,0.37,0.56,6.68,4.18,86.11,9.78,48.98,16.89
hsa-miR-3648,6.12,5.34,6.71,6.85,0.0,0.0,12.76,0.0,22.86,6.76
hsa-miR-3652,0.34,0.36,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3654,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3655,0.34,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
