miRNA,SRR10611421,SRR10611425,SRR10611429,SRR10611430,SRR10611432,SRR10611435,SRR10611436,SRR10611437
hsa-let-7a-2-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,83.0,56.0,12.0,15.0,4.0,119.0,92.0,165.0
hsa-let-7a-5p,5935.0,8859.0,2945.0,2045.0,779.0,7925.0,12533.0,50510.0
hsa-let-7b-3p,51.0,49.0,19.0,2.0,3.0,57.0,53.0,94.0
hsa-let-7b-5p,26431.0,30801.0,16323.0,5317.0,17766.0,51190.0,21618.0,117145.0
hsa-let-7c-3p,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-let-7c-5p,176.0,259.0,113.0,74.0,120.0,316.0,226.0,1244.0
hsa-let-7d-3p,1043.0,1559.0,816.0,177.0,145.0,1238.0,1416.0,4916.0
hsa-let-7d-5p,1814.0,2518.0,1503.0,411.0,605.0,2971.0,3093.0,17063.0
hsa-let-7e-3p,6.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0
hsa-let-7e-5p,29.0,75.0,25.0,20.0,5.0,43.0,189.0,397.0
hsa-let-7f-1-3p,15.0,2.0,0.0,2.0,0.0,8.0,13.0,23.0
hsa-let-7f-2-3p,4.0,0.0,1.0,0.0,0.0,8.0,1.0,7.0
hsa-let-7f-5p,5571.0,6147.0,912.0,714.0,430.0,5041.0,11371.0,28697.0
hsa-let-7g-3p,8.0,0.0,0.0,2.0,0.0,4.0,3.0,8.0
hsa-let-7g-5p,16999.0,8106.0,1771.0,2153.0,2679.0,14139.0,12444.0,51180.0
hsa-let-7i-3p,23.0,13.0,7.0,3.0,6.0,39.0,8.0,46.0
hsa-let-7i-5p,60817.0,28993.0,7203.0,13309.0,31311.0,70901.0,39491.0,143698.0
hsa-miR-1-3p,40.0,63.0,8.0,25.0,10.0,32.0,189.0,280.0
hsa-miR-100-5p,1342.0,1220.0,573.0,356.0,477.0,2860.0,959.0,6956.0
hsa-miR-101-2-5p,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-101-3p,8244.0,4993.0,870.0,108.0,3137.0,17122.0,6165.0,11253.0
hsa-miR-101-5p,4.0,2.0,0.0,0.0,2.0,4.0,1.0,10.0
hsa-miR-10226,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-10394-3p,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
hsa-miR-10395-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
hsa-miR-10396b-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,31.0,26.0,13.0,11.0,18.0,42.0,23.0,151.0
hsa-miR-10399-5p,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-103a-3p,66.0,1909.0,196.0,282.0,3756.0,2599.0,77.0,397.0
hsa-miR-10400-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
hsa-miR-10401-3p,1.0,10.0,2.0,0.0,2.0,9.0,5.0,34.0
hsa-miR-10526-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
