miRNA,SRR23107340,SRR23107341,SRR23107342,SRR23107343,SRR23107344,SRR23107345,SRR23107346,SRR23107347,SRR23107348,SRR23107349,SRR23107350,SRR23107351,SRR23107352,SRR23107353,SRR23107354,SRR23107355,SRR23107356,SRR23107357,SRR23107358,SRR23107359,SRR23107360,SRR23107361,SRR23107362,SRR23107363,SRR23107364,SRR23107365,SRR23107366,SRR23107367,SRR23107368,SRR23107369,SRR23107370,SRR23107371,SRR23107372,SRR23107373,SRR23107374,SRR23107375,SRR23107376
hsa-let-7g-5p,6.22,84.0,26.34,390.57,4.22,176.24,0.53,1.52,960.87,105.56,255.52,22.67,4793.59,1968.39,1065.92,1659.7,1108.34,38.04,1167.55,3347.62,835.43,40.51,4.37,7.74,125.91,308.96,3672.39,57.19,44.96,1795.75,1339.53,3082.77,1696.77,1603.52,2832.16,727.45,3397.83
hsa-let-7i-3p,1.29,5.63,0.17,16.91,0.0,2.66,0.09,0.0,13.47,0.0,6.53,4.38,2.04,8.24,8.58,0.84,16.03,0.0,5.77,1.64,9.8,0.32,0.0,2.11,6.69,10.92,9.35,0.88,0.14,4.92,10.72,3.83,18.56,3.83,13.53,12.33,0.31
hsa-let-7i-5p,422.07,7456.43,476.88,10813.5,47.52,1398.68,92.93,25.54,9833.28,118.52,2140.2,461.33,9239.32,18029.88,6581.71,3302.67,9873.77,123.53,14490.3,3442.86,13722.82,608.44,259.07,473.95,5644.24,11715.42,15330.49,6517.34,56.92,14235.89,9884.78,12935.83,11029.06,4430.51,8564.93,6787.89,5185.69
hsa-miR-1-3p,19.94,15.06,13.78,28.32,15.33,17.71,0.0,0.0,33.35,4.9,0.58,5.05,92.74,23.71,19.95,758.82,20.06,0.14,2.95,20.88,34.89,13.93,20.03,35.16,14.9,31.6,891.52,0.0,3.17,17.39,58.0,169.75,17.27,31.48,54.57,3.03,137.09
hsa-miR-100-5p,112.11,459.14,71.86,984.24,5.36,20.07,29.07,2.28,752.59,84.38,45.81,95.86,318.34,713.93,1733.08,373.26,1428.11,27.64,279.88,2963.39,2798.35,123.47,11.43,66.1,1356.51,951.97,4491.2,139.11,19.88,164.67,944.26,1323.32,593.26,269.99,678.28,1581.2,482.62
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0
hsa-miR-101-3p,100.32,919.41,90.0,2688.32,10.54,60.52,16.42,26.09,1921.61,6.3,539.36,241.44,715.37,1707.57,2063.31,231.07,1796.18,5.98,1788.23,968.88,3274.87,149.62,13.18,154.0,316.77,1232.4,2911.42,685.18,2.88,2173.3,2432.99,2685.68,3792.03,1291.89,1651.21,1125.53,1200.05
hsa-miR-101-5p,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.13,0.0,0.47,0.0,0.31,0.2,1.7,0.0,1.8,0.0,1.21,0.44,1.37,0.0,0.07,0.0,2.1,0.0,0.86,0.0,0.0,0.0,0.52,0.0,0.95,1.2,1.4,0.0,0.31
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.36,0.0,0.0,1.2,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.34,0.55,0.0,0.0,0.0
hsa-miR-10394-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.67,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.36,0.0,0.0,0.4,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0
hsa-miR-10395-5p,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
hsa-miR-10398-3p,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.39,0.62,0.52,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,7.72,16.89,3.84,21.13,0.19,0.89,0.0,0.0,30.01,0.35,1.4,0.0,11.2,18.29,15.16,0.6,19.63,0.14,27.5,9.18,20.78,0.96,0.0,0.7,1.15,9.19,14.6,4.75,0.0,12.47,17.83,10.67,8.25,10.38,18.42,12.44,14.82
