miRNA,GSM4698453,GSM4698454,GSM4698455,GSM4698446,GSM4698447,GSM4698448,GSM4698449,GSM4698450,GSM4698451,GSM4698452
hsa-let-7a-3p,0.0,0.28,0.0,0.14,0.57,0.57,0.42,0.0,1.33,0.52
hsa-let-7a-5p,47.56,93.56,134.88,171.94,265.01,66.36,186.54,162.89,135.36,104.89
hsa-let-7b-3p,0.0,0.14,0.0,0.29,0.29,0.0,0.0,0.0,0.17,0.0
hsa-let-7b-5p,22.92,26.22,40.84,50.78,146.64,19.82,86.86,82.99,50.39,47.98
hsa-let-7c-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hsa-let-7c-5p,44.93,4.83,7.92,18.46,19.08,8.61,18.61,14.0,11.97,13.93
hsa-let-7d-3p,0.13,0.69,0.63,1.01,2.3,0.68,0.7,0.21,1.16,3.78
hsa-let-7d-5p,6.46,12.14,14.09,16.16,26.11,9.63,16.07,17.92,9.81,5.5
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.17,0.0
hsa-let-7e-5p,1.32,2.07,3.17,5.63,11.19,1.7,3.95,2.88,4.99,3.1
hsa-let-7f-1-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,60.08,106.67,174.29,172.81,218.53,101.7,189.78,148.68,137.52,130.86
hsa-let-7g-5p,31.88,64.03,120.15,85.25,197.58,60.36,90.66,68.78,135.36,119.34
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-let-7i-5p,53.1,61.41,118.1,124.92,334.46,106.79,181.75,126.85,93.79,96.29
hsa-miR-1-3p,7.64,12.7,4.12,1.01,0.72,1.02,1.83,121.08,67.18,6.53
hsa-miR-100-5p,5.67,10.49,10.29,12.41,29.27,17.78,17.62,14.83,19.12,24.76
hsa-miR-101-3p,1.05,3.17,8.55,1.88,6.03,7.25,6.2,5.77,7.32,20.29
hsa-miR-10393-3p,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.4,0.69,2.85,0.72,0.0,0.57,0.0,0.0,0.0,0.52
hsa-miR-10395-5p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396a-3p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.13,0.0,0.16,0.14,0.43,0.23,0.42,0.0,0.0,0.86
hsa-miR-103a-3p,6.32,6.62,27.86,1.15,11.62,3.06,10.86,10.71,11.64,14.96
hsa-miR-10401-3p,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.28,0.21,0.0,0.0
hsa-miR-106a-5p,0.0,0.14,0.16,0.0,0.14,0.11,0.14,0.21,0.5,0.34
hsa-miR-106b-3p,1.05,1.38,2.22,3.32,6.17,2.15,3.52,4.53,3.66,3.61
hsa-miR-106b-5p,0.0,0.41,0.32,0.14,0.72,0.11,0.56,0.62,1.5,1.2
hsa-miR-107,0.13,0.55,0.0,0.0,0.43,0.11,0.56,0.41,0.67,0.69
hsa-miR-10a-3p,0.0,0.14,0.63,0.14,0.29,0.0,0.14,0.0,0.5,0.86
hsa-miR-10a-5p,3.03,12.56,19.31,30.58,47.92,6.91,17.91,7.83,55.21,44.36
hsa-miR-10b-3p,0.26,0.14,0.0,0.29,0.29,0.0,0.28,0.0,0.67,0.17
hsa-miR-10b-5p,28.33,35.19,36.57,71.55,69.73,24.01,72.61,32.12,72.5,80.99
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-11401,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,0.0,0.0,0.16,0.29,1.15,0.23,0.14,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.52
hsa-miR-12136,0.0,0.0,0.47,0.0,0.14,0.0,0.14,0.0,0.0,0.52
hsa-miR-122-3p,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,65.61,17.52,32.45,189.4,287.68,2.04,837.82,24.09,0.83,89.59
hsa-miR-124-3p,0.79,0.0,0.0,0.14,0.14,0.23,0.14,0.21,0.33,0.0
hsa-miR-124-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,1.58,4.42,12.35,2.6,2.58,3.4,6.49,5.56,0.17,1.38
hsa-miR-1247-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,0.14,1.11,1.3,1.72,1.36,1.13,0.0,0.17,0.69
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.45,0.14,0.0,0.0,0.34
hsa-miR-1255b-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.21,0.0,0.17
hsa-miR-125a-3p,0.0,0.41,0.32,0.0,0.14,0.34,0.28,0.21,0.0,0.0
hsa-miR-125a-5p,5.14,6.49,4.59,18.61,39.46,4.19,7.33,2.88,21.95,19.6
hsa-miR-125b-1-3p,0.26,0.0,0.16,0.29,0.0,0.0,0.0,0.0,0.0,0.17
hsa-miR-125b-5p,2.77,3.86,3.17,10.96,22.81,4.98,4.51,5.15,14.47,7.91
hsa-miR-126-3p,34.91,49.4,67.12,68.52,66.72,71.46,123.8,115.73,57.54,57.09
hsa-miR-126-5p,0.53,0.41,1.27,1.01,0.86,0.23,1.13,1.24,1.0,1.55
hsa-miR-1260b,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
hsa-miR-1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-1266-5p,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.29,0.11,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-127-3p,8.17,3.73,4.75,8.65,16.21,5.55,9.45,12.97,6.15,12.21
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.21,0.0,0.34
hsa-miR-1271-5p,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.17,0.0
