miRNA,SRR8696980,SRR8696981,SRR8696982,SRR8696983,SRR8696984,SRR8696985,SRR8696986,SRR8696987,SRR8696988,SRR8696989,SRR8696990,SRR8696991,SRR8696992,SRR8696993,SRR8696994,SRR8696995,SRR8696996,SRR8696997
hsa-miR-12136,0.31,0.0,0.0,0.03,0.0,40.94,0.1,0.47,0.0,0.0,0.0,0.07,2.74,0.0,0.0,0.06,0.0,24.28
hsa-miR-122-3p,0.13,0.0,6.01,0.0,0.0,10.73,0.3,0.7,0.08,0.59,2.08,1.82,0.0,3.87,1.67,3.5,1.28,0.95
hsa-miR-122-5p,32.82,186.47,0.13,68.08,29.18,0.27,17.23,25.06,37.74,35.33,0.0,297.68,30.75,93.23,149.12,133.78,5.88,503.82
hsa-miR-1226-3p,0.8,0.0,0.0,0.75,1.28,0.0,1.79,4.18,7.66,0.0,0.03,22.57,1.28,0.07,0.0,2.34,0.0,0.0
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.13
hsa-miR-124-3p,11.9,5.97,17.4,0.0,3.52,20.09,6.62,0.99,9.03,3.04,1.04,73.24,0.79,78.25,0.95,0.0,6.39,1.26
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0
hsa-miR-1246,65.24,24.59,1.88,0.13,3.95,15.75,2.14,0.09,0.12,3.3,3.3,35.04,0.0,0.0,0.48,3.32,1.79,15.61
hsa-miR-1247-5p,0.0,0.14,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,0.0,0.0
hsa-miR-1249-3p,9.35,1.42,0.06,0.1,0.16,0.07,9.56,2.49,6.65,8.61,3.16,5.39,4.06,20.82,183.39,0.25,253.12,1.26
hsa-miR-1249-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.07,0.24,0.0,0.0,0.0
hsa-miR-1250-5p,0.13,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.49,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,0.0,0.0,1.56,0.0,0.0,12.08,1.2,1.64,0.0,0.0,0.0,0.0,0.49,0.0,0.0,10.45,0.0,0.0
hsa-miR-125a-3p,0.0,0.71,0.0,0.03,0.0,0.07,1.44,1.31,0.04,0.07,0.0,0.13,0.0,0.15,0.71,0.0,0.51,0.16
hsa-miR-125a-5p,54.6,135.45,27.23,32.96,106.42,696.87,366.48,112.83,52.76,85.61,29.98,113.53,32.42,104.19,510.66,269.47,52.67,416.8
hsa-miR-125b-1-3p,0.18,0.43,4.44,0.0,0.0,14.39,0.05,0.0,0.08,0.04,0.1,11.79,0.0,0.22,2.02,0.0,0.0,0.0
hsa-miR-125b-2-3p,0.04,0.28,0.0,0.03,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.71,0.0,0.0,0.32
hsa-miR-125b-5p,10.2,37.52,4.57,6.64,10.72,63.75,29.98,14.03,7.24,11.58,8.65,32.21,6.53,38.58,346.31,8.36,13.3,64.16
hsa-miR-126-3p,6323.41,15939.28,2253.68,14022.82,6956.65,21097.26,32038.61,42883.6,1605.28,3092.24,1740.52,12366.76,23390.96,8611.47,9423.29,10128.54,1609.77,13038.03
hsa-miR-126-5p,11.4,86.56,5.07,55.77,9.55,13.37,76.8,41.02,0.43,2.23,4.72,30.93,40.94,3.07,64.86,48.39,27.1,23.96
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.13,0.57,0.0,0.93,0.11,0.0,0.2,0.05,0.04,0.07,0.03,0.81,9.04,0.15,0.83,2.03,0.0,1.89
hsa-miR-1261,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.13,0.28,1.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.48,0.0,0.0
hsa-miR-1268b,0.0,152.79,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,5.86,2.16,0.0,0.0,0.0,0.26,0.0
hsa-miR-1269a,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,375.23,1191.89,327.98,6596.36,114.42,5949.06,826.09,3300.67,69.1,94.7,49.33,2280.89,1561.91,848.46,213.62,84.6,31.96,72.2
hsa-miR-127-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1270,0.09,0.0,0.0,1.52,0.0,21.38,2.34,0.99,0.0,0.0,0.0,2.76,0.93,8.18,0.0,5.29,0.0,0.0
hsa-miR-1271-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
hsa-miR-1271-5p,0.0,0.0,0.0,1.26,0.21,0.0,2.59,4.08,0.0,0.15,3.2,0.13,1.85,0.0,0.0,0.37,0.77,0.0
hsa-miR-1273c,0.0,0.0,0.0,2.42,0.0,0.0,0.1,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.03,0.0,0.0,0.45,2.63,0.0,0.15,1.56,0.54,5.47,0.0,0.0,1.48,0.77,0.0
hsa-miR-1273h-5p,470.57,1101.21,10.83,14.19,29.55,319.55,103.3,28.21,90.46,22.52,54.47,239.73,8.96,289.62,125.43,0.06,0.26,115.24
hsa-miR-1275,3.58,0.14,0.0,0.0,15.52,0.0,1.94,0.0,0.0,0.0,1.49,7.21,0.66,5.84,0.0,0.12,0.51,0.0
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.09,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,1.97,0.0,0.0,6.26,0.21,0.0,6.67,14.5,0.0,0.07,0.24,2.36,5.69,4.6,0.95,4.49,1.79,0.0
hsa-miR-128-1-5p,0.0,1.85,0.0,1.24,0.64,0.0,2.74,3.85,0.0,0.0,0.0,0.13,1.5,3.0,0.48,2.09,0.0,0.16
hsa-miR-128-3p,15.16,123.94,15.15,88.27,39.1,0.54,100.86,155.72,1.36,4.86,8.75,89.28,120.74,34.41,5.0,77.22,15.85,1.1
hsa-miR-1284,1.43,0.14,0.0,12.28,5.87,32.72,12.25,35.39,0.04,2.63,0.07,0.34,1.68,2.92,17.37,0.86,0.0,0.0
hsa-miR-1285-3p,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0
hsa-miR-1285-5p,2.68,0.28,0.88,0.0,3.47,0.0,0.3,1.6,0.0,0.07,1.25,5.39,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-3p,0.0,0.0,0.06,0.0,0.0,0.0,0.45,1.36,0.0,0.0,0.0,0.2,1.37,0.0,0.0,0.0,0.0,0.0
hsa-miR-1287-5p,0.13,26.72,1.44,12.41,9.12,0.0,9.26,18.73,0.04,0.04,0.03,5.05,15.18,8.77,0.0,6.27,0.26,26.96
