miRNA,SRR26377431,SRR26377432,SRR26377433
hsa-let-7a-2-3p,0.0,29.88,0.0
hsa-let-7a-5p,278.81,521.39,2097.15
hsa-let-7b-5p,43794.46,10145.52,23027.32
hsa-let-7c-3p,0.0,0.0,14.39
hsa-let-7c-5p,3133.14,25.4,28.79
hsa-let-7d-5p,1.07,1.49,0.0
hsa-let-7e-5p,26.71,4.48,6.3
hsa-let-7f-5p,26.71,28.39,98.96
hsa-let-7g-5p,0.0,0.75,0.9
hsa-let-7i-5p,2.14,70.96,18.89
hsa-miR-100-5p,197.62,34.36,142.15
hsa-miR-101-3p,6679.68,3719.23,1236.16
hsa-miR-10393-3p,0.0,0.0,6.3
hsa-miR-103a-3p,8639.89,6509.95,1865.94
hsa-miR-105-5p,345.04,198.7,127.75
hsa-miR-106b-3p,0.0,0.0,0.9
hsa-miR-107,1.07,37.35,10.8
hsa-miR-10a-5p,352.52,174.05,242.91
hsa-miR-10b-5p,2.14,0.0,0.0
hsa-miR-1179,0.0,0.75,33.29
hsa-miR-1180-5p,0.0,0.75,0.0
hsa-miR-12136,1.07,0.0,0.0
hsa-miR-1246,9.61,6.72,8.1
hsa-miR-125a-5p,562.96,215.88,112.46
hsa-miR-125b-5p,789.43,221.11,107.96
hsa-miR-1262,0.0,0.0,24.29
hsa-miR-127-3p,599.28,542.31,309.49
hsa-miR-127-5p,0.0,2.24,0.0
hsa-miR-1291,0.0,22.41,0.0
hsa-miR-1293,0.0,0.75,0.0
hsa-miR-1307-3p,1517.96,230.82,163.74
hsa-miR-132-3p,1.07,0.0,0.0
hsa-miR-134-5p,9.61,0.75,18.89
hsa-miR-135b-3p,0.0,0.0,18.89
hsa-miR-136-5p,173.05,180.77,251.01
hsa-miR-137-3p,1.07,0.0,0.0
hsa-miR-139-3p,0.0,33.61,0.0
hsa-miR-140-3p,2.14,28.39,9.9
hsa-miR-140-5p,0.0,0.0,17.09
hsa-miR-142-3p,701.83,621.49,244.71
hsa-miR-142-5p,0.0,56.02,30.59
hsa-miR-143-3p,6.41,6.72,0.9
hsa-miR-146b-3p,82.25,0.0,19.79
hsa-miR-146b-5p,1.07,0.0,10.8
hsa-miR-148a-3p,5.34,1.49,1.8
hsa-miR-148b-3p,1.07,0.0,0.0
hsa-miR-151a-3p,34.18,4.48,31.49
hsa-miR-152-3p,2088.4,1202.64,322.09
hsa-miR-153-3p,0.0,0.0,0.9
hsa-miR-15a-5p,217.92,263.68,29.69
hsa-miR-15b-3p,0.0,0.75,0.0
hsa-miR-16-5p,11831.78,3788.7,1669.81
hsa-miR-17-5p,1.07,0.0,0.0
hsa-miR-181a-5p,3.2,2.24,1.8
hsa-miR-181b-2-3p,0.0,41.83,0.0
hsa-miR-181b-5p,1667.52,581.9,977.95
hsa-miR-181d-5p,1.07,41.83,22.49
hsa-miR-182-5p,0.0,30.63,26.99
hsa-miR-184,0.0,0.75,0.0
hsa-miR-185-5p,3.2,1.49,0.0
hsa-miR-18b-5p,0.0,0.0,0.9
hsa-miR-191-5p,3.2,62.0,18.89
hsa-miR-194-5p,193.35,114.29,94.47
hsa-miR-195-5p,216.85,262.94,24.29
hsa-miR-196a-5p,0.0,19.42,74.67
