miRNA,SRR12765362,SRR12765363,SRR12765364,SRR12765365,SRR12765366,SRR12765367,SRR12765368,SRR12765369,SRR12765370,SRR12765371,SRR12765372,SRR12765373,SRR12765374,SRR12765375,SRR12765376,SRR12765377,SRR12765378,SRR12765379,SRR12765380,SRR12765381,SRR12765382,SRR12765383,SRR12765384,SRR12765385,SRR12765386,SRR12765387,SRR12765388,SRR12765389,SRR12765390,SRR12765391,SRR12765431,SRR12765435
hsa-let-7a-3p,0.0,0.0,0.0,20.27,0.0,0.0,0.0,0.0,8.68,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,0.0,0.0,0.0,2266.61,0.0,0.0,0.0,0.0,1332.53,0.0,0.0,2363.42,680.27,0.0,0.0,103.7,0.0,638.3,3638.35,54.17,245.4,766.41,1616.03,677.37,0.0,0.0,896.13,0.0,0.0,0.0,1552.25,653.87
hsa-let-7b-3p,0.0,0.0,0.0,24.33,0.0,0.0,0.0,0.0,39.06,0.0,0.0,52.52,0.0,0.0,0.0,0.0,0.0,0.0,10.17,0.0,0.0,0.0,0.0,6.95,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,0.0,0.0,0.0,1467.82,0.0,376.29,426.44,0.0,1766.59,0.0,1167.6,1675.4,0.0,0.0,0.0,103.7,0.0,212.77,3461.32,0.0,490.8,255.47,0.0,1083.78,146.84,1231.91,1876.45,360.88,0.0,0.0,826.9,603.58
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,16.22,0.0,0.0,0.0,0.0,112.85,0.0,212.29,26.26,680.27,0.0,0.0,0.0,0.0,0.0,50.87,0.0,0.0,0.0,0.0,17.37,0.0,0.0,0.0,1082.64,0.0,0.0,290.14,150.89
hsa-let-7d-3p,0.0,0.0,0.0,713.64,0.0,0.0,0.0,0.0,768.27,0.0,0.0,582.98,0.0,0.0,0.0,0.0,0.0,0.0,366.28,0.0,0.0,23.22,0.0,312.63,0.0,0.0,523.24,360.88,0.0,0.0,188.59,251.49
hsa-let-7d-5p,0.0,0.0,0.0,681.2,0.0,0.0,0.0,0.0,290.81,0.0,106.15,556.72,0.0,0.0,0.0,0.0,0.0,0.0,726.45,0.0,0.0,278.69,0.0,132.0,0.0,0.0,288.69,0.0,505.31,0.0,261.13,226.34
hsa-let-7e-3p,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,0.0,0.0,0.0,77.04,0.0,0.0,0.0,0.0,30.38,0.0,0.0,31.51,0.0,0.0,0.0,0.0,0.0,0.0,50.87,0.0,0.0,23.22,0.0,3.47,0.0,0.0,12.03,0.0,0.0,0.0,72.54,75.45
