miRNA,SRR21493613,SRR21493614,SRR21493615,SRR21493616,SRR21493617,SRR21493618,SRR21493619,SRR21493620,SRR21493621,SRR21493622,SRR21493623,SRR21493624,SRR21493625,SRR21493626,SRR21493627,SRR21493628,SRR21493629,SRR21493630,SRR21493631,SRR21493632,SRR21493633,SRR21493634,SRR21493635,SRR21493636,SRR21493637,SRR21493638,SRR21493639,SRR21493640,SRR21493641,SRR21493642,SRR21493643,SRR21493644,SRR21493645,SRR21493646,SRR21493647,SRR21493648,SRR21493649,SRR21493650,SRR21493651,SRR21493652,SRR21493653,SRR21493654,SRR21493655,SRR21493656,SRR21493657,SRR21493658,SRR21493659,SRR21493660,SRR21493661,SRR21493662,SRR21493663,SRR21493664,SRR21493665,SRR21493666,SRR21493667,SRR21493668,SRR21493669,SRR21493670,SRR21493671,SRR21493672
hsa-let-7e-5p,48.52,232.39,34.04,48.13,23.08,346.3,40.48,28.18,50.3,38.79,162.32,29.54,122.02,23.66,172.19,127.35,39.97,20.68,13.12,27.93,89.6,98.28,40.21,46.18,62.43,84.3,147.96,204.84,62.83,120.73,273.37,16.85,125.84,49.44,225.4,225.5,12.82,17.28,169.06,248.71,269.18,90.83,21.04,107.31,33.5,60.64,217.21,83.87,152.75,174.58,314.99,48.85,13.09,27.8,76.6,100.73,234.75,133.24,324.01,265.3
hsa-let-7f-1-3p,2.06,2.56,0.92,0.0,0.0,0.0,0.12,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.83,0.0,0.0,0.0,2.03,0.61,0.49,0.4,0.08,1.2,0.1,0.0,0.0,0.0,0.0,0.09,0.09,6.99,3.26,0.62,0.42,2.21,1.63,1.08,0.0,0.34,0.0,0.0,1.25,0.41,1.46,0.0,0.15,7.47,0.08,0.38,0.41,0.81,0.36,2.96,0.82,1.57,0.58
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.33,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,2.51,0.39,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,1.27,0.27,0.39,0.19
hsa-let-7f-5p,3304.3,11852.95,2391.95,5952.98,1194.19,4842.04,432.99,441.82,5458.89,4960.96,5144.35,2347.44,5288.1,3140.03,10517.55,11076.77,783.83,410.7,211.33,519.09,1757.2,1686.69,1443.94,2014.3,6845.39,4840.59,4523.07,12707.67,6735.55,5861.93,5604.05,2092.83,2150.74,1697.33,22948.18,6200.68,460.96,549.75,6217.19,6279.62,5808.02,2978.22,1225.24,2566.1,475.79,1483.37,2613.97,1822.18,1811.48,1958.17,8747.95,569.4,428.83,2145.93,1599.95,3581.86,8435.72,6624.83,18796.92,7145.41
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,2.52,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.1,0.0,0.0,0.26,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,2663.68,4516.14,1796.72,2087.76,794.68,913.53,135.31,164.79,1962.7,1357.03,3960.78,1156.68,3568.84,1117.44,2491.75,4042.36,375.59,202.54,171.5,295.74,462.53,1202.39,708.33,781.33,2062.62,3327.09,832.84,8738.7,1528.52,2192.99,5076.84,701.5,787.38,764.04,15873.34,2120.39,212.08,499.79,1279.49,1529.58,1275.8,1359.91,505.49,633.05,184.04,1633.67,682.87,516.89,975.41,748.23,13986.16,207.78,265.48,1013.64,719.17,721.99,6422.05,1683.45,7943.34,1300.69
hsa-let-7i-3p,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.79,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1.78,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,5.13,2.17,0.93,0.31,0.26,0.0,0.0,0.0,0.0,0.45,0.0,2.41,0.0,0.0,0.39,0.0,4.67,0.0,0.0,0.0,0.0,0.0,6.44,0.18,4.23,0.38
hsa-let-7i-5p,7994.64,26957.15,7152.86,15938.56,4452.96,6624.99,971.76,702.8,17630.17,13088.51,10264.37,7874.48,10034.48,10013.98,23400.5,24850.03,1582.61,1491.72,859.99,1395.52,5381.73,5485.01,2143.27,2343.61,13526.7,15147.53,6152.15,18282.46,17386.09,15564.4,8943.04,6248.02,5578.08,3200.21,23360.64,10014.23,1697.27,1731.56,10586.36,9404.9,7531.52,6774.52,2591.71,4043.2,1071.17,6407.34,4113.3,3073.33,2700.57,2665.97,15435.3,1030.11,1184.37,3987.69,3358.52,5535.28,27282.29,10129.91,21574.26,8823.23
hsa-miR-1-3p,287.02,1862.01,290.71,605.05,61.66,54.61,6.71,323.87,157.6,178.2,2503.3,287.21,1660.38,76.65,971.25,1801.09,8.21,4.8,61.15,23.77,71.98,27.51,71.43,21.99,40.82,1314.18,26.61,2512.58,159.94,689.98,2245.52,182.75,147.12,196.62,142.62,82.27,10.34,0.21,31.21,21.59,13.84,47.45,6.41,7.72,268.92,13.21,711.97,331.37,35.48,13.17,69.29,23.4,0.57,9.09,8.99,13.32,91.41,41.97,126.42,18.24
hsa-miR-100-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
