miRNA,SRR21012079,SRR21012080,SRR21012081,SRR21012082,SRR21012083,SRR21012084,SRR21012085,SRR21012086
hsa-let-7a-2-3p,7.47,3.54,3.47,4.48,2.39,2.43,2.97,1.88
hsa-let-7a-3p,24.35,11.99,3.37,9.54,24.14,24.48,5.94,5.26
hsa-let-7a-5p,2237.55,1671.2,640.5,610.33,3015.47,3429.46,1682.74,1845.96
hsa-let-7b-3p,1.84,1.09,0.94,1.95,2.62,3.34,0.74,0.66
hsa-let-7b-5p,4315.2,5327.41,1880.37,967.76,1929.71,2424.02,2094.13,1903.14
hsa-let-7c-3p,0.18,0.34,0.19,0.32,0.31,0.4,0.28,0.38
hsa-let-7c-5p,246.41,154.89,199.26,66.7,86.31,80.0,136.42,148.26
hsa-let-7d-3p,314.29,240.76,63.54,187.18,446.2,466.76,213.02,186.19
hsa-let-7d-5p,473.46,249.82,87.72,108.87,692.86,783.53,259.02,290.13
hsa-let-7e-3p,9.59,7.97,3.09,8.5,5.63,5.87,3.52,4.51
hsa-let-7e-5p,197.17,190.67,105.06,75.59,146.93,173.66,133.08,148.45
hsa-let-7f-1-3p,2.49,1.16,0.47,1.69,2.16,1.52,0.46,0.56
hsa-let-7f-2-3p,4.15,4.7,2.25,3.44,12.96,13.76,4.64,2.91
hsa-let-7f-5p,1826.99,1069.13,380.14,440.67,2916.05,3145.05,1194.75,1416.58
hsa-let-7g-3p,0.74,0.55,0.09,0.84,1.16,0.81,0.46,0.47
hsa-let-7g-5p,1379.35,818.43,453.34,442.09,2268.62,2398.84,875.08,1038.84
hsa-let-7i-3p,47.49,25.55,17.71,19.14,23.14,20.94,11.69,8.73
hsa-let-7i-5p,13071.84,9088.35,4851.2,2228.96,6607.72,6997.47,5756.18,5488.96
hsa-miR-1-3p,44.17,34.07,6.0,18.23,116.7,116.72,48.41,50.98
hsa-miR-1-5p,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0
hsa-miR-100-3p,0.83,0.68,0.66,0.26,0.62,0.51,0.37,0.94
hsa-miR-100-5p,17197.53,11962.73,7816.69,5456.44,6231.48,6181.17,6860.89,5806.23
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.15,0.2,0.0,0.0
hsa-miR-101-3p,1335.73,1507.38,532.53,1323.04,6196.77,5078.75,2349.07,1754.22
hsa-miR-101-5p,0.09,0.2,0.09,0.91,0.93,1.92,0.65,0.09
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-10393-3p,0.09,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-10394-3p,0.09,0.07,0.0,0.0,0.0,0.0,0.09,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
hsa-miR-10396b-3p,0.18,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.46,0.2,0.0,0.32,1.08,1.11,0.28,0.47
hsa-miR-10399-5p,0.28,0.14,0.09,0.0,1.23,0.61,0.37,0.28
hsa-miR-103a-1-5p,0.09,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-103a-2-5p,0.0,1.36,1.87,0.84,1.16,1.42,1.39,1.69
hsa-miR-103a-3p,50.35,493.78,190.07,908.32,2489.14,2633.08,829.73,218.21
hsa-miR-10401-3p,8.85,13.42,14.9,10.58,16.66,8.39,8.53,5.16
hsa-miR-10401-5p,0.18,0.07,0.84,0.39,0.54,0.71,0.09,0.47
hsa-miR-105-5p,0.18,0.07,0.0,0.0,0.0,0.1,0.0,0.0
hsa-miR-10526-3p,3.87,3.13,1.5,0.58,0.93,1.21,1.39,0.85
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.08,0.1,0.0,0.0
