miRNA,SRR10197186,SRR10197189,SRR10197192
hsa-let-7a-2-3p,0.16,0.0,0.88
hsa-let-7a-3p,0.0,1.56,2.27
hsa-let-7a-5p,3846.68,2233.78,4013.39
hsa-let-7b-3p,1.44,0.0,0.5
hsa-let-7b-5p,833.38,350.26,705.42
hsa-let-7c-3p,1.6,0.52,1.77
hsa-let-7c-5p,955.24,327.86,685.61
hsa-let-7d-3p,37.21,22.4,21.7
hsa-let-7d-5p,153.96,72.81,207.13
hsa-let-7e-3p,5.43,0.13,2.78
hsa-let-7e-5p,853.98,425.94,762.19
hsa-let-7f-1-3p,0.16,0.52,0.5
hsa-let-7f-2-3p,0.0,0.0,0.13
hsa-let-7f-5p,12022.05,7003.8,9853.28
hsa-let-7g-5p,3612.22,1571.16,5214.7
hsa-let-7i-5p,26426.22,13927.49,21387.73
hsa-miR-1-3p,4.63,2.08,4.92
hsa-miR-100-3p,0.16,0.0,0.25
hsa-miR-100-5p,48058.19,26046.36,20039.34
hsa-miR-101-3p,386.66,230.29,341.48
hsa-miR-10393-3p,0.0,0.65,0.25
hsa-miR-10394-3p,0.48,1.17,0.13
hsa-miR-10395-3p,17.25,11.07,2.52
hsa-miR-10395-5p,0.48,0.65,0.13
hsa-miR-10396a-3p,0.0,0.0,0.25
hsa-miR-10396a-5p,0.0,0.0,0.25
hsa-miR-10396b-3p,0.0,0.13,0.38
hsa-miR-10396b-5p,0.0,0.0,0.25
hsa-miR-10399-3p,1.28,2.08,1.89
hsa-miR-103a-3p,84.17,23.84,817.06
hsa-miR-103b,0.0,0.13,0.0
hsa-miR-10400-5p,0.0,0.0,0.13
hsa-miR-10401-3p,2.72,0.65,3.53
hsa-miR-105-5p,0.0,0.0,0.63
hsa-miR-10526-3p,1.12,0.0,0.38
hsa-miR-106a-5p,0.0,0.0,0.63
hsa-miR-106b-3p,519.86,282.14,223.91
hsa-miR-106b-5p,8.62,5.08,19.17
hsa-miR-107,4.15,1.95,6.06
hsa-miR-10a-3p,17.25,10.16,11.23
hsa-miR-10a-5p,8229.36,5070.65,2724.92
hsa-miR-10b-3p,11.5,3.13,7.82
hsa-miR-10b-5p,10987.75,7528.08,4100.81
