miRNA,ERR7454544,ERR7454545,ERR7454546,ERR7454547,ERR7454548,ERR7454549,ERR7454550,ERR7454551,ERR7454552
hsa-let-7a-3p,0.0,10.02,0.05,0.05,0.71,0.15,0.14,7.85,13.14
hsa-let-7a-5p,6903.78,19051.34,13167.56,2235.28,7204.11,6708.04,3742.09,5633.27,3027.34
hsa-let-7b-3p,55.18,15.15,10.19,8.57,19.48,11.07,0.71,10.01,0.63
hsa-let-7b-5p,56469.42,68215.2,121348.32,27188.03,52336.81,52907.66,31627.43,78703.1,57243.26
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
hsa-let-7c-5p,1000.57,2617.16,2085.0,506.91,733.0,754.14,647.07,1727.25,882.37
hsa-let-7d-3p,2734.67,2956.56,2077.25,1354.98,2783.12,1919.37,1003.4,2251.14,1741.52
hsa-let-7d-5p,198.03,689.75,267.44,185.99,250.15,247.46,286.92,264.65,209.53
hsa-let-7e-5p,94.04,1045.48,351.99,198.32,669.09,326.51,139.89,279.91,117.4
hsa-let-7f-1-3p,1.4,3.21,0.05,0.45,0.44,0.0,0.21,0.0,0.21
hsa-let-7f-2-3p,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-let-7f-5p,3288.86,9163.47,4104.4,1366.36,2984.88,2460.66,1763.88,2367.85,2496.34
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-let-7g-5p,1288.75,2423.95,934.98,637.37,1014.0,717.0,1000.51,1063.21,1681.4
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
hsa-let-7i-5p,3654.99,6437.85,2259.32,1901.63,2618.73,2443.51,2634.31,2581.26,2977.79
hsa-miR-1-3p,688.78,130.38,383.29,522.5,315.02,295.44,717.47,375.67,579.77
hsa-miR-100-5p,571.8,194.67,250.72,593.21,759.18,463.31,434.93,611.8,403.93
hsa-miR-101-3p,302.69,384.24,296.44,92.32,221.24,244.38,198.65,353.44,378.7
hsa-miR-10395-3p,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-10399-3p,12.02,17.95,22.63,0.35,24.5,39.91,29.02,27.92,30.9
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-103a-3p,14.02,54.94,29.21,0.25,15.95,4.46,0.21,14.1,55.76
hsa-miR-10400-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,1.38,0.0,0.0,0.09,0.08,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,2.55,0.05,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.08,7.49,0.0,0.0,0.0,0.35,0.0,0.11
hsa-miR-106a-5p,0.06,4.97,0.0,0.15,0.35,0.08,0.0,0.0,0.26
hsa-miR-106b-3p,177.93,427.95,210.66,227.64,106.83,144.34,89.4,34.61,154.45
hsa-miR-106b-5p,40.13,4.68,5.66,0.25,0.26,0.0,0.35,23.66,0.26
hsa-miR-107,0.12,0.13,0.1,0.6,0.09,0.15,0.14,13.71,42.52
hsa-miR-10a-3p,24.28,0.04,0.0,0.0,0.09,0.0,0.14,0.0,0.05
hsa-miR-10a-5p,4919.15,3156.33,3703.12,4149.29,6708.92,5405.24,2514.12,3771.62,3996.8
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,5266.39,1847.41,2071.85,3634.77,6747.44,4136.19,3825.49,4963.48,3705.76
hsa-miR-11400,151.71,8.81,3.31,85.1,13.93,90.82,49.15,0.33,162.86
hsa-miR-11401,11.35,23.5,69.52,49.52,34.99,0.46,3.25,0.39,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-1180-3p,35.45,30.48,104.79,47.56,52.89,90.28,77.82,63.14,69.58
hsa-miR-1185-1-3p,0.0,1.38,0.05,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,10.68,0.0,0.0,0.05,0.0,0.0,0.07,0.06,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,6.14,0.0,0.0
hsa-miR-122-3p,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.0
hsa-miR-122-5p,15039.25,17961.81,15164.23,169991.52,4249.64,10869.68,132694.77,25733.77,7274.03
hsa-miR-1224-5p,0.0,0.04,0.36,0.2,0.09,0.54,0.07,0.22,0.05
hsa-miR-1225-5p,0.0,0.04,0.0,0.0,12.52,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,0.18,0.17,0.82,1.1,1.67,1.31,0.71,0.66,11.98
hsa-miR-1229-3p,0.06,3.55,0.1,9.32,0.0,5.38,0.07,0.06,0.0
hsa-miR-1238-3p,0.06,1.5,3.92,10.42,0.35,0.0,0.0,0.0,0.0
hsa-miR-124-3p,0.06,2.5,0.1,0.5,15.16,0.38,4.66,8.9,0.05
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0
hsa-miR-1246,24.83,17.95,1.22,10.88,32.44,23.07,24.43,20.12,10.04
hsa-miR-1249-3p,11.9,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,1.63,0.0,0.0,0.0,0.0,0.07,0.0,0.0
hsa-miR-1255a,0.0,2.09,0.1,0.0,0.09,0.0,0.07,0.0,0.0
hsa-miR-1255b-5p,0.0,19.5,29.15,10.12,10.75,7.0,6.78,9.12,10.09
hsa-miR-125a-3p,14.39,41.62,22.53,34.68,24.5,24.99,3.32,0.22,0.11
hsa-miR-125a-5p,698.49,633.39,182.47,466.31,1095.0,643.17,354.92,439.58,158.71
hsa-miR-125b-1-3p,0.18,0.0,6.22,0.15,0.18,16.76,0.0,0.0,0.16
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-125b-5p,238.34,111.42,57.14,407.72,312.29,210.47,262.77,272.01,204.43
hsa-miR-126-3p,3087.62,2865.76,1382.85,2293.27,2179.78,1806.64,1971.07,1721.28,2470.01
hsa-miR-126-5p,41.46,61.16,24.26,52.37,29.62,19.61,12.5,0.94,40.94
hsa-miR-1260b,0.06,2.67,0.0,0.15,0.18,0.15,0.28,0.0,0.05
hsa-miR-1268a,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,105.63,159.64,70.39,32.13,135.74,57.52,106.42,18.08,77.78
hsa-miR-127-5p,17.3,2.21,0.05,0.05,0.0,0.0,0.14,0.06,0.0
hsa-miR-1270,0.0,2.88,0.0,0.05,0.0,0.0,5.93,0.0,0.0
hsa-miR-1273h-3p,0.0,102.28,37.31,95.73,64.96,48.91,18.43,0.61,35.53
hsa-miR-1273h-5p,0.0,22.79,4.94,6.37,11.9,0.0,6.85,0.0,0.0
hsa-miR-1275,4.98,0.04,0.05,22.85,0.62,6.0,0.07,0.06,103.06
hsa-miR-1276,0.0,0.04,3.82,0.0,11.46,0.08,0.0,0.0,0.0
hsa-miR-1278,0.0,2.05,0.0,0.0,0.0,0.0,0.07,0.0,0.0
hsa-miR-128-1-5p,0.0,1.75,0.0,0.0,0.0,0.08,0.0,0.0,0.0
hsa-miR-128-3p,1836.2,4912.73,1819.86,1913.11,3162.84,1920.83,1330.15,997.64,3051.94
hsa-miR-1284,0.0,8.98,4.28,0.05,0.18,16.69,0.14,0.06,10.77
hsa-miR-1285-3p,13.11,15.49,18.2,11.23,11.63,6.54,47.81,18.74,12.3
hsa-miR-1285-5p,0.0,3.3,6.07,0.15,0.09,0.0,0.07,0.06,0.0
hsa-miR-1287-5p,0.0,4.76,0.0,0.0,0.0,0.0,0.07,0.0,0.0
hsa-miR-1288-3p,0.0,3.63,4.13,0.05,13.84,0.08,4.94,8.35,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
hsa-miR-129-5p,0.12,5.97,8.82,0.2,0.79,19.07,5.01,4.75,0.05
hsa-miR-1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.11
hsa-miR-1291,0.06,0.0,0.0,0.0,0.0,0.0,5.79,0.06,26.33
hsa-miR-1292-5p,10.62,9.81,13.35,6.52,13.31,0.15,9.11,11.67,0.0
hsa-miR-1294,24.46,42.17,34.1,20.1,21.24,12.46,0.56,22.78,6.41
hsa-miR-1296-5p,0.0,5.09,1.73,0.0,0.09,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,0.12,0.13,0.0,0.0,0.09,0.62,0.42,17.64,0.0
hsa-miR-1299,59.74,20.33,0.97,0.35,1.41,99.66,12.29,9.12,0.0
hsa-miR-1301-3p,0.0,43.96,14.98,21.35,38.34,19.92,6.64,7.46,2.42
hsa-miR-1303,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0
hsa-miR-1304-3p,0.0,21.21,0.41,11.98,0.53,0.15,0.21,0.22,0.0
hsa-miR-1304-5p,0.0,44.04,11.26,0.45,22.04,18.76,8.62,0.33,11.82
hsa-miR-1306-3p,0.0,33.52,71.97,74.78,79.68,26.61,12.08,34.17,0.0
hsa-miR-1306-5p,0.0,5.13,0.15,0.05,21.51,0.0,0.07,0.0,0.0
hsa-miR-1307-3p,266.81,431.63,263.72,382.16,313.97,436.01,178.59,39.47,317.48
hsa-miR-1307-5p,0.0,12.94,10.55,11.53,16.48,5.84,6.28,8.4,9.09
hsa-miR-130a-3p,0.0,8.18,8.92,0.15,0.26,0.0,10.31,8.35,0.53
hsa-miR-130b-3p,0.0,5.8,0.05,0.05,0.0,0.0,0.07,0.0,0.0
hsa-miR-130b-5p,217.57,351.81,294.55,415.69,310.18,266.84,80.72,47.66,86.98
hsa-miR-132-3p,0.06,0.04,0.1,0.0,0.09,0.0,5.44,0.06,0.11
