miRNA,SRR6905874,SRR6905875,SRR6905876,SRR6905877,SRR6905878,SRR6905879,SRR6905880,SRR6905881,SRR6905882,SRR6905883,SRR6905884,SRR6905885,SRR6905886
hsa-mir-1255a-5p,1.49,0.63,0.0,0.0,0.0,0.66,0.0,0.0,5.72,0.0,5.14,0.98,0.0
hsa-mir-1256-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-1258-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-1267-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0
hsa-mir-1270-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-1272-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-1273c-5p,0.6,2.72,0.0,0.0,1.79,0.66,0.0,0.0,5.72,0.0,9.0,4.9,0.0
hsa-mir-1276-5p,0.6,0.84,0.0,0.0,0.6,0.66,0.0,0.0,0.0,0.0,1.03,1.23,0.0
hsa-mir-1283-2-5p,0.3,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1285-2-3p,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1289-1-3p,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.49,0.0
hsa-mir-1293-5p,1.79,0.84,0.0,0.0,2.99,3.29,0.0,9.1,0.0,0.0,4.11,1.72,0.0
hsa-mir-1294-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0
hsa-mir-1303-3p,1.19,1.46,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0
hsa-mir-1305-3p,0.3,1.88,0.0,0.0,1.79,0.0,0.0,0.0,0.0,0.0,1.54,1.23,0.0
hsa-mir-153-1-3p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-1913-3p,0.0,0.63,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-2110-5p,1.79,0.63,0.0,0.0,0.6,0.66,13.33,0.0,0.0,0.0,5.91,2.94,0.0
hsa-mir-2278-5p,4.47,1.88,0.0,0.0,1.2,0.66,0.0,0.0,0.0,0.0,1.03,0.74,0.0
hsa-mir-298-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-mir-3132-5p,0.6,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0
hsa-mir-3133-5p,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-3135b-5p,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3138-3p,0.89,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.25,0.0
hsa-mir-3143-5p,0.0,0.21,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-3153-3p,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,0.0,0.0,0.26,0.49,0.0
hsa-mir-3155a-3p,14.59,7.32,0.0,0.0,7.18,39.53,0.0,0.0,0.0,0.0,4.37,3.43,0.0
hsa-mir-3159-5p,0.0,0.42,1.81,0.0,3.59,1.98,0.0,0.0,0.0,0.0,1.29,0.49,0.0
hsa-mir-3165-5p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-3167-3p,0.89,0.42,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.26,0.74,0.0
hsa-mir-3170-5p,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.0
hsa-mir-3176-3p,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3180-5-5p,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3199-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-326-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0
hsa-mir-3611-3p,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.49,0.0
hsa-mir-3618-3p,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3648-1-5p,1.49,1.88,0.0,0.0,1.2,0.0,0.0,0.0,2.86,0.0,0.51,0.74,0.0
hsa-mir-3648-2-5p,0.6,0.21,0.0,0.0,0.6,1.98,0.0,0.0,0.0,0.0,0.51,0.0,0.0
hsa-mir-3652-5p,0.0,0.84,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0
hsa-mir-3655-5p,0.0,0.21,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.25,0.0
hsa-mir-3658-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-3671-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-3672-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.49,0.0
hsa-mir-3689c-3p,0.0,0.21,9.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3908-5p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-3909-3p,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0
hsa-mir-3918-5p,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.98,0.0
hsa-mir-3929-3p,0.0,0.0,0.0,0.0,0.0,0.66,4.44,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3936-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-421-3p,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4267-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
hsa-mir-4280-5p,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-4424-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0
