miRNA,SRR27189936,SRR27189937,SRR27189938,SRR27189939,SRR27189940,SRR27189941,SRR27189942,SRR27189943,SRR27189944
hsa-let-7a-2-3p,0.1,0.1,0.1,1.49,2.45,2.23,0.0,0.32,0.16
hsa-let-7a-3p,5.49,6.44,4.9,14.79,26.24,24.5,14.78,4.75,14.06
hsa-let-7a-5p,922.66,1254.43,1250.54,3093.47,4373.11,4360.78,1035.28,514.36,675.15
hsa-let-7b-3p,0.93,1.04,1.56,2.61,3.41,6.05,0.51,0.32,0.64
hsa-let-7b-5p,542.44,623.84,760.14,3269.03,3727.36,4775.7,1496.86,560.75,1002.26
hsa-let-7c-3p,0.21,0.52,0.1,0.47,1.17,0.74,0.68,0.0,1.12
hsa-let-7c-5p,69.66,78.45,96.79,438.11,613.23,556.09,251.43,74.25,170.58
hsa-let-7d-3p,77.33,89.98,96.06,96.29,168.5,190.49,104.82,22.8,79.54
hsa-let-7d-5p,121.38,155.96,164.93,409.64,439.18,590.56,119.77,58.1,92.64
hsa-let-7e-3p,0.52,0.42,0.31,1.49,1.49,2.44,0.51,0.16,0.48
hsa-let-7e-5p,20.42,28.99,40.32,124.58,101.85,167.05,18.01,9.82,11.18
hsa-let-7f-1-3p,1.04,0.73,0.21,1.95,2.99,3.61,1.7,0.32,1.76
hsa-let-7f-2-3p,0.21,0.1,0.0,1.3,0.64,0.74,0.34,0.0,0.8
hsa-let-7f-5p,816.21,988.33,777.54,4102.64,5542.3,4443.72,1150.12,642.76,831.84
hsa-let-7g-3p,0.0,0.0,0.0,0.09,0.21,0.0,0.0,0.0,0.48
hsa-let-7g-5p,138.38,123.13,101.16,1931.25,2214.98,2790.41,710.46,287.34,739.52
hsa-let-7i-3p,0.0,0.0,0.1,1.3,0.21,0.42,0.0,0.16,0.16
hsa-let-7i-5p,431.74,453.64,479.67,3826.78,5559.58,6036.47,1976.44,701.97,1482.55
hsa-miR-1-3p,0.93,0.21,0.63,1.02,1.81,1.7,1.36,0.95,3.67
hsa-miR-100-3p,0.21,0.1,0.0,0.0,0.21,0.53,0.0,0.0,0.0
hsa-miR-100-5p,1143.04,977.11,1219.5,4244.33,4746.17,5825.62,580.16,199.16,417.68
hsa-miR-101-3p,15.34,13.92,17.5,45.77,84.36,66.08,25.65,4.27,30.03
hsa-miR-10393-3p,0.1,0.0,0.1,0.19,0.0,0.11,0.17,0.0,0.0
hsa-miR-10394-3p,0.83,0.62,1.56,0.74,0.32,0.42,0.17,0.16,0.16
hsa-miR-10394-5p,0.0,0.0,0.1,0.19,0.11,0.11,0.0,0.0,0.0
hsa-miR-10395-3p,0.1,0.0,0.0,3.35,0.64,1.8,0.17,0.16,0.16
hsa-miR-10395-5p,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
hsa-miR-10396a-3p,0.21,0.0,0.21,0.0,0.11,0.11,0.34,0.47,0.64
hsa-miR-10396b-3p,0.0,0.21,0.31,0.28,0.0,0.11,0.0,0.47,0.32
hsa-miR-10397-3p,11.61,10.91,15.21,3.26,6.51,2.55,7.81,9.18,7.19
hsa-miR-10397-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,1483.97,1515.75,1828.98,777.79,889.13,797.17,843.99,603.81,581.39
hsa-miR-10399-5p,4.04,5.2,5.83,15.91,8.32,8.59,6.97,4.43,5.75
hsa-miR-103a-3p,26.12,6.96,15.0,161.88,19.2,49.43,3.91,108.6,279.99
hsa-miR-10400-3p,0.21,0.1,0.1,0.09,0.11,0.32,0.0,0.0,0.0
hsa-miR-10401-3p,30.48,72.63,15.94,2.33,0.75,1.7,42.98,65.23,41.21
hsa-miR-10401-5p,0.31,0.31,0.0,0.0,0.0,0.0,0.17,0.16,0.16
hsa-miR-105-5p,0.1,0.42,0.1,0.47,1.49,1.17,0.51,0.0,0.48
hsa-miR-10526-3p,0.62,1.04,0.94,3.26,1.81,2.86,0.68,0.0,0.0
hsa-miR-10527-5p,3.73,4.16,8.02,3.91,6.93,5.09,1.02,0.79,0.8
hsa-miR-106a-5p,0.31,0.0,0.0,1.12,4.69,2.55,0.68,0.95,0.64
hsa-miR-106b-3p,66.03,47.9,57.82,231.75,293.71,365.07,322.95,66.18,175.38
hsa-miR-106b-5p,3.01,1.87,1.67,20.47,24.85,27.58,8.15,1.74,12.94
hsa-miR-107,1.14,1.35,0.31,8.19,4.48,14.11,4.08,2.06,2.88
hsa-miR-10a-3p,0.1,0.1,0.0,2.23,4.16,3.29,1.36,0.32,1.92
hsa-miR-10a-5p,98.79,109.62,111.9,122.9,271.53,217.75,140.49,71.08,98.07
hsa-miR-10b-3p,0.0,0.0,0.0,0.09,0.43,0.0,0.17,0.16,0.32
hsa-miR-10b-5p,43.02,33.15,109.08,36.75,60.47,53.88,34.83,22.64,37.85
hsa-miR-11401,0.0,0.0,0.0,0.28,0.43,0.21,0.34,0.0,0.0
hsa-miR-1178-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,23.43,24.52,31.88,61.59,147.28,128.55,86.98,14.88,45.84
hsa-miR-1180-5p,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-1181,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1182,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.1,0.28,0.21,0.42,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.09,0.21,0.11,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.1,0.0,0.0,0.0,0.17,0.0,0.0
