miRNA,SRR8471385,SRR8471386,SRR8471388,SRR8471389,SRR8471393,SRR8471396,SRR8471398,SRR8471403
hsa-let-7a-3p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-let-7f-5p,0.0,0.0,0.0,0.0,0.0,0.0,84.14,0.0
hsa-let-7g-5p,0.0,0.0,0.0,0.0,0.0,0.0,84.14,0.0
hsa-let-7i-5p,0.0,0.0,0.0,0.0,0.0,0.0,42.07,0.0
hsa-miR-101-3p,0.0,0.0,0.0,0.0,0.0,0.0,126.21,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,18.44,0.0,42.07,0.0
hsa-miR-12136,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,0.0,0.0,0.0,0.0,0.0,0.0,84.14,0.0
hsa-miR-1277-5p,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-148a-3p,0.0,0.0,0.0,0.0,0.0,0.0,42.07,0.0
hsa-miR-21-5p,0.0,0.0,0.0,0.0,0.0,0.0,631.05,0.0
hsa-miR-219a-1-3p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-miR-24-3p,0.0,0.0,0.0,0.0,0.0,0.0,84.14,0.0
hsa-miR-30d-5p,0.0,44.19,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3171,9.56,0.0,3.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-3648,0.0,0.0,0.0,0.0,36.89,134.89,42.07,34.69
hsa-miR-3665,9.56,22.09,0.0,0.0,0.0,0.0,42.07,0.0
hsa-miR-3929,0.0,0.0,0.67,105.26,0.0,44.96,0.0,34.69
hsa-miR-3960,0.0,22.09,0.0,39.47,36.89,44.96,0.0,0.0
hsa-miR-4297,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4436b-3p,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
hsa-miR-4491,0.0,22.09,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4508,0.0,0.0,0.0,0.0,0.0,0.0,42.07,0.0
hsa-miR-5588-5p,0.0,0.0,0.0,0.0,0.0,44.96,0.0,0.0
hsa-miR-619-5p,0.0,0.0,0.67,13.16,0.0,0.0,42.07,0.0
hsa-miR-7110-3p,9.56,44.19,0.0,78.94,0.0,0.0,0.0,34.69
hsa-miR-8078,0.0,22.09,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-8485,1233.39,16879.87,20.14,4670.87,3743.94,5530.58,3113.17,12558.98
hsa-miR-941,0.0,0.0,0.0,13.16,0.0,0.0,0.0,0.0
hsa-mir-12136-5p,0.0,22.09,0.0,0.0,0.0,89.93,0.0,0.0
hsa-mir-3159-5p,9.56,0.0,0.67,0.0,36.89,0.0,0.0,34.69
hsa-mir-3165-5p,0.0,0.0,0.0,0.0,0.0,44.96,0.0,0.0
hsa-mir-3195-5p,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3648-1-5p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-mir-3648-2-5p,0.0,0.0,0.0,39.47,36.89,0.0,0.0,34.69
hsa-mir-3689c-3p,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
hsa-mir-3929-3p,0.0,0.0,0.0,26.31,0.0,44.96,0.0,69.39
hsa-mir-558-3p,38.24,463.98,0.67,184.2,0.0,179.86,42.07,797.95
hsa-mir-5692b-5p,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0
hsa-mir-5708-5p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-mir-6127-5p,0.0,22.09,0.67,0.0,0.0,0.0,0.0,0.0
hsa-mir-620-3p,305956.59,27374.56,136565.32,16591.45,0.0,7014.39,27639.88,3850.96
hsa-mir-8072-5p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-mir-8078-3p,0.0,0.0,0.0,0.0,18.44,0.0,0.0,0.0
hsa-mir-9985-5p,0.0,44.19,0.0,52.63,0.0,0.0,42.07,34.69
