miRNA,SRR18568637,SRR18568638,SRR18568639,SRR18568640,SRR18568641,SRR18568642,SRR18568643,SRR18568644,SRR18568645,SRR18568646,SRR18568647,SRR18568648,SRR18568649,SRR18568650,SRR18568651,SRR18568652,SRR18568653,SRR18568654,SRR18568655,SRR18568656,SRR18568657,SRR18568658,SRR18568659,SRR18568660,SRR18568661,SRR18568662,SRR18568663,SRR18568668,SRR18568669,GSM6001197,GSM6001193,GSM6001192,GSM6001191,GSM6001190,GSM6001189,GSM6001188,GSM6001187,GSM6001186,GSM6001185,GSM6001184,GSM6001183,GSM6001182,GSM6001181,GSM6001180,GSM6001179,GSM6001178
hsa-miR-101-3p,657.47,694.14,1488.07,1576.84,2725.41,767.89,605.99,418.21,257.31,1218.19,524.21,230.11,703.86,1118.31,856.08,240.7,444.95,391.12,45.66,1902.82,1051.08,1846.55,523.52,834.87,2216.69,2734.8,945.07,1071.09,195.81,355.61,1062.17,686.6,1312.35,1384.96,1081.12,1131.81,1641.43,245.8,8270.94,6501.26,6554.83,6438.92,6566.92,7698.77,4084.69,4234.63
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,5.07
hsa-miR-10393-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.96,2.46,1.87,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,3243.97,1943.08,3109.86,10698.25,11591.73,3242.51,3206.47,3111.49,905.64,3016.61,829.63,1016.41,3640.96,3690.83,2323.29,1597.69,2313.54,2036.56,193.61,6742.2,8539.84,6719.58,2003.97,6654.93,4552.43,7329.45,6218.82,3080.52,1882.4,3951.88,6728.72,4195.25,10708.47,9932.42,15673.25,21299.18,12686.84,2023.03,47499.15,36693.44,45927.39,28697.63,48841.94,46111.4,39141.55,44396.66
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07
hsa-miR-106a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.62,0.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,2.55,0.0,0.0,1.27,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,5.02,5.42,7.17,2.34,7.25,0.0,11.54,11.33,12.46,9.95,9.17,9.16,4.6,4.34
hsa-miR-106b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8,3.01,0.0,0.0,0.78,0.0,0.0,2.4,3.45,1.25,3.11,4.85,4.89,0.0,5.07
hsa-miR-107,7.59,0.0,0.86,86.49,103.59,35.78,4.41,20.74,12.44,8.25,0.86,1.78,38.67,11.2,6.64,8.14,29.25,3.06,1.83,63.46,20.38,27.38,0.0,22.8,24.57,18.02,121.98,15.88,14.06,42.19,63.4,29.47,158.53,140.19,195.92,487.51,234.28,4.53,408.09,360.72,227.4,182.12,325.81,223.54,453.04,296.11
hsa-miR-10a-3p,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.54,0.0,0.92,0.0
hsa-miR-10a-5p,136.7,57.91,37.09,182.47,24.8,27.26,4.41,9.5,6.22,20.9,8.58,7.11,11.95,11.9,8.3,0.0,13.58,4.58,7.31,15.63,7.64,6.84,0.0,13.94,7.56,10.81,47.15,4.54,4.33,13.39,59.28,156.91,96.32,31.15,109.9,162.24,46.42,0.0,74.99,65.54,54.2,30.46,59.88,71.46,85.63,85.43
hsa-miR-10b-5p,1.08,0.0,14.67,9.49,0.0,0.0,0.0,0.0,0.78,1.1,1.72,0.0,0.0,1.4,1.66,2.33,0.0,0.0,0.91,0.0,1.27,2.74,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3.29,3.98,4.01,4.06,9.56,0.78,0.0,0.0,0.0,0.99,0.62,2.49,1.08,0.0,0.0,0.72
hsa-miR-11400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,3.73,0.0,0.0,2.76,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,5.11,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,4.15,0.0,4.18,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.03,0.0,0.0,6.7,4.94,0.0,3.01,0.0,0.0,10.14,2.18,0.0,5.77,11.83,9.35,5.59,7.01,1.83,6.45,0.0
hsa-miR-1180-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,2.4,0.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1199-5p,0.0,0.0,0.0,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1207-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0
hsa-miR-12116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79
hsa-miR-12136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,1.97,0.62,0.62,2.7,1.22,0.92,13.03
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,15.19,9.23,7.76,7.38,0.0,0.0,2.94,0.0,1.55,5.5,0.0,30.21,21.09,2.1,0.0,3.49,0.0,0.0,6.39,0.0,1.27,2.74,0.0,7.6,0.0,6.01,0.0,0.0,1.08,20.76,93.87,19.12,16.05,188.95,34.64,0.0,11.61,12.46,20.19,3.94,6.85,16.16,7.01,3.66,0.0,15.2
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0
hsa-miR-124-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255b-5p,4.34,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,6.85,3.11,1.08,3.05,0.0,2.9
hsa-miR-125a-5p,1.08,5.88,7.76,32.7,26.26,0.0,0.0,8.64,0.0,3.85,0.0,0.0,16.88,0.7,0.0,0.0,3.13,0.0,0.0,9.2,7.64,6.84,10.01,7.6,9.45,6.61,13.33,6.81,6.49,4.02,28.0,12.74,14.05,20.99,7.17,16.38,8.7,3.4,32.69,23.65,31.77,11.19,17.8,17.71,22.1,16.65
hsa-miR-125b-5p,4.34,0.84,0.0,2.11,0.0,0.0,2.94,0.0,2.33,2.75,0.0,3.55,1.41,3.5,0.0,0.0,5.22,1.53,1.83,3.68,2.55,8.21,0.0,8.87,7.56,3.6,9.23,3.4,2.16,4.69,7.41,11.95,2.01,0.68,0.0,7.02,10.88,0.0,2.4,0.49,4.36,4.97,4.32,1.83,0.0,0.72
hsa-miR-126-3p,0.0,5.04,0.0,24.26,9.48,0.0,5.88,2.59,0.78,7.7,6.01,0.0,12.66,4.2,4.15,0.0,2.09,0.0,0.0,9.2,7.64,5.48,1.43,0.0,11.34,3.0,6.15,0.0,2.16,0.0,19.76,9.56,28.09,21.67,28.67,32.76,32.64,0.0,37.01,26.12,24.3,23.62,42.61,28.71,62.61,13.76
hsa-miR-126-5p,2.17,0.0,0.0,12.66,8.75,0.0,0.0,0.0,0.0,0.55,0.0,3.55,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.67,1.65,11.15,2.01,0.0,8.36,21.06,5.08,0.0,7.69,2.46,6.85,4.97,3.78,9.16,2.76,0.0
hsa-miR-1260a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.48,0.49,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,1.08,0.0,0.0,2.11,40.85,0.0,0.0,2.59,0.0,0.0,0.0,0.0,1.41,0.0,4.15,0.0,0.0,0.0,0.0,3.68,7.64,2.74,1.43,2.53,1.89,16.81,27.68,0.0,1.08,0.0,0.0,1.59,0.0,0.68,0.0,44.46,2.18,0.0,1.92,3.94,6.23,1.24,5.39,3.05,16.57,0.0
hsa-miR-1270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,2.16,0.0,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,3.12,3.63,0.0,0.96,0.49,0.0,0.0,1.08,0.0,0.0,5.79
hsa-miR-1276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,2.55,4.11,4.29,0.0,0.0,0.6,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0,0.0,0.0,14.04,0.0,0.0,2.88,4.44,1.87,0.0,2.16,3.66,11.05,0.0
hsa-miR-1284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1285-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,3.49,0.0,0.0,0.0,0.0,0.0,4.11,0.0,0.0,3.78,0.0,0.0,1.13,0.0,10.05,0.0,0.0,0.0,16.93,0.0,0.0,1.45,13.59,4.81,5.91,18.07,9.95,15.64,9.77,9.21,34.03
hsa-miR-1289,1.08,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,1.83,0.0,0.0
hsa-miR-1296-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,2.9
hsa-miR-1301-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,3.11,0.0,0.0,0.0,0.0
hsa-miR-1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.54,1.22,0.0,0.0
