miRNA,SRR18568637,SRR18568638,SRR18568639,SRR18568640,SRR18568641,SRR18568642,SRR18568643,SRR18568644,SRR18568645,SRR18568646,SRR18568647,SRR18568648,SRR18568649,SRR18568650,SRR18568651,SRR18568652,SRR18568653,SRR18568654,SRR18568655,SRR18568656,SRR18568657,SRR18568658,SRR18568659,SRR18568660,SRR18568661,SRR18568662,SRR18568663,SRR18568668,SRR18568669,GSM6001197,GSM6001193,GSM6001192,GSM6001191,GSM6001190,GSM6001189,GSM6001188,GSM6001187,GSM6001186,GSM6001185,GSM6001184,GSM6001183,GSM6001182,GSM6001181,GSM6001180,GSM6001179,GSM6001178
hsa-miR-1304-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,5.5,0.0,2.9
hsa-miR-1306-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,3.11,0.0,0.61,0.0,0.0
hsa-miR-1306-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,53.16,62.11,50.03,540.03,310.77,111.32,123.55,158.12,16.32,28.05,26.6,22.21,123.76,34.29,27.4,16.28,53.27,21.39,3.65,76.33,95.55,57.49,10.01,97.55,79.37,30.63,115.83,15.88,34.62,152.02,144.09,64.52,286.95,329.14,708.4,1277.67,432.3,282.05,753.21,648.99,639.22,364.24,996.31,647.42,1847.13,1607.99
hsa-miR-130a-3p,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,2.96,1.25,0.0,1.08,0.0,0.0,0.0
hsa-miR-130b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,1.24,0.0,0.0,0.0,0.0
hsa-miR-130b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,2.44,0.0,0.0
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,3.66,0.0,0.0
hsa-miR-133a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,1.0,0.0,0.0,16.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.38
hsa-miR-134-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,1.86,2.7,0.0,0.0,7.96
hsa-miR-1343-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0
hsa-miR-135a-5p,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.96,0.0,0.0,0.0,4.32,0.0,0.0,0.0
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-136-5p,5.42,0.0,7.76,3.16,17.51,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.6,6.37,2.74,0.0,0.0,3.78,6.61,71.75,4.54,0.0,0.0,0.0,6.37,10.03,18.29,10.75,103.74,15.96,9.06,37.49,43.36,19.31,4.97,45.31,48.86,33.15,30.41
hsa-miR-139-3p,27.12,80.58,18.12,318.53,20.43,43.73,52.95,28.51,7.77,31.9,17.16,47.09,76.64,26.59,21.59,12.79,26.11,13.75,0.0,18.39,17.84,20.53,4.29,19.0,5.67,3.6,26.65,0.0,6.49,49.56,42.82,102.75,67.22,82.62,170.83,167.7,160.3,37.38,133.15,125.66,129.59,128.05,185.56,143.53,286.37,287.42
hsa-miR-139-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-140-3p,2.17,0.0,0.0,5.27,1.46,4.54,0.0,0.0,0.78,2.2,0.0,5.33,0.0,1.4,0.83,0.0,7.31,1.53,0.0,0.0,0.0,2.74,0.0,2.53,1.89,0.6,3.08,0.0,1.08,0.0,4.12,0.0,7.02,7.45,10.75,6.24,15.96,0.0,25.48,29.57,33.02,26.11,48.55,25.04,18.42,31.86
hsa-miR-140-5p,0.0,12.59,9.49,42.19,59.82,10.22,4.41,5.18,0.78,17.05,6.86,0.0,11.25,13.3,9.96,3.49,8.36,12.22,1.83,15.63,6.37,6.84,1.43,1.27,20.79,23.42,6.15,12.48,6.49,18.08,83.16,37.44,75.25,92.1,74.07,65.52,101.55,39.64,347.05,328.68,409.95,355.54,447.72,468.46,519.33,330.14
hsa-miR-141-3p,70.52,2.52,0.0,55.9,7.29,51.68,8.83,118.38,59.08,50.05,33.46,21.32,6.33,7.7,37.37,31.4,0.0,9.17,67.58,40.47,5.1,26.01,5.72,45.61,58.58,13.81,66.63,26.1,30.29,0.0,29.64,13.54,41.14,3.39,23.89,39.0,10.15,0.0,10.57,14.78,9.35,11.19,11.87,22.6,23.02,23.89
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,1.97,0.0,0.0,3.24,0.0,0.0,0.0
hsa-miR-142-3p,23971.77,19200.83,8778.35,72362.7,43306.67,10630.01,8720.71,12651.61,3428.23,10066.74,3437.79,5972.3,23087.55,10663.8,9611.18,4252.36,5936.87,4438.26,429.24,16321.62,15820.94,12027.89,6940.21,16602.48,9446.91,9619.86,17745.21,6321.03,9705.18,22403.38,63867.65,50087.3,90964.27,88608.93,144135.37,202381.24,95407.69,13171.19,316170.42,331584.78,291078.87,241832.31,341637.91,268597.68,281870.19,196393.79
hsa-miR-142-5p,458.93,299.65,176.84,1834.2,976.07,232.3,226.51,258.35,107.28,310.74,111.53,124.39,776.29,328.21,156.93,94.19,153.54,110.0,7.31,762.42,301.95,369.58,154.48,206.5,457.32,611.94,460.24,285.93,220.7,173.45,803.63,423.75,737.44,846.55,518.46,616.99,779.01,203.89,3997.76,3666.29,2978.05,2905.88,3504.62,3755.63,2388.57,1935.23
hsa-miR-143-3p,0.0,0.0,0.0,0.0,0.0,3.98,0.0,2.59,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,4.01,6.1,5.97,18.72,0.0,0.0,6.25,7.39,3.74,1.86,0.54,6.11,5.52,8.69
hsa-miR-144-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,2.76,1.27,0.0,0.0,0.0,0.0,2.4,2.05,0.0,0.0,0.0,10.7,2.39,15.05,11.51,5.97,0.78,4.35,0.0,74.02,37.45,71.65,58.43,51.78,73.9,31.31,30.41
hsa-miR-144-5p,0.0,0.0,0.0,0.0,0.0,1.7,0.0,1.73,0.0,4.4,2.57,0.0,0.0,0.7,4.15,0.0,0.0,0.0,0.0,9.2,10.19,28.75,5.72,0.0,7.56,19.82,6.15,14.75,1.08,2.68,0.82,6.37,10.03,28.44,4.78,0.78,10.15,0.0,65.37,39.42,47.35,76.45,32.9,75.74,2.76,23.17
hsa-miR-145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,9.56,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-146a-5p,0.0,55.4,2.59,116.02,4.38,0.57,20.59,20.74,0.0,0.55,0.0,0.0,0.7,3.5,0.0,0.0,0.0,0.0,0.0,10.12,0.0,2.74,0.0,0.0,3.78,0.0,12.3,0.0,0.0,6.7,4.12,32.66,31.1,39.28,27.48,107.64,31.19,47.57,68.26,51.74,84.73,42.89,161.29,108.72,240.33,73.85
hsa-miR-146b-3p,0.0,14.27,0.0,7.38,0.73,0.0,5.88,0.0,0.0,7.7,0.0,3.55,18.28,0.0,4.98,0.0,2.09,0.0,0.0,2.76,1.27,5.48,0.0,0.0,1.89,1.2,0.0,0.0,8.65,0.0,0.0,5.58,0.0,8.13,0.0,6.24,4.35,15.86,13.46,4.44,6.85,1.86,10.79,7.94,26.7,5.07
hsa-miR-146b-5p,20.61,0.0,0.0,6.33,2.92,23.29,0.0,0.0,0.78,4.95,0.0,1.78,26.72,7.0,4.15,0.0,7.31,0.0,0.0,0.0,2.55,0.0,2.86,1.27,0.0,3.0,6.15,1.13,6.49,0.0,19.76,7.17,3.01,0.68,22.7,15.6,2.18,4.53,77.39,69.48,9.35,39.78,17.26,3.05,6.45,154.21
hsa-miR-148a-3p,0.0,0.84,0.0,4.22,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.65,4.78,0.0,10.16,1.19,11.7,1.45,0.0,3.85,8.38,4.98,3.73,15.1,12.83,13.81,13.76
hsa-miR-148b-3p,0.0,0.0,0.0,4.22,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,0.0,8.8,0.0,5.46,0.0,0.0,4.33,8.38,10.59,1.86,7.01,9.77,7.37,15.93
hsa-miR-148b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.62,1.86,0.0,0.0,0.0,0.0
hsa-miR-150-5p,3.25,0.0,6.9,47.46,0.0,6.82,0.0,4.32,3.11,8.8,0.0,5.33,4.22,6.3,0.0,0.0,7.31,0.0,0.0,8.28,8.92,4.11,0.0,5.07,1.89,3.0,2.05,2.27,1.08,6.03,44.46,29.47,20.07,14.22,44.2,19.5,17.41,0.0,33.65,21.19,4.36,8.08,23.2,9.16,42.36,22.44
hsa-miR-151a-3p,6.51,0.0,0.0,16.88,13.86,3.41,2.94,7.78,0.78,0.0,0.0,0.0,1.41,0.0,1.66,0.0,0.0,0.0,0.0,0.0,1.27,1.37,2.86,2.53,0.0,0.6,0.0,0.0,1.08,5.36,0.0,3.98,21.07,3.39,23.89,45.24,21.03,0.0,30.28,23.65,39.25,21.76,48.01,9.16,41.44,69.5
hsa-miR-151a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,6.53,0.0,6.25,6.41,9.35,3.73,3.78,2.44,0.92,0.0
hsa-miR-151b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.96,3.45,0.0,0.0,0.0,3.05,0.0,5.07
hsa-miR-152-3p,46.65,16.79,18.12,215.17,107.97,13.63,22.06,38.88,15.55,6.6,6.86,19.55,23.91,8.4,10.79,4.65,13.58,3.06,5.48,19.31,33.12,17.79,7.15,31.67,20.79,51.04,76.88,13.62,12.98,24.11,129.27,95.58,86.29,102.94,126.63,205.92,187.14,28.32,297.06,250.83,381.29,174.04,428.3,398.83,412.52,374.3
hsa-miR-153-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,3.49,0.0,0.0,3.65,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-155-5p,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,1.35,4.78,0.78,3.63,0.0,0.96,2.46,4.98,1.86,0.0,6.11,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,2.34,0.0,0.0,5.77,0.99,10.59,2.49,2.7,0.0,12.89,0.0
hsa-miR-15a-5p,24.95,71.34,42.27,129.73,71.49,43.17,44.13,50.12,15.55,33.0,0.86,10.66,31.64,33.59,34.87,20.93,48.05,13.75,1.83,136.11,126.13,212.17,52.92,144.42,56.69,118.9,95.33,68.08,20.55,150.68,156.44,124.26,325.08,292.57,488.59,514.81,283.61,38.51,1080.55,848.57,860.39,766.41,1077.23,1010.22,743.09,745.71
hsa-miR-15b-3p,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.84,3.82,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.67,4.94,0.0,3.01,0.0,7.17,12.48,7.98,0.0,10.57,10.35,19.31,23.62,5.39,13.44,9.21,5.07
hsa-miR-15b-5p,0.0,0.0,7.76,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,5.07,1.89,0.6,1.03,0.0,4.33,11.38,18.94,3.98,12.04,12.19,21.5,34.32,18.13,0.0,49.03,38.93,36.76,37.92,33.98,63.52,14.73,24.62
hsa-miR-16-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,1.65,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.89,3.6,2.05,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,2.9,0.0,12.98,2.46,3.74,6.84,2.16,6.11,7.37,3.62
hsa-miR-16-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,5.29,0.49,4.36,9.32,0.54,0.0,0.0,0.0
hsa-miR-16-5p,2370.6,1016.45,2568.98,3245.44,5477.8,2113.39,1781.21,1531.98,457.1,2598.08,2041.91,860.04,1265.69,3944.87,1927.22,1437.22,1478.99,1544.61,208.23,3194.98,5308.9,1598.79,1729.33,3842.45,3913.69,5852.15,1610.31,1696.27,1116.46,1488.07,20942.84,9677.67,8147.99,15538.63,10685.76,6272.13,16631.94,542.57,38487.98,35746.81,37347.12,50118.44,30334.92,32190.09,15470.43,19361.0
hsa-miR-17-3p,0.0,0.0,0.0,0.0,0.73,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,0.49,0.0,0.0,1.62,0.61,0.0,0.0
hsa-miR-17-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,10.35,7.02,2.03,0.0,3.9,2.18,0.0,5.29,13.8,8.72,25.48,12.95,11.6,5.52,2.17
hsa-miR-181a-2-3p,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.54,1.83,0.0,0.0
hsa-miR-181a-5p,0.0,0.0,0.0,6.33,0.73,0.0,1.47,0.0,0.0,3.3,0.0,0.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,7.97,1.0,0.68,0.0,4.68,4.35,0.0,13.46,2.46,5.61,0.62,2.7,6.11,10.13,28.24
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.78,0.0,0.0,2.4,0.49,0.0,2.49,2.7,0.61,0.0,0.0
hsa-miR-181b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0
hsa-miR-181b-5p,35.8,283.7,32.78,219.39,100.67,21.58,72.07,11.23,9.33,26.4,29.17,45.31,205.32,20.99,14.95,30.23,33.42,4.58,0.0,7.36,14.01,20.53,155.91,5.07,32.13,19.82,38.95,7.94,109.27,24.78,69.99,119.48,68.23,121.23,101.54,80.34,101.55,275.25,296.09,286.8,153.26,244.28,152.66,178.35,262.43,267.15
hsa-miR-181c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.49,1.87,0.0,4.85,0.61,0.92,0.0
hsa-miR-181c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-181d-5p,0.0,0.0,0.0,2.11,1.46,0.0,4.41,0.0,0.0,4.95,0.0,0.0,8.44,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0,23.9,0.0,2.03,0.0,10.92,2.18,0.0,13.94,11.33,1.87,11.81,14.56,10.38,5.52,23.89
hsa-miR-182-5p,39.06,15.95,89.72,11.6,15.32,81.79,32.36,45.8,27.99,111.64,23.16,8.88,18.28,39.19,38.2,5.81,35.51,25.97,0.0,11.96,219.13,257.34,35.76,168.5,128.5,24.02,125.05,31.77,1.08,62.28,147.39,3.98,125.42,139.51,706.01,60.84,68.91,11.33,397.04,362.69,1158.82,484.83,1092.33,1198.33,546.96,393.13
hsa-miR-1827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.19,0.0,0.0,0.0,1.44,0.99,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,3.45,9.97,2.49,12.41,3.05,2.76,0.0
hsa-miR-183-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,4.29,0.0,1.89,0.6,2.05,0.0,0.0,1.34,0.0,0.0,0.0,0.0,13.14,0.0,2.18,0.0,9.13,12.32,15.58,4.35,9.71,9.16,3.68,0.0
hsa-miR-184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1843,0.0,0.0,0.0,4.22,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,1.43,1.27,0.0,3.0,0.0,0.0,0.0,0.0,7.41,7.17,3.01,6.77,8.36,9.36,2.18,0.0,12.02,10.84,3.12,19.27,5.39,13.44,0.92,8.69
hsa-miR-185-3p,0.0,0.0,7.76,0.0,6.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.7,1.66,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,5.67,3.0,0.0,0.0,0.0,0.0,30.47,0.0,8.03,2.71,2.39,10.14,28.29,0.0,27.4,9.36,16.2,6.84,22.66,21.99,46.04,41.27
hsa-miR-185-5p,0.0,0.0,0.0,2.11,5.11,0.57,0.0,0.0,1.55,2.75,3.43,0.0,4.22,1.4,1.66,0.0,3.13,0.0,0.0,3.68,8.92,4.11,0.0,2.53,0.0,6.61,2.05,2.27,0.0,0.67,16.47,18.32,24.08,10.84,11.95,11.7,14.51,2.27,90.85,87.71,93.45,90.75,145.1,118.49,79.19,158.55
hsa-miR-186-3p,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,1.89,0.6,0.0,0.0,0.0,0.0,1.65,0.0,4.01,0.0,10.75,0.0,3.63,0.0,4.81,0.99,3.74,2.49,9.17,3.66,8.29,13.03
hsa-miR-186-5p,0.0,0.0,0.0,5.27,8.02,0.57,0.0,1.73,0.0,2.75,1.72,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.92,3.82,1.37,1.43,8.87,11.34,10.21,4.1,1.13,0.0,0.0,18.11,11.15,28.09,11.51,4.78,7.8,18.13,0.0,48.07,36.47,23.67,49.73,58.26,36.65,24.86,30.41
