miRNA,ERR7454544,ERR7454545,ERR7454546,ERR7454547,ERR7454548,ERR7454549,ERR7454550,ERR7454551,ERR7454552
hsa-let-7a-3p,0.0,240.0,1.0,1.0,8.0,2.0,2.0,142.0,250.0
hsa-let-7a-5p,113723.0,456346.0,258343.0,44599.0,81732.0,87233.0,52991.0,101893.0,57605.0
hsa-let-7b-3p,909.0,363.0,200.0,171.0,221.0,144.0,10.0,181.0,12.0
hsa-let-7b-5p,930196.0,1633992.0,2380812.0,542464.0,593771.0,688024.0,447870.0,1423559.0,1089238.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
hsa-let-7c-5p,16482.0,62690.0,40907.0,10114.0,8316.0,9807.0,9163.0,31242.0,16790.0
hsa-let-7d-3p,45047.0,70820.0,40755.0,27035.0,31575.0,24960.0,14209.0,40718.0,33138.0
hsa-let-7d-5p,3262.0,16522.0,5247.0,3711.0,2838.0,3218.0,4063.0,4787.0,3987.0
hsa-let-7e-5p,1549.0,25043.0,6906.0,3957.0,7591.0,4246.0,1981.0,5063.0,2234.0
hsa-let-7f-1-3p,23.0,77.0,1.0,9.0,5.0,0.0,3.0,0.0,4.0
hsa-let-7f-2-3p,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-let-7f-5p,54176.0,219497.0,80527.0,27262.0,33864.0,31999.0,24978.0,42829.0,47501.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-let-7g-5p,21229.0,58062.0,18344.0,12717.0,11504.0,9324.0,14168.0,19231.0,31994.0
hsa-let-7i-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
hsa-let-7i-5p,60207.0,154209.0,44327.0,37942.0,29710.0,31776.0,37304.0,46689.0,56662.0
hsa-miR-1-3p,11346.0,3123.0,7520.0,10425.0,3574.0,3842.0,10160.0,6795.0,11032.0
hsa-miR-100-5p,9419.0,4663.0,4919.0,11836.0,8613.0,6025.0,6159.0,11066.0,7686.0
hsa-miR-101-3p,4986.0,9204.0,5816.0,1842.0,2510.0,3178.0,2813.0,6393.0,7206.0
hsa-miR-10395-3p,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-10399-3p,198.0,430.0,444.0,7.0,278.0,519.0,411.0,505.0,588.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-103a-3p,231.0,1316.0,573.0,5.0,181.0,58.0,3.0,255.0,1061.0
hsa-miR-10400-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-3p,0.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,2.0,147.0,0.0,0.0,0.0,5.0,0.0,2.0
hsa-miR-106a-5p,1.0,119.0,0.0,3.0,4.0,1.0,0.0,0.0,5.0
hsa-miR-106b-3p,2931.0,10251.0,4133.0,4542.0,1212.0,1877.0,1266.0,626.0,2939.0
hsa-miR-106b-5p,661.0,112.0,111.0,5.0,3.0,0.0,5.0,428.0,5.0
hsa-miR-107,2.0,3.0,2.0,12.0,1.0,2.0,2.0,248.0,809.0
hsa-miR-10a-3p,400.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
hsa-miR-10a-5p,81031.0,75605.0,72654.0,82788.0,76114.0,70291.0,35602.0,68220.0,76052.0
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,86751.0,44252.0,40649.0,72522.0,76551.0,53788.0,54172.0,89778.0,70514.0
hsa-miR-11400,2499.0,211.0,65.0,1698.0,158.0,1181.0,696.0,6.0,3099.0
hsa-miR-11401,187.0,563.0,1364.0,988.0,397.0,6.0,46.0,7.0,0.0
hsa-miR-1178-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-1180-3p,584.0,730.0,2056.0,949.0,600.0,1174.0,1102.0,1142.0,1324.0
hsa-miR-1185-1-3p,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,176.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
hsa-miR-12114,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0
hsa-miR-122-3p,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-122-5p,247735.0,430248.0,297517.0,3391723.0,48213.0,141352.0,1879065.0,465465.0,138412.0
hsa-miR-1224-5p,0.0,1.0,7.0,4.0,1.0,7.0,1.0,4.0,1.0
hsa-miR-1225-5p,0.0,1.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0
hsa-miR-1227-3p,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1228-5p,3.0,4.0,16.0,22.0,19.0,17.0,10.0,12.0,228.0
hsa-miR-1229-3p,1.0,85.0,2.0,186.0,0.0,70.0,1.0,1.0,0.0
hsa-miR-1238-3p,1.0,36.0,77.0,208.0,4.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,1.0,60.0,2.0,10.0,172.0,5.0,66.0,161.0,1.0
hsa-miR-124-5p,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
hsa-miR-1246,409.0,430.0,24.0,217.0,368.0,300.0,346.0,364.0,191.0
hsa-miR-1249-3p,196.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1255a,0.0,50.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
hsa-miR-1255b-5p,0.0,467.0,572.0,202.0,122.0,91.0,96.0,165.0,192.0
hsa-miR-125a-3p,237.0,997.0,442.0,692.0,278.0,325.0,47.0,4.0,2.0
hsa-miR-125a-5p,11506.0,15172.0,3580.0,9304.0,12423.0,8364.0,5026.0,7951.0,3020.0
hsa-miR-125b-1-3p,3.0,0.0,122.0,3.0,2.0,218.0,0.0,0.0,3.0
hsa-miR-125b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsa-miR-125b-5p,3926.0,2669.0,1121.0,8135.0,3543.0,2737.0,3721.0,4920.0,3890.0
hsa-miR-126-3p,50861.0,68645.0,27131.0,45756.0,24730.0,23494.0,27912.0,31134.0,47000.0
hsa-miR-126-5p,683.0,1465.0,476.0,1045.0,336.0,255.0,177.0,17.0,779.0
hsa-miR-1260b,1.0,64.0,0.0,3.0,2.0,2.0,4.0,0.0,1.0
hsa-miR-1268a,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-127-3p,1740.0,3824.0,1381.0,641.0,1540.0,748.0,1507.0,327.0,1480.0
hsa-miR-127-5p,285.0,53.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0
hsa-miR-1270,0.0,69.0,0.0,1.0,0.0,0.0,84.0,0.0,0.0
hsa-miR-1273h-3p,0.0,2450.0,732.0,1910.0,737.0,636.0,261.0,11.0,676.0
hsa-miR-1273h-5p,0.0,546.0,97.0,127.0,135.0,0.0,97.0,0.0,0.0
hsa-miR-1275,82.0,1.0,1.0,456.0,7.0,78.0,1.0,1.0,1961.0
hsa-miR-1276,0.0,1.0,75.0,0.0,130.0,1.0,0.0,0.0,0.0
hsa-miR-1278,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-128-1-5p,0.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-miR-128-3p,30247.0,117677.0,35705.0,38171.0,35883.0,24979.0,18836.0,18045.0,58073.0
hsa-miR-1284,0.0,215.0,84.0,1.0,2.0,217.0,2.0,1.0,205.0
hsa-miR-1285-3p,216.0,371.0,357.0,224.0,132.0,85.0,677.0,339.0,234.0
hsa-miR-1285-5p,0.0,79.0,119.0,3.0,1.0,0.0,1.0,1.0,0.0
hsa-miR-1287-5p,0.0,114.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-1288-3p,0.0,87.0,81.0,1.0,157.0,1.0,70.0,151.0,0.0
hsa-miR-129-1-3p,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
hsa-miR-129-5p,2.0,143.0,173.0,4.0,9.0,248.0,71.0,86.0,1.0
hsa-miR-1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
hsa-miR-1291,1.0,0.0,0.0,0.0,0.0,0.0,82.0,1.0,501.0
hsa-miR-1292-5p,175.0,235.0,262.0,130.0,151.0,2.0,129.0,211.0,0.0
