miRNA,SRR1054269,SRR1054270,SRR1054271,SRR1054272,SRR1054273,SRR1054274,SRR1054275,SRR1054276,SRR1054277,SRR1054278,SRR1054279,SRR1054280,SRR1054281,SRR1054282
hsa-let-7a-3p,2.18,0.4,3.41,2.61,4.03,0.81,2.33,2.69,4.06,7.85,9.82,4.02,16.85,11.08
hsa-let-7a-5p,23.98,79.91,53.81,204.69,57.61,256.68,229.17,75.18,78.9,113.47,131.92,65.03,120.54,147.25
hsa-let-7b-3p,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,190.01,104.69,594.56,346.63,555.06,747.73,398.81,230.16,177.19,762.92,358.56,363.38,771.19,356.25
hsa-let-7c-3p,1.25,0.4,0.53,0.37,2.48,1.22,1.17,0.38,0.0,0.0,0.7,0.0,1.94,0.0
hsa-let-7c-5p,9.97,18.78,32.81,31.38,204.43,49.06,39.69,25.7,27.5,80.65,31.58,101.91,52.49,42.75
hsa-let-7d-3p,21.49,27.57,59.59,62.01,109.34,158.14,71.59,15.34,5.86,17.13,42.1,77.1,101.1,91.83
hsa-let-7d-5p,8.1,10.39,24.68,15.69,22.61,27.57,26.07,13.81,13.98,27.12,14.03,14.75,31.76,12.67
hsa-let-7e-3p,0.0,0.0,0.53,0.75,0.62,0.0,0.78,0.38,0.9,0.0,1.4,0.67,0.0,0.0
hsa-let-7e-5p,0.93,2.4,3.41,4.86,4.34,5.68,3.5,1.53,2.71,6.42,4.91,2.01,6.48,3.17
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.9,0.0,0.0,0.67,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,1.05,0.75,0.0,0.41,0.0,0.77,0.0,0.71,2.11,2.01,2.59,1.58
hsa-let-7f-5p,12.15,12.79,33.86,22.41,32.83,33.66,38.91,14.19,16.23,49.24,32.98,32.18,51.2,50.67
hsa-let-7g-3p,0.62,1.2,1.31,0.37,2.48,0.81,1.56,0.38,0.0,0.0,1.4,1.34,0.65,0.0
hsa-let-7g-5p,111.2,85.51,257.25,233.45,247.79,287.5,268.47,112.39,150.59,427.49,284.18,272.2,358.38,316.66
hsa-let-7i-3p,0.31,0.4,0.26,1.12,0.31,0.81,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-let-7i-5p,458.82,371.99,1218.0,1036.53,1120.33,1205.54,1183.99,675.89,644.74,1665.0,1326.19,1119.65,1363.52,1272.99
hsa-miR-1-3p,1.25,0.0,1.84,1.87,1.86,4.05,2.33,0.77,2.25,2.14,2.81,1.34,5.18,6.33
hsa-miR-100-5p,230.81,234.14,343.88,382.49,650.15,369.81,451.73,257.01,226.33,464.6,395.75,485.4,387.54,519.33
hsa-miR-101-3p,333.92,366.0,866.78,710.45,882.14,924.53,1204.22,257.01,337.25,864.97,849.04,1155.85,1255.94,1679.91
hsa-miR-101-5p,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10396b-5p,0.62,0.8,0.26,9.71,1.55,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0
hsa-miR-103a-3p,10.28,4.0,16.8,30.63,16.73,17.84,18.29,7.67,2.25,47.82,0.7,27.49,2.59,3.17
hsa-miR-10401-3p,0.0,0.4,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10401-5p,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,0.31,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
hsa-miR-105-5p,3.11,3.6,11.29,12.33,17.35,14.19,11.28,7.29,8.12,13.56,11.23,12.74,9.07,15.83
hsa-miR-106b-3p,1.56,0.8,3.15,3.36,4.65,2.84,3.11,0.77,0.9,6.42,4.21,2.68,3.89,1.58
hsa-miR-106b-5p,0.93,1.6,1.84,0.75,3.41,3.65,4.67,0.38,0.45,2.85,1.4,1.34,0.0,0.0
hsa-miR-107,0.0,9.59,1.31,0.75,1.24,14.19,0.0,0.0,2.25,8.56,9.12,0.0,13.61,15.83
hsa-miR-10a-3p,0.93,0.0,0.26,0.37,0.62,0.0,0.78,0.38,0.0,0.0,0.7,0.0,0.65,1.58
hsa-miR-10a-5p,7.79,7.99,14.7,16.44,16.11,19.06,15.56,2.3,2.71,6.42,4.21,9.39,5.83,12.67
hsa-miR-10b-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10b-5p,4.98,5.99,8.93,12.7,13.63,15.0,12.06,0.0,0.45,2.14,4.91,2.01,3.24,3.17
hsa-miR-11400,0.0,0.0,0.26,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.65,0.0
hsa-miR-1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.62,0.0,1.84,0.75,0.62,0.41,1.56,0.38,1.35,1.43,1.4,0.67,1.3,1.58
hsa-miR-122-5p,0.93,2.0,0.26,1.87,10.22,9.33,0.78,1.53,0.9,0.71,3.51,0.67,8.42,0.0
hsa-miR-1224-3p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1224-5p,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.7,0.67,0.65,0.0
hsa-miR-1225-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.65,0.0
hsa-miR-1225-5p,0.0,0.0,0.0,0.0,0.0,0.41,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-124-3p,142.97,127.06,268.28,246.53,316.25,184.5,279.36,96.28,100.99,236.94,270.15,332.54,242.38,296.08
hsa-miR-124-5p,0.62,0.4,1.31,1.87,1.24,0.0,0.78,0.38,0.45,0.71,0.7,2.68,0.65,0.0
hsa-miR-1246,65.1,35.96,170.63,144.55,152.7,196.26,161.47,378.99,331.39,1066.23,1044.11,1368.38,1824.94,1287.24
hsa-miR-1248,0.93,0.4,0.0,0.75,0.31,0.41,0.39,1.53,1.35,0.71,0.0,0.67,0.0,1.58
hsa-miR-1249-3p,0.0,0.4,0.26,0.37,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1251-5p,0.0,0.8,0.0,0.37,0.93,0.41,0.39,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-125a-3p,1.87,1.6,5.25,7.84,5.58,8.92,6.23,1.53,1.35,7.85,5.61,8.05,9.07,1.58
hsa-miR-125a-5p,46.41,43.95,65.1,72.09,110.58,131.38,96.1,46.03,19.84,44.25,88.41,118.67,121.19,129.83
hsa-miR-125b-1-3p,6.23,4.4,10.24,9.71,15.8,12.57,12.45,14.96,13.53,37.11,28.07,36.87,47.31,36.42
hsa-miR-125b-2-3p,5.3,5.19,14.18,12.33,21.68,9.73,17.12,3.45,4.06,12.13,17.54,14.08,11.67,9.5
hsa-miR-125b-5p,170.38,208.17,282.98,298.07,471.43,350.35,375.86,129.65,105.05,207.68,361.37,443.84,467.9,473.41
hsa-miR-126-3p,35.2,23.17,81.64,63.13,82.08,74.61,73.93,36.83,34.27,96.35,70.17,82.46,79.06,96.58
hsa-miR-126-5p,1.25,0.8,0.79,0.37,1.24,0.81,0.39,0.38,0.45,6.42,2.11,2.01,3.24,1.58
hsa-miR-1264,0.62,0.0,0.53,2.24,0.93,2.84,1.56,0.38,0.0,2.14,1.4,0.0,3.24,1.58
hsa-miR-1268a,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0
hsa-miR-127-3p,290.0,266.91,653.63,642.09,738.73,587.97,744.32,290.0,256.99,754.36,898.86,1042.55,897.57,885.08
hsa-miR-127-5p,0.31,2.0,2.63,4.86,4.65,1.22,5.84,1.15,0.45,0.71,1.4,3.35,4.54,4.75
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1273h-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
hsa-miR-1275,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.31,0.4,1.58,1.49,0.93,0.0,1.95,0.0,0.0,0.71,0.7,0.0,0.0,0.0
hsa-miR-128-1-5p,0.31,0.4,0.79,0.37,1.24,0.0,0.39,0.77,0.0,0.0,0.0,1.34,0.0,1.58
hsa-miR-128-2-5p,0.0,0.4,0.53,0.75,0.62,1.62,0.78,0.38,0.0,0.0,0.7,0.0,0.65,0.0
hsa-miR-128-3p,1264.95,1367.31,2719.24,3216.05,4797.58,5583.26,3395.17,1170.73,895.87,2032.55,3243.2,2972.09,5039.98,3706.56
hsa-miR-1285-5p,1.25,5.99,0.53,7.1,4.34,4.46,6.61,0.77,3.16,0.71,8.42,3.35,4.54,20.58
hsa-miR-1287-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-129-1-3p,0.62,0.4,0.26,0.75,0.31,0.41,0.78,0.0,0.0,1.43,0.0,1.34,0.0,1.58
hsa-miR-129-2-3p,0.62,0.0,0.79,4.86,3.1,0.41,1.17,0.38,0.0,0.71,4.91,1.34,0.0,0.0
hsa-miR-129-5p,297.78,216.96,742.61,609.22,800.06,753.0,663.78,464.92,381.88,1025.55,809.75,799.84,819.15,796.41
hsa-miR-1290,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1291,1.87,1.2,1.31,1.87,1.55,0.0,0.39,0.38,0.45,0.0,0.7,0.67,2.59,1.58
hsa-miR-1296-3p,0.31,0.0,0.0,0.75,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,1.25,1.2,3.15,2.24,5.58,2.43,7.0,0.38,0.9,0.71,4.21,4.69,6.48,4.75
hsa-miR-1297,0.62,0.0,1.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1298-5p,19.0,14.38,23.63,23.53,22.61,17.03,22.57,1.92,4.96,3.57,2.81,6.03,3.89,4.75
hsa-miR-1301-3p,0.0,0.0,0.26,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
hsa-miR-1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0
hsa-miR-1304-5p,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1306-3p,0.93,0.0,1.05,2.24,4.03,3.65,1.17,1.15,0.45,3.57,2.11,0.67,3.24,3.17
hsa-miR-1306-5p,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.65,0.0
hsa-miR-1307-3p,0.93,0.0,6.56,4.86,9.6,3.65,3.5,1.15,0.9,7.14,4.21,1.34,1.94,3.17
hsa-miR-1307-5p,7.48,7.59,21.0,12.33,22.61,21.09,29.57,5.75,4.06,10.71,17.54,35.53,25.27,34.83
hsa-miR-130a-3p,0.0,0.4,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.67,0.0,0.0
hsa-miR-130b-3p,1.25,0.8,3.68,1.12,1.86,1.62,1.95,0.77,0.45,2.85,2.81,2.01,1.94,1.58
hsa-miR-130b-5p,0.0,0.0,0.26,0.0,1.24,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0
hsa-miR-132-3p,5.61,4.4,11.81,13.07,14.25,8.11,13.23,5.75,5.41,14.27,14.74,9.39,15.55,9.5
hsa-miR-132-5p,5.3,2.8,15.49,20.92,21.68,17.44,15.17,3.07,4.51,11.42,11.93,13.41,14.91,20.58
hsa-miR-133a-3p,0.62,0.0,0.0,0.0,0.0,0.41,0.0,0.38,0.45,0.0,0.0,1.34,1.3,1.58
hsa-miR-133b,0.0,0.4,0.0,0.75,0.0,0.0,0.39,0.0,0.0,0.0,1.4,0.0,0.0,0.0
hsa-miR-134-5p,12.15,11.59,44.63,42.21,45.22,38.12,49.02,4.22,6.31,17.84,18.95,19.44,19.44,22.17
hsa-miR-1343-3p,0.62,1.6,0.79,0.0,0.62,0.41,0.0,0.77,0.0,0.0,0.0,1.34,0.0,0.0
hsa-miR-135a-2-3p,0.93,0.0,1.58,0.37,2.17,1.62,0.78,0.38,0.45,1.43,1.4,0.0,0.0,0.0
hsa-miR-135a-3p,0.0,0.0,0.26,0.0,0.31,0.0,0.0,0.38,0.45,0.0,0.7,0.67,0.0,0.0
hsa-miR-135a-5p,0.93,0.4,0.79,1.12,0.0,1.22,0.39,0.38,0.45,0.71,0.7,0.0,1.3,0.0
