miRNA,SRR13608450,SRR13608451,SRR13608452,SRR13608453,SRR13608454,SRR13608455,SRR13608456,SRR13608457,SRR13608458,SRR13608459,SRR13608460,SRR13608461,SRR13608462,SRR13608463,SRR13608464,SRR13608465,SRR13608466,SRR13608467,SRR13608468,SRR13608469,SRR13608470,SRR13608471
hsa-miR-10396a-3p,0.0,0.0,0.0,0.2,0.65,0.23,0.16,0.65,0.0,0.0,0.31,0.34,0.51,0.0,0.13,0.0,2.22,3.55,0.0,0.0,0.5,0.0
hsa-miR-10396a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-10396b-3p,0.26,0.0,0.41,0.2,0.16,0.0,0.0,0.33,0.0,0.0,0.62,0.34,0.17,1.51,0.0,1.73,0.2,2.37,1.2,0.0,1.32,0.0
hsa-miR-10396b-5p,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.17,0.0
hsa-miR-10398-3p,0.0,0.0,0.14,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.29,0.2,0.0,0.15,0.0,0.17,0.0
hsa-miR-10399-3p,2.36,6.6,0.41,0.0,1.31,1.58,1.11,0.98,1.7,1.0,0.31,0.17,0.51,0.0,0.38,0.87,1.61,0.0,1.8,2.61,0.17,0.0
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.23,0.63,0.0,0.62,0.57,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.6,0.0,0.0,0.0
hsa-miR-103a-3p,223.4,794.34,254.36,163.3,19.45,66.16,6.33,1483.98,228.6,168.55,62.36,3.87,5.07,755.06,4.5,555.18,1600.51,61.17,134.52,1142.66,158.08,312.67
hsa-miR-10400-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
hsa-miR-10401-3p,1.05,6.39,0.14,0.2,6.38,2.03,0.63,1.14,1.39,0.0,7.78,2.02,0.84,3.45,1.75,5.77,2.42,3.16,2.71,0.2,3.97,3.18
hsa-miR-10401-5p,0.0,0.0,0.14,0.2,0.16,1.13,0.0,0.16,0.0,0.0,0.16,0.0,0.34,0.43,0.0,0.14,0.0,0.0,0.15,0.0,0.0,0.0
hsa-miR-105-5p,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.15,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0
hsa-miR-10527-5p,0.0,2.06,0.14,0.0,0.0,0.0,0.0,0.16,0.15,0.29,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.33,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,1.31,0.0,13.68,2.64,0.16,1.8,5.54,1.14,5.89,7.45,7.78,0.17,0.68,2.8,0.5,10.82,1.41,0.2,3.91,0.8,0.83,1.19
hsa-miR-106b-3p,73.77,48.89,61.9,25.62,4.9,40.28,180.47,95.82,68.19,238.34,52.87,27.25,37.32,54.29,16.63,103.16,70.4,32.36,142.33,90.45,23.65,82.04
hsa-miR-106b-5p,4.46,3.51,17.47,5.29,0.82,3.6,20.58,6.51,11.62,26.8,4.98,1.51,2.03,10.77,2.25,20.05,13.92,2.76,10.07,15.28,4.3,12.32
hsa-miR-107,1.05,0.0,2.71,1.63,0.49,3.6,4.59,15.13,1.86,5.3,1.24,4.37,3.21,6.46,0.88,6.49,44.99,0.79,41.48,6.43,4.3,4.97
hsa-miR-10a-3p,7.09,5.36,10.56,4.88,0.98,0.68,40.69,2.93,9.92,55.9,3.27,7.23,6.75,10.99,3.0,18.61,6.25,4.14,27.81,9.85,4.13,5.56
hsa-miR-10a-5p,4121.42,4018.3,1143.94,1856.75,225.94,1480.96,4993.13,814.22,1845.68,7130.97,788.11,3143.92,3894.1,1525.85,745.28,3869.09,1868.01,2783.23,5251.18,3515.22,819.81,3098.71
hsa-miR-10b-3p,6.04,9.9,11.92,6.3,0.0,1.35,15.36,3.58,11.47,26.8,2.8,6.22,3.38,6.25,0.5,18.61,5.45,5.72,17.74,15.88,2.48,10.53
hsa-miR-10b-5p,4931.01,4718.16,3339.84,3588.02,344.63,1896.37,3820.04,854.73,2510.55,5866.16,2045.23,1663.03,4219.34,2388.62,696.02,5273.78,2766.71,3862.26,6424.12,4481.61,1319.18,5563.73
hsa-miR-11399,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-11400,0.26,2.06,0.14,0.61,0.0,0.23,0.0,0.33,0.0,0.14,0.31,0.0,0.0,1.08,0.13,0.0,0.0,0.0,0.0,0.4,0.0,0.2
hsa-miR-11401,1.05,0.0,0.54,0.0,0.0,1.8,0.32,0.0,0.77,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,65.37,70.34,27.49,22.98,3.76,40.28,66.65,32.21,27.74,99.04,25.5,36.5,29.38,51.92,18.88,67.23,45.99,45.19,116.93,109.54,13.39,59.59
hsa-miR-1181,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1185-1-3p,0.0,0.0,0.0,0.0,0.16,0.0,0.32,0.16,0.0,0.14,0.31,0.0,0.0,0.43,0.13,0.72,0.2,0.79,0.9,0.0,0.0,0.0
hsa-miR-1185-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1.65,0.0,0.0,0.0
hsa-miR-1185-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1193,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1199-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0
hsa-miR-12129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.95,0.2,0.16,0.23,0.16,0.0,1.08,0.43,0.16,0.17,0.0,0.0,0.0,0.29,0.2,0.0,0.0,0.0,0.17,0.0
hsa-miR-122-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-122-5p,14.18,76.32,0.95,13.63,12.1,38.26,8.71,24.24,8.68,18.2,3.27,19.68,2.87,45.02,0.25,0.43,21.79,2.17,22.39,60.3,6.45,97.14
hsa-miR-1225-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
hsa-miR-1226-3p,0.0,0.0,0.14,0.0,0.0,0.23,0.16,0.33,0.46,0.43,0.0,0.5,0.0,0.0,0.0,0.29,1.82,0.0,0.15,0.6,0.17,1.39
hsa-miR-1226-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-1228-3p,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.29,0.0,0.0,0.15,0.0,0.0,1.99
hsa-miR-1228-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1229-3p,0.79,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.3,0.0,0.17,1.99
hsa-miR-122b-5p,0.0,0.0,0.14,0.2,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1238-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0
hsa-miR-124-3p,0.0,0.41,0.0,0.0,0.0,2.03,0.79,0.16,1.7,1.58,0.31,0.34,0.0,0.43,0.0,0.0,0.4,0.2,0.15,0.4,0.0,0.2
hsa-miR-124-5p,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hsa-miR-1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-1245a,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1245b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.29,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
hsa-miR-1246,392.19,1131.58,36.03,87.24,31.55,741.04,130.61,416.3,208.61,123.4,422.98,63.91,51.17,528.65,29.63,1012.69,103.08,2586.29,176.6,921.57,281.1,520.06
hsa-miR-1247-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1247-5p,1.05,2.89,0.0,0.0,0.16,0.68,0.0,0.65,0.31,0.57,0.0,0.0,0.51,2.15,0.0,4.18,1.41,0.99,1.8,2.61,0.17,1.19
hsa-miR-1248,0.0,0.0,0.0,0.81,0.0,0.0,1.27,0.65,0.15,0.14,0.0,0.0,0.0,0.22,0.0,0.43,0.61,0.0,0.75,0.2,0.5,0.0
hsa-miR-1249-3p,0.0,5.98,0.14,0.0,0.0,0.45,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.22,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1250-5p,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.46,0.86,0.0,0.34,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1252-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.0,3.09,0.41,0.0,0.0,0.9,0.16,0.0,1.24,0.14,0.78,0.0,1.01,1.51,0.0,0.29,0.4,0.0,0.0,0.8,0.0,0.4
hsa-miR-1255b-5p,0.0,0.0,0.41,0.0,0.0,0.0,0.47,0.0,0.0,0.43,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.0,0.0
hsa-miR-1256,0.0,1.24,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-125a-3p,12.08,3.3,3.39,5.08,0.65,9.45,9.5,4.07,3.41,10.32,1.87,9.92,3.55,3.45,2.0,8.95,2.02,12.04,10.07,14.87,0.33,10.33
hsa-miR-125a-5p,7978.76,6823.54,1660.64,2008.67,111.99,1934.85,1327.91,1146.74,1498.06,1686.04,1851.16,779.55,2607.32,5018.08,526.86,10870.31,5786.58,3551.46,9408.62,9568.62,1805.14,8630.06
hsa-miR-125b-1-3p,23.36,42.9,16.39,10.37,2.13,9.0,27.23,11.71,9.61,32.82,17.11,7.57,17.06,34.04,2.63,52.37,22.59,21.11,34.42,44.02,3.47,17.28
hsa-miR-125b-2-3p,2.1,2.06,1.63,1.02,0.0,0.68,3.32,2.6,0.77,9.32,0.78,0.67,1.52,3.66,0.75,8.8,4.64,0.39,5.86,5.02,1.49,1.59
hsa-miR-125b-5p,2021.6,1244.0,2766.52,1244.41,173.78,947.17,3336.88,1631.04,1388.79,5919.61,2250.5,810.49,1336.08,2656.6,799.29,6198.17,2924.26,767.44,4572.87,3729.28,792.86,2000.19
hsa-miR-126-3p,1990.1,7501.54,1135.95,762.22,295.58,1990.66,2540.89,993.49,2078.0,1217.23,707.25,1349.87,1856.03,2752.68,1571.32,7482.67,2236.36,2336.66,2284.86,4690.64,1069.66,6027.17
hsa-miR-126-5p,6.3,31.35,6.09,2.85,0.98,7.43,12.82,3.09,10.85,12.33,2.64,6.39,4.39,12.06,5.0,41.7,12.31,10.06,21.04,24.52,2.98,30.0
hsa-miR-1260a,0.0,0.21,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.0,0.0,0.0,0.0
hsa-miR-1260b,0.26,1.44,0.0,0.2,0.16,0.68,0.32,1.3,0.31,0.57,0.0,1.18,0.17,0.43,0.63,1.88,1.41,0.2,1.05,2.01,0.33,0.0
hsa-miR-1262,0.0,6.39,0.54,1.63,0.0,2.03,3.8,1.14,0.31,1.29,0.47,1.68,3.04,0.86,0.25,2.02,2.42,3.16,1.35,1.81,0.33,2.19
hsa-miR-1263,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.75,1.0,0.17,0.0
hsa-miR-1265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
hsa-miR-1266-5p,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-1267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1268a,0.26,0.0,0.27,0.0,0.33,0.23,0.16,0.0,0.46,0.0,0.31,0.0,0.51,0.0,1.0,0.0,0.0,0.79,0.0,0.6,0.0,0.0
hsa-miR-1268b,0.79,0.0,0.14,0.0,0.0,0.45,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1269b,0.0,0.0,0.14,0.0,0.16,0.0,0.0,0.16,0.15,0.14,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-127-3p,50.14,183.17,32.1,28.67,10.79,48.61,52.4,44.09,20.3,98.89,20.37,27.41,50.66,70.01,24.88,271.82,54.47,75.78,156.01,136.07,10.58,87.8
hsa-miR-127-5p,1.84,2.27,1.63,0.81,0.0,0.0,5.7,3.58,2.17,7.88,0.78,0.67,1.69,16.16,0.38,23.08,8.88,2.57,10.97,7.44,0.99,7.55
