miRNA,SRR8067629,SRR8067630,SRR8067631
hsa-let-7a-3p,0.05,0.0,0.18
hsa-let-7a-5p,24.9,25.72,36.79
hsa-let-7b-3p,0.03,0.0,0.04
hsa-let-7b-5p,3.57,3.97,6.41
hsa-let-7c-5p,22.56,25.18,34.14
hsa-let-7d-3p,2.13,1.72,3.8
hsa-let-7d-5p,3.94,4.48,10.82
hsa-let-7e-3p,0.0,0.03,0.0
hsa-let-7e-5p,7.08,8.92,8.06
hsa-let-7f-5p,31.63,38.24,81.21
hsa-let-7g-3p,0.03,0.0,0.11
hsa-let-7g-5p,3.54,7.14,9.46
hsa-let-7i-3p,0.03,0.34,0.36
hsa-let-7i-5p,35.62,51.81,93.64
hsa-miR-100-3p,0.03,0.0,0.0
hsa-miR-100-5p,24.72,17.77,25.04
hsa-miR-101-2-5p,0.03,0.0,0.14
hsa-miR-101-3p,3.22,3.16,9.71
hsa-miR-101-5p,0.08,0.03,0.07
hsa-miR-10393-3p,0.0,0.0,0.04
hsa-miR-10394-3p,0.05,0.0,0.18
hsa-miR-10394-5p,0.11,0.0,0.04
hsa-miR-10395-3p,0.27,0.57,0.25
hsa-miR-10396a-3p,0.03,0.0,0.0
hsa-miR-10396b-3p,0.19,0.0,0.32
hsa-miR-103a-2-5p,0.0,0.03,0.07
hsa-miR-103a-3p,42.44,4.51,8.85
hsa-miR-10401-3p,0.13,0.17,0.5
hsa-miR-105-3p,0.0,0.03,0.0
hsa-miR-105-5p,0.03,0.03,0.04
hsa-miR-10527-5p,0.03,0.0,0.04
hsa-miR-106a-3p,0.0,0.13,0.0
hsa-miR-106a-5p,1.2,1.01,2.01
hsa-miR-106b-3p,2.95,1.89,4.51
hsa-miR-106b-5p,1.54,1.82,3.22
hsa-miR-107,1.57,1.31,3.3
hsa-miR-10a-3p,0.08,0.03,0.04
hsa-miR-10a-5p,188.31,113.58,184.23
hsa-miR-10b-3p,0.0,0.0,0.04
hsa-miR-10b-5p,408.32,209.25,339.87
hsa-miR-1179,0.0,0.07,0.0
hsa-miR-1180-3p,1.44,0.3,1.65
hsa-miR-1185-1-3p,0.0,0.03,0.29
hsa-miR-1185-2-3p,0.03,0.0,0.0
hsa-miR-1185-5p,0.0,0.03,0.0
hsa-miR-1197,0.03,0.27,0.04
hsa-miR-12136,0.32,0.1,0.04
hsa-miR-1226-3p,0.08,0.03,0.14
hsa-miR-1226-5p,0.05,0.0,0.11
hsa-miR-1228-3p,0.0,0.0,0.04
hsa-miR-124-3p,0.11,0.1,0.14
hsa-miR-124-5p,0.0,0.0,0.14
hsa-miR-1243,0.05,0.0,0.14
hsa-miR-1244,0.03,0.0,0.0
hsa-miR-1246,0.0,0.1,0.18
hsa-miR-1247-5p,0.21,0.0,0.04
hsa-miR-1248,0.21,0.77,0.61
hsa-miR-1249-3p,0.0,0.1,0.0
hsa-miR-1251-5p,0.03,0.03,0.07
hsa-miR-1252-5p,0.0,0.0,0.07
hsa-miR-1255a,0.08,0.0,0.07
hsa-miR-125a-3p,0.37,0.5,0.32
hsa-miR-125a-5p,147.34,91.67,135.33
hsa-miR-125b-1-3p,3.38,2.63,5.34
hsa-miR-125b-2-3p,0.03,0.0,0.0
hsa-miR-125b-5p,59.41,40.4,82.39
hsa-miR-126-3p,0.24,0.34,0.9
hsa-miR-126-5p,2.61,2.29,6.34
hsa-miR-1260b,0.11,0.17,0.39
hsa-miR-1262,0.0,0.03,0.07
hsa-miR-1263,0.13,0.07,0.25
hsa-miR-1264,0.08,0.0,0.07
hsa-miR-1266-5p,0.24,0.0,0.29
hsa-miR-1267,0.03,0.0,0.0
hsa-miR-1268b,0.0,0.03,0.07
hsa-miR-1269a,0.27,0.4,0.04
hsa-miR-1269b,0.16,0.0,0.07
hsa-miR-127-3p,125.13,84.12,108.32
hsa-miR-127-5p,0.05,0.4,0.32
hsa-miR-1270,0.29,0.03,0.39
