miRNA,SRR14867395,SRR14867396,SRR14867397,SRR14867398,SRR14867399,SRR14867400,SRR14867401,SRR14867402,SRR14867403,SRR14867404,SRR14867405,SRR14867406,SRR14867407,SRR14867408,SRR14867409,SRR14867410,SRR14867411,SRR14867412,SRR14867413,SRR14867414,SRR14867415
hsa-let-7a-3p,150.0,24.0,42.0,27.0,31.0,195.0,36.0,214.0,25.0,35.0,167.0,55.0,59.0,53.0,163.0,81.0,115.0,36.0,88.0,187.0,0.0
hsa-let-7a-5p,111284.0,6908.0,150481.0,9561.0,7220.0,17593.0,18202.0,22638.0,4974.0,4697.0,13190.0,45773.0,10098.0,36031.0,48375.0,29800.0,8878.0,2811.0,10834.0,19690.0,14878.0
hsa-let-7b-3p,0.0,24.0,0.0,0.0,10.0,87.0,0.0,8.0,32.0,0.0,32.0,0.0,37.0,0.0,13.0,19.0,0.0,0.0,0.0,48.0,7.0
hsa-let-7b-5p,516837.0,73671.0,174574.0,59369.0,63870.0,92019.0,109370.0,115713.0,40487.0,62017.0,170048.0,244619.0,125279.0,228586.0,434930.0,243597.0,143402.0,45505.0,107784.0,184299.0,52597.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,8309.0,1146.0,2652.0,529.0,282.0,1278.0,932.0,2678.0,449.0,474.0,659.0,1599.0,644.0,2231.0,1982.0,2460.0,562.0,236.0,1699.0,1969.0,2206.0
hsa-let-7d-3p,3849.0,1185.0,3352.0,1137.0,1654.0,4631.0,1431.0,3165.0,995.0,1123.0,2524.0,2930.0,1531.0,2392.0,3167.0,2200.0,1608.0,671.0,1117.0,2968.0,636.0
hsa-let-7d-5p,23888.0,1437.0,25222.0,2010.0,1998.0,4933.0,4428.0,4746.0,760.0,1492.0,3455.0,11595.0,2631.0,9460.0,11449.0,8207.0,2184.0,908.0,2777.0,4111.0,3267.0
hsa-let-7e-3p,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
hsa-let-7e-5p,3677.0,180.0,1446.0,359.0,126.0,521.0,439.0,1386.0,330.0,94.0,443.0,918.0,170.0,1502.0,1303.0,673.0,161.0,100.0,415.0,847.0,848.0
