miRNA,SRR21850582,SRR21850583,SRR21850584,SRR21850586,SRR21850587,SRR21850588,SRR21850589
hsa-mir-4635-3p,0.0,0.0,0.0,48.0,0.0,0.0,0.0
hsa-mir-4644-3p,0.0,0.0,0.0,0.0,0.0,28.0,0.0
hsa-mir-4666b-5p,0.0,0.0,0.0,18.0,0.0,0.0,0.0
hsa-mir-4674-3p,0.0,0.0,0.0,40.0,0.0,0.0,0.0
hsa-mir-4767-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-mir-6082-5p,0.0,0.0,0.0,0.0,0.0,46.0,0.0
hsa-mir-612-5p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-621-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-638-5p,0.0,0.0,1.0,0.0,78.0,0.0,0.0
hsa-mir-7846-3p,10.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-8073-5p,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hsa-mir-8078-3p,0.0,0.0,1.0,0.0,0.0,0.0,0.0
