miRNA,SRR21722644,SRR21722645,SRR21722646,SRR21722647,SRR21722648,SRR21722649,SRR21722650,SRR21722651,SRR21722652,SRR21722653
hsa-let-7a-3p,0.14,3.75,2.07,5.23,2.7,0.82,1.82,1.39,3.81,0.34
hsa-let-7a-5p,295.63,1241.06,1103.85,948.52,4460.99,935.75,1589.2,762.07,1539.08,4993.86
hsa-let-7b-3p,0.57,2.36,0.37,0.79,1.35,0.82,0.0,0.0,0.42,3.88
hsa-let-7b-5p,885.19,821.64,2757.43,3229.64,3835.77,606.05,1668.32,1012.16,1734.4,4519.75
hsa-let-7c-5p,42.38,157.8,39.57,45.81,263.63,35.64,59.67,56.59,96.07,326.29
hsa-let-7d-3p,2.0,11.1,2.92,5.07,17.0,10.32,10.57,3.33,15.02,24.05
hsa-let-7d-5p,40.24,188.34,45.42,80.21,275.51,151.01,163.1,67.14,180.93,224.27
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,9.7,39.97,25.08,36.77,175.4,20.17,64.9,27.33,41.69,195.67
hsa-let-7f-1-3p,0.0,0.42,0.37,0.16,1.08,0.0,0.36,0.0,0.42,0.0
hsa-let-7f-2-3p,0.0,0.14,0.12,0.0,0.27,0.12,1.09,0.0,0.0,0.0
hsa-let-7f-5p,119.14,1405.95,810.41,607.57,2177.88,1057.92,1020.29,488.67,1017.66,2940.38
hsa-let-7g-3p,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7g-5p,275.37,1271.04,291.0,269.94,587.44,1234.26,664.07,379.65,985.49,1414.41
hsa-let-7i-3p,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97
hsa-let-7i-5p,3180.77,5894.29,4166.27,4469.83,7464.85,6237.88,8158.57,3384.65,7502.62,11554.36
hsa-miR-1-3p,55.22,75.5,4.99,18.39,17.54,67.3,62.47,59.92,186.22,76.61
hsa-miR-100-5p,9.99,29.42,19.72,20.92,30.76,13.48,14.34,52.29,47.83,53.24
hsa-miR-101-3p,51.94,262.73,115.67,134.58,110.9,126.39,85.8,50.77,332.24,176.1
hsa-miR-101-5p,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
