miRNA,SRR18349812,SRR18349813,SRR18349814,SRR18349815,SRR18349816,SRR18349817,SRR18349818,SRR18349819,SRR18349820,SRR18349821,SRR18349822,SRR18349823,SRR18349824,SRR18349825,SRR18349826
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
hsa-let-7a-3p,13.86,2.81,10.34,2.24,0.0,1.16,2.65,3.37,3.63,16.99,17.1,15.03,5.38,15.71,17.28
hsa-let-7a-5p,615.19,1042.27,1611.85,886.59,319.68,314.27,702.15,430.85,857.69,2503.81,5136.64,2362.14,463.8,1105.31,2332.17
hsa-let-7b-3p,3.76,4.06,4.4,3.52,0.35,2.31,5.31,0.56,5.75,10.15,9.95,13.15,5.04,9.62,9.36
hsa-let-7b-5p,3200.49,1053.19,2722.1,2431.49,7932.06,3971.65,7156.31,4222.47,4943.23,13224.39,10068.1,8270.04,5405.62,5211.71,13323.87
hsa-let-7c-3p,0.23,0.31,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0
hsa-let-7c-5p,37.13,21.86,30.77,22.73,33.63,28.46,47.23,18.37,64.12,55.15,91.11,72.48,27.22,93.48,264.25
hsa-let-7d-3p,46.06,149.88,218.22,77.16,98.77,67.81,168.77,33.17,246.18,279.97,437.67,416.64,166.36,205.04,292.33
hsa-let-7d-5p,141.93,254.79,433.34,327.87,182.32,164.08,445.54,71.03,454.86,870.57,1178.0,672.75,219.13,355.08,664.11
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.66,0.26,0.27,0.0,1.18,0.72
hsa-let-7e-5p,3.05,20.61,15.51,3.84,2.12,4.86,6.9,0.19,7.56,8.82,30.62,20.13,7.73,5.7,12.48
hsa-let-7f-1-3p,0.94,0.31,0.78,0.0,0.0,0.23,0.27,0.0,0.0,2.21,1.53,0.54,1.01,2.95,0.0
hsa-let-7f-2-3p,0.0,0.62,0.52,0.0,0.0,0.0,1.06,0.0,0.3,0.44,0.51,0.0,1.01,0.98,0.24
hsa-let-7f-5p,266.24,511.14,1014.58,862.9,117.18,171.02,360.63,164.92,274.61,1426.53,3840.23,1641.87,287.35,1089.99,1599.9
hsa-let-7g-3p,0.0,0.0,0.52,0.32,0.71,0.69,0.53,0.0,0.0,1.54,1.02,0.0,0.0,1.57,0.48
hsa-let-7g-5p,951.69,1405.09,2695.47,962.8,482.17,547.54,1215.36,658.55,532.28,2743.85,4072.46,2175.03,907.43,3336.94,2783.15
hsa-let-7i-3p,0.7,1.56,5.43,0.96,8.14,1.85,3.45,1.87,2.12,4.19,5.1,3.22,2.02,4.52,4.32
hsa-let-7i-5p,3350.17,5115.78,11300.53,7565.33,6970.91,5778.59,9938.37,2372.76,2175.08,14515.45,14361.05,7781.99,5417.72,11980.05,12341.99
hsa-miR-1-3p,2.11,3.43,36.2,7.04,20.53,1.16,15.66,1.31,2.12,4.41,28.84,13.96,3.36,7.66,32.64
hsa-miR-100-5p,42.77,136.45,162.12,87.73,259.85,269.37,377.35,56.6,170.87,239.81,300.37,325.37,154.94,263.17,168.25
hsa-miR-101-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2,0.0
hsa-miR-101-3p,127.13,86.49,1267.71,422.0,648.2,579.71,882.33,78.9,262.81,1831.36,1610.56,1339.32,1141.35,1624.57,1840.63
hsa-miR-101-5p,0.0,0.0,0.26,0.0,0.35,0.46,0.0,0.0,0.0,1.1,1.02,0.54,0.0,0.79,0.72
hsa-miR-10392-5p,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10393-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0
hsa-miR-10394-3p,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.44,0.26,0.0,0.0,0.0,0.24
hsa-miR-10395-3p,0.23,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.34,0.0,0.24
hsa-miR-10396b-3p,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-miR-10398-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,1.41,5.62,8.02,3.84,3.19,5.09,5.57,0.0,3.93,12.13,8.93,6.98,4.03,5.7,6.24
hsa-miR-10399-5p,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.3,0.0,0.26,0.0,0.0,0.0,0.0
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,225.59,1218.68,1068.62,833.44,68.32,136.77,1349.9,11.24,280.66,757.17,1109.86,8.05,81.67,468.6,608.18
hsa-miR-10401-3p,0.47,0.0,0.52,0.0,6.73,3.24,3.72,0.94,0.91,1.1,1.28,3.22,2.35,0.0,1.2
