miRNA,SRR23949263,SRR23949264,SRR23949265,SRR23949266,SRR23949267,SRR23949268,SRR23949269,SRR23949270,SRR23949271,SRR23949272,SRR23949273,SRR23949274,SRR23949275,SRR23949276,SRR23949277,SRR23949278,SRR23949279,SRR23949280,SRR23949281,SRR23949282,SRR23949283,SRR23949284,SRR23949285,SRR23949286,SRR23949287,SRR23949288,SRR23949289,SRR23949290,SRR23949291,SRR23949292,SRR23949293,SRR23949294
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,2.89,10.04,8.5,13.98,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-5p,195.83,98.55,52.56,218.65,7141.65,7045.32,7964.2,14531.56,46.1,66.85,221.71,13.8,103.08,72.43,62.64,53.42,199.94,184.4,152.92,400.39,184.62,61.69,116.96,102.48,122.91,93.4,319.8,168.59,185.97,303.85,34.75,109.07
hsa-let-7b-3p,0.0,0.0,0.0,0.0,0.0,0.5,2.43,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7b-5p,16221.42,10625.9,16229.13,20693.35,41165.03,48822.21,35836.46,61056.98,1553.36,1343.72,9705.86,883.09,1935.93,664.24,637.84,410.32,34082.17,25185.74,18470.97,52810.28,15359.42,24658.26,11590.94,12704.51,17749.49,11453.64,41480.8,30681.17,18637.43,45506.61,15741.63,7757.21
hsa-let-7c-3p,0.0,0.0,0.0,0.0,1.73,12.05,27.94,8.09,0.0,1.34,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,0.0,0.0,0.0,0.0,69.24,22.09,25.51,235.46,43.3,5.35,4.24,35.48,0.0,1.77,0.0,14.57,6.89,0.0,0.0,0.0,2.98,172.72,0.0,0.0,0.0,0.0,2.33,0.0,0.0,4.28,41.7,2.95
hsa-let-7d-3p,3.26,0.0,0.0,0.0,0.58,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,0.0,0.0,0.0,5.76,0.0,0.0,8.11,0.0,5.71,0.0,1.47
hsa-let-7d-5p,0.0,7.04,4.04,0.0,1.15,1.51,2.43,5.15,2.79,0.0,0.0,0.0,2.06,0.0,0.0,0.0,0.0,8.92,19.11,5.34,17.87,11.1,9.55,12.16,5.76,3.11,4.67,12.97,15.22,25.68,0.0,1.47
hsa-let-7e-5p,0.0,0.0,0.0,0.0,5.77,3.01,13.36,8.83,1.4,1.34,1.41,0.0,2.06,0.0,5.69,0.0,3.45,2.97,0.0,1.78,0.0,3.7,0.0,0.0,3.84,3.11,0.0,0.0,1.69,0.0,0.0,1.47
