miRNA,SRR2005874,SRR2005881,SRR2005885,SRR2005886,SRR2005887
hsa-let-7a-3p,0.15,5.34,7.66,7.45,9.86
hsa-let-7a-5p,62.73,29827.53,19189.66,8931.67,24816.22
hsa-let-7b-3p,0.0,1.98,2.25,0.18,3.43
hsa-let-7b-5p,0.69,1029.63,405.25,17.55,710.14
hsa-let-7c-3p,0.0,0.0,0.0,2.93,0.07
hsa-let-7c-5p,7.5,47.53,44.36,711.42,78.06
hsa-let-7d-3p,0.31,52.67,90.79,5.85,77.21
hsa-let-7d-5p,0.99,751.27,603.3,39.99,665.07
hsa-let-7e-3p,0.31,0.2,1.09,3.19,1.5
hsa-let-7e-5p,7.96,543.87,688.55,1022.09,1139.66
hsa-let-7f-1-3p,0.0,1.19,1.96,0.09,1.43
hsa-let-7f-2-3p,0.0,0.4,1.61,0.0,1.29
hsa-let-7f-5p,40.7,8414.21,14922.98,1825.98,17556.35
hsa-let-7g-3p,0.0,1.98,3.17,0.18,4.71
hsa-let-7g-5p,8.49,3443.33,8813.94,372.02,11742.04
hsa-let-7i-3p,0.0,8.79,25.46,0.0,30.5
hsa-let-7i-5p,2.68,2142.46,3120.91,85.56,3313.5
hsa-miR-1-3p,0.0,0.99,2.3,0.09,0.14
hsa-miR-100-3p,0.0,0.0,0.06,0.0,0.07
hsa-miR-100-5p,0.08,156.03,13.59,0.0,6.71
hsa-miR-101-2-5p,0.0,0.0,0.46,1.77,0.14
hsa-miR-101-3p,6.12,915.99,1487.82,754.07,2356.61
hsa-miR-101-5p,0.0,5.34,7.66,2.13,12.0
hsa-miR-10226,0.0,0.0,0.06,0.0,0.0
hsa-miR-10392-5p,0.0,0.0,0.29,0.0,0.14
hsa-miR-10393-3p,0.0,0.2,0.86,0.0,0.64
hsa-miR-10393-5p,0.0,0.0,0.06,0.0,0.07
hsa-miR-10394-3p,1.07,0.4,0.06,1.15,0.07
hsa-miR-10394-5p,0.23,0.0,0.0,0.27,0.07
hsa-miR-10395-3p,0.15,297.03,191.36,111.54,321.82
hsa-miR-10395-5p,0.08,1.68,0.75,0.0,0.71
hsa-miR-10396a-3p,1.15,0.0,0.17,2.31,0.29
hsa-miR-10396a-5p,0.0,0.0,0.12,0.09,0.07
hsa-miR-10396b-3p,0.54,0.3,1.44,0.44,0.71
hsa-miR-10396b-5p,0.08,0.0,0.12,0.0,0.0
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.07
hsa-miR-10399-3p,0.08,5.34,5.82,0.71,9.0
hsa-miR-10399-5p,0.0,0.79,1.15,0.35,1.43
hsa-miR-103a-2-5p,0.08,0.4,0.58,0.0,0.07
hsa-miR-103a-3p,1.38,27.77,958.77,126.79,497.16
hsa-miR-10401-3p,8.95,0.4,4.9,4.34,1.64
hsa-miR-10401-5p,0.23,0.1,0.17,0.18,0.14
hsa-miR-105-3p,0.08,0.0,0.0,3.19,0.0
hsa-miR-105-5p,0.15,0.0,0.23,11.53,0.0
hsa-miR-10527-5p,0.54,0.0,0.12,0.35,0.0
hsa-miR-106a-3p,0.0,0.0,0.52,0.0,0.43
hsa-miR-106a-5p,0.0,0.49,17.86,5.41,5.07
hsa-miR-106b-3p,6.89,107.9,117.0,91.76,118.42
hsa-miR-106b-5p,3.52,74.6,106.28,171.21,114.13
hsa-miR-107,1.91,135.87,9.5,62.42,8.36
hsa-miR-10a-3p,0.15,0.3,1.04,5.94,0.36
hsa-miR-10a-5p,731.59,13190.62,7706.54,31032.69,7697.97
hsa-miR-10b-5p,23.49,2802.73,39.06,16.85,26.57
hsa-miR-11400,0.0,0.0,0.0,0.0,0.07
hsa-miR-11401,0.0,0.3,0.0,0.0,0.0
hsa-miR-1179,0.0,0.0,0.35,0.18,0.43
hsa-miR-1180-3p,0.46,0.89,0.75,32.72,0.93
hsa-miR-1180-5p,0.0,0.0,0.0,0.18,0.0
hsa-miR-1181,0.0,0.0,0.12,0.27,0.36
hsa-miR-1185-1-3p,0.92,0.0,0.29,41.32,0.0
hsa-miR-1185-2-3p,0.23,0.0,0.17,3.64,0.0
hsa-miR-1185-5p,0.23,0.2,0.0,13.65,0.0
hsa-miR-1193,0.0,0.0,0.0,0.18,0.0
hsa-miR-1197,0.08,0.0,0.17,11.88,0.0
hsa-miR-12114,0.0,0.0,0.0,0.18,0.0
hsa-miR-12121,0.0,0.0,0.0,0.18,0.0
hsa-miR-12135,0.0,0.0,0.0,0.09,0.0
hsa-miR-12136,11.25,0.59,0.98,0.71,0.36
hsa-miR-122-5p,0.0,0.4,0.0,0.0,0.0
hsa-miR-1225-3p,0.0,0.2,0.0,0.0,0.0
hsa-miR-1226-3p,0.08,1.09,0.12,2.48,0.5
hsa-miR-1226-5p,0.08,0.0,0.0,0.89,0.0
hsa-miR-1227-3p,0.0,0.0,0.0,0.18,0.0
hsa-miR-1228-3p,0.0,0.0,0.29,0.0,0.5
hsa-miR-1228-5p,0.0,0.0,0.06,0.0,0.0
hsa-miR-1229-3p,0.08,0.4,0.06,0.09,0.0
hsa-miR-1233-3p,0.0,0.2,0.12,0.0,0.07
hsa-miR-1234-3p,0.0,0.4,0.17,0.09,0.29
hsa-miR-1237-5p,0.0,0.0,0.0,0.0,0.14
hsa-miR-124-3p,0.0,2.17,15.9,0.0,11.64
hsa-miR-124-5p,0.0,0.0,0.23,0.0,0.07
hsa-miR-1244,0.0,0.0,0.06,0.0,0.21
hsa-miR-1246,5.74,63.73,33.01,23.41,17.14
hsa-miR-1247-5p,0.08,0.0,0.0,0.0,0.0
hsa-miR-1248,0.0,2.17,6.45,0.0,2.5
hsa-miR-1249-3p,0.0,5.43,12.33,0.98,10.71
hsa-miR-1250-5p,0.0,0.0,0.0,0.0,0.14
hsa-miR-1255a,0.08,1.09,1.5,4.88,0.86
