miRNA,SRR12042397,SRR12042398,SRR12042399,SRR12042400,SRR12042401,SRR12042402,SRR12042403,SRR12042404,SRR12042405,SRR12042406,SRR12042407,SRR12042408,SRR12042409,SRR12042410,SRR12042411,SRR12042412,SRR12042413,SRR12042414,SRR12042415,SRR12042416,SRR12042417,SRR12042418,SRR12042419,SRR12042420,SRR12042421,SRR12042422,SRR12042423,SRR12042424,SRR12042425,SRR12042426,SRR12042427,SRR12042428,SRR12042429,SRR12042430,SRR12042431,SRR12042432,SRR12042433,SRR12042434,SRR12042435,SRR12042436,SRR12042437,SRR12042438,SRR12042439,SRR12042440,SRR12042441,SRR12042442,SRR12042443,SRR12042444,SRR12042445,SRR12042446,SRR12042447,SRR12042448,SRR12042449,SRR12042450,SRR12042451,SRR12042452,SRR12042453,SRR12042454,SRR12042455,SRR12042456
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,5398.0,5158.0,1656.0,2882.0,473.0,783.0,1621.0,504.0,335.0,496.0,1449.0,269.0,339.0,601.0,2148.0,228.0,394.0,170.0,114.0,64.0,298.0,163.0,993.0,3532.0,728.0,1078.0,6921.0,6621.0,546.0,2953.0,526.0,304.0,3814.0,1391.0,4325.0,5337.0,575.0,5126.0,494.0,133.0,312.0,1583.0,233.0,789.0,701.0,529.0,261.0,1551.0,1954.0,1226.0,839.0,116.0,295.0,1256.0,509.0,1396.0,2784.0,4483.0,1258.0,964.0
hsa-let-7a-5p,198823.0,137271.0,79091.0,220272.0,61117.0,71308.0,203498.0,53125.0,99438.0,92058.0,383992.0,15763.0,61644.0,101660.0,110457.0,25691.0,60672.0,52348.0,10310.0,19103.0,44012.0,25357.0,68932.0,72521.0,50125.0,58893.0,222731.0,293295.0,103660.0,232608.0,180213.0,74589.0,157139.0,89192.0,97591.0,105761.0,54621.0,200836.0,52721.0,21179.0,31206.0,152744.0,32538.0,56604.0,115345.0,24445.0,36001.0,131230.0,84317.0,108003.0,57713.0,10242.0,34942.0,100823.0,47726.0,58911.0,118215.0,259475.0,87514.0,98246.0
hsa-let-7b-3p,428.0,393.0,154.0,517.0,118.0,174.0,221.0,131.0,209.0,201.0,342.0,66.0,78.0,182.0,246.0,116.0,139.0,189.0,50.0,51.0,157.0,47.0,118.0,155.0,87.0,112.0,907.0,374.0,216.0,390.0,247.0,120.0,223.0,162.0,314.0,376.0,94.0,326.0,150.0,54.0,153.0,322.0,99.0,126.0,318.0,96.0,130.0,254.0,287.0,231.0,267.0,31.0,127.0,249.0,205.0,334.0,264.0,655.0,156.0,227.0
hsa-let-7b-5p,683740.0,426079.0,139712.0,462454.0,69863.0,138926.0,356990.0,156587.0,143271.0,189838.0,637061.0,49106.0,188978.0,274289.0,249879.0,74105.0,57839.0,92494.0,21208.0,66701.0,191019.0,96284.0,123527.0,193575.0,124192.0,137679.0,629989.0,521350.0,448631.0,207530.0,187915.0,303067.0,503897.0,264424.0,195904.0,290612.0,149394.0,570303.0,133234.0,51859.0,97765.0,367306.0,91244.0,149325.0,378754.0,125493.0,92845.0,291929.0,332170.0,337790.0,207306.0,34088.0,116832.0,391769.0,139742.0,308236.0,590332.0,1077063.0,181327.0,164047.0
hsa-let-7c-3p,8.0,10.0,0.0,10.0,6.0,0.0,2.0,2.0,16.0,2.0,0.0,0.0,1.0,5.0,15.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,7.0,52.0,3.0,2.0,7.0,12.0,6.0,4.0,1.0,3.0,13.0,0.0,3.0,0.0,2.0,5.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,0.0,8.0,3.0,10.0,5.0,6.0,4.0,1.0
hsa-let-7c-5p,4943.0,4760.0,2813.0,8401.0,1758.0,16055.0,5807.0,15098.0,2564.0,19439.0,4314.0,4347.0,1752.0,23807.0,6040.0,5609.0,3597.0,2149.0,1273.0,408.0,11087.0,886.0,2035.0,1269.0,8146.0,2164.0,23703.0,6617.0,27550.0,14769.0,9607.0,17275.0,3539.0,1982.0,3763.0,3055.0,1734.0,8050.0,1221.0,670.0,5384.0,3186.0,7606.0,1338.0,2750.0,5497.0,674.0,15141.0,2618.0,4165.0,928.0,180.0,1615.0,2929.0,1820.0,2524.0,29229.0,4954.0,2459.0,5729.0
hsa-let-7d-3p,14050.0,10840.0,4642.0,13026.0,2137.0,4990.0,8569.0,3357.0,4444.0,4465.0,18342.0,1636.0,4335.0,10240.0,6997.0,7041.0,5173.0,7158.0,1485.0,3066.0,7756.0,2760.0,2406.0,4657.0,2004.0,4659.0,11842.0,9657.0,7331.0,9963.0,7835.0,2458.0,6592.0,4910.0,6021.0,6713.0,2234.0,6935.0,1921.0,1337.0,4065.0,10652.0,1672.0,2547.0,10752.0,1895.0,2538.0,5310.0,11159.0,10398.0,7802.0,1532.0,4995.0,11001.0,7255.0,12043.0,10837.0,20281.0,4968.0,5539.0
hsa-let-7d-5p,16619.0,14546.0,6464.0,14846.0,5962.0,8518.0,21844.0,7371.0,10153.0,12340.0,36398.0,2014.0,6017.0,11758.0,7209.0,2871.0,5264.0,5961.0,1323.0,1582.0,6675.0,2617.0,6118.0,7110.0,5055.0,4357.0,14541.0,19774.0,13197.0,17878.0,14454.0,11029.0,13275.0,7415.0,7298.0,9521.0,3091.0,16590.0,5875.0,1870.0,3871.0,17057.0,4594.0,5875.0,11452.0,3781.0,5317.0,9465.0,11559.0,11307.0,7951.0,1272.0,4136.0,13165.0,7402.0,8190.0,19251.0,30628.0,7873.0,6627.0
hsa-let-7e-3p,2.0,20.0,0.0,4.0,7.0,10.0,11.0,7.0,47.0,2.0,14.0,0.0,2.0,4.0,8.0,4.0,8.0,5.0,0.0,5.0,7.0,0.0,11.0,12.0,0.0,6.0,31.0,22.0,5.0,14.0,10.0,6.0,0.0,0.0,22.0,25.0,3.0,13.0,1.0,2.0,1.0,12.0,0.0,1.0,7.0,0.0,5.0,13.0,10.0,3.0,11.0,0.0,1.0,5.0,16.0,1.0,14.0,44.0,14.0,6.0
hsa-let-7e-5p,2191.0,1241.0,1186.0,2229.0,670.0,1285.0,1600.0,876.0,678.0,756.0,2245.0,246.0,464.0,915.0,1467.0,378.0,1060.0,839.0,126.0,188.0,546.0,194.0,842.0,870.0,290.0,762.0,2608.0,3661.0,1620.0,747.0,1559.0,1514.0,876.0,1002.0,2279.0,1728.0,1060.0,2290.0,466.0,284.0,519.0,1197.0,518.0,650.0,1516.0,355.0,305.0,2688.0,611.0,1371.0,400.0,79.0,504.0,1126.0,902.0,482.0,2066.0,2992.0,1183.0,1515.0
hsa-let-7f-1-3p,302.0,173.0,37.0,160.0,37.0,49.0,84.0,36.0,44.0,58.0,96.0,19.0,19.0,37.0,85.0,15.0,31.0,19.0,9.0,5.0,21.0,3.0,57.0,97.0,62.0,45.0,357.0,258.0,52.0,165.0,88.0,43.0,154.0,76.0,223.0,217.0,30.0,282.0,53.0,5.0,21.0,87.0,10.0,61.0,102.0,40.0,23.0,65.0,136.0,59.0,65.0,6.0,13.0,76.0,36.0,88.0,115.0,221.0,90.0,29.0
hsa-let-7f-2-3p,107.0,73.0,17.0,40.0,12.0,17.0,53.0,4.0,8.0,9.0,17.0,7.0,3.0,19.0,51.0,4.0,8.0,3.0,1.0,6.0,5.0,2.0,16.0,62.0,8.0,22.0,142.0,123.0,15.0,75.0,21.0,9.0,57.0,30.0,95.0,91.0,7.0,100.0,19.0,7.0,4.0,38.0,6.0,28.0,11.0,6.0,14.0,26.0,32.0,24.0,34.0,2.0,0.0,28.0,17.0,20.0,55.0,80.0,28.0,28.0
hsa-let-7f-5p,162398.0,117406.0,65569.0,125893.0,38452.0,50060.0,145711.0,41294.0,57962.0,69806.0,258370.0,14026.0,31475.0,63566.0,68918.0,14904.0,39141.0,24844.0,9037.0,8033.0,27011.0,14842.0,54377.0,44508.0,44522.0,49102.0,155442.0,268957.0,67422.0,218029.0,118453.0,43120.0,118979.0,59465.0,75596.0,91506.0,36226.0,153957.0,32063.0,12107.0,18724.0,102412.0,21487.0,38011.0,59462.0,19501.0,20501.0,85459.0,51552.0,57554.0,39111.0,5687.0,21728.0,60628.0,29524.0,35565.0,106194.0,161746.0,64910.0,66813.0
hsa-let-7g-3p,5.0,3.0,1.0,0.0,7.0,8.0,3.0,4.0,10.0,5.0,7.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,2.0,20.0,4.0,6.0,21.0,4.0,4.0,11.0,0.0,6.0,3.0,0.0,10.0,15.0,0.0,0.0,27.0,0.0,3.0,15.0,5.0,5.0,0.0,11.0,0.0,5.0,1.0,3.0,0.0,4.0,8.0,13.0,25.0,4.0,3.0
