miRNA,SRR22139609
hsa-miR-148a-3p,57326
hsa-miR-7-5p,45714
hsa-miR-9-5p,68945
hsa-miR-21-5p,43942
hsa-miR-26a-5p,21620
hsa-miR-151a-3p,33312
hsa-let-7i-5p,17663
hsa-miR-25-3p,13147
hsa-miR-30a-5p,19810
hsa-miR-148b-3p,10302
hsa-miR-99a-5p,9718
hsa-miR-363-3p,8982
hsa-miR-218-5p,8122
hsa-miR-100-5p,6254
hsa-miR-30d-5p,9680
hsa-miR-99b-5p,6304
hsa-miR-532-5p,5267
hsa-miR-143-3p,5097
hsa-miR-129-5p,4058
hsa-miR-27b-3p,5448
hsa-let-7g-5p,4252
hsa-miR-381-3p,3771
hsa-miR-30a-3p,4198
hsa-let-7c-5p,3175
hsa-miR-135b-5p,3213
hsa-miR-92a-3p,5121
hsa-miR-340-5p,3994
hsa-miR-106b-3p,2937
hsa-let-7f-5p,2600
hsa-miR-30e-3p,2410
hsa-miR-30c-5p,2354
hsa-miR-182-5p,2264
hsa-miR-378a-3p,2337
hsa-miR-92b-3p,2333
hsa-let-7a-5p,1566
hsa-miR-744-5p,1402
hsa-miR-28-3p,2077
hsa-miR-941,1253
hsa-miR-379-5p,1112
hsa-miR-320a-3p,1995
hsa-miR-181a-5p,1459
hsa-miR-1269a,1464
hsa-miR-152-3p,1183
hsa-miR-335-3p,897
hsa-miR-101-3p,2458
hsa-miR-423-5p,1405
hsa-miR-128-3p,1263
hsa-miR-146b-5p,1676
hsa-miR-95-3p,845
hsa-miR-186-5p,1227
hsa-miR-181a-2-3p,915
hsa-miR-127-3p,880
hsa-miR-221-3p,795
hsa-miR-769-5p,1126
hsa-miR-1298-5p,931
hsa-miR-23b-3p,1038
hsa-miR-93-5p,835
hsa-miR-30e-5p,859
hsa-miR-191-5p,1385
hsa-miR-20a-5p,601
hsa-miR-183-5p,1129
hsa-miR-125b-5p,996
hsa-miR-199b-5p,470
hsa-miR-370-3p,503
hsa-miR-423-3p,457
hsa-miR-24-3p,885
hsa-miR-26b-5p,512
hsa-miR-217-5p,763
hsa-miR-19b-3p,558
hsa-miR-181b-5p,917
hsa-miR-140-3p,1260
hsa-miR-125a-5p,403
hsa-miR-135a-5p,594
hsa-miR-320b,479
hsa-miR-132-3p,398
hsa-miR-1180-3p,361
hsa-miR-17-5p,439
hsa-miR-361-3p,451
hsa-miR-99b-3p,691
hsa-miR-23a-3p,521
hsa-miR-184,395
hsa-miR-16-5p,624
hsa-miR-22-3p,312
hsa-miR-222-3p,734
hsa-miR-320c,305
hsa-miR-20b-5p,331
hsa-miR-192-5p,848
hsa-miR-149-5p,460
hsa-miR-455-5p,342
hsa-miR-122-5p,369
hsa-miR-30c-2-3p,354
hsa-miR-92b-5p,339
hsa-miR-342-3p,226
hsa-miR-708-3p,588
hsa-miR-216b-5p,330
hsa-let-7e-5p,276
hsa-miR-582-3p,308
hsa-miR-30b-5p,209
hsa-miR-629-5p,269
hsa-miR-125b-1-3p,354
hsa-miR-335-5p,220
hsa-miR-654-3p,225
hsa-miR-552-3p,219
hsa-miR-889-3p,176
hsa-miR-654-5p,183
hsa-miR-185-5p,169
hsa-miR-98-5p,146
hsa-miR-9-3p,451
hsa-miR-130a-3p,276
hsa-miR-374b-5p,131
hsa-miR-361-5p,215
hsa-miR-1307-3p,309
hsa-miR-34c-5p,166
hsa-miR-140-5p,141
hsa-miR-106b-5p,168
hsa-miR-134-5p,159
hsa-miR-1246,261
hsa-miR-135a-3p,246
hsa-miR-215-5p,130
hsa-miR-548o-3p,117
hsa-miR-153-3p,128
hsa-miR-345-5p,152
hsa-miR-106a-5p,157
hsa-miR-32-5p,146
hsa-miR-219a-1-3p,271
hsa-let-7b-5p,149
hsa-miR-148a-5p,105
hsa-miR-199a-5p,101
hsa-miR-15b-5p,135
hsa-miR-421,184
hsa-miR-199b-3p,108
hsa-miR-374a-3p,114
hsa-miR-181a-3p,101
hsa-miR-301b-3p,92
hsa-miR-328-3p,100
hsa-miR-27a-3p,157
hsa-miR-454-3p,170
hsa-miR-598-3p,145
hsa-miR-501-3p,167
hsa-miR-155-5p,115
hsa-miR-2682-5p,134
hsa-miR-425-5p,164
hsa-miR-197-3p,83
hsa-miR-126-3p,135
hsa-miR-1296-5p,94
hsa-miR-1301-3p,169
hsa-miR-409-3p,221
hsa-miR-374a-5p,134
hsa-miR-495-3p,87
hsa-miR-139-5p,73
hsa-miR-432-5p,185
hsa-miR-124-3p,185
hsa-miR-504-5p,117
hsa-miR-3615,82
hsa-miR-500a-3p,174
hsa-miR-1-3p,68
hsa-miR-652-3p,95
hsa-miR-130b-3p,113
hsa-miR-584-5p,80
hsa-miR-181d-5p,150
hsa-miR-1271-5p,104
hsa-miR-216a-3p,147
hsa-miR-411-5p,89
hsa-miR-148b-5p,72
hsa-miR-450b-5p,95
hsa-miR-212-5p,90
hsa-miR-107,72
hsa-miR-589-5p,106
hsa-miR-221-5p,97
hsa-miR-105-5p,62
hsa-miR-3158-3p,48
hsa-miR-708-5p,72
hsa-miR-574-3p,47
hsa-miR-103a-3p,81
hsa-miR-382-5p,54
hsa-miR-323a-3p,61
hsa-miR-29a-3p,72
hsa-miR-199a-3p,92
hsa-miR-660-5p,46
hsa-miR-450a-5p,48
hsa-miR-375-3p,51
hsa-let-7d-5p,48
hsa-miR-125a-3p,48
hsa-miR-494-3p,39
hsa-miR-18a-5p,47
hsa-miR-514a-3p,45
hsa-miR-216a-5p,53
hsa-miR-382-3p,51
hsa-miR-4326,46
hsa-miR-340-3p,79
hsa-miR-342-5p,124
hsa-miR-219a-2-3p,78
hsa-miR-125b-2-3p,37
hsa-miR-758-3p,46
hsa-miR-28-5p,79
hsa-miR-10b-5p,40
hsa-miR-542-3p,75
hsa-miR-576-3p,51
hsa-miR-493-5p,41
hsa-miR-204-5p,50
hsa-miR-181c-3p,59
hsa-miR-16-2-3p,55
hsa-miR-96-5p,31
hsa-miR-324-5p,44
hsa-miR-1287-5p,31
hsa-miR-139-3p,38
hsa-miR-339-3p,57
