miRNA,SRR15035013,SRR15035014,SRR15035015,SRR15035016,SRR15035017,SRR15035018,SRR15035019,SRR15035020,SRR15035021,SRR15035022,SRR15035023,SRR15035024,SRR15035025,SRR15035027,SRR15035028,SRR15035029,SRR15035030,SRR15035031,SRR15035032,SRR15035033,SRR15035034,SRR15035035,SRR15035036,SRR15035037,SRR15035038,SRR15035039,SRR15035040,SRR15035041,SRR15035042,SRR15035043,SRR15035044,SRR15035045
hsa-miR-181a-3p,54.02,32.04,72.78,45.54,15.92,56.36,61.8,28.75,35.18,31.22,5.05,36.53,35.75,67.48,37.25,36.48,53.69,68.51,21.1,8.32,17.42,30.79,13.48,40.57,16.95,29.2,16.79,37.81,43.32,0.0,15.26,8.47
hsa-miR-181a-5p,15533.2,8520.13,16038.2,18749.6,8901.79,9092.42,10925.27,12808.64,6592.41,9659.21,9112.22,16476.43,9252.98,9891.6,9698.57,8534.39,14755.89,12254.3,8632.71,2459.23,4322.96,13829.28,14647.71,8731.02,7670.9,6989.02,4050.64,7545.19,10093.45,9602.27,3588.46,4867.66
hsa-miR-181b-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0
hsa-miR-181b-3p,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.68,0.0
hsa-miR-181b-5p,860.29,337.52,450.4,787.48,371.46,458.1,516.29,454.58,248.09,255.26,331.27,861.96,302.47,276.74,228.72,272.43,560.84,273.79,369.04,79.34,100.62,1039.53,715.09,205.92,214.27,305.79,135.88,225.15,235.55,213.48,195.45,155.06
hsa-miR-181c-3p,7.55,14.92,14.76,22.48,1.33,14.37,25.63,11.25,1.85,2.34,3.79,39.37,18.82,25.86,20.81,23.55,10.84,34.09,16.88,1.83,0.0,0.0,0.0,18.76,7.21,13.81,3.62,0.0,7.88,0.0,8.5,0.78
hsa-miR-181c-5p,86.19,92.55,125.77,170.93,30.51,63.0,90.82,117.37,17.28,43.71,53.63,160.34,130.51,89.11,129.47,144.16,142.12,160.01,112.78,17.05,11.61,198.56,64.48,62.82,29.58,113.99,27.64,64.69,85.33,41.18,18.54,13.48
hsa-miR-181d-5p,140.6,29.75,57.43,76.38,61.03,24.87,67.08,71.79,22.83,6.24,9.46,144.69,34.05,14.81,32.19,38.12,68.47,17.13,20.97,10.75,75.47,66.9,37.51,42.32,24.89,35.49,11.11,17.64,26.07,8.67,29.65,8.47
hsa-miR-182-3p,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-182-5p,2593.57,1327.65,2313.84,4783.39,5152.69,4336.77,2610.07,5942.51,2632.15,11152.51,2694.35,2439.3,2376.17,1387.69,3254.41,2022.55,3013.05,1515.87,3644.89,2843.77,6279.32,10605.56,4165.72,4867.44,13333.26,2795.43,6279.26,6174.94,11630.53,8162.09,1694.05,6307.61
hsa-miR-183-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,2.75,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34
hsa-miR-183-5p,8.74,12.91,46.8,41.22,51.74,46.97,24.5,53.18,28.39,176.42,47.32,33.21,39.77,24.69,51.31,40.75,21.92,30.23,55.24,25.57,332.83,125.3,34.58,86.38,205.98,28.85,124.0,98.29,153.97,317.51,19.02,74.19
hsa-miR-184,0.0,0.0,0.0,0.29,0.0,0.0,2.64,2.78,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,2.23,0.0,0.0,12.9,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.67
hsa-miR-1843,82.22,32.68,93.45,123.08,57.05,29.84,105.52,67.28,14.19,39.03,39.12,50.29,44.21,27.98,31.91,32.64,46.8,36.83,37.98,14.81,27.09,7.43,25.79,29.67,30.66,33.04,26.35,9.24,43.51,26.01,38.14,20.61
hsa-miR-185-3p,9.14,4.49,17.12,6.05,0.0,0.0,4.52,6.62,12.96,3.9,0.0,7.12,6.35,4.47,9.84,4.16,5.17,9.81,6.14,0.0,0.0,0.0,9.96,9.6,9.02,7.69,4.65,0.0,3.56,4.33,3.57,5.9
hsa-miR-185-5p,0.0,0.92,0.0,0.0,71.64,3.32,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,1.61,0.0,0.0,71.6,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.29,6.57
hsa-miR-186-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
hsa-miR-186-5p,1050.53,634.4,1255.83,1319.0,867.63,822.82,1266.97,960.73,998.55,999.17,1156.62,1061.21,1668.02,999.74,1817.13,1334.09,1377.34,1532.27,1077.2,328.94,284.46,1045.9,1022.23,919.22,569.23,1087.12,795.92,720.83,844.31,1711.09,514.31,637.38
hsa-miR-188-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-188-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18a-3p,0.0,0.0,2.51,0.0,0.0,8.29,0.0,2.16,0.0,8.59,2.52,0.0,5.71,0.0,8.86,0.77,0.0,2.49,0.9,0.0,0.0,4.25,8.21,5.24,18.04,5.94,0.52,0.0,14.44,10.84,0.0,5.46
hsa-miR-18a-5p,0.0,2.11,2.36,0.0,0.0,0.0,10.17,1.42,0.0,0.0,0.0,0.0,7.4,3.76,10.4,8.65,1.48,7.0,3.71,2.23,0.0,0.0,0.0,3.49,7.58,1.05,0.26,0.0,1.88,0.0,2.22,2.78
hsa-miR-18b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p,3.18,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,2.67
