miRNA,SRR15035013,SRR15035014,SRR15035015,SRR15035016,SRR15035017,SRR15035018,SRR15035019,SRR15035020,SRR15035021,SRR15035022,SRR15035023,SRR15035024,SRR15035025,SRR15035027,SRR15035028,SRR15035029,SRR15035030,SRR15035031,SRR15035032,SRR15035033,SRR15035034,SRR15035035,SRR15035036,SRR15035037,SRR15035038,SRR15035039,SRR15035040,SRR15035041,SRR15035042,SRR15035043,SRR15035044,SRR15035045
hsa-let-7a-3p,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,35.0,41.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0,0.0,5.0,8.0
hsa-let-7a-5p,17342.0,39412.0,59826.0,32422.0,15533.0,44195.0,44290.0,196100.0,7002.0,11115.0,20868.0,17412.0,51990.0,17125.0,75637.0,91138.0,42491.0,30942.0,68909.0,11289.0,3720.0,22684.0,21453.0,11095.0,35670.0,56854.0,37333.0,11517.0,40458.0,3923.0,60694.0,92252.0
hsa-let-7b-3p,0.0,0.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,1.0,0.0
hsa-let-7b-5p,480.0,1657.0,2271.0,931.0,319.0,919.0,1146.0,5027.0,317.0,357.0,530.0,682.0,1290.0,495.0,1815.0,2252.0,1561.0,1802.0,2798.0,381.0,223.0,446.0,587.0,359.0,828.0,1802.0,1547.0,235.0,1258.0,91.0,2349.0,3841.0
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,157.0,354.0,465.0,420.0,96.0,222.0,219.0,1676.0,276.0,52.0,100.0,212.0,87.0,158.0,1221.0,350.0,304.0,340.0,853.0,148.0,29.0,289.0,312.0,137.0,1299.0,637.0,309.0,34.0,200.0,14.0,382.0,159.0
hsa-let-7d-3p,120.0,474.0,658.0,346.0,75.0,749.0,540.0,1592.0,407.0,208.0,377.0,245.0,886.0,713.0,1225.0,1506.0,491.0,1630.0,868.0,71.0,10.0,97.0,180.0,218.0,91.0,1197.0,402.0,38.0,643.0,27.0,541.0,443.0
hsa-let-7d-5p,172.0,1334.0,1362.0,677.0,35.0,395.0,540.0,2686.0,58.0,204.0,291.0,118.0,1990.0,755.0,1905.0,2643.0,769.0,4609.0,2094.0,103.0,22.0,60.0,253.0,101.0,319.0,731.0,277.0,98.0,293.0,31.0,744.0,542.0
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
hsa-let-7e-5p,890.0,1478.0,2770.0,1342.0,708.0,2196.0,1199.0,8198.0,374.0,416.0,550.0,762.0,2705.0,620.0,2620.0,4139.0,2423.0,2356.0,2473.0,371.0,37.0,264.0,655.0,509.0,489.0,2074.0,608.0,33.0,1097.0,53.0,1186.0,446.0
hsa-let-7f-1-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,39412.0,97032.0,126466.0,68364.0,33598.0,132776.0,114409.0,472504.0,26711.0,37730.0,56885.0,44167.0,125742.0,36798.0,184729.0,206124.0,96745.0,131697.0,127714.0,27966.0,4396.0,41845.0,40330.0,35890.0,87575.0,154679.0,96356.0,31696.0,109750.0,10203.0,110982.0,217413.0
hsa-let-7g-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
hsa-let-7g-5p,1087.0,3276.0,4881.0,2618.0,462.0,1426.0,2163.0,11836.0,262.0,684.0,1305.0,881.0,4535.0,1933.0,6668.0,8531.0,3379.0,8051.0,6484.0,402.0,107.0,620.0,1087.0,465.0,1842.0,2501.0,1573.0,412.0,1295.0,205.0,2114.0,4063.0
