miRNA,GSM2832558,GSM2832559,GSM2832560,GSM2832561,GSM2832562,GSM2832563,GSM2832564
hsa-miR-1299,0.0,0.0,0.05,0.0,0.0,0.0,0.81
hsa-miR-1301-3p,2.57,1.3,1.52,3.18,0.86,2.78,9.88
hsa-miR-1303,0.0,0.0,0.0,0.65,0.27,0.0,0.25
hsa-miR-1304-3p,0.0,0.0,0.4,0.0,0.0,0.0,0.0
hsa-miR-1304-5p,0.0,0.17,1.42,0.49,0.59,0.0,0.0
hsa-miR-1306-3p,0.0,0.0,0.0,0.27,0.0,1.14,0.0
hsa-miR-1306-5p,0.92,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1307-3p,69.97,14.88,34.11,52.14,14.61,74.37,133.04
hsa-miR-1307-5p,0.0,0.29,0.0,1.89,0.21,1.96,3.77
hsa-miR-130a-3p,0.4,0.46,0.81,1.46,0.0,1.96,1.43
hsa-miR-130b-3p,0.0,0.21,0.0,0.22,0.0,0.74,1.07
hsa-miR-130b-5p,24.77,4.53,9.5,10.96,1.34,18.8,25.2
hsa-miR-132-3p,0.0,0.0,0.0,0.0,0.0,0.82,0.0
hsa-miR-132-5p,0.0,0.0,0.0,0.32,0.0,1.31,2.24
hsa-miR-1323,0.34,0.04,0.0,0.38,0.0,0.0,0.0
hsa-miR-133a-3p,0.0,0.59,1.82,2.91,0.11,0.0,1.32
hsa-miR-133b,0.0,0.0,0.0,0.38,0.0,0.0,0.0
hsa-miR-134-5p,6.35,2.98,9.35,6.31,4.3,9.73,18.23
hsa-miR-1343-3p,0.0,0.25,0.0,0.0,0.0,0.0,1.73
hsa-miR-135a-5p,0.0,0.0,0.2,0.0,0.0,1.8,0.0
hsa-miR-135b-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-136-3p,2.35,0.21,0.4,0.49,0.54,3.11,0.41
hsa-miR-136-5p,0.0,0.0,0.0,0.0,0.21,0.49,0.36
hsa-miR-139-3p,7.27,3.39,9.1,11.71,2.15,34.41,22.15
