miRNA,GSM2832558,GSM2832559,GSM2832560,GSM2832561,GSM2832562,GSM2832563,GSM2832564
hsa-miR-374a-3p,0.51,0.13,0.56,0.7,0.0,2.21,1.78
hsa-miR-374a-5p,0.86,1.59,0.4,2.43,0.16,2.94,2.8
hsa-miR-374b-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-374b-5p,2.0,1.38,1.01,1.94,0.0,13.32,10.03
hsa-miR-375-3p,1.37,0.5,3.49,1.19,0.81,8.99,4.07
hsa-miR-376c-3p,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-377-3p,0.0,0.0,0.0,0.0,0.0,0.49,0.66
hsa-miR-378a-3p,9.96,3.69,12.18,13.44,3.87,31.06,35.28
hsa-miR-378a-5p,0.0,0.0,0.0,0.0,0.0,0.0,1.17
hsa-miR-378c,0.0,0.0,0.0,0.27,0.0,0.65,2.49
hsa-miR-378d,0.0,0.0,0.05,0.05,0.11,0.0,1.27
hsa-miR-378e,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-378f,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-379-5p,4.41,2.56,11.12,1.3,2.2,20.1,16.14
hsa-miR-381-3p,3.38,1.47,4.95,1.94,2.15,3.92,5.96
hsa-miR-382-3p,0.0,0.25,0.45,0.0,0.32,0.08,0.15
hsa-miR-382-5p,0.92,2.51,10.87,3.02,4.14,5.88,14.31
hsa-miR-3909,0.0,0.34,0.0,0.0,0.0,0.0,0.0
hsa-miR-3916,0.92,0.0,0.0,0.0,0.0,0.0,0.61
hsa-miR-3922-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-3934-5p,0.0,0.0,0.0,0.0,0.21,0.9,1.73
hsa-miR-3939,0.0,0.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-3940-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-3960,0.8,0.0,0.05,0.49,0.38,1.63,3.97
hsa-miR-409-3p,17.68,7.96,16.12,12.25,15.2,20.1,27.8
hsa-miR-409-5p,0.8,0.0,0.0,0.0,0.16,1.31,0.25
hsa-miR-410-3p,0.74,0.0,0.0,0.0,0.0,0.57,0.0
hsa-miR-411-3p,0.63,0.46,0.0,0.0,0.7,5.31,1.37
hsa-miR-411-5p,2.12,1.51,5.71,0.92,0.48,2.53,3.56
hsa-miR-421,0.92,0.08,0.4,0.0,0.21,0.49,2.24
hsa-miR-423-3p,239.89,14.17,31.59,122.3,18.48,126.67,445.86
hsa-miR-423-5p,275.88,10.85,230.61,334.21,9.19,579.67,253.71
hsa-miR-424-3p,1.89,0.54,1.92,5.61,0.75,3.6,7.03
hsa-miR-424-5p,0.0,0.13,0.0,0.0,0.0,0.0,0.56
hsa-miR-425-3p,2.8,0.67,5.0,5.61,0.97,9.64,13.29
hsa-miR-425-5p,16.48,5.2,7.99,10.36,4.73,13.89,39.97
hsa-miR-4283,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-4286,0.0,0.13,0.0,0.0,0.0,0.0,0.0
hsa-miR-429,1.03,0.0,0.91,0.0,0.0,2.12,0.25
hsa-miR-4306,0.0,0.04,0.0,0.0,0.0,0.0,2.55
hsa-miR-4308,0.0,0.0,0.0,0.05,0.0,0.08,0.0
hsa-miR-431-5p,0.0,0.04,0.86,0.16,0.0,0.0,0.56
hsa-miR-432-5p,0.11,1.34,2.58,1.57,2.52,5.64,4.84
hsa-miR-4324,0.0,0.0,0.05,0.0,0.0,0.0,0.0
hsa-miR-4326,0.0,0.17,0.0,0.43,0.05,0.57,1.22
hsa-miR-433-3p,0.97,0.08,2.17,1.84,0.86,3.19,2.75
hsa-miR-4433b-3p,35.01,3.94,5.56,2.91,1.99,13.4,31.31
hsa-miR-4433b-5p,0.57,0.92,3.59,4.91,1.72,1.96,8.3
hsa-miR-4435,0.8,0.0,0.0,0.43,0.0,0.0,0.87
hsa-miR-4436b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-4440,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4443,0.0,0.04,0.0,0.7,0.0,4.82,0.56
hsa-miR-4444,0.63,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4446-3p,5.09,0.75,1.87,5.51,1.29,6.62,3.51
hsa-miR-4446-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-4470,0.0,0.0,0.0,0.27,0.0,0.0,0.0
hsa-miR-4477a,0.0,0.0,0.0,0.0,0.0,0.74,0.0
hsa-miR-4482-3p,0.0,0.17,0.51,0.0,0.0,0.0,0.0
hsa-miR-4488,0.0,0.0,0.0,0.59,0.16,1.14,3.16
hsa-miR-4492,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4497,0.0,0.0,0.45,0.43,0.05,0.16,0.41
hsa-miR-4498,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-449a,0.0,0.0,0.0,0.0,0.0,0.25,0.05
hsa-miR-449c-5p,0.0,0.0,0.0,0.0,0.0,2.04,0.0
hsa-miR-4508,0.0,0.0,0.25,1.35,0.59,7.19,3.05
hsa-miR-450a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.81
hsa-miR-450a-5p,0.74,0.25,0.25,1.03,0.54,4.41,4.58
hsa-miR-450b-5p,0.0,0.08,0.0,0.11,0.11,1.31,0.51
hsa-miR-4510,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-4511,0.97,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-4516,0.0,0.13,0.0,0.54,0.21,9.4,1.32
hsa-miR-451a,3.95,0.42,3.69,220.27,57.69,324.28,188.28
hsa-miR-452-5p,0.0,0.71,0.66,0.32,0.05,3.6,0.92
hsa-miR-4523,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4525,0.0,0.0,0.56,0.0,0.0,0.0,0.0
hsa-miR-4533,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-454-3p,0.29,0.08,0.0,0.16,0.0,0.65,0.1
hsa-miR-454-5p,0.0,0.0,0.3,1.08,0.43,0.65,4.63
hsa-miR-455-5p,0.0,0.0,0.3,0.0,0.0,0.25,0.0
hsa-miR-4638-3p,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-4644,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-4645-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-4654,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-4659b-3p,0.0,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-4659b-5p,0.4,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4662a-5p,0.8,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-4665-5p,0.0,0.13,0.0,0.27,0.0,0.0,0.76
hsa-miR-4676-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.61
hsa-miR-4677-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.66
hsa-miR-4685-5p,0.0,0.0,0.0,0.0,0.0,1.39,0.0
hsa-miR-4687-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4688,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-4690-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-4701-5p,0.0,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-4707-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.61
hsa-miR-4710,0.0,0.0,0.0,0.7,0.0,0.0,0.0
hsa-miR-4720-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-4732-3p,0.0,0.0,0.2,0.0,0.0,0.0,0.0
hsa-miR-4732-5p,0.0,0.0,0.0,1.73,0.0,0.0,0.46
hsa-miR-4742-3p,0.0,0.0,0.0,0.22,0.05,0.0,0.0
hsa-miR-4743-5p,0.0,0.0,0.0,0.0,0.0,0.49,0.0
hsa-miR-4746-5p,1.03,0.0,0.0,0.32,0.0,0.74,1.22
hsa-miR-4748,0.86,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-4750-5p,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-4753-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.92
hsa-miR-4755-3p,0.0,0.0,0.0,0.0,0.43,1.23,0.0
hsa-miR-4755-5p,0.0,0.0,0.0,0.0,0.0,1.06,0.0
hsa-miR-4763-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-4772-3p,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-4783-5p,0.0,0.0,0.05,0.0,0.0,0.0,0.0
hsa-miR-4785,0.0,0.0,0.0,0.49,0.0,0.0,0.0
hsa-miR-4787-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-4791,0.0,0.0,0.4,0.0,0.0,0.0,2.24
hsa-miR-4796-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-miR-4797-5p,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-4800-5p,0.0,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-483-3p,0.0,0.0,0.05,0.22,0.32,2.37,0.25
hsa-miR-483-5p,0.69,1.8,1.97,12.31,2.95,38.66,6.21
hsa-miR-484,12.3,2.77,6.82,15.71,2.79,16.26,27.95
hsa-miR-485-3p,0.0,0.46,0.15,0.32,0.0,2.04,0.46
hsa-miR-485-5p,0.57,1.51,3.34,0.65,1.4,0.41,4.58
hsa-miR-486-3p,4.52,6.58,18.09,19.81,30.3,4.49,20.52
hsa-miR-486-5p,0.92,0.04,20.67,0.11,22.19,114.99,115.17
hsa-miR-487a-3p,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-487a-5p,0.8,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-487b-3p,0.0,0.0,0.0,0.0,0.0,1.06,0.36
hsa-miR-487b-5p,0.0,0.13,0.0,0.0,0.0,0.0,0.61
hsa-miR-489-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-490-3p,0.06,0.0,0.0,0.49,0.05,0.0,0.0
hsa-miR-493-3p,0.74,0.17,1.67,0.43,0.75,0.65,3.92
hsa-miR-493-5p,2.92,1.22,3.18,2.75,1.5,5.31,10.39
hsa-miR-494-3p,1.14,0.0,0.35,0.22,0.05,0.33,1.22
hsa-miR-495-3p,0.8,1.93,2.48,1.24,1.18,0.41,1.99
hsa-miR-5003-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-5006-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-5009-5p,0.0,0.0,0.0,0.05,0.05,0.0,0.0
hsa-miR-500a-3p,0.51,0.04,0.0,0.27,0.0,1.31,4.12
hsa-miR-500a-5p,0.0,0.0,0.0,0.0,0.0,1.23,0.2
hsa-miR-500b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.51
hsa-miR-501-3p,0.57,0.0,0.2,4.8,0.32,4.17,4.02
hsa-miR-5010-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.81
hsa-miR-502-3p,1.09,0.08,1.11,0.0,0.0,2.12,0.0
hsa-miR-503-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-503-5p,1.09,0.0,0.4,1.57,0.59,0.9,0.92
hsa-miR-504-5p,0.0,0.21,0.0,0.0,0.0,0.0,0.81
hsa-miR-505-3p,0.74,0.5,0.91,0.81,0.38,1.14,7.99
hsa-miR-505-5p,3.66,0.59,1.01,0.76,0.75,3.92,3.41
hsa-miR-508-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-5088-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-509-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-511-5p,0.0,0.17,0.0,0.76,0.27,0.57,1.22
hsa-miR-516b-5p,0.69,0.13,0.0,0.7,0.0,0.08,0.51
hsa-miR-517b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-5187-5p,0.0,0.04,0.0,0.0,0.0,0.0,0.1
hsa-miR-5189-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-miR-519a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-522-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.0
hsa-miR-532-5p,23.06,7.96,24.66,33.46,6.77,72.73,89.46
hsa-miR-539-3p,0.0,0.0,0.0,0.0,0.21,0.0,0.41
hsa-miR-541-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.76
hsa-miR-542-3p,0.46,0.0,0.0,0.0,0.0,0.0,0.81
hsa-miR-543,9.9,8.13,15.46,8.58,8.59,9.73,26.63
hsa-miR-548ac,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-548ap-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.51
hsa-miR-548ax,0.0,0.0,0.0,0.0,0.0,0.0,0.71
hsa-miR-548ay-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-548e-3p,0.86,0.25,0.51,0.0,0.11,1.63,1.63
hsa-miR-548f-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.36
hsa-miR-548j-5p,3.95,0.08,1.06,1.73,0.0,1.14,5.75
hsa-miR-548k,0.97,0.25,0.0,0.0,0.0,0.0,0.0
hsa-miR-548l,0.0,0.0,0.1,0.0,0.0,0.08,0.0
hsa-miR-548o-3p,1.26,0.0,0.0,0.0,0.0,0.0,1.17
hsa-miR-548t-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.66
hsa-miR-550a-3p,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-550a-5p,0.0,0.0,0.0,1.19,0.0,2.7,0.81
hsa-miR-552-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.25
hsa-miR-556-5p,0.0,0.0,0.0,0.0,0.0,1.8,1.48
hsa-miR-5588-5p,0.0,0.08,0.0,0.22,0.0,0.41,0.0
hsa-miR-5699-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-574-3p,0.0,0.71,0.4,0.76,0.32,1.8,3.31
hsa-miR-574-5p,10.36,4.57,9.0,6.53,4.08,18.96,21.18
hsa-miR-576-3p,1.77,0.38,0.0,1.35,0.0,0.0,0.0
hsa-miR-576-5p,0.0,0.0,0.25,0.81,0.0,2.94,1.83
hsa-miR-579-5p,0.0,0.0,0.0,0.0,0.16,0.0,0.0
hsa-miR-580-3p,0.0,0.0,0.0,0.0,0.0,1.47,0.15
hsa-miR-581,1.09,0.21,0.0,0.32,0.0,0.0,0.46
hsa-miR-582-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-584-5p,39.82,12.03,25.77,30.55,8.92,52.06,73.67
hsa-miR-589-5p,1.26,0.46,0.0,0.59,0.0,0.98,2.34
hsa-miR-590-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.31
hsa-miR-590-5p,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-597-3p,0.0,0.0,0.0,0.32,0.0,0.0,0.92
hsa-miR-598-3p,0.29,0.13,0.25,0.27,0.11,0.41,0.0
hsa-miR-605-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.56
hsa-miR-6070,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-6073,0.06,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-6080,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-6082,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6083,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6084,0.0,0.0,0.0,0.0,0.0,1.14,0.0
hsa-miR-609,0.11,0.25,0.1,0.38,0.05,0.25,0.2
hsa-miR-6127,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-6131,2.17,1.55,2.12,1.67,0.91,3.27,1.58
hsa-miR-625-3p,2.29,1.72,3.64,1.73,1.99,12.75,25.2
hsa-miR-625-5p,1.14,0.0,0.0,0.0,0.54,0.0,0.0
hsa-miR-627-5p,0.0,0.0,0.0,0.0,0.0,1.55,0.0
hsa-miR-628-3p,1.6,0.25,2.12,0.65,0.05,0.65,0.92
hsa-miR-628-5p,0.0,0.0,0.0,1.35,0.0,1.96,0.87
hsa-miR-629-5p,5.03,1.68,4.45,2.7,1.72,7.85,16.55
hsa-miR-641,0.0,0.0,0.0,0.16,0.16,0.0,1.02
hsa-miR-642a-3p,0.0,0.0,0.0,0.22,0.0,0.0,0.0
hsa-miR-6500-3p,0.0,0.0,0.0,0.32,0.0,0.0,0.0
hsa-miR-6501-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.66
hsa-miR-6507-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-651-5p,0.0,0.04,0.0,0.38,0.0,0.0,0.0
hsa-miR-6513-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.1
hsa-miR-6514-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-6515-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6516-3p,0.0,0.0,0.15,0.0,0.0,0.0,0.97
hsa-miR-6516-5p,1.49,0.0,0.0,0.0,0.0,1.06,0.15
hsa-miR-652-3p,2.12,0.46,2.98,3.94,1.4,6.46,9.06
hsa-miR-654-3p,3.78,4.4,6.87,1.3,1.61,8.01,12.98
hsa-miR-654-5p,0.86,0.59,3.49,1.24,1.24,2.37,3.26
hsa-miR-656-3p,0.69,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-658,0.0,0.0,0.0,0.11,0.0,0.25,0.05
hsa-miR-660-5p,0.0,1.01,0.1,2.16,0.43,4.17,2.29
hsa-miR-662,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-664a-3p,0.0,0.0,0.81,0.0,0.11,1.06,1.22
hsa-miR-664a-5p,0.92,1.09,1.21,1.73,0.11,1.96,3.72
hsa-miR-671-3p,0.97,0.04,1.26,0.05,0.81,4.09,4.48
hsa-miR-671-5p,0.0,0.0,0.4,0.0,0.0,0.57,0.0
hsa-miR-6716-3p,0.34,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6721-5p,0.34,0.0,0.35,0.0,0.05,0.0,1.32
hsa-miR-6727-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6734-3p,0.0,0.0,0.0,0.0,0.0,0.0,1.02
hsa-miR-6735-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-6736-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-6736-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-6738-3p,0.0,0.0,0.0,0.38,0.0,0.0,0.0
hsa-miR-6741-3p,0.46,0.0,1.11,0.0,0.0,0.0,0.2
hsa-miR-6741-5p,0.0,0.0,0.0,0.38,0.0,0.0,0.0
hsa-miR-6742-5p,0.0,0.0,0.0,0.16,0.0,0.08,0.05
hsa-miR-6747-3p,0.0,0.0,0.0,0.0,0.16,0.08,0.0
hsa-miR-6753-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6754-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6754-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6755-5p,0.0,0.0,0.0,0.0,0.0,0.9,0.0
hsa-miR-6756-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6757-5p,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-miR-6758-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.41
hsa-miR-6763-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-6765-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6772-3p,1.2,0.08,0.0,0.0,0.0,0.0,1.32
hsa-miR-6780a-5p,0.0,0.0,0.0,0.0,0.0,1.39,0.0
hsa-miR-6785-5p,0.0,0.04,0.0,0.0,0.0,0.0,0.0
hsa-miR-6787-3p,0.0,0.0,0.0,0.0,0.11,0.0,0.0
hsa-miR-6788-5p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-6805-5p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6806-3p,0.29,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6810-5p,0.0,0.04,0.86,0.0,0.0,0.0,0.0
hsa-miR-6813-5p,0.0,0.0,0.0,0.0,0.21,0.0,0.0
hsa-miR-6819-3p,0.63,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6819-5p,0.0,0.0,0.05,0.0,0.0,0.0,0.0
hsa-miR-6834-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6837-3p,0.51,0.0,0.45,0.0,0.0,0.0,0.0
hsa-miR-6842-3p,1.6,0.0,0.86,0.43,0.43,1.39,1.17
hsa-miR-6842-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.2
hsa-miR-6847-5p,0.0,0.13,0.76,0.0,0.0,0.0,0.0
hsa-miR-6852-5p,1.95,0.96,3.34,1.51,0.54,5.07,11.2
hsa-miR-6855-5p,0.0,0.0,0.0,0.11,0.0,0.0,0.0
hsa-miR-6859-5p,0.0,0.0,0.0,0.0,0.0,0.9,0.36
hsa-miR-6866-3p,0.0,0.0,0.0,0.0,0.0,0.16,0.0
hsa-miR-6866-5p,0.0,0.0,0.0,0.0,0.0,1.8,0.66
hsa-miR-6867-5p,0.63,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-6869-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-6876-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-6876-5p,0.0,0.0,0.0,0.49,0.0,0.0,0.51
hsa-miR-6890-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-miR-6891-5p,0.0,0.0,0.0,0.0,0.38,0.0,0.0
hsa-miR-7-1-3p,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-miR-7-5p,17.28,0.25,5.15,11.55,1.07,32.28,40.17
hsa-miR-708-3p,0.0,0.0,0.0,0.0,0.16,1.39,0.0
hsa-miR-7110-5p,0.06,0.04,0.05,0.0,0.0,0.0,0.0
hsa-miR-7113-5p,0.0,0.0,0.0,0.22,0.38,0.0,0.0
hsa-miR-744-3p,0.0,0.0,0.35,0.0,0.0,0.0,0.0
hsa-miR-744-5p,47.09,20.54,39.12,43.5,18.16,75.43,146.58
hsa-miR-758-3p,0.0,0.0,0.45,0.05,0.0,0.0,2.24
hsa-miR-760,0.0,0.0,0.0,0.49,0.0,1.63,1.27
hsa-miR-766-3p,1.26,0.08,0.0,0.0,0.0,0.49,0.97
hsa-miR-766-5p,1.09,0.04,0.56,0.0,0.38,0.65,2.75
hsa-miR-769-5p,2.35,0.92,0.91,1.4,0.64,5.07,6.01
hsa-miR-7704,0.0,0.0,0.05,0.32,0.0,3.02,2.6
hsa-miR-7706,0.0,0.13,0.15,0.0,0.0,0.0,0.2
hsa-miR-7845-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.61
hsa-miR-7848-3p,0.0,0.0,1.16,0.0,0.0,0.0,0.15
hsa-miR-7849-3p,0.0,0.0,0.0,0.0,0.05,0.0,0.15
hsa-miR-7974,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-8079,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-miR-8086,0.0,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-873-3p,0.0,0.0,0.0,0.59,0.0,0.0,0.0
hsa-miR-873-5p,0.0,0.0,0.0,0.16,0.0,0.0,0.0
hsa-miR-874-3p,0.63,0.21,0.71,2.97,1.13,4.66,2.49
hsa-miR-876-5p,0.0,0.0,0.0,0.97,0.0,0.0,0.0
hsa-miR-877-3p,0.0,0.0,0.0,0.0,0.0,0.41,0.0
hsa-miR-877-5p,0.0,0.0,0.15,0.0,0.0,0.0,0.61
hsa-miR-887-3p,0.0,0.0,0.0,0.05,0.0,0.0,0.0
hsa-miR-889-3p,0.0,0.42,1.87,0.54,0.48,0.65,1.37
hsa-miR-892a,0.0,0.0,0.0,0.0,0.0,0.0,1.22
hsa-miR-9-3p,0.0,0.0,0.0,0.59,0.0,0.0,0.0
hsa-miR-9-5p,0.0,0.46,1.47,0.76,0.54,4.33,2.19
hsa-miR-92a-1-5p,0.06,0.13,0.0,0.54,0.0,3.51,2.44
hsa-miR-92a-2-5p,0.0,0.08,0.0,0.0,0.0,0.0,0.0
hsa-miR-92a-3p,345.51,89.77,227.53,237.32,83.31,608.36,680.83
hsa-miR-92b-3p,0.86,0.29,2.53,1.46,0.64,3.35,3.56
hsa-miR-92b-5p,0.0,0.08,0.71,0.86,0.0,1.88,1.17
hsa-miR-93-5p,27.46,4.78,25.98,11.55,3.71,43.31,51.32
hsa-miR-934,0.0,0.0,0.3,0.0,0.0,0.0,0.0
hsa-miR-941,0.57,0.21,1.11,2.86,0.16,1.39,4.48
hsa-miR-942-5p,0.86,0.29,0.25,1.19,0.27,0.0,2.24
hsa-miR-944,0.0,0.0,0.05,0.16,0.0,0.25,0.0
hsa-miR-95-3p,4.69,0.67,1.62,2.86,0.16,9.64,3.41
hsa-miR-98-5p,23.29,8.26,21.18,7.29,3.55,40.37,51.88
hsa-miR-9985,0.11,0.0,0.05,0.22,0.0,0.0,3.87
hsa-miR-99a-5p,50.12,16.47,50.74,92.35,24.33,323.47,188.64
hsa-miR-99b-3p,0.0,0.63,2.68,3.94,0.97,6.29,2.39
hsa-miR-99b-5p,120.2,30.93,110.63,144.0,49.63,420.47,320.71
hsa-mir-12118-5p,0.0,0.0,0.0,0.16,0.0,0.0,0.0
hsa-mir-12121-5p,0.0,0.0,0.3,0.22,0.0,0.25,0.0
hsa-mir-12123-5p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
hsa-mir-12136-5p,0.0,0.0,0.81,0.0,0.0,0.0,0.0
hsa-mir-1234-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-mir-1255a-5p,0.0,0.0,0.0,0.54,0.0,0.0,0.0
hsa-mir-1291-5p,0.0,0.0,0.0,0.0,0.0,0.33,0.0
hsa-mir-1303-3p,0.0,0.0,0.0,0.0,0.0,0.25,0.0
hsa-mir-1587-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.05
hsa-mir-1843-5p,0.0,0.0,0.25,0.0,0.0,1.47,0.66
hsa-mir-1976-3p,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-2110-5p,0.0,0.0,0.0,0.0,0.16,0.0,0.0
hsa-mir-3125-5p,0.06,0.0,0.0,0.0,0.0,0.0,0.0
hsa-mir-3137-5p,0.0,0.17,0.0,0.0,0.0,0.0,0.0
hsa-mir-3143-5p,0.0,0.0,0.0,0.05,0.0,0.65,0.05
hsa-mir-3155a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.56
hsa-mir-3159-5p,0.0,0.0,0.45,0.0,0.05,0.0,0.05
hsa-mir-3648-1-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.7
hsa-mir-3908-5p,0.0,0.0,0.0,0.11,0.0,0.74,0.0
hsa-mir-4475-3p,0.06,0.04,0.0,0.16,0.0,0.16,0.0
hsa-mir-4507-3p,0.0,0.0,0.0,0.0,0.0,0.08,0.0
