miRNA,SRR2927797,SRR2927798,SRR2927799,SRR2927800,SRR2927801,SRR2927802,SRR2927803,SRR2927804,SRR2927805,SRR2927806,SRR2927807,SRR2927808,SRR2927809,SRR2927810,SRR2927811,SRR2927812,SRR2927813,SRR3592837,SRR3592838,SRR3592839,SRR3592840,SRR3592841,SRR3592842,SRR3592843,SRR3592844,SRR3592845,SRR3592846,SRR3592847,SRR3592848,SRR3592849,SRR3592850,SRR3592851,SRR3592852,SRR3592853
hsa-miR-3181,0.0,0.0,0.19,0.0,0.2,0.54,0.24,0.18,0.17,0.48,0.14,0.0,0.6,0.57,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0
hsa-miR-3182,9.93,5.27,3.15,14.78,8.32,6.31,5.81,6.51,5.81,5.77,7.96,3.21,7.39,2.28,12.09,11.81,1.5,11.89,4.35,0.0,4.31,15.18,1.38,4.35,10.37,6.16,5.5,2.41,1.29,12.39,2.3,15.8,5.65,0.0
hsa-miR-3187-3p,0.0,0.23,0.0,0.36,0.0,0.36,0.0,0.36,0.33,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3187-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3188,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.24,0.0,0.21,0.6,0.0,0.0,0.0,0.25,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3190-3p,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.18,0.33,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,1.41,0.0
hsa-miR-3191-5p,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3192-3p,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3192-5p,0.23,0.0,0.0,0.18,0.2,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3194-3p,0.23,0.46,1.11,0.36,0.0,0.0,0.48,0.0,0.0,0.24,0.14,0.43,0.2,0.57,0.0,0.91,0.25,0.0,2.18,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,1.41,1.63
hsa-miR-3194-5p,0.0,0.92,1.48,0.89,1.62,3.61,0.73,2.17,0.5,0.72,0.58,1.07,7.39,0.0,0.35,4.09,3.0,0.0,0.0,0.0,0.0,1.52,8.29,0.0,0.0,3.08,1.83,0.0,2.58,4.65,2.3,0.0,2.82,1.63
hsa-miR-3195,0.45,0.46,0.0,0.0,0.61,0.0,1.21,0.36,0.0,0.0,0.43,0.0,0.0,1.14,0.69,0.68,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-3196,0.68,0.23,4.45,1.07,0.81,0.36,0.0,0.18,2.33,0.48,2.32,1.5,0.0,0.0,0.52,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,7.7,1.83,2.41,0.0,0.0,2.3,0.0,0.0,0.0
hsa-miR-3198,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0
hsa-miR-3199,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.4,0.57,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63
hsa-miR-32-3p,1.13,2.52,0.93,1.6,2.64,1.26,1.21,1.81,1.5,2.4,1.16,1.28,3.4,0.57,2.07,0.45,1.75,1.98,4.35,0.0,4.31,1.52,0.0,0.0,0.0,1.54,1.83,1.21,0.0,1.55,2.3,3.95,0.0,0.0
hsa-miR-32-5p,70.61,45.85,27.06,94.71,61.51,73.4,31.0,71.38,33.56,39.67,45.0,32.95,53.76,31.63,33.68,69.73,57.43,69.36,52.25,20.06,86.15,78.94,63.53,56.56,51.83,30.81,51.34,36.2,32.21,51.12,23.0,40.8,60.71,56.9
hsa-miR-3200-3p,1.13,1.6,0.0,0.53,0.41,0.0,0.0,0.36,0.5,0.24,1.16,1.07,1.2,1.14,0.86,0.0,0.0,1.98,0.0,0.0,0.0,1.52,0.0,0.0,2.07,0.0,0.0,2.41,0.0,0.0,2.3,0.0,0.0,0.0
hsa-miR-3200-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,1.29,0.0,0.0,0.0,0.0,0.0
hsa-miR-3202,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-320a-3p,975.2,716.62,866.52,1179.09,505.45,682.38,974.39,775.01,912.88,603.27,473.19,770.09,664.45,487.78,1048.77,712.73,761.06,786.73,635.72,882.54,1188.86,479.72,702.93,952.78,715.2,865.82,649.14,479.09,677.64,647.51,565.78,1054.33,646.62,663.31
hsa-miR-320a-5p,1.58,0.23,0.0,0.18,0.41,0.0,0.97,0.36,0.33,0.0,1.01,0.21,0.0,0.85,0.86,0.45,0.0,0.0,0.0,0.0,0.0,0.0,1.38,2.18,2.07,1.54,0.0,1.21,0.0,0.0,0.0,1.32,0.0,0.0
hsa-miR-320b,14.21,6.42,135.49,150.79,139.25,126.41,101.48,83.48,142.21,107.96,99.99,21.4,171.86,108.27,137.81,73.36,122.6,136.74,58.78,20.06,183.07,138.15,135.34,134.87,82.92,137.11,133.86,94.13,132.69,120.83,2.3,111.88,63.53,95.92
hsa-miR-320c,27.07,11.92,22.06,5.87,1.42,7.75,0.0,3.07,0.83,7.45,0.58,16.26,19.78,20.23,0.52,5.91,4.0,5.95,4.35,0.0,10.77,9.11,8.29,6.53,2.07,20.03,11.0,12.07,1.29,40.28,6.9,2.63,0.0,4.88
hsa-miR-320d,1.35,8.25,0.93,2.49,25.98,8.66,12.35,2.53,16.28,27.65,42.4,11.34,46.36,5.13,3.8,1.36,6.24,9.91,2.18,15.6,2.15,12.14,6.9,0.0,0.0,12.32,5.5,13.27,2.58,49.57,6.9,3.95,4.24,0.0
hsa-miR-320e,2.26,0.0,6.3,0.0,1.42,0.54,0.0,0.0,0.0,0.0,0.0,0.0,17.79,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,8.45,0.0,3.1,0.0,0.0,2.82,0.0
hsa-miR-323a-3p,0.45,0.92,0.19,1.96,0.61,1.98,1.94,1.26,0.33,0.0,0.43,0.21,0.8,0.57,2.76,1.59,0.25,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.32,2.82,0.0
hsa-miR-324-3p,8.57,7.11,12.6,13.17,16.85,24.53,17.2,13.19,11.96,12.02,6.8,19.04,9.59,13.11,15.89,23.62,14.23,7.93,4.35,15.6,23.69,13.66,17.95,19.58,16.58,12.32,11.0,2.41,19.32,9.29,18.4,15.8,33.88,16.26
hsa-miR-324-5p,10.15,4.13,5.93,6.59,9.54,12.26,9.93,6.87,8.97,8.9,5.06,5.35,21.18,7.98,10.71,8.86,8.49,7.93,6.53,2.23,12.92,13.66,16.57,8.7,4.15,15.41,5.5,2.41,5.15,17.04,6.9,11.85,12.71,16.26
hsa-miR-326,0.23,0.0,0.56,0.36,1.01,0.18,0.97,0.0,0.66,0.48,0.14,0.0,0.6,0.0,0.0,0.23,0.25,0.0,0.0,0.0,0.0,1.52,1.38,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0
