miRNA,SRR7138585,SRR7138586
hsa-let-7a-2-3p,0.15,0.0
hsa-let-7a-3p,3.19,5.75
hsa-let-7a-5p,341.91,490.61
hsa-let-7b-3p,1.82,1.59
hsa-let-7b-5p,1037.72,1344.17
hsa-let-7c-3p,0.3,0.79
hsa-let-7c-5p,177.94,154.02
hsa-let-7d-3p,82.36,109.42
hsa-let-7d-5p,55.31,56.3
hsa-let-7e-3p,0.76,0.2
hsa-let-7e-5p,20.21,21.8
hsa-let-7f-1-3p,0.91,0.4
hsa-let-7f-5p,139.35,243.62
hsa-let-7g-3p,0.15,0.0
hsa-let-7g-5p,161.84,230.74
hsa-let-7i-3p,0.46,0.79
hsa-let-7i-5p,1486.0,1847.27
hsa-miR-1-3p,6.53,5.75
hsa-miR-100-5p,510.27,907.88
hsa-miR-101-3p,11.85,21.01
hsa-miR-10394-3p,0.3,0.4
hsa-miR-10394-5p,0.3,0.0
hsa-miR-10395-3p,0.0,0.4
hsa-miR-10395-5p,0.46,0.0
hsa-miR-10396a-3p,1.37,1.78
hsa-miR-10396a-5p,0.3,0.2
hsa-miR-10396b-3p,0.61,0.99
hsa-miR-10396b-5p,0.0,0.2
hsa-miR-10399-3p,2.28,4.36
hsa-miR-103a-3p,8.66,35.09
hsa-miR-10401-3p,7.14,5.35
hsa-miR-10401-5p,0.61,0.4
hsa-miR-105-3p,0.15,0.0
hsa-miR-105-5p,35.41,46.19
hsa-miR-10526-3p,1.22,0.79
hsa-miR-10527-5p,0.15,0.0
hsa-miR-106a-5p,0.15,0.0
hsa-miR-106b-3p,54.55,70.77
hsa-miR-106b-5p,3.95,7.73
hsa-miR-107,3.04,4.16
hsa-miR-10a-3p,3.04,6.34
hsa-miR-10a-5p,208.94,294.17
hsa-miR-10b-3p,0.3,2.58
hsa-miR-10b-5p,153.93,230.14
hsa-miR-11401,0.3,0.0
hsa-miR-1180-3p,94.97,144.11
hsa-miR-12136,0.0,0.4
hsa-miR-122-3p,0.0,0.4
hsa-miR-122-5p,12.31,468.61
hsa-miR-1226-3p,0.61,1.78
hsa-miR-1226-5p,0.15,0.0
hsa-miR-1227-3p,0.15,0.0
hsa-miR-1233-5p,0.0,0.2
hsa-miR-1237-5p,0.0,0.2
hsa-miR-1246,1821.37,2667.14
hsa-miR-1247-5p,4.86,1.59
hsa-miR-1248,0.76,0.99
hsa-miR-1249-3p,0.46,1.19
hsa-miR-1250-5p,2.13,1.39
hsa-miR-1255a,0.0,0.2
hsa-miR-1255b-5p,0.3,0.2
hsa-miR-125a-3p,9.73,8.33
hsa-miR-125a-5p,98.16,91.18
hsa-miR-125b-1-3p,7.75,11.5
hsa-miR-125b-2-3p,0.3,0.59
hsa-miR-125b-5p,68.53,104.07
hsa-miR-126-3p,20.06,36.08
hsa-miR-126-5p,1.06,1.39
hsa-miR-1260b,1.22,2.18
hsa-miR-1262,0.15,0.79
hsa-miR-1266-5p,0.15,0.0
hsa-miR-1268a,0.3,0.0
hsa-miR-1268b,0.76,0.4
hsa-miR-127-3p,4.86,6.94
