miRNA,GSM4804998,GSM4804999,GSM4805000,GSM4805001,GSM4805002,GSM4805003
hsa-let-7a-2-3p,0.36,1.7,1.6,1.65,0.61,0.0
hsa-let-7a-3p,39.72,51.3,26.18,31.04,34.65,29.11
hsa-let-7a-5p,15872.07,17675.66,9159.88,17335.02,13777.12,10123.98
hsa-let-7b-3p,53.67,74.62,21.9,37.28,46.0,33.27
hsa-let-7b-5p,24099.56,31739.46,12026.71,40146.67,52594.41,20789.77
hsa-let-7c-3p,4.65,5.94,2.14,5.88,6.13,2.97
hsa-let-7c-5p,4011.23,5175.93,3147.86,5986.31,7453.29,3753.49
hsa-let-7d-3p,811.55,971.33,446.64,701.61,804.09,367.15
hsa-let-7d-5p,1020.16,1147.29,591.96,1115.6,711.47,599.44
hsa-let-7e-3p,5.73,6.78,2.67,8.45,3.07,4.16
hsa-let-7e-5p,916.39,1223.18,342.46,1234.44,1702.01,491.91
hsa-let-7f-1-3p,2.15,5.09,0.53,5.33,1.23,0.0
hsa-let-7f-2-3p,0.0,0.42,0.53,0.73,0.31,1.19
hsa-let-7f-5p,6110.23,5937.4,4487.78,5651.49,4468.48,4011.33
hsa-let-7g-5p,4527.57,3345.61,3498.86,3072.78,2181.03,2393.61
hsa-let-7i-3p,9.3,16.54,5.34,7.71,7.36,5.94
hsa-let-7i-5p,27834.9,33936.09,24911.98,37382.64,53655.18,34363.65
hsa-miR-1-3p,51.88,41.13,46.48,36.73,16.87,23.76
hsa-miR-100-5p,5754.91,6830.72,4122.35,7968.28,8808.16,5280.91
hsa-miR-101-3p,709.93,747.47,463.2,538.33,542.19,553.7
hsa-miR-10395-3p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-10399-3p,0.36,0.85,0.0,0.92,0.31,0.0
hsa-miR-103a-3p,93.75,17.38,17.1,290.38,2.45,2.38
hsa-miR-10401-3p,4.29,2.97,2.67,4.22,4.6,3.56
hsa-miR-10526-3p,0.0,0.0,0.0,0.55,0.31,0.0
hsa-miR-10527-5p,0.0,0.0,0.0,0.0,0.0,0.59
hsa-miR-106a-5p,1.79,0.85,1.6,1.1,0.0,0.59
hsa-miR-106b-3p,105.56,76.32,56.63,91.83,84.95,84.96
hsa-miR-106b-5p,16.1,21.2,11.75,14.69,11.96,6.54
hsa-miR-107,2.86,2.54,0.53,5.88,23.0,0.0
hsa-miR-10a-3p,32.2,29.68,21.37,26.63,12.88,9.51
hsa-miR-10a-5p,7088.88,8560.97,5095.23,5728.99,6966.91,4379.08
hsa-miR-10b-3p,23.97,27.56,11.22,16.35,18.4,8.91
hsa-miR-10b-5p,7926.2,9411.9,6377.99,6308.28,7581.48,5229.82
hsa-miR-11181-3p,0.36,0.42,0.0,0.0,0.0,0.0
hsa-miR-11401,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-1180-3p,39.36,40.28,20.84,37.47,35.88,21.39
hsa-miR-1185-1-3p,1.79,5.09,1.07,5.69,4.29,7.13
hsa-miR-1185-2-3p,2.15,1.27,0.0,0.55,2.76,1.19
hsa-miR-1185-5p,0.36,0.42,0.0,0.37,0.0,0.59
hsa-miR-1193,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-1197,0.0,0.42,0.0,1.29,0.0,1.19
hsa-miR-12121,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-12136,0.0,0.0,1.07,0.0,0.0,0.0
hsa-miR-122-5p,2125.84,223.86,1384.8,1771.3,287.96,67.13
hsa-miR-1226-3p,0.36,0.42,1.07,3.31,0.92,1.78
hsa-miR-1228-3p,1.43,1.7,0.0,0.92,2.45,1.78
hsa-miR-1228-5p,0.0,0.0,0.0,0.37,0.92,0.0
hsa-miR-1229-3p,0.72,0.85,0.0,1.65,1.23,0.0
hsa-miR-122b-5p,1.07,0.42,0.53,1.47,0.0,1.19
hsa-miR-1234-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-1236-5p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-1243,0.36,0.0,0.0,0.92,0.0,0.0
hsa-miR-1244,0.0,0.42,0.0,0.73,0.0,0.0
hsa-miR-1245a,0.0,0.0,0.0,0.18,0.0,0.0
hsa-miR-1245b-5p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-1246,616.89,723.31,454.65,462.48,541.88,324.97
hsa-miR-1247-5p,0.0,0.0,0.53,0.37,0.61,0.0
hsa-miR-1249-3p,1.43,0.0,1.07,1.29,2.15,0.59
hsa-miR-1250-5p,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-1255a,0.36,0.0,2.14,1.1,0.31,1.78
hsa-miR-1255b-5p,0.0,0.42,1.6,1.65,0.61,1.78
hsa-miR-125a-3p,57.97,59.78,27.78,67.22,61.33,24.36
hsa-miR-125a-5p,13025.21,14615.81,7498.33,13765.23,13514.0,7887.21
hsa-miR-125b-1-3p,104.49,142.88,71.59,175.04,185.53,100.4
hsa-miR-125b-2-3p,2.86,2.97,1.07,1.47,0.92,0.0
hsa-miR-125b-5p,3481.64,3610.18,1877.39,4098.75,3217.57,2608.67
hsa-miR-126-3p,4309.29,6098.51,3244.02,4123.91,5382.97,2198.15
hsa-miR-126-5p,142.06,204.36,52.89,79.53,92.0,33.27
hsa-miR-1260b,2.5,1.27,1.07,4.22,1.23,0.59
hsa-miR-1262,1.79,2.54,3.21,2.76,2.15,1.78
hsa-miR-1268a,3.22,2.54,0.0,2.94,0.0,0.0
hsa-miR-1268b,0.0,0.0,1.6,0.37,0.92,1.19
hsa-miR-127-3p,286.26,322.65,189.13,364.03,352.67,228.73
hsa-miR-127-5p,6.44,1.27,0.0,2.76,0.92,1.19
hsa-miR-1270,0.0,0.42,0.53,0.55,0.0,1.78
hsa-miR-1271-3p,0.0,0.42,0.0,0.0,0.0,0.0
hsa-miR-1271-5p,17.53,13.14,10.15,10.65,5.21,8.32
hsa-miR-1273c,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-1273h-3p,0.0,0.0,0.0,0.0,0.92,0.0
hsa-miR-1275,0.0,0.85,0.53,0.55,0.61,0.59
hsa-miR-1276,0.36,0.0,0.0,0.0,0.0,0.0
hsa-miR-1277-3p,0.72,0.0,0.0,1.47,0.61,0.0
hsa-miR-1278,1.07,2.12,2.14,1.47,3.37,1.19
hsa-miR-128-1-5p,0.72,0.0,0.0,0.0,0.0,0.0
hsa-miR-128-3p,931.06,1263.88,672.63,898.69,1190.18,609.54
hsa-miR-1284,1.43,0.42,1.6,0.73,0.61,0.59
hsa-miR-1285-3p,2.5,2.97,2.14,1.65,0.92,2.38
hsa-miR-1285-5p,0.72,2.54,0.53,0.18,0.61,0.0
hsa-miR-1287-5p,3.94,3.39,3.21,3.49,1.53,1.78
hsa-miR-1289,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-129-2-3p,0.0,0.0,0.0,0.92,0.0,0.0
hsa-miR-129-5p,12.88,11.02,5.34,15.98,12.27,10.69
hsa-miR-1290,0.0,0.0,0.0,0.37,0.31,0.0
hsa-miR-1291,2.5,0.42,0.53,7.35,6.44,5.35
hsa-miR-1292-5p,3.94,4.24,5.34,9.55,6.75,2.97
hsa-miR-1293,0.0,0.0,1.07,0.55,0.0,0.0
hsa-miR-1294,1.43,0.0,0.53,1.29,1.23,0.0
hsa-miR-1295a,1.07,0.0,0.0,0.73,0.0,0.0
hsa-miR-1296-3p,0.0,0.0,0.0,0.0,0.31,0.0
hsa-miR-1296-5p,1.43,0.85,0.53,2.57,0.0,0.0
hsa-miR-1297,0.36,0.0,0.53,0.0,0.0,0.0
hsa-miR-1299,1.43,0.0,0.0,0.55,0.92,0.59
hsa-miR-1301-3p,21.83,25.44,10.69,37.28,27.29,23.76
hsa-miR-1302,0.0,0.0,0.0,0.55,0.0,0.0
hsa-miR-1303,1.07,0.42,0.0,1.65,1.84,0.0
hsa-miR-1304-3p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-1304-5p,9.3,6.78,4.81,15.61,6.75,7.13
hsa-miR-1306-3p,1.07,3.39,1.6,1.65,8.59,0.0
hsa-miR-1306-5p,3.22,1.27,1.6,3.31,2.45,2.97
hsa-miR-1307-3p,245.11,243.79,122.88,300.67,340.71,158.62
hsa-miR-1307-5p,0.72,2.54,0.53,1.1,0.92,0.0
hsa-miR-130a-3p,16.82,25.01,6.41,12.49,14.11,3.56
hsa-miR-130b-3p,3.94,6.36,4.27,2.94,3.37,2.38
hsa-miR-130b-5p,48.66,53.85,21.37,41.69,45.39,19.61
hsa-miR-132-3p,27.19,25.01,9.62,16.16,13.19,8.91
hsa-miR-132-5p,18.96,28.83,13.89,20.75,26.99,9.51
hsa-miR-1323,2.5,1.7,0.53,0.18,1.23,0.0
hsa-miR-133a-3p,0.0,0.0,0.53,0.37,0.0,2.38
hsa-miR-133a-5p,0.0,0.42,0.0,0.37,0.0,0.0
hsa-miR-134-3p,0.0,0.0,0.0,0.37,0.0,0.0
hsa-miR-134-5p,109.85,78.86,87.08,141.24,105.19,79.61
hsa-miR-1343-3p,2.5,1.27,3.74,6.8,4.29,2.38
hsa-miR-135a-5p,0.0,0.0,0.53,0.0,0.0,0.0
hsa-miR-135b-5p,0.0,0.85,0.0,0.18,0.0,0.0
hsa-miR-136-3p,35.42,39.85,16.56,19.84,27.6,19.61
hsa-miR-136-5p,20.04,24.59,9.08,17.63,20.24,10.1
hsa-miR-138-1-3p,0.0,0.0,0.0,0.37,0.31,0.0
hsa-miR-138-5p,1.07,0.0,0.53,0.0,0.0,0.0
hsa-miR-139-3p,28.98,29.68,19.23,19.1,25.15,17.23
hsa-miR-139-5p,88.03,126.77,60.37,81.73,91.39,45.75
hsa-miR-140-3p,295.92,232.76,225.46,233.44,177.56,201.4
hsa-miR-140-5p,91.96,127.19,53.96,95.14,100.59,39.21
hsa-miR-142-3p,15.03,22.05,5.88,13.41,11.04,8.32
hsa-miR-142-5p,66.2,78.86,34.19,43.53,36.49,21.98
hsa-miR-143-3p,64533.14,72710.2,46314.41,45595.75,59197.31,35763.94
hsa-miR-143-5p,100.55,83.52,59.3,99.92,55.81,41.59
hsa-miR-144-3p,25.76,58.09,15.49,16.71,18.71,9.51
hsa-miR-144-5p,11.45,10.6,6.41,3.12,6.44,2.97
hsa-miR-145-3p,314.89,428.64,212.1,242.08,302.68,121.79
hsa-miR-145-5p,58.68,56.81,35.26,46.47,27.6,23.17
hsa-miR-1468-5p,6.44,10.18,6.41,5.69,8.28,1.78
hsa-miR-1469,0.0,0.0,0.0,0.73,0.61,0.0
hsa-miR-146a-3p,2.15,2.12,0.0,1.1,5.21,0.59
