miRNA,SRR24123123,SRR24123124,SRR24123125,SRR24123126,SRR24123127
hsa-let-7a-3p,245.0,45.0,70.0,1.0,98.0
hsa-let-7a-5p,549939.0,382266.0,593349.0,5439.0,365906.0
hsa-let-7b-3p,62.0,100.0,9.0,0.0,54.0
hsa-let-7b-5p,3302026.0,3797434.0,3400868.0,11154.0,2209658.0
hsa-let-7c-3p,7.0,28.0,0.0,0.0,0.0
hsa-let-7c-5p,36870.0,81221.0,31524.0,1260.0,21650.0
hsa-let-7d-3p,819.0,1962.0,1461.0,53.0,1051.0
hsa-let-7d-5p,2375.0,1584.0,3839.0,438.0,2985.0
hsa-let-7e-3p,1.0,0.0,2.0,0.0,0.0
hsa-let-7e-5p,42632.0,35144.0,37175.0,460.0,37032.0
hsa-let-7f-1-3p,0.0,2.0,0.0,5.0,5.0
hsa-let-7f-2-3p,1.0,0.0,0.0,0.0,0.0
hsa-let-7f-5p,194674.0,142832.0,252970.0,4444.0,134394.0
hsa-let-7g-5p,22159.0,15075.0,59547.0,1294.0,12838.0
hsa-let-7i-5p,629575.0,375270.0,870473.0,2787.0,79950.0
hsa-miR-1-3p,94.0,13.0,339.0,12.0,22.0
hsa-miR-100-5p,1229176.0,1136133.0,1116175.0,3742.0,715996.0
hsa-miR-101-3p,1550.0,1583.0,8053.0,213.0,1681.0
hsa-miR-10394-3p,24.0,0.0,0.0,1.0,97.0
hsa-miR-10395-3p,39.0,33.0,296.0,0.0,0.0
hsa-miR-10396a-3p,0.0,35.0,0.0,4.0,0.0
hsa-miR-10396b-3p,0.0,0.0,203.0,2.0,0.0
hsa-miR-10399-3p,33.0,0.0,0.0,4.0,216.0
hsa-miR-103a-3p,543.0,211.0,515.0,85.0,7.0
hsa-miR-10400-3p,0.0,0.0,0.0,1.0,0.0
hsa-miR-10401-3p,517.0,1106.0,0.0,18.0,232.0
hsa-miR-10401-5p,7.0,0.0,0.0,0.0,0.0
hsa-miR-10526-3p,32.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,1.0,0.0,0.0,0.0,0.0
hsa-miR-106b-3p,1023.0,1234.0,3946.0,65.0,1879.0
hsa-miR-106b-5p,0.0,47.0,1.0,0.0,1.0
hsa-miR-107,1.0,3.0,11.0,6.0,6.0
hsa-miR-10a-3p,0.0,17.0,288.0,0.0,0.0
hsa-miR-10a-5p,494153.0,520195.0,611733.0,336.0,24389.0
hsa-miR-10b-3p,0.0,39.0,0.0,0.0,0.0
hsa-miR-10b-5p,121371.0,134009.0,169498.0,185.0,4455.0
hsa-miR-11401,27.0,1.0,0.0,0.0,0.0
hsa-miR-1180-3p,181.0,393.0,142.0,10.0,550.0
hsa-miR-1183,26.0,0.0,0.0,0.0,91.0
hsa-miR-1193,193.0,0.0,0.0,0.0,0.0
hsa-miR-1197,0.0,0.0,1.0,0.0,0.0
hsa-miR-12136,0.0,0.0,0.0,0.0,43.0
hsa-miR-122-5p,818.0,0.0,7972.0,0.0,0.0
hsa-miR-1229-3p,62.0,0.0,0.0,0.0,0.0
hsa-miR-124-3p,25.0,55.0,230.0,80.0,130.0
hsa-miR-124-5p,0.0,0.0,15.0,3.0,5.0
hsa-miR-1245b-3p,30.0,0.0,0.0,0.0,0.0
hsa-miR-1246,1583.0,2275.0,1865.0,87.0,5828.0
hsa-miR-1249-3p,36.0,1.0,1.0,2.0,1.0
hsa-miR-1255a,0.0,53.0,0.0,0.0,108.0
hsa-miR-125a-3p,392.0,337.0,581.0,4.0,256.0
hsa-miR-125a-5p,21380.0,23348.0,22813.0,654.0,11801.0
hsa-miR-125b-1-3p,3012.0,2163.0,2319.0,8.0,333.0
hsa-miR-125b-2-3p,0.0,48.0,0.0,0.0,0.0
hsa-miR-125b-5p,41256.0,39871.0,51231.0,779.0,9408.0
hsa-miR-126-3p,249.0,385.0,1356.0,209.0,587.0
hsa-miR-126-5p,1.0,1.0,13.0,10.0,43.0
hsa-miR-1262,58.0,181.0,0.0,6.0,144.0
hsa-miR-1268b,0.0,26.0,0.0,0.0,0.0
hsa-miR-127-3p,26394.0,17516.0,45044.0,636.0,4817.0
hsa-miR-127-5p,40.0,82.0,35.0,11.0,12.0
hsa-miR-1271-5p,50.0,49.0,1.0,0.0,97.0
hsa-miR-1273c,0.0,51.0,271.0,0.0,0.0
hsa-miR-1278,75.0,0.0,0.0,0.0,0.0
hsa-miR-128-1-5p,0.0,0.0,3.0,1.0,4.0
hsa-miR-128-3p,7269.0,7418.0,17493.0,4400.0,15070.0
hsa-miR-1285-3p,74.0,0.0,260.0,0.0,46.0
hsa-miR-1285-5p,0.0,1.0,0.0,0.0,1.0
hsa-miR-1287-5p,0.0,38.0,0.0,0.0,0.0
hsa-miR-129-1-3p,0.0,2.0,1.0,0.0,0.0
hsa-miR-129-2-3p,1.0,0.0,8.0,7.0,4.0
hsa-miR-129-5p,574.0,455.0,1033.0,198.0,386.0
hsa-miR-1290,1.0,1.0,1.0,0.0,6.0
hsa-miR-1291,70.0,1.0,0.0,1.0,49.0
hsa-miR-1292-5p,157.0,54.0,0.0,0.0,137.0
hsa-miR-1293,57.0,280.0,15.0,30.0,11514.0
hsa-miR-1294,40.0,0.0,0.0,0.0,0.0
hsa-miR-1296-5p,227.0,93.0,0.0,0.0,129.0
hsa-miR-1298-5p,17.0,9.0,94.0,48.0,58.0
hsa-miR-1299,28.0,208.0,178.0,0.0,102.0
hsa-miR-1301-3p,88.0,57.0,223.0,3.0,186.0
hsa-miR-1304-3p,0.0,0.0,1.0,0.0,0.0
hsa-miR-1304-5p,29.0,0.0,1.0,0.0,46.0
hsa-miR-1306-3p,98.0,71.0,0.0,0.0,55.0
hsa-miR-1307-3p,3747.0,4653.0,1837.0,101.0,9670.0
hsa-miR-130a-3p,0.0,56.0,0.0,1.0,52.0
