miRNA,SRR11073563,SRR11073564,SRR11073565,SRR11073566,SRR11073567,SRR11073568,SRR11073569,SRR11073570,SRR11073571,SRR11073572,SRR11073573,SRR11073574,SRR11073575,SRR11073576,SRR11073577,SRR11073578,SRR11073579,SRR11073580,SRR11073581,SRR11073582,SRR11073583,SRR11073584,SRR11073585,SRR11073586,SRR11073587,SRR11073588,SRR11073589,SRR11073590,SRR11073591,SRR11073592,SRR11073593,SRR11073594,SRR11073595,SRR11073596,SRR11073597,SRR11073598,SRR11073599,SRR11073600,SRR11073601,SRR11073602,SRR11073603,SRR11073604,SRR11073605,SRR11073606,SRR11073607,SRR11073608,SRR11073609,SRR11073610,SRR11073611,SRR11073612,SRR11073613,SRR11073614,SRR11073615,SRR11073616,SRR11073617,SRR11073618,SRR11073619,SRR11073620,SRR11073621,SRR11073622,SRR11073623,SRR11073624,SRR11073625,SRR11073626,SRR11073627,SRR11073628,SRR11073629,SRR11073630,SRR11073631,SRR11073632,SRR11073633,SRR11073634,SRR11073635,SRR11073636,SRR11073637,SRR11073638,SRR11073639,SRR11073640,SRR11073641,SRR11073642,SRR11073643,SRR11073644,SRR11073645,SRR11073646,SRR11073647,SRR11073648,SRR11073649,SRR11073650,SRR11073651,SRR11073652,SRR11073653,SRR11073654,SRR11073655,SRR11073656,SRR11073657,SRR11073658,SRR11073659,SRR11073660,SRR11073661,SRR11073662,SRR11073663,SRR11073664,SRR11073665,SRR11073666,SRR11073667,SRR11073668,SRR11073669,SRR11073670,SRR11073671,SRR11073672,SRR11073673,SRR11073674,SRR11073675,SRR11073676,SRR11073677,SRR11073678,SRR11073679,SRR11073680,SRR11073681,SRR11073682
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,198.0,172.0,308.0,631.0,458.0,1046.0,655.0,228.0,114.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,154.0,0.0,3.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,306.0,2.0,1.0,325.0,334.0,179.0,155.0,441.0,788.0,1047.0,5.0,1.0,4.0,103.0,22.0,9.0,9.0,2.0,31.0,1.0,139.0,261.0,0.0,11.0,0.0,0.0,0.0,0.0,286.0,43.0,69.0,36.0,41.0,230.0,182.0,319.0,513.0,159.0,258.0,0.0,1.0,1.0,0.0,5.0,84.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,30.0,80.0,105.0,114.0,55.0,22.0,67.0,74.0,97.0,72.0,112.0,50.0,273.0,159.0,296.0,206.0,246.0,171.0,401.0,90.0,186.0,217.0,325.0,1.0,2.0,66.0,0.0,252.0,7.0,0.0,2.0,1.0,2.0,0.0
hsa-let-7a-5p,13228.0,33012.0,46371.0,78999.0,71614.0,233310.0,87138.0,34082.0,8203.0,1735.0,446.0,565.0,2163.0,3449.0,989.0,1440.0,828.0,147.0,4800.0,34316.0,1650.0,574.0,923.0,36051.0,1947.0,1180.0,228.0,1007.0,380.0,3401.0,63899.0,3672.0,1404.0,158879.0,137675.0,46884.0,65082.0,142984.0,203322.0,154381.0,6512.0,13989.0,25756.0,17476.0,14858.0,12903.0,39152.0,3386.0,4033.0,2564.0,37514.0,81462.0,589.0,2007.0,4.0,7.0,2.0,80.0,78002.0,17425.0,35903.0,10657.0,12112.0,47312.0,52221.0,128665.0,59253.0,36731.0,41238.0,133.0,649.0,413.0,1254.0,441.0,4826.0,221.0,43835.0,10.0,5.0,7.0,1.0,6.0,14.0,3.0,8.0,3052.0,6928.0,4009.0,29040.0,16233.0,35641.0,2108.0,26275.0,40669.0,18570.0,9650.0,15753.0,18029.0,53425.0,9005.0,57295.0,14932.0,16606.0,14279.0,66687.0,4299.0,12066.0,12378.0,17165.0,3566.0,1587.0,3714.0,222.0,5116.0,3624.0,1375.0,827.0,2765.0,1278.0,1293.0
hsa-let-7b-3p,34.0,53.0,128.0,137.0,178.0,242.0,167.0,63.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,127.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,1.0,0.0,0.0,189.0,0.0,1.0,261.0,186.0,113.0,58.0,152.0,150.0,192.0,1.0,2.0,1.0,31.0,5.0,2.0,0.0,0.0,16.0,0.0,50.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,17.0,32.0,7.0,18.0,58.0,84.0,49.0,86.0,53.0,57.0,0.0,0.0,0.0,1.0,0.0,46.0,1.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,11.0,25.0,23.0,29.0,3.0,17.0,14.0,15.0,17.0,41.0,18.0,151.0,35.0,80.0,60.0,91.0,67.0,82.0,24.0,53.0,47.0,50.0,0.0,0.0,7.0,0.0,68.0,1.0,0.0,0.0,1.0,0.0,1.0
hsa-let-7b-5p,63868.0,76621.0,137961.0,221484.0,172647.0,924425.0,435043.0,235742.0,117574.0,424.0,105.0,274.0,813.0,963.0,385.0,641.0,300.0,76.0,1707.0,77282.0,742.0,206.0,583.0,95477.0,721.0,333.0,54.0,216.0,135.0,1080.0,223813.0,894.0,738.0,607311.0,306321.0,129491.0,187038.0,306030.0,527753.0,589225.0,1036.0,2077.0,2211.0,39529.0,48841.0,4014.0,3904.0,681.0,10486.0,572.0,89536.0,101222.0,169.0,1247.0,5.0,5.0,0.0,263.0,317542.0,182600.0,111589.0,61142.0,72647.0,231068.0,205406.0,397687.0,216355.0,206037.0,260777.0,64.0,115.0,79.0,318.0,159.0,16476.0,35.0,102973.0,1.0,0.0,7.0,0.0,9.0,8.0,0.0,78.0,17488.0,21242.0,23491.0,169360.0,103586.0,124674.0,45664.0,78303.0,63342.0,83433.0,37314.0,122868.0,51651.0,149628.0,47469.0,278995.0,107908.0,107082.0,104932.0,177658.0,52703.0,76285.0,84495.0,117228.0,500.0,489.0,21276.0,47.0,52285.0,1230.0,534.0,398.0,450.0,548.0,309.0
hsa-let-7c-3p,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hsa-let-7c-5p,206.0,207.0,9054.0,759.0,1110.0,2407.0,24595.0,502.0,3601.0,3.0,1.0,52.0,6.0,192.0,86.0,94.0,5.0,0.0,16.0,355.0,2.0,3.0,7.0,820.0,3.0,4.0,13.0,114.0,25.0,10.0,998.0,29.0,7.0,1895.0,2513.0,588.0,1024.0,958.0,2789.0,44324.0,5.0,61.0,1871.0,117.0,7134.0,699.0,22.0,11.0,952.0,159.0,412.0,22635.0,1.0,129.0,0.0,0.0,0.0,0.0,11825.0,7385.0,779.0,3292.0,148.0,13367.0,7678.0,37249.0,538.0,8789.0,7116.0,24.0,18.0,1.0,4.0,2.0,137.0,35.0,1338.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,37.0,119.0,1196.0,8897.0,5762.0,548.0,1168.0,289.0,257.0,153.0,1313.0,5360.0,3887.0,715.0,246.0,597.0,232.0,188.0,6620.0,1410.0,2211.0,246.0,228.0,4763.0,210.0,9.0,29.0,12.0,149.0,239.0,10.0,68.0,5.0,3.0,0.0
hsa-let-7d-3p,4347.0,4901.0,14126.0,12350.0,9997.0,24708.0,16600.0,8386.0,5561.0,18.0,7.0,13.0,30.0,18.0,11.0,21.0,17.0,2.0,42.0,8153.0,24.0,14.0,16.0,6005.0,14.0,10.0,1.0,5.0,6.0,27.0,15783.0,46.0,29.0,18885.0,14624.0,7371.0,5202.0,11457.0,10164.0,11070.0,28.0,43.0,53.0,1795.0,876.0,105.0,83.0,16.0,744.0,19.0,3778.0,7964.0,4.0,28.0,2.0,0.0,0.0,6.0,5031.0,1900.0,3356.0,1009.0,1064.0,5082.0,5427.0,6852.0,6098.0,6216.0,7605.0,11.0,11.0,11.0,3.0,19.0,1731.0,3.0,31564.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,735.0,1301.0,1210.0,3715.0,3916.0,4223.0,713.0,2681.0,2490.0,2695.0,1666.0,3857.0,2474.0,13600.0,3285.0,12051.0,6540.0,7902.0,5756.0,19826.0,4984.0,9546.0,9794.0,10188.0,39.0,16.0,888.0,1.0,3162.0,33.0,12.0,8.0,24.0,10.0,7.0
hsa-let-7d-5p,828.0,2041.0,6477.0,6649.0,5922.0,16877.0,7722.0,2207.0,664.0,163.0,53.0,58.0,256.0,343.0,103.0,138.0,51.0,9.0,398.0,2862.0,126.0,78.0,101.0,2987.0,178.0,99.0,25.0,98.0,17.0,435.0,6102.0,395.0,129.0,13372.0,9796.0,3714.0,5920.0,12640.0,17696.0,17108.0,427.0,1257.0,2234.0,1821.0,2015.0,1169.0,3598.0,214.0,327.0,204.0,2853.0,9444.0,65.0,101.0,0.0,0.0,0.0,9.0,7468.0,1882.0,2873.0,872.0,1334.0,5094.0,4840.0,13562.0,5321.0,4179.0,3695.0,11.0,32.0,15.0,65.0,17.0,456.0,12.0,6451.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,179.0,694.0,376.0,3758.0,1640.0,3474.0,392.0,2845.0,4657.0,1821.0,1265.0,2220.0,2214.0,5829.0,810.0,5529.0,1435.0,2005.0,1631.0,10331.0,657.0,1868.0,1486.0,2548.0,313.0,70.0,405.0,33.0,679.0,462.0,150.0,72.0,308.0,147.0,134.0
hsa-let-7e-3p,1.0,0.0,9.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
