miRNA,SRR24255696,SRR24255695,SRR24255694,SRR24255693,SRR24255692,SRR24255691,SRR24255690,SRR24255689,SRR24255688,SRR24255687,SRR24255686,SRR24255685
hsa-let-7a-2-3p,30.43,166.2,86.8,77.47,120.09,121.08,23.99,23.62,33.08,109.7,224.39,54.73
hsa-let-7a-3p,25.38,47.59,23.42,80.68,147.14,226.87,12.14,36.7,34.19,89.98,199.74,38.65
hsa-let-7a-5p,2581.64,1137.58,2211.24,403.39,306.18,590.92,1421.11,1897.36,1100.77,571.14,852.88,918.47
hsa-let-7b-5p,1361.78,635.63,1245.31,168.66,146.49,303.64,747.61,1114.52,639.73,195.51,403.04,391.67
hsa-let-7c-3p,36.6,27.91,34.44,106.5,103.96,112.25,8.85,16.63,21.8,47.8,160.19,30.87
hsa-let-7c-5p,1531.34,683.5,1452.58,217.1,136.55,340.3,839.3,1360.61,797.35,395.03,381.81,545.74
hsa-let-7d-3p,87.23,124.06,100.88,101.34,106.89,164.22,55.98,79.74,53.96,39.78,178.25,91.04
hsa-let-7d-5p,482.44,246.72,503.79,218.7,144.7,300.21,374.59,572.69,308.41,275.7,365.73,275.46
hsa-let-7e-3p,28.61,56.8,23.12,60.02,119.77,147.47,13.28,14.35,26.61,42.02,205.01,28.27
hsa-let-7e-5p,479.22,234.02,428.16,92.61,107.71,181.76,267.63,410.91,261.66,130.88,225.18,186.37
hsa-let-7f-1-3p,22.02,38.1,33.07,89.05,134.27,152.87,15.99,18.54,21.99,95.11,135.93,70.03
hsa-let-7f-2-3p,18.93,25.12,20.82,57.35,69.25,114.49,11.42,14.22,25.32,47.8,207.12,26.59
hsa-let-7f-5p,1205.83,579.53,1310.52,301.16,232.53,500.04,926.27,1422.32,785.71,425.67,479.9,599.04
hsa-let-7g-3p,48.38,80.66,39.49,217.81,288.26,202.6,43.27,29.21,66.52,143.39,211.47,214.77
hsa-let-7g-5p,546.82,242.53,554.61,285.49,139.0,225.68,333.46,529.01,311.73,255.98,326.97,266.0
hsa-let-7i-5p,1219.15,619.44,1161.26,253.08,167.67,372.75,753.76,1099.16,635.29,369.85,395.52,422.4
hsa-miR-1-3p,8.98,24.56,10.56,125.92,93.53,59.75,6.43,8.63,17.19,28.87,116.68,37.35
hsa-miR-100-3p,12.06,29.86,24.19,105.79,118.95,111.98,12.0,16.0,23.28,50.52,163.75,25.42
hsa-miR-100-5p,1488.84,837.14,1391.34,205.35,185.93,400.32,920.13,1335.34,788.85,281.96,514.84,682.57
hsa-miR-101-3p,178.11,98.1,211.1,268.39,229.76,360.75,166.09,263.61,139.7,343.87,402.91,282.6
hsa-miR-101-5p,32.26,42.42,27.86,142.48,133.78,137.84,15.42,26.67,32.15,62.23,160.58,41.63
hsa-miR-10398-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0
hsa-miR-103a-1-5p,1.12,0.0,0.0,2.32,1.3,0.26,0.29,0.0,0.0,0.8,1.58,0.0
hsa-miR-103a-2-5p,57.08,0.0,0.0,0.36,0.0,4.62,25.99,0.51,0.37,0.0,0.13,0.0
hsa-miR-103a-3p,0.98,395.05,771.68,138.56,193.09,3.17,3.43,1.14,0.0,266.56,0.0,268.33
hsa-miR-10400-5p,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-105-3p,16.13,49.4,32.45,67.14,114.39,167.12,5.14,19.05,28.09,26.14,149.51,38.13
hsa-miR-105-5p,13.6,59.17,36.74,66.79,114.06,77.29,9.85,22.48,30.12,44.91,145.16,41.89
hsa-miR-106a-3p,22.16,48.28,25.87,111.13,215.91,181.63,18.57,23.62,40.65,120.61,233.62,72.5
hsa-miR-106a-5p,278.67,114.15,271.87,249.52,176.47,221.86,163.52,206.22,149.68,194.07,311.94,220.35
hsa-miR-106b-3p,47.12,78.01,58.63,120.39,131.5,150.89,29.13,45.46,46.75,98.32,239.03,33.2
hsa-miR-106b-5p,450.61,251.46,461.38,592.35,305.53,662.93,285.34,368.5,268.12,459.51,667.78,539.78
hsa-miR-107,692.25,309.79,558.74,179.88,226.34,251.93,388.73,553.01,349.98,201.77,265.13,201.41
hsa-miR-10a-3p,32.12,44.79,39.19,89.05,182.01,181.23,11.28,34.29,34.74,94.79,253.0,39.3
hsa-miR-10a-5p,293.95,141.78,221.66,82.82,138.51,182.95,143.1,230.35,147.46,157.66,208.97,135.53
hsa-miR-10b-3p,33.66,31.12,23.73,41.14,181.36,118.84,8.28,23.36,20.33,53.25,278.98,20.36
hsa-miR-10b-5p,62.69,51.63,68.12,56.99,86.2,236.76,60.12,91.68,49.89,84.52,202.64,60.57
hsa-miR-1178-3p,15.57,20.09,24.34,51.83,96.14,105.78,11.85,16.25,14.04,30.47,132.5,48.12
hsa-miR-1178-5p,31.7,51.91,35.21,122.18,176.64,150.23,28.13,26.92,37.33,100.88,158.34,52.78
hsa-miR-1179,16.13,80.1,37.66,93.86,115.86,116.34,9.57,19.05,23.65,57.42,223.6,18.55
hsa-miR-1180-3p,29.87,40.05,30.77,126.98,49.7,113.3,17.42,30.35,33.63,55.33,176.93,35.02
hsa-miR-1180-5p,33.52,67.82,31.69,85.49,94.67,132.56,23.14,23.36,33.08,80.83,196.71,53.3
hsa-miR-1182,29.73,57.07,30.16,64.83,87.34,103.81,23.99,28.95,31.41,53.41,84.25,42.15
hsa-miR-1183,58.48,279.51,126.9,56.81,100.21,192.18,46.27,34.92,38.25,81.64,234.02,95.32
hsa-miR-1184,40.67,91.12,50.06,181.13,129.06,155.91,26.99,42.41,39.54,65.6,241.8,99.21
hsa-miR-1185-1-3p,18.65,31.54,27.55,68.39,74.96,113.04,5.28,11.17,26.05,47.47,260.39,25.29
hsa-miR-1185-2-3p,12.62,33.77,20.05,41.85,100.21,112.64,8.85,18.03,26.61,30.63,137.51,17.12
