miRNA,SRR10531357,SRR10531358,SRR10531359,SRR10531360,SRR10531361,SRR10531362,SRR10531363,SRR10531364,SRR10531365,SRR10531367,SRR10531368,SRR10531369,SRR10531370,SRR10531371,SRR10531372,SRR10531373,SRR10531374,SRR10531375,SRR10531377,SRR10531378,SRR10531379,SRR10531380,SRR10531381,SRR10531382,SRR10531383,SRR10531384,SRR10531385,SRR10531386,SRR10531387,SRR10531388,SRR10531389,SRR10531390,SRR10531391,SRR10531392,SRR10531393,SRR10531394
hsa-miR-3128,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,1.0,214.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-3129-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3131,237.0,0.0,3.0,6.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,212.0,312.0,0.0,41.0,1240.0,0.0,0.0,248.0,404.0,1051.0,0.0,1.0,0.0,1.0,17.0,3.0,20.0,2.0,0.0,375.0,455.0,150.0
hsa-miR-3133,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,109.0,180.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,81.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3135a,127.0,0.0,4.0,0.0,7.0,0.0,2.0,0.0,121.0,0.0,1.0,0.0,216.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,56.0,95.0,150.0,0.0,0.0,4.0,0.0,0.0
hsa-miR-3137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
hsa-miR-3138,1.0,0.0,255.0,92.0,0.0,0.0,1.0,0.0,0.0,450.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
hsa-miR-3140-3p,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0
hsa-miR-3144-5p,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,123.0,1.0,0.0,0.0,0.0,1.0,3.0,206.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
hsa-miR-3146,3.0,108.0,6.0,0.0,98.0,140.0,287.0,190.0,95.0,0.0,281.0,0.0,0.0,1.0,1.0,44.0,1.0,143.0,44.0,89.0,38.0,1.0,98.0,1.0,0.0,99.0,119.0,37.0,0.0,72.0,4.0,213.0,0.0,1.0,1.0,9.0
