miRNA,SRR20661434,SRR20661435,SRR20661436,SRR20661437,SRR20661438,SRR20661439,SRR20661440,SRR20661441,SRR20661442,SRR20661443,SRR20661444,SRR20661445,SRR20661446,SRR20661447,SRR20661448,SRR20661449,SRR20661456,SRR20661457,SRR20661458,SRR20661459,SRR20661460,SRR20661461,SRR20661462,SRR20661463,SRR20661464,SRR20661465,SRR20661466,SRR20661467,SRR20661468,SRR20661469
hsa-let-7a-2-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7a-3p,0.2,0.1,0.0,1.05,0.49,1.34,2.01,0.86,1.72,2.76,3.71,0.28,0.22,0.94,3.54,19.85,3.14,3.01,1.09,0.9,1.05,0.23,0.53,0.6,0.38,0.99,3.85,6.19,9.74,0.24
hsa-let-7a-5p,12.72,13.03,6.38,9.48,27.63,806.51,1968.65,880.79,877.32,1258.61,1041.06,474.89,96.15,927.29,2094.18,5776.47,1034.74,757.33,244.23,121.0,485.33,64.61,18.35,62.6,45.82,852.22,2498.11,6332.1,2128.27,197.8
hsa-let-7b-3p,0.0,0.0,0.0,0.11,0.0,0.08,0.19,0.09,0.2,0.0,0.59,0.08,0.0,0.21,0.05,6.07,1.13,1.2,0.15,0.27,0.1,0.08,0.8,0.0,0.0,0.45,1.28,1.08,0.94,0.0
hsa-let-7b-5p,4.34,2.63,2.44,1.9,13.37,445.73,1158.68,439.66,468.49,1005.44,739.66,309.82,129.74,2063.86,832.57,1786.14,717.04,517.71,160.86,179.96,455.07,55.88,16.75,70.64,166.75,493.63,2742.2,7811.47,2656.55,145.66
hsa-let-7c-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.6,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0
hsa-let-7c-5p,0.91,2.02,0.0,0.11,2.54,9.14,166.09,9.55,7.38,108.06,19.25,27.03,4.3,51.14,20.37,151.38,26.54,13.51,25.46,4.79,34.85,2.81,5.43,2.4,8.07,54.16,73.26,91.53,260.64,3.88
hsa-let-7d-3p,0.4,0.0,0.35,0.84,0.39,4.65,8.13,4.73,2.83,4.08,8.78,1.47,2.09,3.55,6.64,63.81,6.79,17.64,3.2,8.23,5.16,0.84,9.53,0.9,1.06,6.84,11.06,27.26,10.47,1.78
hsa-let-7d-5p,1.51,0.71,0.81,1.26,2.83,91.32,233.97,105.46,91.41,144.39,147.49,29.65,7.16,27.14,143.25,223.79,137.34,129.79,42.85,21.7,41.44,9.72,6.06,8.87,6.76,46.69,139.45,351.55,152.08,14.15
hsa-let-7e-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.59,0.13,0.09,0.07,0.0,0.19,0.08,0.18,0.0,0.0,0.09,0.0,0.08,0.14,0.0
hsa-let-7e-5p,0.0,0.0,0.0,0.0,0.29,19.62,87.49,35.36,26.09,25.92,13.76,6.83,2.97,74.42,28.16,166.23,22.51,22.21,8.29,6.42,7.07,2.13,3.39,4.73,0.25,21.23,42.01,96.64,62.94,2.67
