miRNA,SRR16501715,SRR16501716
hsa-let-7a-3p,61.52,67.05
hsa-let-7a-5p,12002.44,19890.74
hsa-let-7b-3p,2.91,9.77
hsa-let-7b-5p,2800.42,3953.14
hsa-let-7c-5p,26.64,41.98
hsa-let-7d-3p,467.46,972.36
hsa-let-7d-5p,1276.93,2125.02
hsa-let-7e-3p,0.48,0.29
hsa-let-7e-5p,31.97,37.31
hsa-let-7f-1-3p,7.27,10.2
hsa-let-7f-2-3p,0.97,4.52
hsa-let-7f-5p,18934.46,26880.63
hsa-let-7g-3p,3.88,5.54
hsa-let-7g-5p,5266.11,7950.0
hsa-let-7i-3p,48.44,113.4
hsa-let-7i-5p,4712.42,8605.48
hsa-miR-1-3p,27.61,16.91
hsa-miR-1-5p,0.0,0.15
hsa-miR-100-5p,59.58,89.64
hsa-miR-101-2-5p,0.0,0.29
hsa-miR-101-3p,369.13,1026.58
hsa-miR-101-5p,3.88,13.85
hsa-miR-10392-3p,0.0,0.15
hsa-miR-10393-3p,0.0,0.44
hsa-miR-10394-3p,0.48,0.0
hsa-miR-10395-3p,12.59,5.68
hsa-miR-10395-5p,0.0,0.29
hsa-miR-10399-3p,6.78,15.74
hsa-miR-10399-5p,0.0,1.02
hsa-miR-103a-1-5p,0.0,0.29
hsa-miR-103a-2-5p,6.3,36.59
hsa-miR-103a-3p,5758.28,1036.2
hsa-miR-10401-3p,1.45,1.75
hsa-miR-10401-5p,0.0,0.15
hsa-miR-10527-5p,0.48,0.29
hsa-miR-106a-3p,4.84,7.58
hsa-miR-106a-5p,18.41,49.12
hsa-miR-106b-3p,132.73,267.76
hsa-miR-106b-5p,214.6,693.67
hsa-miR-107,79.93,128.12
hsa-miR-10a-3p,0.48,0.15
hsa-miR-10a-5p,386.08,355.22
hsa-miR-10b-5p,7.75,13.7
hsa-miR-11400,1.94,2.04
hsa-miR-1179,0.48,1.17
hsa-miR-1180-3p,2.42,1.31
hsa-miR-1185-1-3p,2.91,2.19
hsa-miR-1185-2-3p,0.0,0.58
hsa-miR-1197,1.45,0.29
hsa-miR-12136,0.97,0.0
hsa-miR-122-5p,0.48,12.68
hsa-miR-1226-3p,0.97,1.02
hsa-miR-1228-3p,0.48,2.62
hsa-miR-1228-5p,0.0,0.15
hsa-miR-1229-3p,0.0,0.73
hsa-miR-1234-3p,0.0,0.29
hsa-miR-1237-5p,0.48,0.44
hsa-miR-124-3p,1.45,1.17
hsa-miR-124-5p,0.0,0.15
hsa-miR-1246,2.91,1.17
hsa-miR-1248,167.61,109.17
hsa-miR-1249-3p,152.59,220.97
hsa-miR-1250-5p,0.48,1.17
hsa-miR-1252-5p,0.0,0.15
hsa-miR-1255a,2.91,5.54
hsa-miR-1255b-5p,0.0,0.15
hsa-miR-1256,0.0,0.73
hsa-miR-125a-3p,0.0,0.29
hsa-miR-125a-5p,233.49,99.26
hsa-miR-125b-5p,94.46,60.64
hsa-miR-126-3p,895.21,656.79
hsa-miR-126-5p,398.19,304.49
hsa-miR-1260b,1.45,1.46
hsa-miR-1262,1.94,5.68
hsa-miR-1264,0.48,0.44
hsa-miR-1268a,0.0,0.15
hsa-miR-1268b,0.48,0.15
hsa-miR-127-3p,46.02,52.47
hsa-miR-127-5p,0.97,2.33
hsa-miR-1270,2.42,2.48
hsa-miR-1271-5p,6.3,2.48
hsa-miR-1273c,1.45,2.33
hsa-miR-1273h-3p,5.33,9.47
hsa-miR-1273h-5p,1.45,6.12
hsa-miR-1275,0.0,1.75
hsa-miR-1276,0.0,0.15
hsa-miR-1277-3p,10.17,10.79
hsa-miR-1278,0.97,1.46
hsa-miR-128-1-5p,1.45,2.19
hsa-miR-128-3p,313.42,554.18
hsa-miR-1284,6.3,14.72
hsa-miR-1285-3p,6.78,11.37
hsa-miR-1285-5p,0.48,0.73
hsa-miR-1287-3p,0.0,0.15
hsa-miR-1287-5p,3.39,6.56
hsa-miR-1288-3p,0.0,0.15
hsa-miR-1289,0.0,0.15
hsa-miR-129-1-3p,0.48,0.58
hsa-miR-129-2-3p,0.0,0.15
hsa-miR-1291,31.0,8.02
hsa-miR-1292-5p,0.48,0.29
hsa-miR-1294,2.42,1.75
hsa-miR-1296-5p,22.77,19.68
hsa-miR-1298-5p,1.45,1.46
hsa-miR-1299,0.0,0.29
hsa-miR-1301-3p,49.9,42.56
hsa-miR-1301-5p,0.48,0.29
hsa-miR-1303,2.91,5.98
hsa-miR-1304-5p,2.91,4.23
hsa-miR-1306-3p,0.0,0.29
hsa-miR-1306-5p,3.39,3.5
hsa-miR-1307-3p,76.54,93.58
hsa-miR-1307-5p,346.84,433.78
hsa-miR-130a-3p,162.28,165.15
hsa-miR-130a-5p,0.97,4.52
hsa-miR-130b-3p,72.18,149.84
hsa-miR-130b-5p,184.08,275.78
hsa-miR-132-3p,3.39,24.2
hsa-miR-132-5p,3.88,14.14
hsa-miR-133a-3p,6.78,4.23
hsa-miR-133a-5p,0.0,0.15
hsa-miR-134-5p,5.33,3.21
hsa-miR-1343-3p,5.33,3.5
hsa-miR-135a-3p,0.0,0.15
hsa-miR-135a-5p,0.97,0.44
hsa-miR-136-3p,32.46,27.26
hsa-miR-136-5p,1.94,2.04
hsa-miR-137-3p,0.0,0.29
hsa-miR-138-5p,0.48,0.58
hsa-miR-139-3p,0.0,3.06
hsa-miR-139-5p,24.71,25.22
hsa-miR-140-3p,975.13,2160.73
hsa-miR-140-5p,188.44,285.98
hsa-miR-141-3p,13.56,23.76
hsa-miR-141-5p,0.0,0.29
hsa-miR-142-3p,2061.68,3094.61
hsa-miR-142-5p,21443.75,31941.68
hsa-miR-143-3p,140.0,256.97
hsa-miR-143-5p,0.0,0.44
hsa-miR-144-3p,1.45,10.2
hsa-miR-144-5p,4.36,2.77
hsa-miR-145-3p,2.42,5.54
hsa-miR-145-5p,35.85,61.66
hsa-miR-1468-5p,0.48,1.02
hsa-miR-146a-3p,3.88,1.02
hsa-miR-146a-5p,7545.79,8352.15
hsa-miR-146b-3p,8.72,5.54
hsa-miR-146b-5p,1789.44,2783.56
hsa-miR-147b-3p,0.48,2.19
hsa-miR-147b-5p,0.97,4.08
hsa-miR-148a-3p,2017.6,2780.07
hsa-miR-148a-5p,10.66,16.76
hsa-miR-148b-3p,742.13,1345.21
hsa-miR-148b-5p,62.49,85.12
hsa-miR-149-5p,0.0,0.58
hsa-miR-150-3p,0.0,0.29
hsa-miR-150-5p,214.11,106.4
hsa-miR-151a-3p,270.79,253.91
hsa-miR-151a-5p,564.83,342.68
hsa-miR-151b,0.0,9.33
hsa-miR-152-3p,47.96,81.63
hsa-miR-152-5p,1.45,0.73
hsa-miR-153-3p,0.97,0.87
hsa-miR-1537-3p,2.91,9.77
hsa-miR-1537-5p,1.45,1.31
hsa-miR-1538,0.97,0.87
hsa-miR-154-3p,0.0,0.15
hsa-miR-154-5p,0.0,0.87
hsa-miR-155-3p,0.0,0.87
hsa-miR-155-5p,610.85,780.25
hsa-miR-15a-3p,1.45,4.23
hsa-miR-15a-5p,475.21,1033.87
hsa-miR-15b-3p,62.97,112.09
hsa-miR-15b-5p,1531.25,2528.92
hsa-miR-16-1-3p,4.84,8.02
hsa-miR-16-2-3p,253.35,296.77
hsa-miR-16-5p,14396.43,21917.09
hsa-miR-17-3p,25.19,26.97
hsa-miR-17-5p,388.5,918.28
hsa-miR-181a-2-3p,46.02,84.83
hsa-miR-181a-3p,158.4,302.3
hsa-miR-181a-5p,5689.49,8516.71
hsa-miR-181b-2-3p,0.48,0.58
hsa-miR-181b-3p,2.91,7.0
hsa-miR-181b-5p,485.39,661.46
hsa-miR-181c-3p,15.5,16.03
hsa-miR-181c-5p,61.04,98.68
hsa-miR-181d-3p,0.0,0.29
hsa-miR-181d-5p,17.92,31.05
hsa-miR-182-5p,13.08,7.29
hsa-miR-183-5p,0.97,1.02
hsa-miR-184,0.0,0.15
hsa-miR-1843,13.08,14.43
hsa-miR-185-3p,12.11,19.09
hsa-miR-185-5p,1998.23,2104.62
hsa-miR-186-3p,31.97,43.73
hsa-miR-186-5p,6407.89,8393.25
hsa-miR-187-3p,1.94,1.31
hsa-miR-188-3p,17.44,19.82
hsa-miR-188-5p,8.72,14.28
hsa-miR-18a-3p,7.75,11.08
hsa-miR-18a-5p,111.9,492.67
hsa-miR-18b-3p,0.0,1.02
hsa-miR-18b-5p,0.97,7.43
hsa-miR-1908-3p,0.0,0.15
hsa-miR-1908-5p,1.94,1.17
hsa-miR-190a-3p,0.0,2.19
hsa-miR-190a-5p,1.45,1.6
hsa-miR-190b-3p,0.0,0.29
hsa-miR-190b-5p,13.56,36.29
hsa-miR-191-3p,2.42,7.14
hsa-miR-191-5p,25319.58,29796.25
hsa-miR-1910-3p,0.0,0.29
hsa-miR-1910-5p,0.97,1.02
hsa-miR-1911-5p,1.45,1.31
hsa-miR-1912-3p,0.48,0.15
hsa-miR-192-3p,0.0,0.44
hsa-miR-192-5p,72.18,138.33
hsa-miR-193a-3p,9.2,22.88
hsa-miR-193a-5p,12.11,16.76
hsa-miR-193b-3p,4.36,4.08
hsa-miR-194-3p,0.0,0.58
hsa-miR-194-5p,5.33,13.99
hsa-miR-195-5p,2.91,3.06
hsa-miR-196a-5p,0.0,0.29
hsa-miR-196b-3p,0.0,0.87
hsa-miR-196b-5p,23.74,35.27
hsa-miR-197-3p,546.42,1235.46
hsa-miR-197-5p,0.0,0.29
hsa-miR-199a-3p,326.5,424.6
hsa-miR-199a-5p,1227.52,482.75
hsa-miR-199b-3p,92.04,314.11
hsa-miR-199b-5p,678.67,1197.85
hsa-miR-19a-3p,505.25,722.53
hsa-miR-19a-5p,0.48,0.44
hsa-miR-19b-1-5p,0.97,2.19
hsa-miR-19b-3p,1640.24,3478.69
hsa-miR-200a-3p,7.75,17.78
hsa-miR-200a-5p,0.0,0.15
hsa-miR-200b-3p,30.03,52.18
hsa-miR-200b-5p,0.0,0.44
hsa-miR-200c-3p,95.43,117.19
hsa-miR-202-5p,0.0,0.44
hsa-miR-203a-3p,2.42,0.58
hsa-miR-204-5p,0.48,0.73
hsa-miR-205-5p,0.48,0.0
hsa-miR-20a-3p,17.44,25.51
hsa-miR-20a-5p,884.06,1927.08
hsa-miR-20b-3p,0.97,0.87
hsa-miR-20b-5p,21.8,63.11
hsa-miR-21-3p,435.01,1086.64
hsa-miR-21-5p,62940.49,155251.8
hsa-miR-210-3p,2.42,4.23
hsa-miR-210-5p,0.48,0.73
hsa-miR-2110,11.14,11.22
hsa-miR-2114-5p,0.0,0.15
hsa-miR-2115-3p,0.97,4.08
hsa-miR-2115-5p,0.0,0.87
hsa-miR-2116-3p,0.48,0.58
hsa-miR-2116-5p,0.0,0.58
hsa-miR-212-3p,1.94,5.25
hsa-miR-212-5p,2.42,6.41
hsa-miR-214-3p,0.0,0.15
hsa-miR-215-5p,1.45,1.02
hsa-miR-216a-5p,0.0,0.15
hsa-miR-217-5p,0.0,0.15
hsa-miR-218-5p,0.0,0.44
hsa-miR-219a-5p,1.94,15.89
hsa-miR-219b-5p,0.0,0.58
hsa-miR-22-3p,3884.07,5859.96
hsa-miR-22-5p,20.35,55.68
hsa-miR-221-3p,1106.9,2025.76
hsa-miR-221-5p,112.39,183.22
hsa-miR-222-3p,1205.23,1888.31
hsa-miR-222-5p,1.45,9.91
hsa-miR-223-3p,7343.78,12810.34
hsa-miR-223-5p,170.03,313.67
hsa-miR-224-3p,0.0,0.29
hsa-miR-224-5p,23.74,10.35
hsa-miR-2276-5p,0.0,0.29
hsa-miR-2277-3p,1.94,0.73
hsa-miR-2277-5p,4.36,6.12
hsa-miR-2278,0.0,0.15
hsa-miR-2355-3p,2.91,5.39
hsa-miR-2355-5p,51.83,57.43
hsa-miR-23a-3p,2577.59,6730.58
hsa-miR-23a-5p,1.94,3.06
hsa-miR-23b-3p,93.01,233.8
hsa-miR-23b-5p,0.97,1.46
hsa-miR-24-1-5p,0.48,0.15
hsa-miR-24-2-5p,163.73,286.13
hsa-miR-24-3p,2023.42,4467.23
hsa-miR-2467-5p,6.3,13.41
hsa-miR-25-3p,2286.94,3581.89
hsa-miR-25-5p,8.72,13.26
hsa-miR-26a-1-3p,0.97,1.17
hsa-miR-26a-2-3p,15.5,30.61
hsa-miR-26a-5p,40729.9,53180.26
hsa-miR-26b-3p,48.93,74.19
hsa-miR-26b-5p,10752.64,18960.36
hsa-miR-27a-3p,6688.37,12431.8
hsa-miR-27a-5p,49.9,343.26
hsa-miR-27b-3p,2944.3,3778.37
hsa-miR-27b-5p,0.48,3.06
hsa-miR-28-3p,474.25,739.44
hsa-miR-28-5p,220.41,329.85
hsa-miR-296-3p,0.0,0.15
hsa-miR-296-5p,0.97,0.73
hsa-miR-299-3p,0.0,0.44
hsa-miR-299-5p,1.45,0.58
hsa-miR-29a-3p,1058.94,1214.03
hsa-miR-29a-5p,0.97,6.85
hsa-miR-29b-1-5p,0.48,2.48
hsa-miR-29b-2-5p,12.59,18.37
hsa-miR-29b-3p,121.59,263.1
hsa-miR-29c-3p,96.4,255.08
hsa-miR-29c-5p,21.8,30.9
hsa-miR-301a-3p,31.97,70.11
hsa-miR-301a-5p,14.05,24.34
hsa-miR-301b-3p,8.72,14.43
hsa-miR-301b-5p,0.0,0.15
hsa-miR-3064-3p,0.48,0.73
hsa-miR-3064-5p,0.48,0.29
hsa-miR-3065-3p,0.97,0.0
hsa-miR-3065-5p,1.45,1.17
hsa-miR-3074-3p,1.45,0.87
hsa-miR-30a-3p,0.97,0.87
hsa-miR-30a-5p,39.24,39.65
hsa-miR-30b-3p,1.94,4.66
hsa-miR-30b-5p,3644.76,6062.13
hsa-miR-30c-1-3p,7.75,13.12
hsa-miR-30c-5p,7588.9,10780.64
hsa-miR-30d-3p,45.54,59.18
hsa-miR-30d-5p,10758.45,17271.3
hsa-miR-30e-3p,641.85,969.15
hsa-miR-30e-5p,18941.25,29251.4
hsa-miR-31-3p,0.0,0.15
hsa-miR-31-5p,1.45,0.29
hsa-miR-3115,0.0,0.58
hsa-miR-3121-3p,0.0,0.29
hsa-miR-3123,0.0,0.15
hsa-miR-3127-3p,0.0,0.29
hsa-miR-3127-5p,0.0,0.15
hsa-miR-3128,0.0,0.44
hsa-miR-3130-3p,0.0,0.15
hsa-miR-3130-5p,0.0,0.73
hsa-miR-3133,0.48,0.0
hsa-miR-3136-3p,0.0,0.29
hsa-miR-3136-5p,2.42,6.56
hsa-miR-3139,0.0,0.15
hsa-miR-3140-3p,0.0,0.29
hsa-miR-3140-5p,0.97,0.73
hsa-miR-3143,0.97,5.83
hsa-miR-3144-3p,0.0,0.15
hsa-miR-3145-3p,0.0,0.29
