miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-1296-5p,58.52,69.52,61.66,55.13,73.71,72.34,78.11,71.77,52.41,55.41,46.62,45.8,56.09,56.56,66.27,48.61,59.94,55.81,68.1,51.12,49.39,64.84,73.86
hsa-miR-1297,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.14,0.44,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.45
hsa-miR-1298-3p,0.0,0.24,0.0,0.11,0.11,0.11,0.29,0.0,0.12,0.13,0.0,0.23,0.23,0.28,0.0,0.11,0.11,0.11,0.46,0.11,0.2,0.0,0.3
hsa-miR-1298-5p,227.99,228.54,190.2,214.29,217.03,178.51,193.3,158.18,139.64,142.49,114.25,146.79,176.01,156.03,171.72,143.1,128.52,120.38,141.76,183.38,157.05,140.09,160.4
hsa-miR-1299,0.39,0.0,0.11,0.0,0.21,0.0,0.0,3.49,0.23,0.0,0.0,0.46,0.0,0.0,1.75,0.0,0.0,0.11,0.12,0.0,0.4,0.0,0.3
hsa-miR-1301-3p,1.17,0.24,0.34,0.22,1.68,0.89,0.0,0.13,1.75,0.0,0.61,0.0,0.23,0.42,1.02,0.0,0.0,1.6,0.23,0.45,2.02,0.59,0.45
hsa-miR-1303,0.13,0.0,0.0,0.0,0.21,0.0,0.15,0.0,0.0,0.13,0.24,0.0,0.12,0.14,0.87,0.0,0.0,0.11,0.35,0.11,0.6,0.45,0.15
hsa-miR-1304-5p,0.39,0.0,0.0,0.0,0.11,0.11,0.0,0.27,0.23,0.13,0.49,0.11,0.23,0.0,1.89,0.0,0.0,0.11,0.23,0.34,0.0,0.3,0.0
hsa-miR-1306-3p,27.64,27.98,23.28,25.67,18.61,20.43,17.52,18.68,14.91,13.12,11.66,11.11,19.79,12.66,20.97,14.38,11.69,10.58,12.6,22.68,20.56,15.17,19.55
hsa-miR-1306-5p,5.45,7.75,6.7,6.81,4.52,7.59,7.59,5.38,4.54,6.49,4.49,4.58,7.73,7.18,7.57,5.25,5.9,5.13,5.32,4.29,7.06,6.25,7.91
hsa-miR-1307-3p,43.21,55.35,41.45,57.37,40.69,38.4,33.29,35.61,38.43,31.28,27.2,22.21,36.54,29.69,47.19,32.75,25.32,29.72,30.87,43.56,47.38,29.0,41.33
hsa-miR-1307-5p,33.61,42.51,31.79,42.19,24.4,21.21,27.3,24.73,23.88,22.53,16.03,21.53,21.9,18.99,32.19,16.32,16.8,17.0,17.81,33.74,36.69,20.08,21.49
hsa-miR-130a-3p,1.17,0.85,2.27,1.23,1.05,1.45,1.02,1.88,1.28,0.93,6.19,1.37,1.17,0.98,12.23,0.34,0.23,1.39,3.47,0.56,3.02,1.93,3.73
hsa-miR-130a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-130b-3p,9.34,8.6,3.63,6.47,11.57,4.24,5.26,5.38,8.73,3.98,2.91,3.89,4.22,3.52,11.21,3.42,3.52,4.81,3.93,6.21,13.1,7.29,7.61
hsa-miR-130b-5p,2.21,3.51,2.61,1.56,0.95,2.01,3.07,2.02,0.82,0.66,1.21,0.11,1.64,0.7,2.33,0.46,0.68,0.96,0.93,2.48,1.61,2.08,3.43
hsa-miR-132-3p,534.09,513.28,544.14,359.94,552.26,620.27,633.05,521.72,496.61,647.76,489.65,561.84,730.64,650.7,566.57,571.5,631.8,599.24,753.54,443.17,340.31,551.0,663.37
hsa-miR-132-5p,188.02,185.79,153.86,155.58,126.5,139.55,174.91,138.7,82.81,108.69,79.4,86.33,142.52,117.48,153.51,101.68,99.34,95.79,114.7,146.26,129.63,121.8,168.9
hsa-miR-1323,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-133a-3p,24.78,25.8,20.78,22.55,20.71,20.32,25.55,16.93,17.59,12.72,15.66,11.91,16.16,14.63,20.25,14.15,15.21,18.71,15.73,23.7,18.35,18.74,22.68
hsa-miR-133a-5p,0.65,0.0,0.57,0.22,0.11,0.0,0.15,0.13,0.58,0.13,0.0,0.11,0.23,0.0,0.0,0.0,0.11,0.21,0.12,0.11,0.0,0.15,0.45
hsa-miR-133b,0.26,0.0,0.34,0.11,0.32,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.58,0.0,0.0,0.43,0.12,0.23,0.0,0.45,0.3
hsa-miR-134-3p,0.0,0.0,0.0,0.11,0.0,0.33,0.0,0.0,0.12,0.27,0.12,0.11,0.0,0.14,0.0,0.23,0.34,0.21,0.12,0.0,0.0,0.0,0.0
hsa-miR-134-5p,79.54,91.32,57.57,94.09,67.3,44.43,66.87,48.11,63.71,50.5,42.86,63.66,63.94,51.63,62.34,51.58,50.07,34.53,48.1,88.36,71.57,46.85,55.36
hsa-miR-1343-3p,24.39,19.86,16.12,13.95,6.62,12.17,19.86,8.47,10.71,16.17,6.92,9.96,21.08,13.65,18.21,10.61,9.99,9.41,12.6,14.67,21.37,18.44,24.17
hsa-miR-1343-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
hsa-miR-135a-2-3p,7.4,9.2,9.42,7.14,14.51,8.37,7.59,4.84,6.76,7.56,3.52,6.98,9.25,6.89,8.59,6.39,6.47,8.98,7.28,7.11,8.67,7.44,13.28
hsa-miR-135a-3p,3.63,2.54,2.84,0.56,2.63,1.79,2.04,1.75,2.45,1.33,1.21,1.72,2.11,0.56,1.46,1.94,2.61,1.07,1.39,2.26,1.81,1.78,1.94
hsa-miR-135a-5p,5.84,2.3,4.43,1.12,3.89,5.02,6.13,3.36,3.84,7.56,3.89,5.84,4.68,4.64,4.66,3.54,5.9,6.74,5.32,3.16,1.81,4.16,5.22
hsa-miR-135b-3p,0.39,0.73,1.25,0.22,0.63,0.56,0.29,0.54,0.23,0.4,0.12,0.46,0.35,0.0,1.17,0.34,0.34,0.43,0.0,0.34,0.4,1.04,0.0
hsa-miR-135b-5p,2.47,2.42,2.27,1.9,3.15,2.57,5.4,3.36,2.91,3.18,2.31,2.75,2.23,3.38,2.62,3.08,3.75,3.53,4.16,1.69,2.42,2.53,3.28
hsa-miR-136-3p,719.77,822.97,669.96,571.55,794.84,574.94,976.74,505.46,706.6,778.19,630.85,799.54,802.08,697.13,712.95,682.09,818.56,727.11,816.56,529.73,418.53,656.59,710.67
hsa-miR-136-5p,36.85,41.06,28.39,34.38,21.87,20.32,24.97,16.13,25.16,22.14,20.4,30.69,34.78,25.89,20.97,29.33,25.2,26.19,20.12,26.52,23.18,16.95,20.74
hsa-miR-137-3p,43.6,41.18,37.02,31.7,31.55,31.37,54.9,29.43,42.04,43.48,35.09,42.94,38.29,34.61,41.36,34.35,39.05,43.51,41.86,29.79,22.98,35.54,37.45
hsa-miR-137-5p,48.27,45.05,38.49,42.3,35.54,25.9,38.4,29.84,20.03,20.81,15.42,16.37,30.21,20.82,32.48,19.17,17.82,13.9,21.28,37.47,41.13,34.21,38.64
hsa-miR-138-1-3p,1.17,1.7,1.25,2.01,1.58,2.01,0.88,1.08,1.75,2.65,1.82,0.8,2.58,1.41,2.62,1.71,1.14,2.25,1.39,1.35,2.62,1.04,1.49
hsa-miR-138-2-3p,7.66,6.42,9.65,5.8,11.36,9.82,8.91,7.66,15.84,15.51,13.36,14.2,19.56,18.71,11.07,13.47,12.37,13.9,20.23,5.98,6.85,11.9,11.34
hsa-miR-138-5p,500.48,492.21,317.49,482.6,335.54,255.77,407.05,319.86,267.06,259.93,218.66,291.62,328.37,282.93,410.73,230.29,242.62,180.15,231.6,424.1,404.42,253.27,287.07
hsa-miR-139-3p,172.06,169.68,141.03,159.38,69.19,99.92,117.68,84.4,45.19,56.6,35.21,38.81,76.24,51.77,118.56,49.3,43.37,36.99,53.3,149.53,169.55,110.5,135.78
hsa-miR-139-5p,311.42,347.72,314.65,220.99,259.3,319.4,415.95,259.92,220.0,291.47,198.02,241.82,376.27,272.1,336.45,265.78,299.61,292.4,401.69,206.41,217.73,331.05,430.16
hsa-miR-140-3p,1111.25,1323.66,1172.08,1167.65,1179.49,1015.8,1084.63,762.69,1060.07,1106.64,958.54,1047.54,1324.14,1068.84,1477.01,1071.23,971.83,947.34,1221.6,940.62,849.77,815.58,977.0
hsa-miR-140-5p,76.3,74.61,80.96,53.35,80.65,87.64,108.33,62.76,85.84,86.82,73.09,79.8,95.91,78.79,83.31,87.41,103.65,116.11,126.26,47.96,35.48,69.15,98.18
hsa-miR-141-3p,0.26,0.0,0.34,0.0,0.21,0.56,0.0,0.13,1.4,0.27,0.0,0.34,0.35,0.56,0.15,0.23,0.45,1.39,0.46,0.23,1.21,0.15,0.3
hsa-miR-141-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.2,0.0,0.0
hsa-miR-142-3p,6.36,6.78,3.86,3.46,2.73,4.58,3.94,6.59,8.5,4.11,2.55,3.43,3.98,3.1,9.9,2.4,1.93,3.1,4.51,5.98,4.84,4.02,6.27
hsa-miR-142-5p,33.74,36.7,40.88,17.75,42.59,32.38,45.84,42.07,30.63,42.28,58.16,42.94,32.79,28.28,141.72,24.31,28.04,22.13,62.79,19.07,30.44,36.44,51.18
hsa-miR-143-3p,2468.79,2556.25,2780.89,1900.03,2696.3,2260.91,3193.59,1252.83,2464.07,3138.74,2050.63,2757.67,3689.85,3089.6,1915.12,2999.26,3074.44,3244.66,3377.12,1727.42,1127.58,1561.85,2172.43
hsa-miR-143-5p,6.88,9.2,8.18,7.92,5.57,5.58,8.76,6.18,6.76,8.35,4.86,6.07,10.07,10.97,6.55,7.65,8.63,7.91,8.09,7.56,4.84,4.91,4.77
hsa-miR-144-3p,19.46,25.68,13.85,9.49,11.04,13.29,30.51,11.83,8.39,21.47,57.06,21.87,12.18,16.04,231.0,6.16,9.88,6.74,24.98,9.82,17.74,23.2,27.9
hsa-miR-144-5p,1.43,3.15,0.68,0.67,1.79,2.23,4.53,2.42,2.68,2.39,3.76,1.49,2.69,2.81,6.99,0.68,2.16,2.03,2.31,1.13,2.82,3.87,3.13
hsa-miR-145-3p,40.74,39.73,38.95,30.58,27.87,34.27,37.96,26.88,28.77,37.91,22.34,28.51,39.23,32.36,34.52,28.87,31.56,31.33,35.5,27.76,24.6,29.0,36.7
hsa-miR-145-5p,41.65,42.27,31.34,35.16,39.64,37.85,42.78,39.78,44.37,47.85,40.07,47.63,51.41,54.03,38.74,48.39,53.25,46.61,52.15,42.21,37.7,37.48,49.09
hsa-miR-1468-5p,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.15
hsa-miR-146a-3p,0.52,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.0
hsa-miR-146a-5p,491.27,524.67,439.79,453.36,482.01,400.56,441.36,374.56,439.08,403.87,352.58,418.14,505.79,423.34,442.48,387.09,422.34,386.49,464.13,401.86,391.72,364.36,473.88
hsa-miR-146b-3p,0.13,0.12,0.0,0.22,0.11,0.45,0.15,0.0,0.12,0.0,0.0,0.11,0.23,0.0,0.15,0.0,0.0,0.11,0.12,0.23,1.01,0.15,0.0
hsa-miR-146b-5p,18.43,27.25,24.19,10.04,20.5,34.83,12.7,16.53,22.36,19.48,7.89,18.66,19.09,11.26,20.68,7.76,5.56,13.15,17.92,18.28,16.13,17.7,33.72
hsa-miR-147b-3p,0.26,0.73,0.23,0.0,0.32,0.11,0.0,0.13,0.23,0.0,0.12,0.0,0.0,0.0,0.29,0.0,0.11,0.21,0.0,0.11,0.81,0.0,0.0
hsa-miR-148a-3p,2570.0,2633.52,2796.67,1686.52,4821.62,3164.74,3961.84,2540.34,2197.94,3312.91,2369.94,2891.17,3249.64,2738.29,3183.28,2500.79,3068.31,3086.86,3646.3,1673.48,1696.31,2335.34,3284.01
hsa-miR-148a-5p,3.89,4.84,5.34,5.36,5.36,4.24,3.5,3.63,3.61,2.92,1.34,2.98,3.98,2.53,4.08,3.54,2.16,5.24,3.12,4.74,6.05,2.38,2.69
hsa-miR-148b-3p,540.57,595.52,571.17,387.62,881.8,503.05,757.88,414.88,450.26,690.58,543.19,601.8,660.37,577.54,693.57,512.62,641.34,533.81,655.72,368.57,382.45,518.29,639.35
hsa-miR-148b-5p,2.08,1.94,1.7,1.56,1.47,0.67,2.04,0.67,0.58,1.59,0.73,2.06,1.64,1.69,1.46,1.6,2.27,1.71,2.08,0.9,1.21,1.19,2.83
hsa-miR-149-3p,0.39,0.73,0.57,0.89,0.32,0.33,0.88,0.27,0.12,0.4,0.36,0.0,0.82,0.0,1.17,0.46,0.23,0.11,0.35,0.68,0.81,0.59,1.49
hsa-miR-149-5p,18.04,12.84,14.88,13.95,7.57,10.72,16.64,11.83,10.83,11.93,9.11,12.48,15.93,11.68,13.55,9.24,7.38,10.05,14.68,13.54,17.14,12.34,19.1
hsa-miR-150-3p,0.39,0.12,0.34,0.89,0.42,0.45,0.29,0.4,0.12,0.27,0.12,0.46,0.12,0.14,0.15,0.0,0.11,0.0,0.0,0.23,0.0,0.59,0.15
hsa-miR-150-5p,2.85,3.88,3.63,1.56,3.15,5.02,1.61,8.06,2.33,4.9,2.06,3.21,3.4,2.67,1.75,1.03,1.93,1.92,2.2,2.37,3.02,5.06,5.37
hsa-miR-151a-3p,1578.9,1602.23,1540.11,1217.54,2401.87,1353.18,1479.7,950.44,1011.04,1256.95,864.2,951.59,1643.5,1166.06,1254.03,1092.68,1143.49,961.24,1293.29,1255.59,1453.37,1122.53,1566.06
hsa-miR-151a-5p,13.62,11.87,6.13,6.25,10.3,7.48,8.03,8.87,7.8,9.94,5.1,8.7,13.23,6.75,15.73,6.28,11.24,11.55,8.33,5.98,9.68,7.14,11.49
hsa-miR-151b,1.43,2.3,4.2,4.91,0.21,3.57,7.01,0.54,1.05,1.72,3.4,0.23,0.7,5.06,0.15,5.48,0.34,0.64,4.86,4.97,1.21,4.61,0.6
hsa-miR-152-3p,114.84,112.76,83.23,105.81,126.5,67.99,102.05,63.03,89.21,90.66,82.19,100.41,98.72,96.66,98.46,85.93,91.39,72.17,90.19,96.38,132.05,69.3,86.39
hsa-miR-152-5p,0.39,0.0,0.0,0.0,0.32,0.22,0.15,0.67,0.0,0.0,0.12,0.0,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.23,0.6,0.59,0.45
hsa-miR-153-3p,5.58,7.15,4.88,2.34,4.52,5.14,8.47,3.49,3.73,6.49,4.74,8.01,5.62,4.5,5.97,5.36,6.02,5.88,6.01,5.76,3.43,6.84,7.76
hsa-miR-153-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1538,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-154-3p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-154-5p,25.04,23.86,20.89,21.88,27.76,28.69,28.03,28.36,28.53,29.16,29.38,30.57,33.49,33.77,29.71,30.7,35.31,31.65,43.01,25.5,25.4,31.23,38.05
hsa-miR-155-5p,7.14,8.11,10.9,4.13,14.93,13.95,10.51,10.89,8.15,8.35,5.71,6.98,8.67,6.89,8.88,6.16,6.47,7.7,7.17,8.46,6.05,11.3,13.43
hsa-miR-1587,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-15a-5p,13.88,10.17,10.45,8.37,8.94,7.48,14.16,8.2,9.55,11.13,21.85,8.82,10.07,7.46,45.01,5.82,8.63,7.59,11.1,9.71,11.09,11.45,15.82
hsa-miR-15b-3p,0.52,0.61,0.68,0.67,0.42,1.56,3.65,0.94,1.4,1.99,11.05,1.37,0.59,0.28,20.54,0.46,0.91,1.6,3.12,0.23,0.6,1.78,2.09
hsa-miR-15b-5p,3.63,3.03,3.41,2.12,2.73,3.01,7.59,3.63,2.8,3.05,14.45,4.81,1.99,3.94,32.04,2.74,4.2,3.1,11.1,1.69,1.01,3.27,6.12
hsa-miR-16-1-3p,0.13,0.12,0.23,0.33,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.23,0.0,0.42,0.0,0.0,0.0,0.11,0.23,0.0,0.2,0.3,0.0
hsa-miR-16-2-3p,7.4,9.45,8.4,3.79,4.52,9.82,15.62,11.96,4.78,16.7,75.88,11.22,6.09,3.24,218.03,2.85,4.09,7.06,26.94,4.18,2.42,16.06,23.13
hsa-miR-16-5p,31.27,25.56,33.16,14.4,34.28,39.97,50.95,39.24,21.2,46.52,147.15,38.24,27.64,27.86,365.14,23.05,20.78,27.26,86.95,16.59,20.16,50.86,72.22
hsa-miR-17-3p,0.26,1.33,1.36,0.33,0.42,0.33,0.73,0.27,0.7,0.53,0.61,0.0,0.23,0.28,1.31,0.57,0.34,0.32,0.0,0.11,0.6,0.3,0.75
hsa-miR-17-5p,6.1,7.63,5.9,5.58,6.1,8.82,6.72,5.51,9.43,10.07,14.45,7.33,7.14,9.29,19.81,5.36,3.75,5.99,8.56,4.51,7.86,6.39,10.44
hsa-miR-181a-2-3p,1.17,2.54,2.04,0.67,2.0,2.9,1.46,3.23,1.86,1.19,1.46,1.72,1.76,0.28,9.47,0.23,0.23,0.86,0.93,1.58,2.42,2.23,2.69
hsa-miR-181a-3p,83.69,85.99,61.2,78.01,51.73,54.03,71.25,55.77,47.17,45.07,38.49,46.94,69.56,50.09,63.07,49.19,46.66,34.85,49.95,72.23,73.79,49.82,61.47
hsa-miR-181a-5p,20602.97,20412.31,16369.33,17454.41,12779.18,13664.07,16256.15,15469.31,8764.29,9825.13,8100.88,9440.31,14076.54,11407.74,16888.29,9303.96,9562.55,7714.74,9816.98,16447.0,17417.11,13917.43,16572.56
hsa-miR-181b-2-3p,1.17,1.7,1.02,1.23,2.21,0.78,0.73,0.67,0.82,0.66,0.49,0.8,1.41,0.56,0.87,0.8,0.79,1.6,0.46,1.02,1.21,1.34,0.75
hsa-miR-181b-3p,10.38,11.14,6.36,8.71,8.83,7.14,10.66,5.91,5.36,4.64,4.13,6.98,3.86,4.22,7.57,5.02,6.58,4.6,7.75,4.4,9.88,5.65,5.22
hsa-miR-181b-5p,16238.27,17053.56,13396.08,13096.3,12131.02,11176.41,16569.9,12789.46,7540.58,8648.64,7197.34,8163.09,10554.04,8871.34,15116.63,8008.6,9057.56,6782.69,9052.91,12034.16,13264.24,12276.31,13646.19
hsa-miR-181c-3p,55.15,55.59,53.03,52.46,41.32,44.77,39.42,29.97,33.43,35.92,25.5,35.15,47.31,32.92,32.63,39.48,34.85,25.12,39.89,39.61,38.1,28.85,31.93
hsa-miR-181c-5p,42.69,44.09,37.47,33.15,19.98,25.57,29.93,26.48,26.32,24.12,21.73,23.24,29.75,24.76,32.19,25.56,20.66,22.88,23.47,35.21,24.39,24.69,29.54
hsa-miR-181d-5p,860.3,896.98,690.51,698.56,741.63,577.84,819.2,560.29,494.51,552.06,448.01,584.85,646.67,581.62,696.63,531.68,586.85,456.41,515.81,673.5,699.57,545.95,612.34
hsa-miR-182-3p,0.13,0.12,0.34,0.45,0.11,0.0,0.29,0.0,0.12,0.0,0.49,0.23,0.23,0.0,0.73,0.11,0.11,0.96,0.0,0.0,0.2,0.0,0.0
hsa-miR-182-5p,6.23,7.99,3.75,2.57,10.09,4.24,7.59,5.24,6.76,6.23,12.51,8.24,4.22,7.32,44.57,5.02,7.27,16.36,8.9,3.84,8.67,7.73,10.15
hsa-miR-1827,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-183-3p,0.0,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.21,0.0,0.0,0.2,0.0,0.0
hsa-miR-183-5p,5.71,5.93,5.22,3.57,7.57,6.14,7.01,4.03,10.02,7.42,9.71,5.72,5.04,5.91,22.43,5.25,4.09,16.14,9.25,2.6,5.44,5.95,7.31
hsa-miR-184,2.6,2.42,1.25,1.0,2.31,0.89,2.48,0.81,0.93,1.33,1.46,1.26,2.23,1.55,3.06,1.94,1.36,0.86,1.39,1.47,1.01,1.34,2.24
hsa-miR-1843,0.65,0.24,0.68,0.33,0.74,0.78,1.75,1.61,0.0,0.27,1.09,0.46,0.35,0.14,4.22,0.0,0.11,0.75,0.46,0.68,0.2,0.15,1.34
hsa-miR-185-3p,38.93,42.51,37.13,45.87,33.23,31.48,32.56,25.54,23.53,25.32,22.1,23.82,37.47,26.03,36.27,23.17,22.93,20.85,27.98,34.87,35.28,28.11,27.75
hsa-miR-185-5p,615.58,708.52,604.44,598.89,423.34,437.96,545.31,331.96,504.18,527.01,485.16,557.95,662.6,535.05,776.88,466.74,416.55,458.76,470.49,510.88,451.19,352.32,415.24
hsa-miR-186-3p,0.39,0.48,0.57,0.78,0.11,0.56,0.0,0.13,0.47,0.53,0.12,0.57,0.35,0.14,0.44,0.11,0.0,0.53,0.35,0.34,0.4,0.15,0.0
hsa-miR-186-5p,289.62,258.7,259.58,214.18,187.17,234.55,228.05,144.21,193.45,207.31,160.38,162.82,251.55,197.11,248.18,177.45,151.68,176.08,187.2,211.15,194.15,170.88,193.07
hsa-miR-187-3p,12.07,13.08,11.47,11.72,9.78,9.94,9.34,8.47,10.6,11.0,5.95,10.19,12.41,10.13,10.2,9.13,7.72,8.45,7.75,12.41,11.09,6.99,7.31
hsa-miR-187-5p,2.72,2.91,1.59,1.45,2.31,1.79,2.34,1.88,1.05,1.46,1.58,1.37,1.87,1.55,2.33,1.83,1.59,1.18,1.5,2.14,2.82,3.12,2.54
hsa-miR-188-3p,0.13,0.36,0.34,0.22,0.21,0.56,0.58,0.0,0.12,0.0,0.0,0.11,0.12,0.14,0.15,0.57,0.45,0.21,0.23,0.23,0.4,0.3,0.3
hsa-miR-188-5p,20.63,22.16,18.4,19.53,17.98,17.75,19.42,16.4,10.02,9.94,13.96,13.97,15.11,15.05,18.21,13.47,14.31,13.26,11.56,15.46,17.94,15.76,20.14
hsa-miR-18a-3p,0.0,0.12,0.0,0.11,0.11,0.33,0.44,0.0,0.12,0.4,0.24,0.11,0.12,0.28,1.89,0.23,0.0,0.21,0.12,0.11,0.0,0.15,0.3
hsa-miR-18a-5p,0.52,0.85,0.34,0.22,0.21,0.11,0.44,0.27,0.12,0.4,0.73,0.34,0.23,0.84,1.02,0.23,0.34,0.32,1.04,0.0,0.2,0.3,0.45
hsa-miR-18b-3p,0.0,0.0,0.0,0.22,0.0,0.11,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-18b-5p,0.0,0.0,0.0,0.0,0.0,0.33,0.15,0.0,0.12,0.13,0.12,0.0,0.0,0.0,0.15,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-1908-5p,0.26,0.24,0.34,0.33,0.42,0.33,0.29,0.13,0.58,0.0,0.61,0.0,0.23,0.14,4.66,0.0,0.0,1.07,0.0,0.34,0.81,0.0,0.9
hsa-miR-190a-3p,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0
hsa-miR-190a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-190b-5p,7.79,7.39,6.93,4.91,8.2,6.7,9.64,3.49,8.27,8.62,6.8,4.58,7.03,7.6,6.7,7.08,7.15,7.27,10.41,5.19,4.23,8.03,5.97
hsa-miR-191-3p,0.39,0.24,0.68,0.22,0.11,0.22,0.29,0.0,0.35,0.0,0.12,0.0,0.0,0.28,0.15,0.11,0.0,0.0,0.0,0.0,0.2,0.0,0.3
hsa-miR-191-5p,455.71,395.92,386.64,342.97,381.91,413.29,458.15,342.71,289.3,272.65,231.04,265.63,341.49,275.9,571.96,239.88,236.6,265.68,341.45,397.01,411.07,405.41,512.97
hsa-miR-1911-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1911-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1912-3p,2.85,1.45,2.04,1.34,2.42,1.23,1.9,2.15,1.16,2.52,1.34,1.6,1.99,1.69,1.17,2.28,1.93,1.82,3.47,2.14,2.42,1.49,2.39
hsa-miR-1912-5p,0.52,1.33,1.14,0.89,0.74,1.0,0.58,0.67,0.35,0.66,0.49,1.03,0.82,0.7,0.44,0.34,0.91,0.75,0.93,0.68,0.2,1.19,0.3
hsa-miR-192-5p,50.74,83.21,77.33,51.34,55.1,199.5,95.48,37.36,123.34,128.97,63.74,122.86,63.36,53.46,160.8,41.88,40.53,77.51,74.81,65.45,53.63,44.91,64.31
hsa-miR-193a-3p,0.13,0.61,0.0,0.33,0.42,0.22,0.29,0.13,0.12,0.0,0.12,0.11,0.35,0.0,0.44,0.0,0.0,0.43,0.23,0.0,0.2,0.15,0.0
hsa-miR-193a-5p,19.85,17.92,15.22,19.42,15.25,22.55,14.02,19.08,11.88,11.27,6.92,11.34,13.0,11.82,24.61,7.53,5.45,12.19,8.44,26.07,51.41,9.52,16.86
hsa-miR-193b-3p,0.26,0.97,0.11,0.0,0.74,0.67,0.15,0.0,0.23,0.27,0.0,0.46,0.12,0.14,0.15,0.23,0.0,0.32,0.12,0.0,2.42,0.0,0.0
hsa-miR-193b-5p,14.01,16.23,12.04,18.08,6.94,8.93,8.18,10.21,3.73,2.92,2.55,3.89,3.86,3.94,9.47,2.05,3.52,3.21,3.01,13.66,15.52,8.33,8.06
hsa-miR-194-3p,0.0,0.0,0.11,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
