miRNA,GSM1410425,GSM1410426,GSM1410427,GSM1410428,GSM1410429,GSM1410430,GSM1410431,GSM1410432,GSM1410433,GSM1410434,GSM1410435,GSM1410436,GSM1410437,GSM1410438,GSM1410439,GSM1410440,GSM1410441,GSM1410442,GSM1410443,GSM1410444,GSM1410445,GSM1410446,GSM1410447
hsa-miR-103a-2-5p,0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.0,0.12,0.0,0.36,0.0,0.23,0.98,0.44,0.0,0.23,0.21,0.12,0.0,0.0,0.0,0.0
hsa-miR-103a-3p,75.39,250.34,38.83,121.32,162.14,166.9,56.79,143.4,52.41,61.37,23.92,269.18,41.22,1.55,329.89,71.21,244.66,54.2,28.68,209.0,332.85,329.71,217.09
hsa-miR-10400-3p,0.0,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-10400-5p,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.15,0.0
hsa-miR-10401-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
hsa-miR-105-3p,0.52,0.0,0.23,0.67,0.0,0.11,0.44,0.27,0.35,0.66,0.24,0.34,0.12,0.42,0.15,0.68,0.45,0.32,0.46,0.34,0.2,0.0,0.0
hsa-miR-105-5p,245.76,256.52,228.81,201.79,204.62,227.3,231.85,195.68,106.22,150.57,94.7,106.48,204.59,133.52,207.84,128.61,146.23,118.46,166.39,212.16,210.88,202.85,265.44
hsa-miR-10527-5p,0.13,0.48,0.0,0.0,0.11,0.11,0.0,0.4,0.12,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.12,0.23,0.0,0.15,0.0
hsa-miR-106a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-106a-5p,0.52,0.85,0.57,0.67,0.21,1.0,1.46,0.54,0.82,1.86,1.7,1.26,1.17,0.7,6.7,0.8,0.34,1.39,1.39,0.68,0.6,1.78,1.34
hsa-miR-106b-3p,26.6,28.46,24.98,25.34,27.44,23.56,20.73,20.56,18.29,19.62,31.81,22.1,29.51,20.12,57.39,21.34,16.69,21.28,27.52,23.13,17.94,18.0,22.68
hsa-miR-106b-5p,8.05,10.42,10.56,7.14,7.68,7.03,12.12,3.23,7.34,7.95,12.63,8.47,8.9,7.03,22.87,5.36,6.93,5.88,8.09,6.55,6.45,5.5,7.91
hsa-miR-107,1.82,154.91,102.99,9.15,16.93,3.24,187.76,15.46,98.3,9.81,1.34,9.39,18.5,71.47,2.77,9.36,1.93,10.26,67.53,3.16,12.9,7.88,177.11
hsa-miR-10a-3p,9.99,8.36,7.72,4.8,6.83,4.8,10.51,5.78,13.86,3.84,4.61,5.04,3.63,4.22,9.18,3.31,6.36,6.95,4.97,6.32,4.84,6.1,8.8
hsa-miR-10a-5p,210.47,199.6,202.58,127.01,194.85,175.83,263.53,168.93,281.27,157.6,118.38,124.92,198.15,145.05,215.85,124.5,140.33,173.62,164.65,147.05,174.39,262.04,271.11
hsa-miR-10b-3p,1.3,1.57,0.91,1.34,1.16,1.0,0.88,1.61,1.86,0.8,0.36,0.92,1.41,0.84,0.87,0.91,0.79,1.07,1.27,1.35,1.81,1.49,1.79
hsa-miR-10b-5p,235.25,219.82,222.9,135.49,260.36,222.05,295.79,172.83,213.13,195.77,120.32,148.73,228.95,164.75,223.13,142.76,149.63,268.88,188.82,156.41,215.31,281.08,318.85
hsa-miR-11400,0.0,0.0,0.79,0.33,0.74,0.78,0.0,0.13,0.12,0.0,0.36,0.57,0.0,0.0,0.0,0.0,0.0,0.43,0.69,0.23,0.6,0.59,1.49
hsa-miR-11401,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.13,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.15,0.3
hsa-miR-1180-3p,0.91,0.97,1.25,1.12,3.15,0.78,1.61,1.08,3.14,0.66,4.01,0.69,0.59,0.98,26.8,0.23,0.11,5.99,1.97,0.11,6.25,1.19,2.54
hsa-miR-1181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-1183,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
