miRNA,SRR22564865,SRR22564866,SRR22564867,SRR22564868,SRR22564869,SRR22564870,SRR22564871,SRR22564872,SRR22564873,SRR22564874,SRR22564875,SRR22564876,SRR22564877,SRR22564878,SRR22564879,SRR22564880,SRR22564881,SRR22564882
hsa-let-7a-3p,38.19,68.19,18.59,10.48,4.24,12.56,11.65,69.46,38.16,5.86,138.19,53.46,7.4,87.77,21.83,41.59,86.08,61.34
hsa-let-7a-5p,7882.57,1171.99,365.8,1811.8,512.96,2858.14,2136.1,575.86,1847.69,224.41,2643.49,658.39,738.34,1381.68,861.35,989.76,1850.77,1733.95
hsa-let-7b-3p,21.45,22.61,10.92,2.05,5.24,9.42,71.09,0.54,2.73,4.37,3.85,7.95,4.23,8.58,3.71,0.0,19.03,18.48
hsa-let-7b-5p,10351.53,9182.32,4891.43,2889.88,4066.37,392.6,32269.51,8855.29,20868.52,2443.55,31215.78,20171.2,281.7,8388.17,5410.9,8638.68,11010.3,13305.81
hsa-let-7c-3p,4.9,1.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7c-5p,152.96,88.35,21.74,98.43,25.22,56.53,396.49,23.83,93.58,35.68,119.84,134.83,23.78,41.48,125.58,31.46,94.44,69.86
hsa-let-7d-3p,946.97,1055.78,398.36,104.05,265.91,31.41,2315.48,153.45,132.76,279.29,263.06,613.06,21.14,154.75,154.03,266.71,533.92,1010.1
hsa-let-7d-5p,1798.87,1323.05,221.9,322.25,114.6,223.0,282.46,91.94,399.97,119.25,497.27,82.38,71.88,437.69,245.21,65.85,352.55,416.25
hsa-let-7e-3p,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-let-7e-5p,118.46,69.82,15.15,21.73,9.82,28.27,74.92,19.25,26.69,11.1,51.34,25.21,4.76,25.38,40.49,18.41,50.55,38.27
hsa-let-7f-1-3p,1.76,3.03,0.1,0.38,0.56,9.42,0.0,7.81,0.0,0.5,5.62,4.91,0.53,3.99,0.93,3.05,2.06,6.16
hsa-let-7f-2-3p,0.0,0.93,0.49,0.13,0.22,0.0,0.17,0.13,0.0,0.25,0.59,0.0,0.0,1.64,1.06,0.12,1.58,0.26
hsa-let-7f-5p,7465.22,404.69,117.34,566.01,178.98,4931.07,935.86,187.24,779.73,78.34,1130.81,373.69,732.52,616.17,343.4,775.0,934.84,811.67
hsa-let-7g-3p,0.0,0.23,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0
hsa-let-7g-5p,2214.92,576.85,171.34,688.72,138.25,2437.27,494.0,186.97,739.53,97.17,1382.93,257.3,397.44,1073.24,410.36,210.12,479.48,597.38
hsa-let-7i-3p,5.09,7.81,3.74,0.64,0.56,0.0,22.94,0.0,3.52,1.0,0.0,3.55,0.0,13.39,3.84,0.12,15.52,7.34
hsa-let-7i-5p,10175.27,4867.93,1332.09,9300.46,1375.17,2462.4,3459.58,4598.13,35378.71,1338.34,31176.57,1907.01,810.21,10279.67,4871.52,4501.6,5942.93,5887.44
hsa-miR-1-3p,45.04,137.42,18.89,0.38,1.56,3.14,0.52,0.0,14.65,0.75,0.0,0.0,4.76,1.64,1.06,1.95,0.0,2.1
hsa-miR-100-5p,87.21,1204.86,154.13,9.33,16.51,128.77,99.25,62.46,109.93,21.46,97.21,29.43,22.73,316.31,75.96,21.59,372.8,190.43
hsa-miR-101-3p,763.77,2395.85,462.19,7.8,47.31,78.52,842.17,102.17,227.24,112.39,456.29,186.59,41.22,982.77,378.07,103.66,327.82,626.87
hsa-miR-101-5p,0.0,0.7,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.97
hsa-miR-10392-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.35,0.0,0.0,0.0,0.0
hsa-miR-10395-3p,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
